GRIDCODE,CVENTMUN,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES
1793979,16070,16463.17,37.78
1793980,16070,16463.17,1238.27
1784447,16070,16463.17,2901.17
1787624,16070,16463.17,1096.55
1787625,16070,16463.17,1011.87
1790802,16070,16463.17,2235.68
1778092,16070,16463.17,170.47
1781269,16070,16463.17,292
1781270,16070,16463.17,2589.82
1778093,16070,16463.17,2180.44
1778094,16070,16463.17,1644.74
1793979,16094,34091,986.68
1797157,16094,34091,2253.79
1800334,16094,34091,596.43
1800335,16094,34091,1304.49
1803512,16094,34091,1571.79
1803513,16094,34091,531.91
1806690,16094,34091,709.44
1806691,16094,34091,1470.79
1809869,16094,34091,1342.48
1800334,16094,34091,754.22
1813047,16094,34091,530.76
1809869,16094,34091,906.88
1774941,16044,74532.54,2232.38
1778119,16044,74532.54,409.61
1784477,16044,74532.54,60.33
1778119,16044,74532.54,186.46
1778120,16044,74532.54,1555.41
1781298,16044,74532.54,1766.61
1781299,16044,74532.54,1867.29
1794010,16044,74532.54,247.05
1784477,16044,74532.54,2081.84
1787654,16044,74532.54,1747.51
1787655,16044,74532.54,417.08
1790832,16044,74532.54,2054.35
1794010,16063,154034.18,1790.88
1797188,16063,154034.18,2018.95
1800366,16063,154034.18,953.7
1803544,16063,154034.18,565.37
1800366,16063,154034.18,1049.01
1803544,16063,154034.18,1346.56
1803544,16063,154034.18,529.53
1803545,16063,154034.18,2219.94
1803546,16063,154034.18,2041.77
1803547,16063,154034.18,332.63
1822580,16094,34091,2308.2
1825758,16094,34091,1800.09
1813047,16094,34091,1751.22
1816224,16094,34091,672.22
1816225,16094,34091,1686.88
1819402,16094,34091,2331.06
1851182,16028,131181.01,2038.59
1854359,16028,131181.01,304.58
1854360,16028,131181.01,1735.5
1857537,16028,131181.01,261.37
1841648,16028,131181.01,1946.81
1841649,16028,131181.01,101.08
1844826,16028,131181.01,2034.13
1848004,16028,131181.01,2061.15
1832114,16028,131181.01,2031.96
1835292,16028,131181.01,2045.78
1838470,16028,131181.01,2018.62
1825758,16028,131181.01,252.43
1828936,16028,131181.01,2032.76
1860716,16028,131181.01,2050.21
1863894,16028,131181.01,335.91
1857537,16028,131181.01,612.26
1857538,16028,131181.01,1144.93
1863894,16028,131181.01,1906.57
1863895,16028,131181.01,1183.42
1867073,16028,131181.01,540.98
1870252,16109,52072.31,566.98
1870253,16109,52072.31,2239.26
1870254,16109,52072.31,1475.36
1870255,16109,52072.31,1130.78
1870256,16109,52072.31,276.44
1867073,16109,52072.31,1081.03
1867074,16109,52072.31,1801.34
1867076,16109,52072.31,1111.06
1867077,16109,52072.31,989.58
1870256,16109,52072.31,1772.08
1870257,16109,52072.31,148.67
1870257,16109,52072.31,1151.73
1873435,16109,52072.31,228.11
1870257,16109,52072.31,303.2
1898848,16069,122311.12,2008.21
1898849,16069,122311.12,2102.93
1895670,16069,122311.12,223.95
1879793,16109,52072.31,2215.7
1873435,16109,52072.31,1453.7
1873436,16109,52072.31,975.51
1876614,16109,52072.31,2031.64
1876615,16109,52072.31,602.09
1908396,16060,38415.74,2484.54
1911573,16060,38415.74,2121.17
1911574,16060,38415.74,336.14
1914751,16060,38415.74,170.82
1905218,16060,38415.74,553.4
1898864,16060,38415.74,2139.66
1902041,16060,38415.74,1226.67
1902042,16060,38415.74,1158.13
1905219,16060,38415.74,1997.75
1889329,16060,38415.74,905.01
1889330,16060,38415.74,1726.37
1892508,16060,38415.74,2052.64
1895686,16060,38415.74,2011.49
1879793,16060,38415.74,54.32
1882971,16060,38415.74,1406.79
1882972,16060,38415.74,815.97
1886150,16060,38415.74,2391.08
1886151,16060,38415.74,1427.88
1917927,16069,122311.12,1812.31
1917928,16069,122311.12,932.94
1914750,16069,122311.12,1488.72
1914751,16069,122311.12,1122.08
1917922,16069,122311.12,1428.27
1917923,16069,122311.12,1260.66
1921101,16069,122311.12,2336.53
1924279,16069,122311.12,499.95
1924280,16069,122311.12,2161.68
1924281,16069,122311.12,436.35
1908385,16069,122311.12,584.91
1908386,16069,122311.12,2126.13
1911564,16069,122311.12,840.36
1911565,16069,122311.12,1860.47
1914743,16069,122311.12,1113.85
1914744,16069,122311.12,1582.76
1898849,16069,122311.12,487.86
1902027,16069,122311.12,322.8
1902028,16069,122311.12,2531.4
1905206,16069,122311.12,412.56
1905207,16069,122311.12,2344.95
1917925,16069,122311.12,1010.93
1917926,16069,122311.12,2050.89
1917927,16069,122311.12,308.98
1921103,16069,122311.12,2340.17
1924281,16069,122311.12,829.08
1940162,16069,122311.12,2035.44
1936985,16069,122311.12,672.51
1936986,16069,122311.12,702.94
1940162,16069,122311.12,253.23
1940163,16069,122311.12,1758.54
1927458,16069,122311.12,1356.14
1930636,16069,122311.12,2137.21
1927459,16069,122311.12,1351.46
1924281,16069,122311.12,1219.12
1936986,16069,122311.12,1432.93
1936987,16069,122311.12,2136.64
1936988,16069,122311.12,779.33
1933810,16069,122311.12,1347.35
1933811,16069,122311.12,2077.52
