GRIDCODE,CVENTMUN,LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),LONG VIALIDAD x SENTIDO x CELDA
1774915,16070,246391.5761,1157.138248
1774916,16070,246391.5761,12843.81561
1774917,16070,246391.5761,21829.52163
1774918,16070,246391.5761,6980.947311
1774919,16070,246391.5761,712.8279428
1774940,16044,330644.6901,11387.18861
1774941,16044,330644.6901,397.1537278
1774951,16044,330644.6901,1037.65877
1774952,16044,330644.6901,29970.28524
1774953,16044,330644.6901,7270.272411
1774960,16037,205213.0978,84.83977272
1774965,16037,205213.0978,3306.821574
1774966,16037,205213.0978,1600.787922
1774967,16037,205213.0978,6537.833845
1774968,16037,205213.0978,23719.28877
1774969,16037,205213.0978,11271.81882
1774975,16037,205213.0978,8194.914466
1774976,16037,205213.0978,10600.4597
1774977,16037,205213.0978,1552.320512
1774981,16027,113856.6625,871.2168185
1774982,16027,113856.6625,71.65400133
1774985,16027,113856.6625,3069.551776
1774986,16027,113856.6625,19849.74745
1774987,16027,113856.6625,2633.332171
1774988,16027,113856.6625,7575.597077
1774989,16027,113856.6625,4844.71172
1774994,16018,109077.8971,996.8444189
1774998,16018,109077.8971,6162.545647
1774999,16018,109077.8971,11620.59094
1775003,16018,109077.8971,3891.190945
1775004,16018,109077.8971,15536.93797
1775005,16018,109077.8971,449.8713839
1775013,16003,310584.7483,2654.050268
1775014,16003,310584.7483,6011.892381
1775015,16003,310584.7483,776.836435
1775016,16003,310584.7483,5841.67927
1775017,16003,310584.7483,21686.16432
1775022,16003,310584.7483,395.9915928
1775023,16003,310584.7483,15607.62957
1775034,16110,866480.505,8859.036172
1775035,16110,866480.505,1030.846549
1775039,16110,866480.505,5236.485345
1775040,16110,866480.505,49.06705923
1775042,16110,866480.505,4620.866108
1775043,16110,866480.505,5299.213732
1775045,16110,866480.505,2235.141746
1775052,16110,866480.505,352.8225933
1775053,16110,866480.505,7546.617168
1775054,16110,866480.505,11611.03039
1775055,16110,866480.505,69.90096937
1775057,16110,866480.505,175.7972582
1775064,16050,1592553.42,2081.496812
1775076,16050,1592553.42,11704.72877
1775077,16050,1592553.42,26157.76391
1775078,16050,1592553.42,32528.70125
1775079,16050,1592553.42,43359.48473
1775080,16050,1592553.42,31874.06922
1775081,16050,1592553.42,34628.8977
1775082,16050,1592553.42,4129.343358
1775087,16050,1592553.42,6960.842629
1775089,16050,1592553.42,2883.162304
1775090,16050,1592553.42,13360.16471
1775091,16050,1592553.42,1075.328024
1775094,16050,1592553.42,228.5381968
1775095,16050,1592553.42,603.5644978
1775096,16050,1592553.42,2765.194371
1775097,16050,1592553.42,4698.760596
1775098,16050,1592553.42,4286.787203
1775099,16050,1592553.42,4133.155282
1775100,16050,1592553.42,7300.493731
1775102,16017,589958.5866,5623.337739
1775103,16017,589958.5866,7309.705649
1775111,16017,589958.5866,656.2555829
1775112,16017,589958.5866,350.0391198
1775113,16017,589958.5866,187.8963765
1775114,16017,589958.5866,1879.813646
1775115,15085,1062659.879,802.4074328
1775116,15085,1062659.879,407.523567
1775133,15014,1378182.423,138.597005
1775134,15014,1378182.423,13092.30095
1775137,15014,1378182.423,4277.164362
1775138,15014,1378182.423,3304.673193
1775139,15014,1378182.423,5589.076873
1775140,15001,1768672.188,4762.337756
1775140,15014,1378182.423,1694.349119
1775141,15001,1768672.188,1416.46476
1775142,15001,1768672.188,919.4903262
1775143,15001,1768672.188,295.0072366
1775144,15001,1768672.188,3632.498656
1775145,15001,1768672.188,3474.548262
1775150,15102,355673.5095,6323.211703
1775151,15102,355673.5095,9064.508606
1775152,15102,355673.5095,10919.78558
1775153,15102,355673.5095,7883.057916
1775154,15102,355673.5095,4737.302795
1775155,15102,355673.5095,2233.509994
1775158,15102,355673.5095,766.3050165
1775159,15102,355673.5095,48.38407893
1775160,15102,355673.5095,4516.69743
1778092,16070,246391.5761,1695.092577
1778093,16070,246391.5761,21872.05669
1778094,16070,246391.5761,32731.01203
1778095,16070,246391.5761,24634.94593
1778096,16070,246391.5761,9670.100797
1778120,16044,330644.6901,2811.87065
1778123,16044,330644.6901,417.6836878
1778124,16044,330644.6901,11287.47028
1778129,16044,330644.6901,205.4602871
1778130,16044,330644.6901,32.91978597
1778139,16037,205213.0978,506.2002542
1778140,16037,205213.0978,3453.56529
1778143,16037,205213.0978,714.5313427
1778144,16037,205213.0978,3385.213567
1778146,16037,205213.0978,303.6854607
1778147,16037,205213.0978,496.3065338
1778161,16027,113856.6625,2671.499952
1778164,16027,113856.6625,3301.345819
1778165,16027,113856.6625,2073.965942
1778167,16027,113856.6625,3269.457476
1778170,16018,109077.8971,6209.7632
1778171,16018,109077.8971,3385.432989
1778172,16018,109077.8971,8644.934385
1778182,16018,109077.8971,506.7140233
1778183,16018,109077.8971,26.43520816
1778185,16020,342322.7651,2210.047209
1778194,16003,310584.7483,2160.762631
1778195,16003,310584.7483,2336.6589
1778196,16003,310584.7483,69.05435185
1778201,16003,310584.7483,3712.183999
1778217,16110,866480.505,3507.534734
1778218,16110,866480.505,1851.332104
1778223,16110,866480.505,206.0574051
1778231,16110,866480.505,6762.534148
1778232,16110,866480.505,9820.948822
1778233,16110,866480.505,118.8302382
1778235,16110,866480.505,2217.148889
1778236,16110,866480.505,7087.827754
1778237,16110,866480.505,9260.185885
1778239,16110,866480.505,307.6259332
1778240,16110,866480.505,2199.925791
1778241,16110,866480.505,2160.179304
1778242,16050,1592553.42,2120.104013
1778243,16050,1592553.42,5929.382949
1778246,16050,1592553.42,105.8271698
1778250,16050,1592553.42,867.6521746
1778251,16050,1592553.42,7024.220014
1778252,16050,1592553.42,3118.789192
1778254,16050,1592553.42,910.6754035
1778255,16050,1592553.42,21539.65581
1778256,16050,1592553.42,29146.51381
1778257,16050,1592553.42,28763.83005
1778258,16050,1592553.42,5010.324557
1778259,16050,1592553.42,4176.748017
1778264,16050,1592553.42,3291.734394
1778265,16050,1592553.42,2100.636056
1778272,16017,589958.5866,10091.09045
1778273,16017,589958.5866,817.4558981
1778274,16050,1592553.42,149.5464764
1778275,16050,1592553.42,4498.566739
1778276,16050,1592553.42,9103.848087
1778277,16050,1592553.42,2515.95511
1778278,16050,1592553.42,559.5641868
1778281,16017,589958.5866,212.846434
1778282,16017,589958.5866,3593.442546
1778285,16017,589958.5866,7007.33031
1778286,16017,589958.5866,5327.30879
1778289,16017,589958.5866,1731.295959
1778290,16017,589958.5866,341.0125487
1778291,16017,589958.5866,26.61624224
1778294,15085,1062659.879,2100.331736
1778303,15085,1062659.879,808.4959573
1778312,15001,1768672.188,1240.592609
1778313,15001,1768672.188,7635.931067
1778314,15001,1768672.188,462.1653101
