GRIDCODE,CVENTMUN,Fa
1774907,16070,0.00168465
1774908,16070,0.005649539
1774910,16070,0.007517278
1774911,16070,0.000228716
1774914,16070,0.011088438
1774915,16070,0.022141648
1774916,16070,0.017981744
1774917,16070,0.01582195
1774918,16070,0.02218107
1774919,16070,0.02218107
1774920,16070,0.017523094
1774921,16070,0.022084364
1774922,16070,0.02218107
1774923,16070,0.011564817
1774924,16070,0.001715865
1774925,16070,0.018936461
1774926,16070,0.012210055
1774926,16107,0.002948101
1774927,16070,0.002950428
1774927,16107,0.016168593
1774928,16107,0.036301663
1774929,16107,0.025016003
1774930,16107,0.000809527
1774931,16107,0.003894413
1774932,16044,0.00066846
1774932,16107,0.046557105
1774933,16044,0.005975756
1774933,16107,0.006251169
1774934,16044,0.006172128
1774935,16044,0.004938023
1774936,16044,0.001747896
1774936,16107,0.002533635
1774937,16044,0.003108737
1774937,16107,0.03993818
1774938,16044,0.000652251
1774938,16107,0.007664095
1774939,16044,0.001188276
1774939,16107,0.035509505
1774940,16044,0.004029297
1774940,16107,0.009575753
1774941,16044,0.010140181
1774942,16044,0.010140181
1774943,16044,0.010140181
1774944,16044,0.010140181
1774945,16044,0.010140181
1774946,16044,0.010015509
1774946,16107,7.71E-04
1774947,16044,0.010089295
1774947,16107,3.15E-04
1774948,16044,0.009954747
1774948,16107,0.001146877
1774949,16044,0.010140181
1774950,16044,0.010140181
1774951,16044,0.010140181
1774952,16044,0.001782821
1774953,16044,0.002432996
1774954,16044,0.001267505
1774955,16016,0.129088439
1774955,16044,0.006249858
1774956,16016,0.133968005
1774956,16044,0.008403368
1774957,16016,0.327170085
1774957,16044,0.005898622
1774958,16016,0.295135242
1774958,16037,0.000876246
1774958,16044,0.006179814
1774959,16016,0.114638228
1774959,16037,0.053099477
1774959,16044,0.000526433
1774960,16037,0.066248674
1774961,16037,0.066137104
1774962,16037,0.013757924
1774964,16037,0.009840838
1774965,16037,0.058162069
1774966,16037,0.061702004
1774967,16037,0.048621135
1774968,16037,0.014999763
1774969,16037,0.031703425
1774970,16037,0.045763479
1774981,16027,0.014132861
1774982,16027,0.018639592
1774983,16027,0.029849276
1774984,16027,0.034179355
1774985,16027,0.013231476
1774986,16027,0.011085739
1774987,16027,0.034092924
1774988,16027,0.028195973
1774989,16027,0.009207891
1774990,16018,0.004678551
1774990,16027,0.020833259
1774991,16018,0.003927423
1774991,16027,5.02E-06
1774992,16018,0.00115153
1774993,16018,0.013890762
1774994,16018,0.036707264
1774995,16018,0.08229205
1774996,16018,0.08297179
1774997,16018,0.081794617
1774998,16018,0.062763754
1774999,16018,0.025871985
1775000,16018,0.000806686
1775002,16018,0.001032764
1775003,16018,0.008676218
1775004,16018,0.037834757
1775005,16018,0.038032738
1775006,16020,5.98E-05
1775007,16020,0.001175405
1775008,16020,0.001992302
1775009,16020,0.004168575
1775013,16003,0.003441669
1775013,16020,4.41E-06
1775014,16003,0.016635314
1775014,16020,3.23E-06
1775015,16003,0.031847173
1775016,16003,0.030922231
1775017,16003,0.013047776
1775018,16003,0.035380542
1775019,16003,0.035468641
1775020,16003,0.035468641
1775021,16003,0.035468641
1775022,16003,0.034960683
1775023,16003,0.021990132
1775024,16003,0.022849205
1775025,16003,0.01747533
1775026,16003,0.001384502
1775031,16110,0.000727133
1775032,16110,0.003036506
1775037,16110,0.006002605
1775038,16110,0.006390584
1775039,16110,0.001888974
1775040,16110,0.014679895
1775041,16110,0.013695774
1775042,16110,0.015574124
1775043,16110,0.015779119
1775044,16110,0.009507464
1775045,16110,0.001929299
1775049,16110,0.007073415
1775050,16110,0.014681477
1775051,16110,0.009608342
1775052,16110,0.012518918
1775053,16110,0.006954663
1775054,16110,0.005310885
1775055,16110,0.015355563
1775056,16110,0.015779119
1775057,16110,0.015779119
1775058,16110,0.015779119
1775059,16110,0.015779119
1775060,16110,0.015779119
1775061,16110,0.015779119
1775062,16050,0.000957731
1775062,16110,0.012939415
1775063,16050,0.004684285
1775064,16050,0.002797889
1775065,16050,0.003640703
1775066,16050,0.000433045
1775068,16050,0.000265182
1775069,16050,0.004089232
1775070,16050,0.002720822
1775071,16050,0.000811393
1775072,16050,0.003790393
1775073,16050,0.004841363
1775074,16050,0.005321733
1775075,16050,0.004893982
1775076,16050,0.004928515
1775077,16050,0.001174195
1775080,16050,0.0016035
1775081,16050,0.001017046
1775082,16050,0.004646022
1775083,16050,0.004218724
1775084,16050,0.002765003
1775085,16050,0.001861494
1775086,16050,0.00288366
1775087,16050,0.004856099
1775088,16050,0.005321733
1775089,16050,0.004946961
1775090,16050,0.003334776
1775091,16050,0.004914984
1775092,16050,0.005321733
1775093,16017,0.000334971
1775093,16050,0.004928093
1775094,16017,0.002153107
1775094,16050,0.002791518
1775095,16017,0.004459051
1775095,16050,8.17E-05
1775096,16017,0.002002696
1775096,16050,0.002968273
1775097,16017,6.25E-05
1775097,16050,0.005248301
1775098,16050,0.005321733
1775099,16050,0.005321733
1775100,16017,0.000194224
1775100,16050,0.005093491
1775101,16017,0.00391963
1775101,16050,0.000715596
1775102,16017,0.004462171
1775103,16017,0.00264348
1775104,16017,0.004415032
1775105,16017,5.32E-06
1775106,16017,4.50E-05
1775107,16017,0.003553734
1775108,16017,0.003051332
1775109,16017,0.001407759
1775110,16017,0.003832239
1775111,16017,0.003870866
1775112,16017,0.001675781
1775113,16017,0.001529739
1775114,15085,0.000266889
1775114,16017,0.002665092
1775115,15085,0.005322832
1775116,15085,0.0066357
1775117,15085,0.006080002
1775118,15085,0.003666596
1775119,15085,0.001350929
1775120,15085,0.003463401
1775121,15085,0.000137605
1775122,15085,0.004269632
1775123,15085,0.00675408
1775124,15085,0.001706052
1775125,15085,0.001820366
1775126,15085,0.00305888
1775127,15085,0.000688595
1775133,15001,4.93E-05
1775133,15014,0.137727308
1775134,15001,0.000695918
1775134,15014,0.164020468
1775135,15001,2.25E-05
1775135,15014,1.26E-03
1775136,15014,0.016375235
1775137,15001,0.000295839
1775137,15014,0.109011068
1775138,15014,0.17045727
1775139,15014,0.069041672
1775140,15001,0.000728543
1775140,15014,1.52E-04
1775141,15001,0.003066237
1775142,15001,7.31E-06
1775144,15001,0.000692135
1775145,15001,0.000478013
1775146,15001,0.000701702
1775147,15001,0.00190031
1775150,15102,0.008298703
1775151,15102,0.014678387
1775152,15102,0.014678387
1775153,15102,0.014678387
1775154,15102,0.014678387
1775155,15102,0.014678387
1775156,15102,0.014678387
1775157,15102,0.014678387
1775158,15102,0.014678387
1775159,15102,0.014678387
1775160,15026,0.612479787
1775160,15102,0.013106895
1778086,16070,0.001844875
1778087,16070,0.005776713
1778088,16070,0.016040977
1778089,16070,0.004270735
1778091,16070,0.002185125
1778092,16070,0.018086479
1778093,16070,0.014280008
1778095,16070,0.006454663
1778096,16070,0.02106886
1778097,16070,0.021452634
1778098,16070,0.000710981
1778099,16070,0.00988886
1778100,16070,0.02218107
1778101,16070,0.017126262
1778102,16070,0.018166106
1778102,16107,0.002774329
1778103,16070,0.013784126
1778103,16107,0.017046408
1778104,16070,0.001574914
1778104,16107,0.018743678
1778105,16070,0.000551766
1778105,16107,0.033378398
1778106,16107,0.062715317
1778107,16107,0.062715317
1778108,16044,0.001370322
1778108,16107,0.04108495
1778109,16044,0.000328652
1778109,16107,0.022887154
1778110,16044,0.006361938
1778110,16107,0.009177505
1778111,16044,0.010097902
1778112,16044,0.008240633
1778113,16044,0.005098193
1778114,16044,0.006752523
1778115,16044,0.010140181
1778116,16044,0.009585795
1778117,16044,0.006767415
1778118,16044,0.001839226
1778119,16044,0.003805322
1778120,16044,0.010140181
1778121,16044,0.010140181
1778122,16044,0.010140181
1778123,16044,0.00958687
1778124,16044,0.006562802
1778125,16044,0.010140111
1778126,16044,0.010140181
