GRIDCODE,CVENTMUN,Fb
1774906,16070,0.000672241
1774906,16085,0.389298606
1774907,16070,0.011053026
1774907,16085,0.005808104
1774908,16070,0.009052973
1774909,16070,0.012146765
1774910,16070,0.008030164
1774911,16070,0.012021516
1774912,16070,0.012146765
1774913,16070,0.012146765
1774914,16070,0.006074531
1774920,16070,0.002550794
1774921,16070,5.29579E-05
1774923,16070,0.005813657
1774924,16070,0.011207125
1774925,16070,0.001776808
1774926,16070,0.003517164
1774926,16107,0.00474238
1774927,16070,6.06791E-05
1774927,16107,0.025364096
1774928,16107,0.017681055
1774929,16107,0.025235571
1774930,16107,0.041439162
1774931,16107,0.039374168
1774932,16107,0.008048685
1774933,16044,0.004559818
1774933,16107,0.000321755
1774934,16044,0.005882217
1774935,16044,0.007711648
1774936,16044,0.011471718
1774936,16107,0.001010132
1774937,16107,0.002376417
1774938,16044,0.000175834
1774938,16107,0.033659339
1774939,16044,0.00212467
1774939,16107,0.007357939
1774940,16044,0.006763601
1774954,16044,0.003659729
1774961,16037,1.95E-05
1774962,16037,0.009175832
1774963,16037,0.011580835
1774964,16037,0.009860572
1774965,16037,0.001413608
1774966,16037,0.000794797
1774967,16037,0.003081445
1774968,16037,0.001338915
1774969,16037,0.002352414
1774970,16037,0.003580987
1774971,16037,0.011580835
1774972,16037,0.011580835
1774973,16037,0.011580835
1774974,16037,0.011580835
1774975,16037,0.007101615
1774976,16037,0.004020181
1774977,16037,0.011547165
1774978,16037,0.011580835
1774979,16027,0.002107924
1774979,16037,0.010243493
1774980,16027,0.014712087
1774980,16037,0.002246966
1774981,16027,0.012012211
1774982,16027,0.010021885
1774983,16027,0.005071306
1774984,16027,0.003158996
1774985,16027,0.006539028
1774986,16027,2.35E-05
1774989,16027,0.00059759
1774990,16018,0.002797819
1774990,16027,0.00774568
1774991,16018,0.162332325
1774991,16027,0.001250278
1774992,16018,0.181075056
1774993,16018,0.151993089
1774994,16018,0.090868383
1774995,16018,0.001504321
1775004,16018,0.014393562
1775005,16018,0.092002253
1775006,16018,0.073390017
1775006,16020,0.008527683
1775006,16088,0.676043578
1775007,16020,0.013492857
1775007,16088,0.323956422
1775008,16020,0.01289564
1775009,16020,0.01095118
1775010,16020,0.010728671
1775011,16003,0.013979439
1775011,16020,0.002551631
1775012,16003,0.025459619
1775013,16003,0.020459207
1775016,16003,0.002747245
1775024,16003,0.012387616
1775025,16003,0.014717149
1775026,16003,0.013969272
1775026,16110,0.002068078
1775030,16110,0.000624746
1775031,16110,0.002976064
1775032,16110,0.004559362
1775033,16110,0.009462789
1775034,16110,0.006779367
1775035,16110,0.009455121
1775036,16110,0.009754473
1775037,16110,0.00604373
1775038,16110,0.005803886
1775039,16110,0.008586731
1775040,16110,0.000679528
1775044,16110,0.003877066
1775045,16110,0.008561802
1775046,16110,0.009754473
1775047,16110,0.009754473
1775048,16110,0.009754473
1775049,16110,0.005381768
1775050,16110,0.00067855
1775051,16110,0.003814705
1775052,16110,0.002015419
1775053,16110,0.002659072
1775054,16110,0.002142931
1775063,16050,0.000855151
1775064,16050,0.003385795
1775065,16050,0.00225514
1775066,16050,0.006558287
1775067,16050,0.007139227
1775068,16050,0.006783479
1775069,16050,0.001653428
1775070,16050,0.003489182
1775071,16050,0.006050725
1775072,16050,0.002054327
1775073,16050,0.000644427
1775083,16050,0.001479711
1775084,16050,0.003429911
1775085,16050,0.004641991
1775086,16050,0.003270731
1775087,16050,1.67914E-05
1775104,16017,0.000326698
1775105,16017,0.013015068
1775106,16017,0.012900983
1775107,16017,0.002804968
1775112,16017,0.007696593
1775113,16017,0.008628746
1775114,15085,0.002868126
1775114,16017,0.00101085
1775115,15085,0.002095863
1775116,15085,0.000211275
1775117,15085,0.001008964
1775118,15085,0.004473346
1775119,15085,0.007797426
1775120,15085,0.004765028
1775121,15085,0.009539121
1775122,15085,0.003607703
1775123,15085,4.13439E-05
1775124,15085,0.007287656
1775125,15085,0.007123561
1775126,15085,0.005345706
1775127,15085,0.00874819
1775128,15085,0.009736649
1775129,15085,0.009736649
1775130,15085,0.009736649
1775131,15085,0.009736649
1775132,15014,0.036280899
1775132,15085,0.008585534
1775133,15014,0.10471631
1775134,15001,2.34E-05
1775134,15014,0.008788648
1775135,15001,0.002803074
1775135,15014,0.168348982
1775136,15001,0.00410941
1775136,15014,0.085827422
1775137,15001,0.001315927
1775137,15014,0.060958561
1775138,15014,0.062052789
1775139,15001,5.2179E-05
1775139,15014,0.205207584
1775140,15001,0.00239616
1775140,15014,0.127220078
1775141,15001,0.000757675
1775142,15001,0.006370816
1775143,15001,0.006384232
1775144,15001,0.005114161
1775145,15001,0.005507075
1775146,15001,0.005096605
1775147,15001,0.002897155
1775148,15001,0.006384232
1775149,15001,0.002946643
1775149,15102,0.149905789
1775150,15102,0.121002389
1778084,16070,0.003523611
1778084,16085,0.292559568
1778085,16070,0.012146765
1778086,16070,0.011136477
1778087,16070,0.00898333
1778088,16070,0.003362429
1778089,16070,0.009808031
1778090,16070,0.012146765
1778091,16070,0.01095015
1778092,16070,0.002242273
1778096,16070,0.000609067
1778097,16070,0.000398905
1778098,16070,0.011757418
1778099,16070,0.006731442
1778101,16070,0.002768106
1778102,16070,0.001661334
1778103,16070,0.000198006
1778103,16107,0.003797449
1778104,16070,0.000135329
1778104,16107,0.025985725
1778105,16070,0.000321996
1778105,16107,0.017480692
1778108,16107,0.008805938
1778109,16107,0.025299961
1778110,16107,0.009498852
1778111,16044,6.2674E-05
1778112,16044,0.002815879
1778113,16044,0.007474212
1778114,16044,0.005021844
1778116,16044,0.000647709
1778116,16107,0.000486257
1778117,16044,0.004199275
1778117,16107,0.00223564
1778118,16044,0.012305286
1778119,16044,0.008111537
1778130,16044,0.003319695
1778131,16044,0.006611819
1778132,16044,0.002736852
1778135,16044,0.000631578
1778139,16037,0.00385948
1778140,16037,0.011580835
1778141,16037,0.011580835
1778142,16037,0.011580835
1778143,16037,0.010600492
1778144,16037,0.010240345
1778145,16037,0.011580835
1778146,16037,0.011580835
1778147,16037,0.011580835
1778148,16037,0.010787655
1778149,16037,0.011580835
1778150,16037,0.011580835
1778151,16037,0.011580835
1778152,16037,0.011580835
1778153,16037,0.011555724
1778154,16037,0.011580835
1778155,16037,0.011580835
1778156,16027,0.008153261
1778156,16037,0.006408118
1778157,16027,0.018179717
1778157,16037,4.70E-05
1778158,16027,0.018253765
1778159,16027,0.018253765
1778160,16027,0.018253765
1778161,16027,0.008466366
1778162,16027,0.001650475
1778163,16027,0.00838608
1778164,16027,0.012395971
1778165,16027,0.000129692
1778168,16018,0.000814615
1778168,16027,0.000180884
1778169,16018,0.020073653
1778170,16018,0.010870247
1778182,16018,0.039072047
1778183,16018,0.124685159
1778184,16018,0.031669324
1778184,16020,0.00710516
1778185,16020,0.001940452
1778186,16020,0.001948784
1778187,16020,0.000223717
1778193,16020,0.006461302
1778194,16003,0.0110362
1778194,16020,0.007516467
1778195,16003,0.000755491
1778202,16003,0.028269202
1778203,16003,0.010095669
1778210,16110,5.92E-09
1778211,16110,0.004633583
1778212,16110,0.009754473
1778213,16110,0.009754473
1778214,16110,0.006241294
1778215,16110,0.006098309
