GRIDCODE	CVENTMUN	Fr
1775080	16050	1
1781296	16044	1
1787821	16017	1
1803543	16063	1
1813207	11038	1
1825898	11002	1
1863937	16004	1
1883085	11028	1
1886185	16113	1
1899086	15071	1
1911694	11039	1
1930636	16069	1
1946561	11023	1
1956271	22016	1
1981701	22017	1
1987887	11001	1
1991125	11044	1
1991249	13059	1
1997500	11007	1
1997570	22012	1
2000691	11005	1
2013350	11027	1
2019814	22005	1
2022967	22014	1
2029343	22011	1
2054648	11017	1
2064244	11009	1
2134158	11003	1
2137268	11037	1
2156440	11032	1
2165887	11015	1
2175359	11025	1
2191267	11020	1
2207134	14109	1
2219951	11014	1
2261306	11033	1
2289760	14053	1
2328018	11029	1
2394740	11030	1
2451938	24050	1
