GRIDCODE,CVENTMUN,Fpav
1774941,16044,0.02995171
1774961,16037,0.053116034
1774962,16037,0.008770494
1774964,16037,0.014548143
1774965,16037,0.02449414
1774966,16037,0.023042859
1774967,16037,0.022194489
1774968,16037,0.028363644
1774986,16027,0.023976394
1774988,16027,0.020967089
1774989,16027,0.074982462
1774990,16027,0.039612989
1774993,16018,0.022361288
1774994,16018,0.033834921
1774995,16018,0.026898399
1774996,16018,0.007184275
1774997,16018,0.017095511
1774998,16018,0.013834636
1775003,16018,0.001801454
1775004,16018,0.016504472
1775005,16018,0.036670603
1775006,16018,0.054068597
1775006,16020,0.049686223
1775008,16020,0.020357876
1775009,16020,0.05696952
1775010,16020,0.055830246
1775011,16003,0.023877218
1775011,16020,0.01907564
1775012,16003,0.03634659
1775013,16003,0.038943876
1775014,16003,0.005682537
1775031,16110,0.010826917
1775032,16110,0.012083012
1775033,16110,0.012001051
1775034,16110,0.012060555
1775035,16110,0.012010836
1775036,16110,0.012282923
1775037,16110,0.01236568
1775038,16110,0.000375598
1775042,16110,0.004503405
1775043,16110,0.003629828
1775048,16110,0.006041062
1775049,16110,0.012199372
1775050,16110,0.012821535
1775051,16110,0.007636954
1775053,16110,0.007068688
1775054,16110,0.001514688
1775056,16110,0.012050998
1775057,16110,0.012190699
1775058,16110,0.012212013
1775059,16110,0.012369697
1775060,16110,0.01201271
1775061,16110,0.012059152
1775062,16050,0.003458752
1775062,16110,0.009765028
1775063,16050,0.018040225
1775064,16050,0.016802971
1775078,16050,0.001116691
1775079,16050,0.015341935
1775080,16050,0.016478876
1775081,16050,0.009261759
1775082,16050,0.008295229
1775086,16050,0.007368946
1775087,16050,0.008765114
1775088,16050,0.008765161
1775089,16050,0.008747486
1775090,16050,0.00873196
1775091,16050,0.008592687
1775092,16050,0.001019169
1775107,16017,0.01099542
1775110,16017,0.00235757
1775111,16017,0.014103919
1775112,16017,0.000992139
1775122,15085,0.00803403
1775123,15085,0.00665394
1775140,15001,0.002295827
1775140,15014,0.00110465
1775141,15001,0.008740637
1775153,15102,0.044025038
1775154,15102,0.039613055
1775155,15102,0.023321156
1775158,15102,0.001018622
1775159,15102,0.033256743
1775160,15026,0.000146186
1775160,15102,0.02990914
1778092,16070,0.010354619
1778093,16070,0.132443522
1778094,16070,0.099904404
1778119,16044,0.007997557
1778120,16044,0.020868859
1778138,16037,0.054330555
1778139,16037,0.006887464
1778164,16027,0.024539867
1778168,16018,0.004803957
1778168,16027,0.02748673
