GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Pob total,Suma de POB  RURAL EN CELL,Suma de POB URBANA en CELL
1774915,16070,0.000866051,,0.000784006,12,,12
1774916,16070,0.082707852,,0.074872599,1146,,1146
1774917,16070,0.096853349,,0.087678035,1342,,1342
1774918,16070,0.003031178,,0.002744022,42,,42
1774919,16070,0.000216513,,0.000196002,3,,3
1774921,16070,,0.002068966,0.000196002,3,3,
1774940,16044,,0.069133614,0.04700565,624,624,
1774941,16044,,0.000553955,0.000376648,5,5,
1774952,16044,,0.16385996,0.111412429,1479,1479,
1774965,16037,,0.038397637,0.026055368,208,208,
1774967,16037,0.101325019,0.002030644,0.033947138,271,11,260
1774968,16037,0.498441154,,0.160215458,1279,,1279
1774969,16037,0.260327358,0.005907329,0.087686333,700,32,668
1774970,16037,,0.002399852,0.00162846,13,13,
1774972,16037,,0.006091933,0.004133784,33,33,
1774982,16027,,0.009558617,0.006581494,34,34,
1774984,16027,,0.007028395,0.004839334,25,25,
1774985,16027,0.114356743,,0.035617499,184,,184
1774986,16027,0.638906153,,0.198993419,1028,,1028
1774987,16027,0.091982598,,0.028648858,148,,148
1774988,16027,,0.172617374,0.118854046,614,614,
1774993,16018,,0.000342466,0.000223414,2,2,
1774998,16018,0.084832905,0.078082192,0.080428954,720,456,264
1774999,16018,0.283097686,,0.098413762,881,,881
1775004,16018,,0.295890411,0.193029491,1728,1728,
1775013,16003,,0.038493309,0.038493309,466,466,
1775014,16003,,0.049975219,0.049975219,605,605,
1775017,16003,,0.155377499,0.155377499,1881,1881,
1775023,16003,,0.112340988,0.112340988,1360,1360,
1775034,16110,,0.021692158,0.010971585,512,512,
1775039,16110,,0.014193111,0.007178674,335,335,
1775042,16110,,0.006821167,0.003450049,161,161,
1775043,16110,,0.005338304,0.002700039,126,126,
1775044,16110,,0.000423675,0.000214289,10,10,
1775045,16110,,0.009447952,0.00477864,223,223,
1775049,16110,,0.00033894,0.000171431,8,8,
1775053,16110,0.017777392,0.007160107,0.01240732,579,169,410
1775054,16110,0.040150891,,0.019843141,926,,926
1775055,16110,0.001214066,,0.000600009,28,,28
1775057,16110,8.6719E-05,,4.28578E-05,2,,2
1775060,16110,,4.23675E-05,2.14289E-05,1,1,
1775064,16050,0.005511516,,0.002928057,235,,235
1775065,16050,0.001102303,0.001913876,0.001482718,119,72,47
1775076,16050,0.005933674,,0.003152334,253,,253
1775077,16050,0.031497725,,0.016733534,1343,,1343
