GRIDCODE,CVENTMUN,Fterraceria
1774966,16037,0.004516493
1775013,16003,0.012430434
1775014,16003,0.003468741
1775090,16050,0.010720743
1775091,16050,0.008857808
1775092,16050,0.001927474
1775095,16017,0.001221329
1775095,16050,0.000399097
1775096,16017,0.000513466
1775096,16050,0.00473455
1775097,16017,0.000341971
1775097,16050,0.001012599
1775134,15001,0.001366283
1775134,15014,0.004191973
1775154,15102,0.005256934
1778144,16037,0.009348629
1778145,16037,0.021533699
1778275,16017,0.002842122
1778275,16050,0.001621375
1778276,16017,0.000565367
1778276,16050,0.003465009
1778312,15001,0.002631111
1778313,15001,0.004142136
1778332,15102,0.030163658
1781323,16037,0.011141505
1781324,16037,0.022613541
1781325,16037,0.023195982
1781443,16050,0.003427577
1781444,16050,0.001996446
1781454,16050,0.001236357
1781455,16017,0.004439757
1781455,16050,0.001656412
1781456,16017,0.001727267
1781482,15085,0.012566524
1781483,15085,0.014636925
1781491,15001,0.002694963
1781491,15085,0.003438734
1781510,15102,0.034018475
1784503,16037,0.022869172
1784622,16050,0.000909399
1784634,16017,0.004817717
1784635,16017,0.005029032
1784659,15085,0.012560659
1784660,15085,0.002485896
1784661,15085,0.001090475
1784662,15085,0.012240277
1784663,15085,0.013209739
1784664,15085,0.011456544
1784665,15085,0.011433864
1784666,15085,0.012176089
1784667,15085,0.0124651
1784668,15085,0.015092137
1784669,15001,0.003377886
1784669,15085,0.014816273
1784670,15001,0.011380685
1784688,15102,0.012686747
1784689,15102,0.022550775
1787681,16037,0.005761304
1787682,16037,0.026736042
1787813,16017,0.001516548
1787814,16017,0.006480811
1787815,16017,0.002140847
1787847,15001,0.012138773
1787848,15001,0.001616661
1787849,15001,0.013978444
1787867,15102,0.033160124
1790860,16037,0.002956222
1790861,16037,0.016050377
1790861,16054,0.008441988
1790993,16017,0.00411671
1790994,16017,0.006189445
1790995,16017,0.001172663
1791024,15001,0.010614719
1791025,15001,0.003446343
1791027,15001,0.000781008
1791028,15001,0.007423871
1791029,15001,0.000304885
1791045,15045,0.002760533
1791045,15102,0.019706885
1794038,16054,0.00380008
1794039,16054,0.024878124
1794076,16020,0.011790837
1794077,16020,0.01374223
1794078,16020,0.013705846
1794079,16020,0.002832285
1794173,16017,0.003246174
1794202,15001,0.000825641
1794207,15001,0.007083918
1794223,15045,0.007135015
1794224,15045,0.006905651
1794225,15045,0.004368952
1794226,15045,0.000462255
1797215,16054,0.004844419
1797216,16054,0.029594669
1797253,16020,0.010430015
1797254,16020,0.002222036
1797257,16020,0.010898061
1797258,16020,0.014481901
1797259,16020,0.014395011
1797260,16020,0.009200244
1797316,11038,0.033255513
1797354,16017,0.00475341
1797385,15001,0.000720687
1797386,15001,0.006330485
1797387,15001,0.003202681
1797404,15045,0.002885699
1797405,15045,0.003340102
1797406,15045,0.003336886
1800330,16094,0.032869676
1800331,16094,0.030110228
1800332,16094,0.029338023
1800333,16094,0.029376724
1800334,16094,0.023545971
1800392,16054,0.026384478
1800393,16054,0.027096104
1800494,11038,0.009912242
1800494,16050,0.006940262
1800532,16017,0.011093623
1800565,15001,0.002888461
1800566,15001,0.000100639
1803511,16094,0.000528751
1803547,16063,0.00639693
1803570,16054,0.02592342
1803672,11038,0.042327063
1803672,16050,0.001706667
1803710,16017,0.011699075
1806725,16063,0.006724967
1806748,16054,0.009331771
1806749,16054,0.024830806
1806750,16054,0.024833446
1806751,16054,0.012618289
1806850,11038,0.017859773
1806851,11038,0.015760779
1806888,16017,0.01156303
1809903,16063,0.00651675
1809929,16054,0.013706304
1809930,16054,0.025579599
1809931,16054,0.026656966
1809932,16054,0.024686243
1809933,16054,0.02306121
1809934,16054,0.023189674
1809935,16054,0.023219436
1809936,16054,0.007057011
1810060,16017,0.007603615
1810066,16017,0.011022913
1810085,15001,0.000482815
1810086,15001,0.007946466
1813081,16063,0.006532115
1813116,16054,0.002332413
1813117,16054,0.026868806
1813118,16054,0.002720773
1813155,16078,0.006818346
1813207,11038,0.006594277
1813208,11038,0.021154016
1813209,11038,0.006823067
1813210,11038,0.02700104
1813211,11038,0.008977959
1813217,11019,0.008537791
1813218,11019,0.00675524
1813223,16031,0.007997107
1813224,16031,0.022514017
1813238,16017,0.002278382
1813239,16017,0.011502622
1813240,16017,0.0117084
1813241,16017,0.011015224
1813242,16017,0.017150129
1813243,16017,0.011803669
1813244,16017,0.017310972
1813264,15001,0.009663716
1813265,15001,0.006704707
1816259,16063,0.006532115
1816262,16063,0.003526757
1816263,16063,0.014285879
1816264,16063,0.013985209
1816265,16063,0.011570506
1816265,16071,0.004086033
1816266,16071,0.000838275
1816296,16054,0.028020121
1816297,16054,0.007489234
1816333,16078,0.011329555
1816334,16078,0.032600066
1816335,16078,0.003744236
1816386,11038,0.009742475
1816387,11038,0.020978644
1816389,11019,0.002463164
1816389,11038,0.015369807
1816394,11019,0.008534113
1816395,11019,0.005544203
1816396,11019,0.012498207
1816401,16031,0.01041132
1816402,11019,0.004244704
1816402,16031,0.015089718
1816403,16017,0.003911965
1816403,16031,0.020891902
1816420,16017,0.012859551
1816421,16017,0.01094871
1816422,16017,0.001009616
1816429,15085,0.001552796
1816430,15085,0.002302623
1816443,15001,0.0131984
1816464,15001,0.012356692
1816465,15001,0.007815103
1816466,15001,0.012155436
1816467,15001,0.011089173
1816468,15001,0.000132321
1819437,16063,0.00653101
1819439,16063,0.00132172
1819440,16063,0.016794901
1819444,16071,0.00932281
1819475,16054,0.020518969
1819476,16054,0.020412275
1819513,16078,0.029652296
1819514,16078,0.028507321
1819515,16078,0.014134654
1819557,11038,0.007275293
1819567,11019,0.006373889
1819571,11019,0.00429918
1819572,11019,0.005326063
1819573,11019,0.004586543
1819574,11019,0.001480665
1819581,16031,0.018626692
1819582,16031,0.007894934
1819597,16017,0.006610036
1819598,16017,0.009399266
1819606,15085,0.002248286
1819607,15085,0.006075322
1819621,15001,0.012022868
1819634,15003,0.006077946
1819635,15001,0.011654072
1819635,15003,0.000585121
1819636,15001,0.011938486
1819637,15001,0.002834713
1819640,15001,0.008116929
1819641,15001,0.013765589
1819642,15001,0.002555994
1819643,15001,0.003908539
1819645,15001,0.004545812
1819646,15001,0.006533234
1822606,16063,0.017195181
1822613,16063,0.011216431
1822614,16063,0.011655292
1822615,16063,0.021340683
1822616,16063,0.013344632
1822617,16063,0.012497222
1822622,16071,0.007986778
1822623,16071,0.001799701
1822629,16071,0.006580801
1822630,16071,0.007949248
1822631,16071,0.004359737
1822632,16071,0.00411826
1822633,16071,0.002911644
1822654,16054,0.008657204
1822655,11046,0.010187879
1822655,16054,0.001402251
1822656,11046,0.002967844
1822697,11028,0.000381831
1822698,11002,0.000183278
1822698,11028,0.005074177
1822699,11002,0.003503592
1822700,11002,0.003503179
1822701,11002,0.003503529
1822702,11002,0.003501646
1822703,11002,0.003502364
1822704,11002,0.003502364
1822705,11002,0.004153191
1822744,11019,0.003826125
1822745,11019,0.001453676
1822749,11019,0.004894061
1822750,11019,0.006625406
1822760,16031,0.024679038
1822775,16017,0.006382144
1822776,16017,0.008051026
1822783,15085,0.006214508
1822784,15085,0.004697953
1822799,15001,0.0057758
1822812,15003,0.012920938
1822815,15001,0.008288413
1822816,15001,0.011015374
1822817,15001,0.011264029
1822818,15001,0.015464371
1822823,15001,0.003245426
1822823,15003,0.007490604
1825770,16067,0.003638095
1825771,16067,0.001276134
1825783,16063,0.003066115
1825784,16063,0.012600561
1825792,16063,0.015981672
1825793,16063,0.00030459
1825801,16071,0.008992185
1825802,16071,0.008627594
1825803,16071,0.006190756
1825804,16071,0.005939893
1825805,16071,0.009558609
1825806,16071,0.008097609
1825807,16071,0.001557724
1825811,16071,0.002123669
1825812,16071,0.00458213
1825813,16071,0.001212869
1825833,11046,0.007643452
1825834,11046,0.01574684
1825835,11046,0.002430638
1825867,16078,0.0199866
1825876,11028,0.000218225
1825883,11002,0.000185112
1825884,11002,0.003704888
1825899,11002,0.001093832
1825900,11002,0.001627913
1825922,11019,0.00187766
1825923,11019,0.004703292
1825928,11019,0.009833254
1825938,16017,0.001821195
1825938,16031,0.014673164
1825939,16031,0.022654968
1825954,16017,0.012069078
1825959,15085,0.006017468
1825960,15085,0.006411616
1825961,15085,0.000107924
1825989,15003,0.011739336
1825990,15003,0.003907009
1826001,15003,0.010806459
1828948,16067,0.007556913
1828961,16063,0.008819078
1828962,16063,0.006075318
1828981,16071,0.002198743
1828982,16071,0.00257198
1828983,16071,0.009487229
1828984,16071,0.006414767
1828991,16071,0.004306878
1829010,11046,0.008626047
