GRIDCODE,LONG,LATITUDE,Pob,UTMX,UTMY,UTMZ,
255,216,"Emisiones Guanajauto EI 2016 V4.0",,,,,
1774906,-102.1023303,19.90010796,6,0,2489321.774,877649.0616,14
1774907,-102.0927473,19.90011412,6,0,2490321.774,877649.0616,14
1774908,-102.0831642,19.90011968,6,0,2491321.774,877649.0616,14
1774909,-102.0735811,19.90012463,6,0,2492321.774,877649.0616,14
1774910,-102.063998,19.90012898,6,0,2493321.774,877649.0616,14
1774911,-102.0544149,19.90013272,6,0,2494321.774,877649.0616,14
1774912,-102.0448318,19.90013586,6,0,2495321.774,877649.0616,14
1774913,-102.0352488,19.90013839,6,0,2496321.774,877649.0616,14
1774914,-102.0256657,19.90014032,6,0,2497321.774,877649.0616,14
1774915,-102.0160826,19.90014164,6,12,2498321.774,877649.0616,14
1774916,-102.0064995,19.90014235,6,1146,2499321.774,877649.0616,14
1774917,-101.9969164,19.90014246,6,1342,2500321.774,877649.0616,14
1774918,-101.9873333,19.90014196,6,42,2501321.774,877649.0616,14
1774919,-101.9777502,19.90014086,6,3,2502321.774,877649.0616,14
1774920,-101.9681672,19.90013915,6,0,2503321.774,877649.0616,14
1774921,-101.9585841,19.90013683,6,3,2504321.774,877649.0616,14
1774922,-101.949001,19.90013391,6,0,2505321.774,877649.0616,14
1774923,-101.9394179,19.90013039,6,0,2506321.774,877649.0616,14
1774924,-101.9298348,19.90012625,6,0,2507321.774,877649.0616,14
1774925,-101.9202517,19.90012152,6,0,2508321.774,877649.0616,14
1774926,-101.9106686,19.90011617,6,0,2509321.774,877649.0616,14
1774927,-101.9010856,19.90011022,6,0,2510321.774,877649.0616,14
1774928,-101.8915025,19.90010367,6,0,2511321.774,877649.0616,14
1774929,-101.8819194,19.90009651,6,0,2512321.774,877649.0616,14
1774930,-101.8723363,19.90008874,6,0,2513321.774,877649.0616,14
1774931,-101.8627532,19.90008037,6,0,2514321.774,877649.0616,14
1774932,-101.8531702,19.90007139,6,0,2515321.774,877649.0616,14
1774933,-101.8435871,19.90006181,6,0,2516321.774,877649.0616,14
1774934,-101.834004,19.90005162,6,0,2517321.774,877649.0616,14
1774935,-101.8244209,19.90004083,6,0,2518321.774,877649.0616,14
1774936,-101.8148379,19.90002943,6,0,2519321.774,877649.0616,14
1774937,-101.8052548,19.90001742,6,0,2520321.774,877649.0616,14
1774938,-101.7956717,19.90000481,6,0,2521321.774,877649.0616,14
1774939,-101.7860887,19.8999916,6,0,2522321.774,877649.0616,14
1774940,-101.7765056,19.89997777,6,624,2523321.774,877649.0616,14
1774941,-101.7669225,19.89996334,6,5,2524321.774,877649.0616,14
1774942,-101.7573395,19.89994831,6,0,2525321.774,877649.0616,14
1774943,-101.7477564,19.89993267,6,0,2526321.774,877649.0616,14
1774944,-101.7381734,19.89991643,6,0,2527321.774,877649.0616,14
1774945,-101.7285903,19.89989957,6,0,2528321.774,877649.0616,14
1774946,-101.7190073,19.89988212,6,0,2529321.774,877649.0616,14
1774947,-101.7094242,19.89986405,6,0,2530321.774,877649.0616,14
1774948,-101.6998412,19.89984539,6,0,2531321.774,877649.0616,14
1774949,-101.6902581,19.89982611,6,0,2532321.774,877649.0616,14
1774950,-101.6806751,19.89980623,6,0,2533321.774,877649.0616,14
1774951,-101.671092,19.89978575,6,0,2534321.774,877649.0616,14
1774952,-101.661509,19.89976466,6,1479,2535321.774,877649.0616,14
1774953,-101.651926,19.89974296,6,0,2536321.774,877649.0616,14
1774954,-101.642343,19.89972066,6,0,2537321.774,877649.0616,14
1774955,-101.6327599,19.89969775,6,0,2538321.774,877649.0616,14
1774956,-101.6231769,19.89967424,6,0,2539321.774,877649.0616,14
1774957,-101.6135939,19.89965012,6,0,2540321.774,877649.0616,14
1774958,-101.6040109,19.89962539,6,0,2541321.774,877649.0616,14
1774959,-101.5944279,19.89960006,6,0,2542321.774,877649.0616,14
1774960,-101.5848449,19.89957413,6,0,2543321.774,877649.0616,14
1774961,-101.5752618,19.89954759,6,0,2544321.774,877649.0616,14
1774962,-101.5656788,19.89952044,6,0,2545321.774,877649.0616,14
1774963,-101.5560959,19.89949268,6,0,2546321.774,877649.0616,14
1774964,-101.5465129,19.89946433,6,0,2547321.774,877649.0616,14
1774965,-101.5369299,19.89943536,6,208,2548321.774,877649.0616,14
1774966,-101.5273469,19.89940579,6,0,2549321.774,877649.0616,14
1774967,-101.5177639,19.89937562,6,271,2550321.774,877649.0616,14
1774968,-101.5081809,19.89934483,6,1279,2551321.774,877649.0616,14
1774969,-101.498598,19.89931345,6,700,2552321.774,877649.0616,14
1774970,-101.489015,19.89928145,6,13,2553321.774,877649.0616,14
1774971,-101.479432,19.89924886,6,0,2554321.774,877649.0616,14
1774972,-101.4698491,19.89921565,6,33,2555321.774,877649.0616,14
1774973,-101.4602661,19.89918184,6,0,2556321.774,877649.0616,14
1774974,-101.4506832,19.89914743,6,0,2557321.774,877649.0616,14
1774975,-101.4411002,19.8991124,6,0,2558321.774,877649.0616,14
1774976,-101.4315173,19.89907678,6,0,2559321.774,877649.0616,14
1774977,-101.4219344,19.89904054,6,0,2560321.774,877649.0616,14
1774978,-101.4123514,19.89900371,6,0,2561321.774,877649.0616,14
1774979,-101.4027685,19.89896626,6,0,2562321.774,877649.0616,14
1774980,-101.3931856,19.89892821,6,0,2563321.774,877649.0616,14
1774981,-101.3836027,19.89888956,6,0,2564321.774,877649.0616,14
1774982,-101.3740198,19.8988503,6,34,2565321.774,877649.0616,14
1774983,-101.3644369,19.89881043,6,0,2566321.774,877649.0616,14
1774984,-101.354854,19.89876996,6,25,2567321.774,877649.0616,14
1774985,-101.3452711,19.89872888,6,184,2568321.774,877649.0616,14
1774986,-101.3356882,19.8986872,6,1028,2569321.774,877649.0616,14
1774987,-101.3261053,19.89864491,6,148,2570321.774,877649.0616,14
1774988,-101.3165224,19.89860201,6,614,2571321.774,877649.0616,14
1774989,-101.3069396,19.89855851,6,0,2572321.774,877649.0616,14
1774990,-101.2973567,19.89851441,6,0,2573321.774,877649.0616,14
1774991,-101.2877739,19.8984697,6,0,2574321.774,877649.0616,14
1774992,-101.278191,19.89842438,6,0,2575321.774,877649.0616,14
1774993,-101.2686082,19.89837845,6,2,2576321.774,877649.0616,14
1774994,-101.2590253,19.89833193,6,0,2577321.774,877649.0616,14
1774995,-101.2494425,19.89828479,6,0,2578321.774,877649.0616,14
1774996,-101.2398597,19.89823705,6,0,2579321.774,877649.0616,14
1774997,-101.2302769,19.89818871,6,0,2580321.774,877649.0616,14
1774998,-101.2206941,19.89813975,6,720,2581321.774,877649.0616,14
1774999,-101.2111113,19.8980902,6,881,2582321.774,877649.0616,14
1775000,-101.2015285,19.89804004,6,0,2583321.774,877649.0616,14
1775001,-101.1919457,19.89798927,6,0,2584321.774,877649.0616,14
1775002,-101.1823629,19.89793789,6,0,2585321.774,877649.0616,14
1775003,-101.1727802,19.89788591,6,0,2586321.774,877649.0616,14
1775004,-101.1631974,19.89783333,6,1728,2587321.774,877649.0616,14
1775005,-101.1536146,19.89778014,6,0,2588321.774,877649.0616,14
1775006,-101.1440319,19.89772634,6,0,2589321.774,877649.0616,14
1775007,-101.1344491,19.89767194,6,0,2590321.774,877649.0616,14
1775008,-101.1248664,19.89761693,6,0,2591321.774,877649.0616,14
1775009,-101.1152837,19.89756132,6,0,2592321.774,877649.0616,14
1775010,-101.105701,19.8975051,6,0,2593321.774,877649.0616,14
1775011,-101.0961183,19.89744827,6,0,2594321.774,877649.0616,14
1775012,-101.0865356,19.89739084,6,0,2595321.774,877649.0616,14
