GRIDCODE,CVENTMUN,LONG_CARR_x_CELDA x CARRILES,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m)
199620,16070,3207893400,16463.17033
199621,16070,3207909470,16463.17033
198562,16070,3190891340,16463.17033
197503,16070,3173873210,16463.17033
197504,16070,3173889280,16463.17033
199620,16094,3212684280,34090.99529
200679,16094,3229727826,34090.99529
199620,16094,3212684280,34090.99529
201738,16094,3246771372,34090.99529
200679,16094,3229727826,34090.99529
197512,16044,3168882528,74532.54641
198572,16044,3185889168,74532.54641
197512,16044,3168882528,74532.54641
197513,16044,3168898572,74532.54641
199631,16044,3202879764,74532.54641
198572,16044,3185889168,74532.54641
199631,16063,3206672753,154034.1765
200690,16063,3223683470,154034.1765
199631,16063,3206672753,154034.1765
200690,16063,3223683470,154034.1765
200690,16063,3223683470,154034.1765
200691,16063,3223699533,154034.1765
202797,16094,3263814918,34090.99529
201738,16094,3246771372,34090.99529
205974,16028,3301351272,131181.0159
204915,16028,3284377620,131181.0159
203856,16028,3267403968,131181.0159
202797,16028,3250430316,131181.0159
207033,16028,3318324924,131181.0159
205974,16028,3301351272,131181.0159
207033,16028,3318324924,131181.0159
208093,16109,3352170137,52072.31047
208094,16109,3352186246,52072.31047
207033,16109,3335094597,52072.31047
207034,16109,3335110706,52072.31047
207035,16109,3335126815,52072.31047
208094,16109,3352186246,52072.31047
208094,16109,3352186246,52072.31047
208094,16109,3352186246,52072.31047
211268,16069,3394865492,122311.1201
210209,16069,3377848421,122311.1201
209154,16109,3369261786,52072.31047
208094,16109,3352186246,52072.31047
208095,16109,3352202355,52072.31047
212331,16060,3410035860,38415.74263
211272,16060,3393028320,38415.74263
211273,16060,3393044380,38415.74263
210214,16060,3376036840,38415.74263
209154,16060,3359013240,38415.74263
209155,16060,3359029300,38415.74263
213389,16069,3428947841,122311.1201
213390,16069,3428963910,122311.1201
212331,16069,3411946839,122311.1201
213388,16069,3428931772,122311.1201
213389,16069,3428947841,122311.1201
212328,16069,3411898632,122311.1201
212329,16069,3411914701,122311.1201
211268,16069,3394865492,122311.1201
211269,16069,3394881561,122311.1201
213389,16069,3428947841,122311.1201
215504,16069,3462933776,122311.1201
215504,16069,3462933776,122311.1201
214447,16069,3445948843,122311.1201
214448,16069,3445964912,122311.1201
213389,16069,3428947841,122311.1201
215504,16069,3462933776,122311.1201
215505,16069,3462949845,122311.1201
214446,16069,3445932774,122311.1201
214447,16069,3445948843,122311.1201
214447,16069,3445948843,122311.1201
214448,16069,3445964912,122311.1201
215507,11023,2375533661,420328.6373
214448,11023,2363860304,420328.6373
215507,11023,2375533661,420328.6373
215507,11023,2375533661,420328.6373
215507,11023,2375533661,420328.6373
215507,11023,2375533661,420328.6373
216568,11023,2387229064,420328.6373
215507,11023,2375533661,420328.6373
215508,11023,2375544684,420328.6373
215509,11023,2375555707,420328.6373
219744,11023,2422238112,420328.6373
218685,11023,2410564755,420328.6373
217625,11023,2398880375,420328.6373
217626,11023,2398891398,420328.6373
216566,11023,2387207018,420328.6373
215507,11023,2375533661,420328.6373
216568,11023,2387229064,420328.6373
216568,11023,2387229064,420328.6373
216569,11023,2387240087,420328.6373
215510,11023,2375566730,420328.6373
215511,11023,2375577753,420328.6373
215511,11023,2375577753,420328.6373
216570,11023,2387251110,420328.6373
216574,11023,2387295202,420328.6373
