GRIDCODE,CVIDE,Fa,Area VEGxCELDA,AREA ENTIDADxMUN
197502,16070,0.027254835,1478858.824,54260421.42
197503,16070,0.089182328,4839070.674,54260421.42
197504,16070,0.165866755,9000000,54260421.42
197505,16070,0.085299205,4628370.806,54260421.42
197506,16070,0.140860703,7643161.081,54260421.42
197507,16070,0.089157041,4837698.597,54260421.42
197507,16107,0.132039154,4162301.403,31523235.98
197508,16070,0.003490489,189395.427,54260421.42
197508,16107,0.243384904,7672279.758,31523235.98
197509,16044,0.026151718,3359293.991,128454046
197509,16107,0.096951828,3056235.347,31523235.98
197510,16044,0.066992065,8605401.83,128454046
197510,16107,0.003405094,107339.5934,31523235.98
197511,16107,3.55E-04,11184.82016,31523235.98
197511,16044,0.056671619,7279698.711,128454046
197511,16107,0.035735498,1126498.545,31523235.98
197512,16044,0.035293082,4533539.214,128454046
197512,16107,0.022445195,707545.166,31523235.98
197512,16044,0.027395413,3519051.619,128454046
197512,16107,0.007313235,230536.8375,31523235.98
197513,16044,0.066577502,8552149.499,128454046
197514,16044,0.069929186,8982686.924,128454046
197514,16107,5.49E-04,17313.07616,31523235.98
197515,16044,0.069921604,8981712.977,128454046
197515,16107,5.80E-04,18287.02252,31523235.98
197516,16044,0.026447638,3397306.111,128454046
197516,16044,0.001076265,138250.5356,128454046
197517,16044,0.01481006,1902412.165,128454046
197518,16016,1,91533.23648,91533.23648
197518,16037,0.033612695,2036310.06,60581576.17
197518,16044,0.010588487,1360133.938,128454046
197518,16044,0.004875452,626271.5779,128454046
197519,16037,0.060145149,3643687.896,60581576.17
197519,16037,0.088414869,5356312.104,60581576.17
197520,16037,0.01302105,788835.708,60581576.17
197520,16037,0.109686562,6644984.817,60581576.17
197521,16037,0.032653635,1978208.664,60581576.17
197521,16037,0.115455726,6994489.886,60581576.17
197522,16037,0.016884396,1022883.349,60581576.17
197522,16037,0.122763733,7437220.434,60581576.17
197523,16037,0.124785499,7559702.214,60581576.17
197524,16037,0.066502571,4028830.59,60581576.17
197524,16037,0.012769252,773581.3874,60581576.17
197525,16037,0.000530589,32143.91138,60581576.17
197525,16037,0.031545093,1911051.469,60581576.17
197525,16027,0.076755837,3537825.232,46091937.37
197525,16027,0.003274272,150917.5531,46091937.37
197526,16027,0.194709521,8974539.068,46091937.37
197526,16027,1.13E-07,5.224116532,46091937.37
197527,16027,0.062120451,2863251.946,46091937.37
197527,16027,0.133141465,6136748.054,46091937.37
197528,16027,0.129604358,5973715.953,46091937.37
197528,16027,0.015680499,722744.5984,46091937.37
197529,16027,1.65E-05,762.122422,46091937.37
197529,16027,0.031405817,1447554.966,46091937.37
197529,16018,0.191676217,3530384.001,18418477.02
197530,16018,0.203705381,3751942.869,18418477.02
197530,16018,0.122132473,2249494.143,18418477.02
197531,16018,0.189219308,3485131.483,18418477.02
197532,16018,0.017795191,327760.3123,18418477.02
197533,16018,0.000611703,11266.63855,18418477.02
197533,16018,0.072196112,1329742.424,18418477.02
197534,16088,1.00E+00,13622.72149,13622.72149
197534,16018,0.092389532,1701674.468,18418477.02
197534,16018,0.076927966,1416895.977,18418477.02
197534,16020,0.047455194,5016263.695,105705261.5
197535,16020,0.042613739,4504496.384,105705261.5
197536,16003,0.032213637,1577783.948,48978759.13
197536,16020,0.001667504,176263.8994,105705261.5
197537,16003,0.010397641,509263.538,48978759.13
197537,16003,0.045922657,2249234.743,48978759.13
197537,16020,0.019859915,2099297.471,105705261.5
197537,16020,1.81E-06,191.3142976,105705261.5
197538,16003,0.093479021,4578486.452,48978759.13
197538,16003,0.006377727,312373.1583,48978759.13
197538,16003,0.069783935,3417930.566,48978759.13
197538,16020,0.006539029,691209.8234,105705261.5
197539,16003,0.1135379,5560945.464,48978759.13
197539,16003,0.070215224,3439054.536,48978759.13
197540,16003,0.077220435,3782161.077,48978759.13
197540,16003,0.054129021,2651172.305,48978759.13
197541,16110,0.00221293,222648.6371,100612603.5
197541,16003,0.007904097,387132.86,48978759.13
197542,16110,0.004115676,414088.8485,100612603.5
197543,16110,0.024519497,2466970.39,100612603.5
197544,16110,0.005295222,532766.0343,100612603.5
197544,16110,0.030062771,3024693.704,100612603.5
197545,16110,0.010499653,1056397.413,100612603.5
197545,16110,0.06748993,6790337.599,100612603.5
197545,16110,0.01118642,1125494.797,100612603.5
197546,16110,0.038241415,3847568.299,100612603.5
197546,16110,0.050995039,5130743.61,100612603.5
197546,16110,0.00021556,21688.09081,100612603.5
197547,16110,0.030567686,3075494.517,100612603.5
197547,16110,0.01150005,1157049.958,100612603.5
197547,11002,0.000333066,202959.6969,609367164.5
197548,16110,0.013436778,1351909.188,100612603.5
197549,16110,0.033149549,3335262.397,100612603.5
197550,16110,0.088471807,8901378.884,100612603.5
197551,16110,0.089452014,9000000,100612603.5
197552,16110,0.089452014,9000000,100612603.5
197553,16110,0.025267228,2542201.567,100612603.5
197553,16050,0.002974798,442384.3795,148710714
197556,16050,0.031422898,4672921.608,148710714
197557,16050,0.054345364,8081737.911,148710714
197557,16050,0.006174821,918262.0889,148710714
197558,16050,0.002201846,327438.0737,148710714
197558,16050,0.040886844,6080311.742,148710714
197559,16050,0.05687087,8457307.654,148710714
197560,16050,0.060520186,9000000,148710714
197561,16050,0.055086448,8191945.018,148710714
197562,16050,0.006872196,1021969.236,148710714
197562,16050,0.037350394,5554403.761,148710714
197563,16050,0.003285595,488603.2209,148710714
197563,16050,0.030106853,4477211.648,148710714
197563,16017,0.013377003,2928304.714,218905883.8
197563,16017,0.005051853,1105880.417,218905883.8
197564,16050,0.011603636,1725585.03,148710714
197564,16017,0.033230788,7274414.97,218905883.8
197565,16050,0.032642037,4854220.683,148710714
197565,16017,0.018938638,4145779.317,218905883.8
197566,16050,0.008208428,1220681.138,148710714
197566,16017,0.035537276,7779318.862,218905883.8
197567,16017,0.041113559,9000000,218905883.8
197568,16017,0.035730379,7821590.234,218905883.8
197569,16017,0.040397914,8843341.171,218905883.8
197570,15085,0.030656868,5607106.622,182898874.1
197570,16017,0.015499325,3392893.378,218905883.8
197571,15085,0.028677978,5245169.935,182898874.1
197572,15085,0.009818636,1795817.547,182898874.1
197573,15085,0.002382736,435799.8105,182898874.1
197573,15085,0.01544275,2824461.647,182898874.1
197574,15085,0.003762346,688128.7874,182898874.1
197574,15085,0.001780795,325705.4592,182898874.1
197574,15085,0.008041805,1470837.158,182898874.1
197575,15085,0.016027613,2931432.3,182898874.1
197575,15085,0.002723081,498048.491,182898874.1
197576,15085,0.006041504,1104984.261,182898874.1
197576,15014,0.179638583,1052214.116,5857394.877
197576,15001,0.00064347,195500.638,303822379.1
197577,15085,0.009530931,1743196.469,182898874.1
197577,15014,9.46E-04,5538.412245,5857394.877
197577,15014,0.036600381,214382.8839,5857394.877
197577,15001,0.007629893,2318132.273,303822379.1
197577,15001,0.000833171,253135.8465,303822379.1
197578,15014,0.293255248,1717711.789,5857394.877
197578,15014,0.298849733,1750480.892,5857394.877
197578,15014,0.11981346,701794.7487,5857394.877
197578,15001,0.007356662,2235118.435,303822379.1
197578,15001,0.001082289,328823.4907,303822379.1
197578,15001,0.000951386,289052.2063,303822379.1
197579,15014,0.070897053,415272.0353,5857394.877
197579,15001,0.00213024,647214.5144,303822379.1
197579,15001,0.023596592,7169172.851,303822379.1
197580,15001,0.01912858,5811690.711,303822379.1
197581,15001,0.004082423,1240331.521,303822379.1
197581,15001,0.006636649,2016362.422,303822379.1
197581,15001,1.03E-05,3133.16393,303822379.1
197582,15102,0.07813847,3731987.535,47761205.62
197582,15102,0.065131886,3110777.405,47761205.62
197582,15001,0.002600933,790221.7465,303822379.1
197583,15102,0.047486038,2267990.417,47761205.62
197583,15102,0.139712727,6672848.259,47761205.62
197584,15102,0.164955658,7878481.098,47761205.62
