GRIDCODE,CVIDE,Fb,Area VEGxCELDA,AREA ENTIDADxMUN
197501,16085,0.084729674,205601.7185,2426560.948
197501,16085,0.521640268,1265791.902,2426560.948
197501,16070,0.009108581,692400.7389,76016313.86
197501,16070,0.050122856,3810154.778,76016313.86
197501,16070,0.030668638,2331316.812,76016313.86
197502,16070,0.03134907,2383040.761,76016313.86
197502,16070,0.053317048,4052965.432,76016313.86
197503,16070,0.001697394,129029.6004,76016313.86
197503,16070,0.053039927,4031899.725,76016313.86
197505,16070,0.057509092,4371629.194,76016313.86
197506,16070,0.017849312,1356838.919,76016313.86
197508,16107,0.138110976,1138324.815,8242102.452
197509,16044,0.007769242,339934.5355,43753888.58
197509,16107,0.272325676,2244536.126,8242102.452
197510,16044,0.006565327,287258.577,43753888.58
197513,16044,0.010235673,447850.5007,43753888.58
197516,16044,0.069866904,3056948.725,43753888.58
197516,16044,0.001744002,76306.8589,43753888.58
197517,16016,0.283341837,336321.9085,1186982.876
197517,16044,0.136699739,5981145.163,43753888.58
197518,16016,0.716658163,850660.9675,1186982.876
197518,16037,0.002271685,101149.0357,44525985.58
197518,16044,0.089910664,3933941.184,43753888.58
197520,16037,0.035174504,1566179.475,44525985.58
197521,16037,0.000613158,27301.45046,44525985.58
197522,16037,0.012125419,539896.2165,44525985.58
197523,16037,0.032347353,1440297.786,44525985.58
197524,16037,0.070442011,3136499.969,44525985.58
197524,16027,0.000489226,18814.28817,38457236.22
197525,16037,0.015738181,700758.0388,44525985.58
197525,16027,0.003038953,116869.7522,38457236.22
197525,16027,0.066318703,2550434.044,38457236.22
197526,16027,0.000661922,25455.70818,38457236.22
197547,16110,0.047595518,4372411.27,91866030.56
197547,11002,0.000718799,192084.5589,267229734.9
197548,16110,0.079491536,7302571.832,91866030.56
197548,11002,0.001292966,345518.9799,267229734.9
197549,16110,0.061663028,5664737.603,91866030.56
197550,16110,0.001073532,98621.11625,91866030.56
197553,16110,0.018078229,1660775.103,91866030.56
197553,16050,0.023451605,4354638.95,185686176.4
197554,16050,0.019970822,3708305.548,185686176.4
197554,16050,0.022124613,4108234.761,185686176.4
197554,16050,0.00637344,1183459.691,185686176.4
197555,16050,0.0466241,8657450.879,185686176.4
197555,16050,0.001844774,342549.1213,185686176.4
197556,16050,0.023156628,4299865.752,185686176.4
197556,16050,0.000146552,27212.63975,185686176.4
197561,16050,0.004351724,808054.9819,185686176.4
197562,16050,0.013052275,2423627.003,185686176.4
197571,15085,0.047062932,3483147.845,74010429.61
197572,15085,0.097340098,7204182.453,74010429.61
197573,15085,0.074940818,5546402.133,74010429.61
197574,15085,0.087789969,6497373.313,74010429.61
197575,15085,0.075266678,5570519.209,74010429.61
197576,15085,0.087205445,6454112.446,74010429.61
197576,15014,0.019191968,81513.66701,4247280.197
197576,15014,0.018259404,77552.80411,4247280.197
197576,15001,0.00020779,34122.06729,164214233.3
197577,15085,0.00196125,145152.9766,74010429.61
197577,15014,0.350146881,1487171.913,4247280.197
197577,15001,0.004505656,739892.8607,164214233.3
197577,15001,0.012747959,2093396.365,164214233.3
197578,15085,0.000650641,48154.19048,74010429.61
197578,15014,0.102486501,435288.8856,4247280.197
197578,15001,0.009095286,1493575.362,164214233.3
197579,15001,0.000650029,106744.0581,164214233.3
197579,15001,0.004028862,661596.5412,164214233.3
197580,15001,0.011280964,1852494.848,164214233.3
197580,15001,0.000143856,23623.23578,164214233.3
197580,15001,0.007990728,1312191.205,164214233.3
197581,15001,0.034955392,5740172.894,164214233.3
197582,15102,0.026243793,317492.5725,12097815.9
197582,15001,0.005535937,909079.7294,164214233.3
197584,15102,0.092704246,1121518.902,12097815.9
197585,15102,0.306661156,3709930.202,12097815.9
197585,15102,0.004573911,55334.33501,12097815.9
198560,16085,0.094962821,230433.0719,2426560.948
198560,16070,0.046232663,3514436.633,76016313.86
198560,16070,0.001108127,84235.75439,76016313.86
198561,16070,0.007918912,601966.5216,76016313.86
198561,16070,0.01371724,1042734.017,76016313.86
198561,16070,0.000636903,48415.04179,76016313.86
198561,16094,0.013524742,1264271.797,93478442.72
198561,16094,0.003366574,314702.0628,93478442.72
198562,16070,0.075658663,5751292.684,76016313.86
198562,16094,0.001619882,151424.0718,93478442.72
198563,16070,0.006984116,530906.7324,76016313.86
198564,16070,0.108717169,8264278.435,76016313.86
198565,16070,0.028004836,2128824.436,76016313.86
198566,16107,0.05362949,442019.7502,8242102.452
198567,16107,0.033847363,278973.4342,8242102.452
198567,16063,5.09855E-05,8325.188881,163285520.6
198568,16044,0.093190521,4077447.676,43753888.58
198568,16063,0.002601995,424868.0394,163285520.6
198569,16044,0.054304497,2376032.897,43753888.58
198569,16063,0.038000025,6204853.785,163285520.6
198570,16044,0.058127885,2543321.004,43753888.58
198570,16063,0.03510305,5731819.846,163285520.6
198571,16044,0.062200791,2721526.468,43753888.58
198571,16063,0.021904592,3576702.648,163285520.6
198572,16044,0.131437192,5750888.255,43753888.58
198572,16063,0.00175764,286997.1238,163285520.6
198573,16044,0.103950359,4548232.438,43753888.58
198573,16063,0.021184438,3459112.008,163285520.6
198574,16044,0.072116351,3155370.768,43753888.58
198575,16044,0.007783735,340568.6812,43753888.58
198578,16037,0.000833561,37115.1028,44525985.58
198579,16037,0.158852772,7073076.215,44525985.58
198579,16044,0.001822063,79722.33617,43753888.58
198579,16054,0.014174655,1038540.222,73267409.79
198580,16037,0.095628847,4257968.676,44525985.58
198580,16054,0.032674731,2393992.884,73267409.79
198581,16037,0.133251347,5933147.576,44525985.58
198581,16054,0.016453393,1205497.496,73267409.79
198582,16037,0.187649846,8355294.327,44525985.58
198582,16054,0.008799351,644705.6733,73267409.79
198583,16037,0.16757026,7461231.001,44525985.58
198583,16027,0.040007815,1538589.986,38457236.22
198584,16027,0.054238801,2085874.392,38457236.22
198584,16027,0.179787377,6914125.608,38457236.22
198585,16027,0.183869607,7071116.904,38457236.22
198586,16027,0.08337161,3206241.683,38457236.22
198587,16027,0.016864213,648551.0218,38457236.22
198606,11002,0.00215419,575663.6474,267229734.9
198607,16110,0.014757911,1355750.723,91866030.56
198607,11002,0.007296236,1949771.1,267229734.9
