GRIDCODE,CVENTMUN,Fpav
197503,16070,0.198216463
197504,16070,0.248408203
197512,16044,0.038122531
197513,16044,0.069942709
197518,16037,0.053552047
197518,16044,0.056681393
197519,16037,0.506310569
197520,16037,0.152552101
197521,16037,0.287585282
197527,16027,0.221866807
197528,16027,0.294688062
197529,16018,0.191482825
197529,16027,0.206082111
197530,16018,0.274540824
197531,16018,0.090422395
197533,16018,0.03479029
197534,16018,0.287485901
197534,16020,0.124687608
197535,16020,0.191794255
197536,16003,0.945803287
197536,16020,0.021282614
197537,16003,0.054196713
197542,16110,0.028915086
197543,16110,0.096530227
197544,16110,0.097905141
197545,16110,0.096155158
197546,16110,0.133913058
197547,11002,9.63E-05
197547,16110,0.135020916
197548,16110,0.11324117
197549,16110,0.054637805
197550,16110,0.022923337
197551,16110,0.09735571
197552,16110,0.097323258
197553,16050,0.06697145
197553,16110,0.026079136
197554,16050,0.093492575
197555,16050,0.088184502
197556,16050,0.087442561
197557,16050,0.088682217
197558,16050,0.154391637
197559,16050,0.154447062
197560,16050,0.081071618
197561,16050,0.04443905
197562,16050,0.04406207
197563,16050,0.001722401
197568,16017,0.162790321
197569,16017,0.075939685
197573,15085,0.123571402
197579,15001,0.049613906
197579,15014,1
197582,15102,0.298151638
197583,15102,0.387863461
197584,15102,0.074477125
197585,15026,1
197585,15102,0.204976002
198562,16070,0.470508604
198572,16044,0.128986502
198573,16044,0.083386148
198574,16044,0.084821733
198575,16044,0.019691636
198576,16044,0.183872075
198577,16044,0.135262082
198586,16027,0.06436875
198587,16027,0.181374918
198593,16018,0.08576215
198593,16020,0.004874277
198606,11002,0.025619197
198616,16050,0.055202446
198617,16050,0.009993897
198626,16017,0.082296503
198627,16017,0.050028938
198632,15085,0.027399444
198633,15085,0.111463272
198638,15001,0.063397818
198639,15001,0.049636407
198640,15001,0.058501003
198641,15001,0.011485879
198641,15102,0.034531774
199620,16070,0.002453123
199620,16094,0.250777635
199621,16070,0.080413606
199630,16063,0.057167504
199631,16044,0.003329827
199631,16063,0.171107395
199632,16063,0.117469921
199633,16044,0.02775168
199633,16063,0.098672614
199634,16044,0.168151683
199646,16027,0.031619352
199646,16036,0.148236117
199648,16036,0.051398013
199649,16036,0.148515362
199650,16020,0.064376369
199650,16036,0.04402555
199651,16020,0.092885208
199652,16018,0.035515615
199652,16020,0.116337419
199659,11002,0.005396653
199660,11002,0.032599428
199661,11002,0.026691205
199662,11002,0.030773398
199665,11002,0.026810115
199674,11038,0.10926066
