GRIDCODE,ID,furb,frural,fpob, PobUrb, PobR, puT,prT, PobT
0                       fraction,,,,,,,,,
197503,16070,0.013135104,0,0.013135104,182,0,13856,0,13856
197504,16070,0.855612178,0.000196002,0.85580818,13096,3,13856,1450,15306
197505,16070,0.015011547,0,0.015011547,208,0,13856,0,13856
197506,16070,0,0.002068966,0.002068966,0,3,0,1450,1450
197509,16044,0,0.056171061,0.056171061,0,507,0,9026,9026
197512,16044,0,0.069687569,0.069687569,0,629,0,9026,9026
197513,16044,0.122561205,0.011676083,0.134237288,1627,155,4249,9026,13275
197514,16044,0,0.103922003,0.103922003,0,938,0,9026,9026
197515,16044,0,0.025149568,0.025149568,0,227,0,9026,9026
197516,16044,0,0.16385996,0.16385996,0,1479,0,9026,9026
197517,16044,0,0.017061821,0.017061821,0,154,0,9026,9026
197519,16037,0,0.115562119,0.115562119,0,626,0,5417,5417
197520,16037,0,0.070518737,0.070518737,0,382,0,5417,5417
197521,16037,0.197544783,0.022297382,0.219842165,1577,178,2566,5417,7983
197522,16037,0.088938995,0.029562821,0.118501816,710,236,2566,5417,7983
197523,16037,0,0.006091933,0.006091933,0,33,0,5417,5417
197526,16027,0,0.04470059,0.04470059,0,159,0,3557,3557
197527,16027,0.259194735,0.004839334,0.264034069,1339,25,1609,3557,5166
197528,16027,0.052264808,0.119821913,0.172086721,270,619,1609,3557,5166
197529,16018,0,0.021232877,0.021232877,0,124,0,5840,5840
197530,16018,0,0.167808219,0.167808219,0,980,0,5840,5840
197531,16018,0.029490617,0.050938338,0.080428954,264,456,3112,5840,8952
197532,16018,0.283097686,0,0.283097686,881,0,3112,0,3112
197533,16018,0,0.295890411,0.295890411,0,1728,0,5840,5840
197535,16020,0,0.247748175,0.247748175,0,2613,0,10547,10547
197536,16003,0,0.038493309,0.038493309,0,466,0,12106,12106
197537,16003,0,0.049975219,0.049975219,0,605,0,12106,12106
197538,16003,0,0.155377499,0.155377499,0,1881,0,12106,12106
197539,16003,0,0.036428217,0.036428217,0,441,0,12106,12106
197540,16003,0,0.11779283,0.11779283,0,1426,0,12106,12106
197543,16110,0,0.021692158,0.021692158,0,512,0,23603,23603
197545,16110,0,0.074651527,0.074651527,0,1762,0,23603,23603
197546,16110,0,0.017201203,0.017201203,0,406,0,23603,23603
197547,16110,0,0.009871626,0.009871626,0,233,0,23603,23603
197548,16110,0,0.00033894,0.00033894,0,8,0,23603,23603
197550,16110,0.048943556,0.006814383,0.055757939,2284,318,23063,23603,46666
197551,16110,8.6719E-05,0,8.67E-05,2,0,23063,0,23063
197552,16110,0,0.02266661,0.02266661,0,535,0,23603,23603
197553,16110,0.003547652,0.008046376,0.011594028,235,533,42638,23603,66241
197554,16050,0.000585611,0.007239154,0.007824765,47,581,42638,37620,80258
197555,16050,0,0.015975545,0.015975545,0,601,0,37620,37620
197556,16050,0,0.005741627,0.005741627,0,216,0,37620,37620
197557,16050,0.003252012,0.004846869,0.008098881,261,389,42638,37620,80258
197558,16050,0.206733285,0.000274116,0.207007401,16592,22,42638,37620,80258
197559,16050,0.075718308,0.001221062,0.076939371,6077,98,42638,37620,80258
197560,16050,0.000274116,0.001196142,0.001470258,22,96,42638,37620,80258
197561,16050,0.03336739,0.015961026,0.049328416,2678,1281,42638,37620,80258
197562,16050,0,0.050425306,0.050425306,0,1897,0,37620,37620
197563,16050,0,0.02682084,0.02682084,0,1009,0,37620,37620
197564,16017,0,0.035245047,0.035245047,0,1014,0,28770,28770
197565,16050,0,0.028894205,0.028894205,0,1087,0,37620,37620
197566,16017,0,0.062321863,0.062321863,0,1793,0,28770,28770
197567,16017,0,0.015363226,0.015363226,0,442,0,28770,28770
197568,16017,0,0.045220716,0.045220716,0,1301,0,28770,28770
197569,16017,0,0.067952729,0.067952729,0,1955,0,28770,28770
197571,15085,0,0.002759255,0.002759255,0,96,0,34792,34792
197573,15085,0.067591298,0,0.067591298,1886,0,27903,0,27903
197574,15085,0.023542547,0.00810272,0.031645267,1476,508,27903,34792,62695
197575,15085,0,0.002759255,0.002759255,0,96,0,34792,34792
197577,15085,0,0.02193861,0.02193861,0,1150,0,52419,52419
197578,15014,0,0.010134986,0.010134986,0,458,0,45190,45190
197579,15001,0,0.047196627,0.047196627,0,2474,0,52419,52419
197581,15001,0,0.001755089,0.001755089,0,92,0,52419,52419
197582,15102,0,0.173246375,0.173246375,0,2497,0,14413,14413
197583,15102,0.015138717,0.08667403,0.101812748,233,1334,978,14413,15391
197584,15102,0,0.062443627,0.062443627,0,900,0,14413,14413
197585,15102,0,0.031985014,0.031985014,0,461,0,14413,14413
198561,16070,0,0.026896552,0.026896552,0,39,0,1450,1450
198563,16070,0.003593362,0.063569842,0.067163204,55,973,13856,1450,15306
198568,16044,0,0.210170618,0.210170618,0,1897,0,9026,9026
198571,16063,0,0.111629679,0.111629679,0,1172,0,10499,10499
198572,16044,0.187344633,0.05920904,0.246553672,2487,786,4249,9026,13275
198573,16044,0.010169492,0.001054614,0.011224105,135,14,4249,9026,13275
198575,16044,0,0.011411478,0.011411478,0,103,0,9026,9026
198576,16044,0,0.024706404,0.024706404,0,223,0,9026,9026
198578,16044,0,0.063926435,0.063926435,0,577,0,9026,9026
198581,16037,0,0.000369208,0.000369208,0,2,0,5417,5417
198585,16027,0,0.151251054,0.151251054,0,538,0,3557,3557
198587,16027,0,0.062693281,0.062693281,0,223,0,3557,3557
198593,16020,0,0.016782023,0.016782023,0,177,0,10547,10547
198599,16003,0,0.000660829,0.000660829,0,8,0,12106,12106
198600,11002,0,0.001632315,0.001632315,0,67,0,41046,41046
198606,11002,0,0.000609073,0.000609073,0,25,0,41046,41046
198609,16110,0,0.014320214,0.014320214,0,338,0,23603,23603
198610,16110,0,0.043172478,0.043172478,0,1019,0,23603,23603
198611,16110,0,0.04855315,0.04855315,0,1146,0,23603,23603
198613,16050,0,0.023896863,0.023896863,0,899,0,37620,37620
198614,16050,0,0.030861244,0.030861244,0,1161,0,37620,37620
198615,16050,0,0.0102605,0.0102605,0,386,0,37620,37620
198616,16050,0,0.006080391,0.006080391,0,488,42638,37620,80258
198617,16050,0.000186897,0.003264472,0.003451369,15,262,42638,37620,80258
198618,16050,0,0.032190324,0.032190324,0,1211,0,37620,37620
198620,16050,0.023549054,0.00548232,0.029031374,1890,440,42638,37620,80258
198621,16050,0.000164173,0,0.000164173,7,0,42638,0,42638
198622,16050,0,0.006060606,0.006060606,0,228,0,37620,37620
198623,16017,0,0.040771637,0.040771637,0,1173,0,28770,28770
198624,16017,0,0.0212374,0.0212374,0,611,0,28770,28770
198625,16017,0,0.097045534,0.097045534,0,2792,0,28770,28770
198626,16017,0,0.014772332,0.014772332,0,425,0,28770,28770
198627,16017,0,0.027459159,0.027459159,0,790,0,28770,28770
198628,16017,0,0.002050747,0.002050747,0,59,0,28770,28770
198630,15085,0,0.013882502,0.013882502,0,483,0,34792,34792
198631,15085,0,0.031616464,0.031616464,0,1100,0,34792,34792
198632,15085,0.029922641,0.012361432,0.042284074,1876,775,27903,34792,62695
198633,15085,0.107010128,0.010718558,0.117728686,6709,672,27903,34792,62695
198634,15085,0,0.060214992,0.060214992,0,2095,0,34792,34792
198635,15001,0.008942228,0,0.008942228,76,0,8499,0,8499
198636,15085,0.021520733,0.045799271,0.067320004,1311,2790,8499,52419,60918
198637,15001,0,0.003262176,0.003262176,0,171,0,52419,52419
198638,15001,0,0.043247677,0.043247677,0,2267,0,52419,52419
198639,15001,0,0.010854843,0.010854843,0,569,0,52419,52419
198640,15001,0,0.006905893,0.006905893,0,362,0,52419,52419
198641,15001,0,0.021442607,0.021442607,0,1124,0,52419,52419
198642,15102,0,0.004926108,0.004926108,0,71,0,14413,14413
198644,15102,0,0.019763538,0.019763538,0,1354,0,68510,68510
199619,16094,0,0.027307482,0.027307482,0,100,0,3662,3662
