GRID,CVENTMUN,Fter
197521,16037,0.414783096
197522,16037,0.139128895
197536,16003,0.781828859
197537,16003,0.218171141
197561,16050,0.107169199
197562,16050,0.386837863
197563,16050,0.03808351
197564,16017,0.014590124
197564,16050,0.153474583
197565,16017,0.019969237
197565,16050,0.125618547
197574,15085,0.138642761
197577,15001,0.032503319
197577,15014,1
197577,15085,0.017525557
197583,15102,0.44076096
198581,16037,0.446088009
198581,16054,0.016612981
198620,16050,0.017968122
198624,16017,0.014290037
198625,16017,0.057198949
198626,16017,0.021837067
198633,15085,0.082242597
198634,15085,0.188094797
198635,15085,0.183857015
198636,15001,0.127724577
198636,15085,0.152428628
198637,15001,0.067464296
198642,15102,0.080528482
198643,15045,0.053965121
198643,15102,0.478710559
199619,16094,0.633314975
199620,16094,0.363057716
199639,16054,0.051921996
199640,16054,0.17753088
199652,16020,0.100580221
199653,16020,0.3998222
199654,16020,0.410876456
199655,16020,0.088721122
199673,11038,0.17762173
199673,16050,0.137127418
199685,16017,0.009628617
199686,16017,0.047004571
199695,15001,0.002476912
199696,15001,0.023413701
199697,15001,0.037566616
199702,15045,0.359886035
199703,15045,0.195975629
200679,16094,0.003627309
200691,16063,0.06237393
200698,16054,0.069378667
200699,16054,0.149538393
200700,16054,0.15137634
200701,16054,0.136710594
200702,16054,0.013887487
200732,11038,0.247649893
200732,16050,0.033720758
200733,11038,0.064850647
200743,16017,0.02255341
200745,16017,0.101694273
200751,15001,0.001448437
200752,15001,0.023839281
201750,16063,0.066433955
201751,16063,0.154334485
201752,16063,0.03674886
201752,16071,0.027545186
201761,16054,0.004589954
201762,16054,0.168487413
201763,16054,0.040169302
201774,16078,0.048900575
201775,16078,0.254646303
201776,16078,0.038086647
201790,11038,0.029935541
201792,11038,0.268658007
201793,11019,0.018599022
201793,11038,0.211284182
201794,11019,0.009048327
201795,11019,0.112100322
201797,11019,0.008933674
201797,16031,0.263879266
201798,16017,0.011603449
201798,16031,0.223370184
201802,16017,0.040876432
201803,16017,0.203900417
201804,16017,0.121828305
201806,15085,0.050335233
201807,15085,0.011735352
201811,15001,0.124768462
201815,15003,0.020210769
201816,15001,0.079281427
201816,15003,0.001945681
201817,15001,0.024350668
201818,15001,0.121205158
201819,15001,0.103367424
202801,16067,0.051395611
202805,16063,0.037748331
202806,16063,0.11392938
202808,16063,0.123401517
202809,16063,0.150822947
202811,16071,0.036306414
202812,16071,0.049357359
202813,16071,0.080615914
202814,16071,0.031760214
202815,16071,0.029266041
202822,11046,0.093140501
202822,16054,0.019795993
202823,11021,0.183299556
202823,11046,0.018495887
202833,16078,0.086647013
202834,16078,0.071327197
202836,11002,0.001117644
202836,11028,0.01903713
202837,11002,0.064092575
202838,11002,0.064068624
202839,11002,0.077465886
202843,11002,0.001071284
202844,11002,0.029416238
202845,11002,0.063673081
202852,11019,0.038425356
202853,11019,0.010300352
202854,11019,0.055766485
202857,16017,0.005401926
202857,16031,0.31727233
202858,16031,0.101735843
202862,16017,0.091739878
202863,15085,0.010864453
202863,16017,0.024366168
202864,15085,0.100330082
202865,15085,0.056165552
202867,15001,0.00888326
202867,22001,0.013193344
202868,15001,0.050441738
202869,15001,0.006105293
202870,15001,0.017327316
202873,15003,0.009653667
202874,15003,0.146793024
202875,15001,0.024865117
202876,15001,0.113230768
202878,15001,0.009736229
202878,15003,0.125431044
202879,15003,0.022965965
203860,16067,0.094515285
203865,16063,0.134271934
203872,16071,0.033549065
203873,16071,0.02408346
203874,16071,0.0191689
203875,16071,0.012725697
203879,11046,0.019811559
203879,16071,0.026807496
203880,11046,0.058383913
203881,11046,0.008388673
203882,11021,0.102405699
203883,11021,0.424004097
203884,11021,0.290290649
203890,11046,0.000782376
203890,16078,0.13221796
203891,16078,0.042592559
203893,11028,0.009795472
203893,16078,0.152504196
203898,11002,0.026053952
203899,11002,0.044828632
203901,11002,0.134335742
203902,11002,0.127125711
203904,11002,0.025583472
203911,11019,0.024683194
203912,11019,0.08074006
203913,11019,0.005250895
203921,16017,0.130307007
203921,16031,0.01631979
203922,15085,0.007777972
203922,16017,0.061210133
203922,22001,0.005512523
203923,22001,0.098980455
203925,22001,0.009246793
203926,22001,0.059210932
203932,15003,0.016561736
203938,15003,0.129579292
204919,16067,0.089370934
204924,16004,0.047151311
204924,16063,0.119934661
204932,16071,0.030784306
204934,16071,0.003540185
204935,16071,0.037063015
204936,16071,0.011793103
204937,16071,0.023239359
204938,11046,0.056779889
204938,16071,0.008995963
204949,11046,0.001565609
204949,16078,0.075631291
204950,11046,0.069180058
204950,16078,0.09744626
204953,11028,0.05023183
204959,11002,0.006950117
204960,11002,0.148981671
204970,11019,0.036516326
204971,11019,0.022315248
204980,16031,0.07075862
204980,22001,0.066362229
204981,22001,0.0810237
204982,22001,0.095894703
204996,15003,0.022624813
204997,15003,0.1642351
205978,16067,0.088225019
205983,16004,0.292754991
205983,16067,0.002396536
205994,16071,0.034788195
205995,16071,0.033326428
205996,16071,0.045999553
205997,16071,0.002740569
205998,11046,0.000504998
205999,11046,0.006568963
206008,11046,0.000536443
206009,11046,0.057903048
206010,11036,0.366570233
206010,11046,0.003161589
206012,11028,0.071375395
206013,11028,0.110174345
206013,11036,0.041327007
206016,11002,0.033079019
206019,11002,0.132975561
206029,11019,0.033376043
206041,22001,0.039817053
206042,22001,0.042309815
206055,15003,0.043902192
206056,15045,0.079687919
206057,15045,0.310485297
207037,16067,0.093319377
207041,16067,0.163557153
207042,16004,0.010899315
207042,16067,0.013419507
207045,16004,0.052012538
207054,16071,0.027088448
207055,11046,0.006645497
207055,16071,0.032093765
207056,16071,0.026342788
207058,11046,0.01981275
207067,11046,0.068164754
207072,11028,0.008710295
207073,11028,0.116355217
207074,11028,0.051746534
207078,11002,0.019180791
207087,11019,0.02511526
207088,11019,0.001569592
207108,15003,0.011529107
207109,15003,0.037210179
208091,16028,0.28443231
208093,16109,0.048941985
208094,16109,0.263488862
208096,16067,0.014478573
208100,16067,0.198495537
208104,16004,0.08860673
208105,16004,0.231278194
208114,11046,0.023792177
208114,16071,0.044832113
208118,11046,0.013221497
208119,11046,0.027259836
208120,11046,0.017463012
208125,11046,0.043917024
208126,11046,0.022134319
208129,11036,0.322419504
208130,11036,0.004768117
208147,11019,0.021758694
208161,22001,0.037122631
208166,15003,0.021444368
208167,15003,0.089991503
208168,15003,0.015020865
209150,16028,0.71556769
209150,16069,0.200830472
209151,16109,0.250354986
209152,16109,0.362447447
209155,16060,0.466032383
209159,16067,0.190552784
209164,16004,0.056009429
209165,16004,0.221287491
209165,16113,0.02016895
209166,16113,0.139012371
209167,16113,0.014622698
209173,11046,0.01142095
209173,16071,0.00982469
209174,11046,0.011841443
209174,16071,0.046664406
209177,11046,0.024367912
209184,11046,0.033828018
209189,11028,0.041234481
209189,11036,0.264915138
209193,11028,0.005063133
209206,11019,0.069947365
209220,22001,0.026851024
209221,22001,0.079745347
209222,22001,0.08048726
209223,22001,0.166641574
209224,15003,0.072593707
209224,22001,0.097600617
209225,15003,0.048306987
209234,13044,0.123916744
210209,16069,0.224526202
210210,16069,0.015197241
210210,16109,0.07476672
210214,16060,0.451066978
210218,11023,0.020165636
210218,16067,0.000273685
210228,16071,0.014549013
210229,16071,0.030031406
210230,16071,0.004243534
210232,16071,0.048030195
210233,16071,0.049355443
210234,16071,0.024075338
210236,11046,0.030188912
210237,11046,0.028707248
210238,11046,0.02302757
210239,11046,0.027498388
210240,11046,0.006283885
210248,11028,0.024164889
210252,11028,0.012301211
210253,11028,0.095112539
210254,11028,0.039293217
210254,11039,0.050292003
210265,11019,0.063991007
210290,13044,0.00643036
210291,13044,0.091504462
210292,13044,0.085708548
210293,13044,0.056628199
211271,16069,0.000562373
211273,11023,0.06926804
211273,16060,0.082900638
211274,11023,0.045050588
211284,16113,0.02367843
211286,16113,0.054550546
211287,16071,0.008555603
211287,16113,0.116718246
211289,16071,0.025003776
211289,16113,0.030386395
211293,11042,0.057519352
211293,16071,0.003666628
211294,11042,0.118655872
211294,11046,0.009705597
211295,11042,0.015799549
211295,11046,0.04477676
211297,11046,0.008725458
211298,11046,0.001992259
211313,11039,0.058670552
211322,11019,0.024771463
211323,11019,0.045222901
211324,11019,0.064398786
211348,13044,0.121944443
211348,15071,1
211349,13044,0.087411568
211350,13044,0.146710548
211351,13044,0.101442969
211352,13044,0.089799303
212332,11023,0.062883885
212333,11023,0.051537098
212334,11023,0.07218846
212335,11023,0.064872886
212336,11023,0.004016386
212344,16113,0.041687365
212345,16113,0.104451855
212346,16113,0.158856284
212347,16113,0.158857386
212348,16071,0.002186432
212348,16113,0.1075066
212349,16113,0.013178281
212350,11042,0.003338863
212351,11042,0.017966944
212352,11042,0.017307246
212353,11042,0.061294393
212359,11042,0.017756868
212360,11042,0.120395984
212360,11046,0.003087496
212361,11046,0.039562163
212362,11018,0.028027574
212362,11046,0.033486949
212363,11018,0.043955133
212363,11028,0.002525419
212363,11046,0.023884617
212364,11018,0.03334242
212364,11028,0.068211245
212365,11028,0.016237774
212369,11028,0.092706724
212370,11028,0.131654667
212370,11039,0.00083946
212371,11039,0.046320505
212372,11039,0.017799302
212373,11039,0.047068626
212374,11039,0.108256576
212375,11039,0.089592093
212376,11039,0.037650145
212382,11019,0.044244816
212386,11010,0.209085868
212387,11010,0.790914132
212387,11019,0.025904719
212387,22008,0.026021961
212402,22016,0.013359402
212407,13044,0.086703655
213386,16069,0.144810148
213391,11023,0.062998197
213394,11023,0.025142816
213395,11023,0.045349691
213406,16113,0.010306164
213407,16113,0.006018431
213410,11042,0.033550622
213411,11042,0.04786868
213412,11042,0.046827436
213418,11042,0.067561178
213421,11018,0.047375268
213422,11018,0.089353762
213423,11018,0.133124995
213424,11018,0.135502465
213429,11028,0.034068485
213433,11039,0.116404182
213435,11039,0.002722836
213436,11019,0.007753605
213437,11019,0.038022204
213438,11019,0.005821543
213441,11019,0.030098885
213446,22008,0.006962482
213447,16031,0.006663967
213447,22008,0.132742423
213448,22008,0.068969822
213449,22008,0.021198845
213464,13029,0.074900517
213466,13044,0.001799202
214445,16069,0.335369114
214450,11023,0.050206328
214452,11023,0.010746406
214453,11023,0.067368086
214470,11042,0.021086337
214471,11042,0.085536256
214472,11042,0.01749833
214481,11018,0.063988219
214482,11018,0.1370331
214483,11011,0.00103619
214483,11018,0.057123867
214484,11011,0.145127589
214484,11018,0.044420156
214492,11039,0.023693459
214493,11039,0.118065051
214497,11004,0.019178263
214497,11019,0.007226411
214500,11004,0.074049656
214500,11019,0.014198682
214501,11004,0.01060957
214508,22008,0.063372361
214518,22016,0.069284334
214519,22016,0.057978803
214520,22016,0.016864577
214523,13029,0.140915008
214524,13029,0.080845533
215504,16069,0.078704451
215507,11023,0.014664215
215509,11023,0.031275429
215511,11023,0.074939928
215525,11016,0.195298755
215526,11016,0.069656728
215531,11042,0.051619999
215532,11042,0.000797411
215540,11018,0.02841996
215541,11018,0.010478147
215542,11011,0.164119169
215542,11018,0.033040925
215543,11011,0.249362685
215544,11011,0.071675218
215551,11039,0.084764662
215552,11039,0.116913399
215560,11004,0.012935092
215560,11019,0.022849083
215561,11019,0.016580315
215564,22008,0.001622584
215565,22008,0.041342379
215566,22008,0.03975274
215567,22008,0.092182578
215576,22016,0.006265064
215577,22016,0.075524059
215581,22016,0.007691069
215582,13029,0.080374185
215582,22016,0.01822169
215583,13029,0.136654755
216568,11023,0.001249646
216583,11001,0.018261015
216583,11016,0.120230603
216584,11001,0.004536258
216584,11016,0.460293988
216585,11016,0.068499879
216586,11001,0.020324862
216586,11016,0.086020047
216587,11001,0.007050324
216590,11042,0.029871422
216595,11042,0.056493596
216598,11018,0.054484554
216599,11018,0.008315432
216602,11011,0.047679856
216610,11007,0.053053514
216610,11039,0.016071654
216611,11007,0.01611351
216611,11039,0.064875494
216616,11004,0.021154694
216617,11004,0.091107745
216618,11004,0.103471761
216619,11004,0.007790232
216620,11019,0.014469365
216620,22006,0.015160564
216621,22006,0.083653147
216622,22008,0.044263921
216623,22008,0.064914952
216624,22008,0.023639919
216625,22008,0.028376817
216626,22008,0.071849152
216636,22016,0.045195972
216637,22016,0.054649692
216638,22016,0.055183882
216639,22016,0.058402772
216640,22016,0.065248623
216642,13029,0.161612366
216643,13029,0.241289777
216644,13029,0.083407858
217635,11023,0.031862983
217643,11001,0.116283678
217646,11001,0.043049876
217654,11042,0.005652913
217655,11042,0.054750647
217656,11018,0.005833919
217656,11042,0.043943872
217657,11018,0.046180107
217668,11007,0.018501559
217669,11007,0.102571386
217670,11007,0.077588044
217678,11004,0.045870687
217678,22006,0.066487561
217679,22006,0.082352592
217680,22006,0.167230345
217681,22006,0.014143561
217681,22008,0.031258489
217682,22008,0.008884553
217684,22008,0.084751174
217685,22008,0.000448932
217692,22016,0.040141155
217693,22016,0.001537009
217695,22016,0.001526448
217697,22016,0.009799036
218681,14033,0.150175235
218694,11023,0.081531876
218696,11023,0.002853234
218701,11001,0.017155051
218705,11001,0.03759206
218709,11042,0.004114493
218716,11027,0.021808175
218717,11011,0.047175114
218717,11027,0.079088555
218718,11011,0.004310569
218719,11011,0.036689533
218730,11004,0.083420063
218731,11004,0.089045981
218732,11004,0.036169371
218734,11004,0.068612821
218739,22006,0.068504177
218740,22006,0.017764414
218741,22008,0.033466525
218742,22008,0.044758894
218743,22008,0.023296054
218748,22012,0.035027362
218752,22016,0.004116816
218755,22016,0.03854542
218755,22017,0.008691165
218756,22016,0.056108713
218757,22016,0.036444767
219740,14033,0.102771043
219741,14033,0.231356417
219742,14033,0.084665188
219744,11023,0.014174961
219752,11023,0.027533512
219753,11023,0.048802818
219759,11001,0.048661789
219760,11001,0.004884695
219763,11001,0.077108068
219764,11001,0.071052492
219766,11042,0.002791736
219775,11027,0.071428664
219776,11027,0.043835997
219778,11011,0.11018476
219788,11007,0.098826842
219789,11004,0.034063487
219789,11007,0.00022735
219793,11004,0.019877043
219794,11004,0.077339818
219798,22006,0.000665944
219806,22012,0.002610839
219807,22012,0.114036263
219809,22012,0.039908655
219810,22012,0.021164127
220801,14033,0.210407332
220803,11023,0.001094367
220804,11023,0.017035853
220811,11023,0.001186676
220816,11001,0.000694341
220817,11001,0.052222523
220818,11001,0.001991619
220823,11001,0.033220554
220823,11017,0.00347597
220823,11024,0.062371315
220824,11024,0.031894844
220835,11027,0.03316894
220837,11011,0.12263932
220837,11044,1
220850,11005,0.020876418
220852,11004,0.021166397
220853,11004,0.00995868
220854,11004,0.081243317
220854,22006,0.046643704
220866,22012,0.043449147
220867,22012,0.036421719
220868,22012,0.025728896
220869,22012,0.128941392
220870,22016,0.137699395
220871,22016,0.009160431
221859,14033,0.086920876
221859,14048,0.165056155
221860,14033,0.043466423
221874,11012,0.059471371
221875,11001,0.02319778
221875,11012,0.1095781
221881,11017,0.015816211
221882,11017,0.004503171
221883,11024,0.034673677
221907,11005,0.015323537
221909,11005,0.032653108
221911,11004,0.000175081
221911,11005,0.020739198
221912,11004,0.071483445
221912,11005,0.003801484
221913,11004,0.021276799
221913,22006,0.036160735
221914,22006,0.142228236
221915,22006,0.068732465
221916,22006,0.010578024
221917,22006,0.035260881
221918,22008,0.045922445
221918,22014,0.033290517
221925,22012,0.035304448
221926,22012,0.025210801
221927,22012,0.067368724
221928,22012,0.0123417
221928,22016,0.028738054
221929,22016,0.078471189
221929,22017,0.022715958
222917,14033,0.090237486
222917,14048,0.209844727
222918,14048,0.340040193
222932,11012,0.033952357
222933,11012,0.176269132
222939,11017,0.004519959
222940,11017,0.002457162
222942,11024,0.158509791
222943,11024,0.258352574
222944,11024,0.29698644
222944,11027,0.009272659
222945,11027,0.054878349
222966,11005,0.074341628
222967,11005,0.071845189
222968,11005,0.055949912
222970,11005,0.068967558
222973,22006,0.137910891
222976,22006,0.000300943
222976,22014,0.026084994
222977,22014,0.065060199
222984,22012,0.15313287
222985,22012,0.128892339
222986,22012,0.103426909
222987,22012,0.015377215
222987,22017,0.091704664
222988,22016,0.013841629
222988,22017,0.137178673
223000,13059,0.138977422
223001,13059,0.548046858
223991,11012,0.153965226
224001,11017,0.013288612
224001,11024,0.014949411
224002,11017,0.012956677
224002,11024,0.089889092
224003,11017,0.001101944
224003,11024,0.052372856
224003,11027,0.045615868
224004,11017,0.022507962
224004,11027,0.086059636
224005,11027,0.004827846
224009,11027,0.016266122
224010,11027,0.045770744
224011,11027,0.047743934
224011,11035,0.007643189
224012,11035,0.060989897
224019,11007,0.004419011
224020,11007,0.065347708
224025,11005,0.056836664
224026,11005,0.030565548
224029,11005,0.06505724
224031,11005,0.003016568
224032,11005,0.011507726
224032,22006,0.006221814
224045,22005,0.043114849
224045,22012,0.011656593
224055,22007,0.052713218
224059,13059,0.312975721
224059,22004,0.022914884
225050,11012,0.086050335
225054,11001,0.031922283
225061,11017,0.030076342
225063,11017,0.030509954
225064,11017,0.001035138
225064,11027,0.031969097
225067,11027,0.003926568
225070,11027,0.003777244
225071,11027,0.000739803
225071,11035,0.093183267
225072,11035,0.157473057
225073,11035,0.101779247
225074,11035,0.101679603
225075,11035,0.080978369
225076,11035,0.083196958
225077,11007,0.027019651
225077,11035,0.053370778
225079,11007,0.021925415
225080,11007,0.033441223
225081,11007,0.019687622
225085,11005,0.069792321
225088,11005,0.070093673
225090,22014,0.008305808
225091,22014,0.055181518
225104,22005,0.055815534
225105,22005,0.003817966
225106,22017,0.038141076
225107,22017,0.122997479
225108,22017,0.129628257
225109,22017,0.13862371
225110,22017,0.119890789
225114,22007,0.24979367
225117,22004,0.015363037
225118,22004,0.15794136
226094,14048,0.072527378
226109,11012,0.172314251
226113,11001,0.066489026
226114,11001,0.06711384
226115,11001,0.020195425
226115,11017,0.011533183
226120,11017,0.014536956
226131,11035,0.015601595
226132,11035,0.03702422
226136,11007,0.015903977
226136,11035,0.093991675
226139,11007,0.066960284
226140,11007,0.046163379
226141,11007,0.124621153
226142,11007,0.104464152
226143,11007,0.059888536
226144,11005,0.066679334
226145,11005,0.044935868
226146,11005,0.060190763
226147,11005,0.015058845
226162,22005,0.000493419
226163,22005,0.035074122
226164,22017,0.050974636
226165,22017,0.11107603
226167,22017,0.006793547
226172,22007,0.07312022
226173,22007,0.199695044
226176,22004,0.154105672
227153,14048,0.212531547
227168,11012,0.141332884
227169,11012,0.018192495
227171,11001,0.043593332
227172,11001,0.001409147
227174,11017,0.010584182
227175,11017,0.028712252
227176,11017,0.030902002
227177,11017,0.014312715
227195,11035,0.041961853
227198,11007,0.032334689
227199,11007,0.010940994
227199,11009,0.053644531
227204,11005,0.025675446
227205,11005,0.073186593
227208,22014,0.026143934
227210,22014,0.006860912
227211,22014,0.025312645
227213,22011,0.076822922
227213,22014,0.016200794
227217,22011,0.089357158
227221,22005,0.034193443
227223,22005,0.022362325
227223,22017,0.021584015
227235,22004,0.036725605
227236,22004,0.11515003
228227,11012,0.016540086
228228,11001,0.057095183
228228,11012,0.032333763
228228,11026,0.060002817
228229,11001,0.074145719
228230,11001,0.050718538
228236,11017,0.003396542
228238,11017,0.004674745
228239,11017,0.023154982
228240,11017,0.007655876
228240,11027,0.003854719
228241,11027,0.135344754
228242,11027,0.098490327
228243,11027,0.108995871
228254,11009,0.083197905
228254,11035,0.071126293
228255,11009,0.162041743
228263,11005,0.042905376
228267,22014,0.069130275
228268,22014,0.047742975
228272,22014,0.015917367
228276,22011,0.001262361
228277,22011,0.250056353
228280,22005,0.034604703
228294,22004,0.0231961
228295,22004,0.177275319
229276,11008,0.010982228
229278,11008,0.002829347
229279,11008,0.042901924
229280,11008,0.051444651
229281,11008,0.044633117
229282,11008,0.020230364
229283,11008,0.083099343
229284,11008,0.05823559
229286,11026,0.026061049
229287,11026,0.0586406
229294,11017,0.061228431
229295,11017,0.033405649
229296,11017,0.025711918
229298,11017,0.008238161
229299,11017,0.035769522
229300,11017,0.003707132
229302,11027,0.043922315
229303,11027,0.009213811
229314,11009,0.06241912
229317,11009,0.044940431
229318,11009,0.112714671
229324,22014,0.005169082
229327,22014,0.099731137
229334,22011,0.066636183
229336,22011,0.094129125
229337,22011,0.114042639
229338,22005,0.013914032
229339,22005,0.032473074
229347,22007,0.135161374
229348,22007,0.073627635
229349,22004,0.087649823
229353,22004,0.064595445
230335,11008,0.017283884
230336,11008,0.080432747
230337,11008,0.042437088
230339,11008,0.043899839
230340,11008,0.044816951
230341,11008,0.067571263
230342,11008,0.004835893
230345,11001,0.000708733
230345,11026,0.089270949
230346,11001,0.009321787
230346,11026,0.000497181
230353,11017,0.016370754
230354,11017,0.050525094
230355,11017,0.02146415
230359,11017,0.030313072
230377,11009,0.017277136
230378,11009,0.128210103
230379,11009,0.238131121
230380,11009,0.092769532
230386,22014,0.111914966
230387,22014,0.022193642
230395,22011,0.046696862
230396,22005,0.040304569
230396,22011,0.260996396
230397,22005,0.037175346
230405,22007,0.172590889
230406,22007,0.04329795
230408,22004,0.134532036
231394,11008,0.052352099
231395,11008,0.037535129
231398,11008,0.044330858
231404,11026,0.090530413
231407,11026,0.071600894
231408,11026,0.09906224
231409,11017,0.003757055
231409,11026,0.066045498
231410,11017,0.025280415
231410,11026,0.027957019
231411,11017,0.027765508
