GRIDCODE,LONG,LATITUDE,USO,poblacion,UTMX,UTMY,UTMZ
85,72,"EI 2014 for Bajio area Guanajuato",,,,,
197501,-102.092753,19.909179,6,0,2490321.774,878649.0616,14
197502,-102.064002,19.909194,6,0,2493321.774,878649.0616,14
197503,-102.035251,19.909203,6,182,2496321.774,878649.0616,14
197504,-102.0065,19.909207,6,13099,2499321.774,878649.0616,14
197505,-101.977749,19.909205,6,208,2502321.774,878649.0616,14
197506,-101.948998,19.909198,6,3,2505321.774,878649.0616,14
197507,-101.920246,19.909186,6,0,2508321.774,878649.0616,14
197508,-101.891495,19.909168,6,0,2511321.774,878649.0616,14
197509,-101.862744,19.909145,6,507,2514321.774,878649.0616,14
197510,-101.833993,19.909116,6,0,2517321.774,878649.0616,14
197511,-101.805242,19.909082,6,0,2520321.774,878649.0616,14
197512,-101.776491,19.909042,6,629,2523321.774,878649.0616,14
197513,-101.74774,19.908997,6,1782,2526321.774,878649.0616,14
197514,-101.718988,19.908947,6,938,2529321.774,878649.0616,14
197515,-101.690237,19.908891,6,227,2532321.774,878649.0616,14
197516,-101.661486,19.908829,6,1479,2535321.774,878649.0616,14
197517,-101.632735,19.908762,6,154,2538321.774,878649.0616,14
197518,-101.603984,19.90869,6,0,2541321.774,878649.0616,14
197519,-101.575233,19.908612,6,626,2544321.774,878649.0616,14
197520,-101.546483,19.908529,6,382,2547321.774,878649.0616,14
197521,-101.517732,19.90844,6,1755,2550321.774,878649.0616,14
197522,-101.488981,19.908346,6,946,2553321.774,878649.0616,14
197523,-101.46023,19.908246,6,33,2556321.774,878649.0616,14
197524,-101.431479,19.908141,6,0,2559321.774,878649.0616,14
197525,-101.402729,19.908031,6,0,2562321.774,878649.0616,14
197526,-101.373978,19.907915,6,159,2565321.774,878649.0616,14
197527,-101.345227,19.907793,6,1364,2568321.774,878649.0616,14
197528,-101.316477,19.907666,6,889,2571321.774,878649.0616,14
197529,-101.287726,19.907534,6,124,2574321.774,878649.0616,14
197530,-101.258976,19.907396,6,980,2577321.774,878649.0616,14
197531,-101.230225,19.907253,6,720,2580321.774,878649.0616,14
197532,-101.201475,19.907104,6,881,2583321.774,878649.0616,14
197533,-101.172725,19.90695,6,1728,2586321.774,878649.0616,14
197534,-101.143975,19.906791,6,0,2589321.774,878649.0616,14
197535,-101.115225,19.906626,6,2613,2592321.774,878649.0616,14
197536,-101.086475,19.906455,6,466,2595321.774,878649.0616,14
197537,-101.057725,19.906279,6,605,2598321.774,878649.0616,14
197538,-101.028975,19.906098,6,1881,2601321.774,878649.0616,14
197539,-101.000225,19.905911,6,441,2604321.774,878649.0616,14
197540,-100.971475,19.905719,6,1426,2607321.774,878649.0616,14
197541,-100.942725,19.905521,6,0,2610321.774,878649.0616,14
197542,-100.913976,19.905318,6,0,2613321.774,878649.0616,14
197543,-100.885226,19.905109,6,512,2616321.774,878649.0616,14
197544,-100.856477,19.904895,6,0,2619321.774,878649.0616,14
197545,-100.827728,19.904676,6,1762,2622321.774,878649.0616,14
197546,-100.798978,19.904451,6,406,2625321.774,878649.0616,14
197547,-100.770229,19.90422,6,233,2628321.774,878649.0616,14
197548,-100.74148,19.903984,6,8,2631321.774,878649.0616,14
