GRIDCODE,CVENTMUN,Promedio de LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),Suma de LONG_CARR_x_CELDA x CARRILES
5867776,08037,482200.7524,83.49147343
5870954,08037,482200.7524,2112.512843
5874132,08037,482200.7524,2058.032763
5877310,08037,482200.7524,2056.801536
5880487,08037,482200.7524,1902.194357
5880488,08037,482200.7524,787.6679707
5883663,08037,482200.7524,366.7434468
5883664,08037,482200.7524,2408.14886
5883665,08037,482200.7524,790.2918757
5886840,08037,482200.7524,1060.564425
5886841,08037,482200.7524,2015.303857
5890018,08037,482200.7524,2053.90056
5893196,08037,482200.7524,2059.101425
5896373,08037,482200.7524,273.3935218
5896374,08037,482200.7524,1846.870955
5899551,08037,482200.7524,2188.112027
5902729,08037,482200.7524,2165.894939
5905906,08037,482200.7524,1618.151192
5905907,08037,482200.7524,448.2742815
5909084,08037,482200.7524,2135.390154
5912262,08037,482200.7524,2337.225739
5915439,08037,482200.7524,2337.882216
5915440,08037,482200.7524,56.1736978
5918616,08037,482200.7524,1087.352551
5918617,08037,482200.7524,1265.360415
5921794,08037,482200.7524,2356.798973
5924972,08037,482200.7524,323.2069541
