GRIDCODE,CVENTMUN,F_pav
5845508,8037,0.010057555
5845509,8037,0.006412385
5848686,8037,0.015764875
5851864,8037,0.015771655
5855042,8037,0.015773138
5858220,8037,0.015776619
5861398,8037,0.015760553
5861420,8037,0.002248766
5864576,8037,0.015776711
5864597,8037,0.001622642
5864598,8037,0.009261373
5867754,8037,0.015779869
5867775,8037,0.009136583
5870932,8037,0.0157798
5870953,8037,0.008627872
5874110,8037,0.015756787
5874130,8037,0.006714344
5874131,8037,0.002905393
5877288,8037,0.013023039
5877307,8037,0.002590994
5877308,8037,0.007262589
5880466,8037,0.0040307
5880485,8037,0.008900498
5883644,8037,0.003752809
5883645,8037,0.000716738
5883662,8037,0.002875722
5883663,8037,0.005500605
5886823,8037,0.014099635
5886840,8037,0.009229537
5890001,8037,0.015756995
5890017,8037,0.002821223
5890018,8037,0.005833686
5893179,8037,0.016602569
5893195,8037,0.008267524
5896357,8037,0.014631509
5896373,8037,0.008589046
5899535,8037,0.002494505
5899536,8037,0.006043937
5899550,8037,0.006017882
5899551,8037,0.003158495
5902710,8037,0.003848594
5902711,8037,0.003648624
5902714,8037,0.008539914
5902718,8037,0.013218477
5902719,8037,0.015500128
5902720,8037,0.004092489
5902721,8037,0.004485629
5902722,8037,0.002305917
5902728,8037,0.008840029
5905887,8037,0.008416329
5905888,8037,0.005282712
5905889,8037,0.00451512
5905890,8037,0.008785167
5905891,8037,0.007892505
5905892,8037,0.017421368
5905893,8037,0.015795927
5905894,8037,0.015796401
5905895,8037,0.015791298
5905896,8037,0.002572789
5905900,8037,0.003164074
5905901,8037,0.002400914
5905905,8037,0.007975665
5905906,8037,0.001255251
5909049,8037,0.007876331
5909050,8037,0.007876268
5909051,8037,0.007876266
5909052,8037,0.007876503
5909053,8037,0.007876687
5909054,8037,0.007876687
5909055,8037,0.007876528
5909056,8037,0.0078764
5909057,8037,0.007876271
5909058,8037,0.007876266
5909059,8037,0.007876267
5909060,8037,0.00787686
5909061,8037,0.007876794
5909062,8037,0.007876442
5909063,8037,0.007876648
5909064,8037,0.008119309
5909065,8037,0.001200779
5909070,8037,0.008045773
5909079,8037,0.00047198
5909082,8037,0.005385907
5909083,8037,0.005175024
5912248,8037,0.006040407
5912249,8037,0.002145408
5912260,8037,0.009499188
5915427,8037,0.008148772
5915437,8037,0.008372618
5915438,8037,0.00354156
5918605,8037,0.008142598
5918614,8037,0.009915076
5918615,8037,0.001495155
5921783,8037,0.008134114
5921791,8037,0.00828845
5921792,8037,0.000970636
5924961,8037,0.004272368
5924962,8037,0.00390152
5924969,8037,0.008407719
5928140,8037,0.008090783
5928146,8037,0.004839711
5928147,8037,0.003483755
5931318,8037,0.008121877
5931324,8037,0.008873215
5934496,8037,0.008583943
5934500,8037,0.000264652
5934501,8037,0.009731985
5934502,8037,0.003180717
5937673,8037,0.005261935
5937674,8037,0.003439114
5937677,8037,0.00269479
5937678,8037,0.009676383
5940851,8037,0.00895235
5940855,8037,0.009605247
5944007,8037,0.003315545
5944029,8037,0.00791986
5944032,8037,0.008542351
5944033,8037,0.001034444
5947185,8037,0.0078839
5947206,8037,0.001289452
5947207,8037,0.015232894
5947208,8037,0.008263368
5947209,8037,0.00832819
5947210,8037,0.003416978
5950363,8037,0.007884112
5950384,8037,0.005215624
5953541,8037,0.008460762
5956719,8037,0.007888007
5959897,8037,0.007879221
5963075,8037,0.007879943
5966253,8037,0.007883721
5969431,8037,0.006387114
