GRIDCODE,LONG,LATITUDE,Huso,Pobl,X_long(NALCC),Y_lat(NALCC),UMTz
42,42,"EI Frontera Cd Juarez V4.0" ,,,,,
5845489,-106.6691148,31.43282956,7,0,2054321.774,2158649.062,13
5845490,-106.6586458,31.43312157,7,0,2055321.774,2158649.062,13
5845491,-106.6481767,31.43341293,7,0,2056321.774,2158649.062,13
5845492,-106.6377075,31.43370363,7,0,2057321.774,2158649.062,13
5845493,-106.6272383,31.43399368,7,0,2058321.774,2158649.062,13
5845494,-106.6167691,31.43428307,7,0,2059321.774,2158649.062,13
5845495,-106.6062998,31.4345718,7,0,2060321.774,2158649.062,13
5845496,-106.5958304,31.43485988,7,0,2061321.774,2158649.062,13
5845497,-106.585361,31.43514731,7,0,2062321.774,2158649.062,13
5845498,-106.5748916,31.43543408,7,0,2063321.774,2158649.062,13
5845499,-106.5644221,31.43572019,7,0,2064321.774,2158649.062,13
5845500,-106.5539526,31.43600565,7,0,2065321.774,2158649.062,13
5845501,-106.543483,31.43629045,7,0,2066321.774,2158649.062,13
5845502,-106.5330133,31.4365746,7,0,2067321.774,2158649.062,13
5845503,-106.5225436,31.43685809,7,0,2068321.774,2158649.062,13
5845504,-106.5120739,31.43714092,7,0,2069321.774,2158649.062,13
5845505,-106.5016041,31.4374231,7,0,2070321.774,2158649.062,13
5845506,-106.4911343,31.43770463,7,0,2071321.774,2158649.062,13
5845507,-106.4806644,31.4379855,7,0,2072321.774,2158649.062,13
5845508,-106.4701945,31.43826571,7,0,2073321.774,2158649.062,13
5845509,-106.4597245,31.43854527,7,0,2074321.774,2158649.062,13
5845510,-106.4492545,31.43882417,7,0,2075321.774,2158649.062,13
5845511,-106.4387844,31.43910242,7,0,2076321.774,2158649.062,13
5845512,-106.4283143,31.43938001,7,0,2077321.774,2158649.062,13
5845513,-106.4178441,31.43965695,7,0,2078321.774,2158649.062,13
5845514,-106.4073739,31.43993323,7,0,2079321.774,2158649.062,13
5845515,-106.3969037,31.44020885,7,0,2080321.774,2158649.062,13
5845516,-106.3864334,31.44048382,7,0,2081321.774,2158649.062,13
5845517,-106.375963,31.44075814,7,0,2082321.774,2158649.062,13
5845518,-106.3654926,31.44103179,7,0,2083321.774,2158649.062,13
5845519,-106.3550222,31.4413048,7,0,2084321.774,2158649.062,13
5845520,-106.3445517,31.44157714,7,0,2085321.774,2158649.062,13
5845521,-106.3340811,31.44184884,7,0,2086321.774,2158649.062,13
5845522,-106.3236106,31.44211987,7,0,2087321.774,2158649.062,13
5845523,-106.3131399,31.44239025,7,0,2088321.774,2158649.062,13
5845524,-106.3026693,31.44265998,7,0,2089321.774,2158649.062,13
5845525,-106.2921985,31.44292905,7,0,2090321.774,2158649.062,13
5845526,-106.2817278,31.44319746,7,0,2091321.774,2158649.062,13
5845527,-106.271257,31.44346522,7,0,2092321.774,2158649.062,13
5845528,-106.2607861,31.44373232,7,0,2093321.774,2158649.062,13
5845529,-106.2503152,31.44399877,7,0,2094321.774,2158649.062,13
5845530,-106.2398442,31.44426456,7,0,2095321.774,2158649.062,13
5848667,-106.6694558,31.441806,7,0,2054321.774,2159649.062,13
5848668,-106.658986,31.44209803,7,0,2055321.774,2159649.062,13
5848669,-106.6485161,31.4423894,7,0,2056321.774,2159649.062,13
5848670,-106.6380462,31.44268011,7,0,2057321.774,2159649.062,13
5848671,-106.6275762,31.44297018,7,0,2058321.774,2159649.062,13
5848672,-106.6171062,31.44325958,7,0,2059321.774,2159649.062,13
5848673,-106.6066362,31.44354833,7,0,2060321.774,2159649.062,13
5848674,-106.5961661,31.44383642,7,0,2061321.774,2159649.062,13
5848675,-106.5856959,31.44412386,7,0,2062321.774,2159649.062,13
5848676,-106.5752257,31.44441065,7,0,2063321.774,2159649.062,13
5848677,-106.5647554,31.44469677,7,0,2064321.774,2159649.062,13
5848678,-106.5542851,31.44498225,7,0,2065321.774,2159649.062,13
5848679,-106.5438148,31.44526706,7,0,2066321.774,2159649.062,13
5848680,-106.5333444,31.44555122,7,0,2067321.774,2159649.062,13
5848681,-106.5228739,31.44583473,7,0,2068321.774,2159649.062,13
5848682,-106.5124034,31.44611758,7,0,2069321.774,2159649.062,13
5848683,-106.5019329,31.44639977,7,0,2070321.774,2159649.062,13
5848684,-106.4914623,31.44668131,7,0,2071321.774,2159649.062,13
5848685,-106.4809916,31.44696219,7,0,2072321.774,2159649.062,13
5848686,-106.470521,31.44724242,7,0,2073321.774,2159649.062,13
5848687,-106.4600502,31.44752199,7,0,2074321.774,2159649.062,13
5848688,-106.4495794,31.44780091,7,0,2075321.774,2159649.062,13
5848689,-106.4391086,31.44807917,7,0,2076321.774,2159649.062,13
5848690,-106.4286377,31.44835677,7,0,2077321.774,2159649.062,13
5848691,-106.4181668,31.44863372,7,0,2078321.774,2159649.062,13
5848692,-106.4076958,31.44891002,7,0,2079321.774,2159649.062,13
5848693,-106.3972248,31.44918566,7,0,2080321.774,2159649.062,13
5848694,-106.3867537,31.44946064,7,0,2081321.774,2159649.062,13
5848695,-106.3762826,31.44973497,7,0,2082321.774,2159649.062,13
5848696,-106.3658114,31.45000864,7,0,2083321.774,2159649.062,13
5848697,-106.3553402,31.45028166,7,0,2084321.774,2159649.062,13
5848698,-106.344869,31.45055402,7,0,2085321.774,2159649.062,13
5848699,-106.3343977,31.45082572,7,0,2086321.774,2159649.062,13
5848700,-106.3239263,31.45109677,7,0,2087321.774,2159649.062,13
5848701,-106.3134549,31.45136716,7,0,2088321.774,2159649.062,13
5848702,-106.3029835,31.4516369,7,0,2089321.774,2159649.062,13
5848703,-106.292512,31.45190598,7,0,2090321.774,2159649.062,13
5848704,-106.2820405,31.45217441,7,0,2091321.774,2159649.062,13
5848705,-106.2715689,31.45244218,7,0,2092321.774,2159649.062,13
5848706,-106.2610973,31.4527093,7,0,2093321.774,2159649.062,13
5848707,-106.2506256,31.45297576,7,0,2094321.774,2159649.062,13
5848708,-106.2401539,31.45324156,7,0,2095321.774,2159649.062,13
5851845,-106.6697968,31.45078223,7,0,2054321.774,2160649.062,13
5851846,-106.6593262,31.45107427,7,0,2055321.774,2160649.062,13
5851847,-106.6488556,31.45136565,7,0,2056321.774,2160649.062,13
5851848,-106.6383849,31.45165638,7,0,2057321.774,2160649.062,13
5851849,-106.6279142,31.45194646,7,0,2058321.774,2160649.062,13
5851850,-106.6174434,31.45223588,7,0,2059321.774,2160649.062,13
5851851,-106.6069726,31.45252464,7,0,2060321.774,2160649.062,13
5851852,-106.5965017,31.45281275,7,0,2061321.774,2160649.062,13
5851853,-106.5860308,31.4531002,7,0,2062321.774,2160649.062,13
5851854,-106.5755598,31.453387,7,0,2063321.774,2160649.062,13
5851855,-106.5650888,31.45367314,7,0,2064321.774,2160649.062,13
5851856,-106.5546178,31.45395863,7,0,2065321.774,2160649.062,13
5851857,-106.5441466,31.45424346,7,0,2066321.774,2160649.062,13
5851858,-106.5336755,31.45452763,7,0,2067321.774,2160649.062,13
5851859,-106.5232043,31.45481115,7,0,2068321.774,2160649.062,13
5851860,-106.512733,31.45509402,7,0,2069321.774,2160649.062,13
5851861,-106.5022617,31.45537622,7,0,2070321.774,2160649.062,13
5851862,-106.4917903,31.45565778,7,0,2071321.774,2160649.062,13
5851863,-106.4813189,31.45593867,7,0,2072321.774,2160649.062,13
