GRIDCODE,CVENTMUN,POB  RURAL EN CELL,POB_TOTxMUN,Frur
32626,7051,2,25982,7.70E-05
32628,7051,236,25982,0.009083211
32643,7057,6,45364,0.000132263
32640,7032,8,17779,0.000449969
32622,7051,26,25982,0.001000693
32629,7051,318,25982,0.012239243
32634,7001,8,9299,0.000860308
32620,7051,14,25982,0.000538835
32620,7051,24,25982,0.000923716
32634,7001,3,9299,0.000322615
32633,7001,12,9299,0.001290461
32631,7003,4,18884,0.00021182
32644,7057,76,45364,0.001675337
32649,7057,62,45364,0.001366723
32628,7051,116,25982,0.004464629
32632,7003,8,18884,0.000423639
32626,7051,8,25982,0.000307905
32650,7057,178,45364,0.003923816
32642,7032,56,17779,0.003149783
32640,7032,10,17779,0.000562461
32624,7051,9,25982,0.000346394
32635,7001,32,9299,0.00344123
32620,7051,4,25982,0.000153953
32633,7001,3,9299,0.000322615
32641,7032,16,17779,0.000899938
32623,7051,4,25982,0.000153953
32633,7001,8,9299,0.000860308
32634,7001,9,9299,0.000967846
32642,7032,3,17779,0.000168738
32624,7051,3,25982,0.000115465
32631,7003,2,18884,0.00010591
32639,7032,70,17779,0.003937229
32653,7053,413,6213,0.066473523
32651,7057,329,45364,0.007252447
32622,7051,2,25982,7.70E-05
32624,7051,3,25982,0.000115465
32620,7051,9,25982,0.000346394
32638,7032,313,17779,0.01760504
32624,7051,6,25982,0.000230929
32640,7032,8,17779,0.000449969
32636,7001,26,9299,0.002796
32625,7051,2,25982,7.70E-05
32631,7003,10,18884,0.000529549
32619,7051,3,25982,0.000115465
32633,7001,5,9299,0.000537692
32631,7003,1937,18884,0.102573607
32644,7057,100,45364,0.002204391
32622,7051,5,25982,0.000192441
32638,7032,71,17779,0.003993475
32624,7051,2,25982,7.70E-05
32623,7051,3,25982,0.000115465
32645,7057,78,45364,0.001719425
32648,7057,21,45364,0.000462922
32623,7051,7,25982,0.000269417
32620,7051,3,25982,0.000115465
32644,7057,24,45364,0.000529054
32653,7053,6,6213,0.000965717
32641,7032,11,17779,0.000618707
32622,7051,4,25982,0.000153953
32620,7051,6,25982,0.000230929
32620,7051,5,25982,0.000192441
32634,7001,32,9299,0.00344123
32633,7001,1,9299,0.000107538
32626,7051,6,25982,0.000230929
32640,7032,8,17779,0.000449969
32622,7051,6,25982,0.000230929
32625,7051,6,25982,0.000230929
32641,7032,8,17779,0.000449969
32624,7051,2,25982,7.70E-05
32635,7001,14,9299,0.001505538
32652,7053,279,6213,0.044905843
32631,7003,9,18884,0.000476594
32633,7001,71,9299,0.00763523
32625,7051,2,25982,7.70E-05
32621,7051,5,25982,0.000192441
32644,7057,627,45364,0.013821532
32643,7032,17,17779,0.000956184
32626,7051,5,25982,0.000192441
32650,7057,178,45364,0.003923816
32625,7051,2,25982,7.70E-05
32625,7051,7,25982,0.000269417
32624,7051,13,25982,0.000500346
32637,7001,118,9299,0.012689537
32635,7001,4,9299,0.000430154
32643,7032,106,17779,0.00596209
32623,7051,6,25982,0.000230929
32649,7057,120,45364,0.002645269
32620,7051,3,25982,0.000115465
32624,7051,3,25982,0.000115465
32621,7051,6,25982,0.000230929
32623,7051,7,25982,0.000269417
32647,7057,107,45364,0.002358699
32621,7051,4,25982,0.000153953
32622,7051,3,25982,0.000115465
32633,7001,1,9299,0.000107538
32652,7057,21,45364,0.000462922
32623,7051,3,25982,0.000115465
32640,7032,303,17779,0.017042578
32652,7053,35,6213,0.005633349
32633,7001,444,9299,0.04774707
32641,7032,40,17779,0.002249845
32626,7051,1,25982,3.85E-05
32639,7032,6,17779,0.000337477
32621,7051,5,25982,0.000192441
32630,7051,125,25982,0.004811023
32635,7001,138,9299,0.014840305
32624,7051,3,25982,0.000115465
32649,7057,165,45364,0.003637245
32643,7032,189,17779,0.010630519
32650,7057,239,45364,0.005268495
32640,7032,11,17779,0.000618707
32634,7001,4,9299,0.000430154
32623,7051,2,25982,7.70E-05
32621,7051,13,25982,0.000500346
32623,7051,4,25982,0.000153953
32621,7051,16,25982,0.000615811
32633,7001,60,9299,0.006452307
32626,7051,3,25982,0.000115465
32631,7051,118,25982,0.004541606
32622,7051,4,25982,0.000153953
32620,7051,9,25982,0.000346394
32626,7051,6,25982,0.000230929
32621,7051,10,25982,0.000384882
32649,7057,184,45364,0.00405608
32622,7051,2,25982,7.70E-05
32645,7057,30,45364,0.000661317
32624,7051,3,25982,0.000115465
32623,7051,5,25982,0.000192441
32621,7051,16,25982,0.000615811
32646,7057,202,45364,0.00445287
32642,7032,5,17779,0.000281231
32644,7057,232,45364,0.005114187
32648,7057,766,45364,0.016885636
32621,7051,8,25982,0.000307905
32621,7051,10,25982,0.000384882
32636,7001,845,9299,0.090869986
32642,7032,77,17779,0.004330952
32641,7032,249,17779,0.014005287
32621,7051,14,25982,0.000538835
32646,7057,321,45364,0.007076096
32648,7057,209,45364,0.004607177
32623,7051,2,25982,7.70E-05
32625,7051,5,25982,0.000192441
32625,7051,2,25982,7.70E-05
32633,7001,7,9299,0.000752769
32622,7051,18,25982,0.000692787
32642,7032,106,17779,0.00596209
32624,7051,7,25982,0.000269417
32652,7053,236,6213,0.03798487
32647,7057,137,45364,0.003020016
32635,7001,9,9299,0.000967846
32621,7051,6,25982,0.000230929
32630,7051,2143,25982,0.082480179
32640,7032,3,17779,0.000168738
32625,7051,5,25982,0.000192441
32630,7051,272,25982,0.010468786
32621,7051,5,25982,0.000192441
32628,7051,94,25982,0.003617889
32634,7001,2,9299,0.000215077
32648,7057,68,45364,0.001498986
32623,7051,5,25982,0.000192441
32640,7032,53,17779,0.002981045
32622,7051,4,25982,0.000153953
32626,7051,2,25982,7.70E-05
32619,7069,1,33162,3.02E-05
32623,7051,2,25982,7.70E-05
32643,7032,129,17779,0.007255751
32647,7057,12,45364,0.000264527
32622,7051,3,25982,0.000115465
32634,7001,30,9299,0.003226153
32652,7053,105,6213,0.016900048
32626,7051,8,25982,0.000307905
32645,7057,81,45364,0.001785557
32627,7051,43,25982,0.001654992
32639,7032,60,17779,0.003374768
32649,7057,67,45364,0.001476942
32620,7069,11,33162,0.000331705
32621,7051,2,25982,7.70E-05
32626,7051,4,25982,0.000153953
32623,7051,5,25982,0.000192441
32623,7051,3,25982,0.000115465
32642,7032,102,17779,0.005737106
32622,7051,13,25982,0.000500346
32643,7032,230,17779,0.012936611
32643,7032,97,17779,0.005455875
32625,7051,5,25982,0.000192441
32628,7051,164,25982,0.006312062
32621,7051,3,25982,0.000115465
32652,7053,12,6213,0.001931434
32643,7032,98,17779,0.005512121
32622,7051,3,25982,0.000115465
32648,7057,57,45364,0.001256503
32626,7051,3,25982,0.000115465
32626,7051,5,25982,0.000192441
32623,7051,3,25982,0.000115465
32653,7053,11,6213,0.001770481
32623,7051,2,25982,7.70E-05
32648,7057,92,45364,0.00202804
32642,7032,325,17779,0.018279993
32649,7057,35,45364,0.000771537
32624,7051,8,25982,0.000307905
32649,7057,79,45364,0.001741469
32644,7057,6,45364,0.000132263
32630,7051,25,25982,0.000962205
32626,7051,10,25982,0.000384882
32626,7051,15,25982,0.000577323
32644,7057,93,45364,0.002050084
32626,7051,28,25982,0.001077669
32654,7053,161,6213,0.025913407
32626,7051,4,25982,0.000153953
32644,7057,97,45364,0.002138259
33688,7051,592,25982,0.022785005
33683,7051,362,25982,0.013932723
33686,7051,16,25982,0.000615811
33685,7051,4,25982,0.000153953
33677,7069,9,33162,0.000271395
33700,7032,83,17779,0.004668429
33679,7051,12,25982,0.000461858
33695,7001,110,9299,0.011829229
33686,7051,26,25982,0.001000693
33680,7051,12,25982,0.000461858
33680,7051,13,25982,0.000500346
33685,7051,5,25982,0.000192441
33681,7051,2,25982,7.70E-05
33692,7001,98,9299,0.010538768
33685,7051,5,25982,0.000192441
33704,7057,50,45364,0.001102196
33701,7032,10,17779,0.000562461
33684,7051,7,25982,0.000269417
33685,7051,4,25982,0.000153953
33684,7051,10,25982,0.000384882
33701,7032,40,17779,0.002249845
33679,7069,2,33162,6.03E-05
33708,7057,105,45364,0.002314611
33707,7057,9,45364,0.000198395
33685,7051,10,25982,0.000384882
33679,7069,1,33162,3.02E-05
33692,7001,354,9299,0.03806861
33680,7051,1,25982,3.85E-05
33705,7057,204,45364,0.004496958
33682,7051,2,25982,7.70E-05
33682,7051,6,25982,0.000230929
33686,7051,5,25982,0.000192441
33689,7051,4,25982,0.000153953
33686,7051,6,25982,0.000230929
33707,7057,407,45364,0.008971872
33704,7057,9,45364,0.000198395
33694,7001,1,9299,0.000107538
33694,7001,9,9299,0.000967846
33709,7057,155,45364,0.003416806
33713,7053,210,6213,0.033800097
33678,7069,387,33162,0.011669984
33702,7032,139,17779,0.007818212
33708,7057,164,45364,0.003615201
33685,7051,3,25982,0.000115465
33703,7057,20,45364,0.000440878
33684,7051,2,25982,7.70E-05
33687,7051,55,25982,0.00211685
33693,7001,801,9299,0.086138294
33685,7051,13,25982,0.000500346
33710,7057,18,45364,0.00039679
33679,7069,2,33162,6.03E-05
33692,7001,1,9299,0.000107538
33710,7057,297,45364,0.006547042
33685,7051,14,25982,0.000538835
33709,7057,94,45364,0.002072128
33686,7051,6,25982,0.000230929
33704,7057,321,45364,0.007076096
33700,7032,185,17779,0.010405535
33685,7051,4,25982,0.000153953
33686,7051,17,25982,0.000654299
33712,7053,74,6213,0.01191051
33684,7051,1,25982,3.85E-05
33703,7057,144,45364,0.003174323
33680,7051,5,25982,0.000192441
33710,7057,105,45364,0.002314611
33682,7051,12,25982,0.000461858
33710,7057,4,45364,8.82E-05
33686,7051,1,25982,3.85E-05
33707,7057,155,45364,0.003416806
33687,7051,140,25982,0.005388346
33687,7051,2,25982,7.70E-05
33681,7051,2,25982,7.70E-05
33680,7051,2,25982,7.70E-05
33686,7051,6,25982,0.000230929
33684,7051,7,25982,0.000269417
33695,7001,33,9299,0.003548769
33685,7051,12,25982,0.000461858
33701,7032,12,17779,0.000674954
33707,7057,178,45364,0.003923816
33705,7057,144,45364,0.003174323
33687,7051,63,25982,0.002424756
33711,7053,9,6213,0.001448576
33683,7051,4,25982,0.000153953
33711,7053,105,6213,0.016900048
33685,7051,2,25982,7.70E-05
33680,7051,5,25982,0.000192441
33704,7057,22,45364,0.000484966
33703,7057,270,45364,0.005951856
33679,7069,306,33162,0.009227429
33693,7001,3,9299,0.000322615
33685,7051,4,25982,0.000153953
33683,7051,4,25982,0.000153953
33701,7032,24,17779,0.001349907
33683,7051,8,25982,0.000307905
33683,7051,4,25982,0.000153953
33709,7057,82,45364,0.001807601
33680,7051,3,25982,0.000115465
33687,7051,26,25982,0.001000693
33688,7051,3,25982,0.000115465
33686,7051,10,25982,0.000384882
33692,7001,7,9299,0.000752769
