GRIDCODE,CVENTMUN,POB URBANA en CELL,POBTOT en MUN,Furb
32650,7057,2124,23755,0.089412755
32650,7057,53,23755,0.002231109
32650,7057,2311,23755,0.097284782
32650,7057,1684,23755,0.070890339
32650,7057,565,23755,0.023784466
32650,7057,96,23755,0.004041254
32650,7057,1976,23755,0.083182488
32651,7057,2963,23755,0.124731635
32651,7057,2498,23755,0.105156809
32651,7057,68,23755,0.002862555
32651,7057,1334,23755,0.056156599
32651,7057,697,23755,0.029341191
32651,7057,404,23755,0.017006946
32651,7057,1251,23755,0.052662597
32651,7057,508,23755,0.021384972
33685,7051,5,17931,0.000278847
33686,7051,450,17931,0.025096202
33686,7051,869,17931,0.048463555
33686,7051,479,17931,0.026713513
33686,7051,2044,17931,0.113992527
33686,7051,839,17931,0.046790475
33686,7051,4,17931,0.000223077
33686,7051,1181,17931,0.065863588
33686,7051,1852,17931,0.103284814
33686,7051,59,17931,0.003290391
33687,7051,23,17931,0.001282695
33709,7057,32,23755,0.001347085
33709,7057,13,23755,0.000547253
33709,7057,100,23755,0.00420964
33710,7057,28,23755,0.001178699
33710,7057,8,23755,0.000336771
33710,7057,521,23755,0.021932225
33710,7057,1800,23755,0.075773521
33710,7057,2298,23755,0.096737529
33710,7057,423,23755,0.017806778
33711,7053,176,1580,0.111392405
33711,7053,88,1580,0.055696203
33711,7053,53,1580,0.033544304
33712,7053,950,1580,0.601265823
33712,7053,313,1580,0.198101266
34745,7051,58,17931,0.003234622
34745,7051,236,17931,0.013161564
34745,7051,201,17931,0.011209637
34745,7051,110,17931,0.006134627
34745,7051,45,17931,0.00250962
34745,7051,2449,17931,0.136579109
34745,7051,878,17931,0.048965479
34745,7051,150,17931,0.008365401
34745,7051,1063,17931,0.059282806
34745,7051,1777,17931,0.099102114
34745,7051,55,17931,0.003067314
34745,7051,260,17931,0.014500028
34745,7051,391,17931,0.021805811
34745,7051,1862,17931,0.103842507
34746,7051,357,17931,0.019909654
34746,7051,18,17931,0.001003848
34746,7051,213,17931,0.011878869
35674,20324,438,16256,0.026943898
35675,20324,963,16256,0.059239665
35675,20324,815,16256,0.050135335
35804,7051,4,17931,0.000223077
35826,7070,164,1436,0.114206128
35832,7006,340,3826,0.088865656
35832,7006,441,3826,0.115263983
36733,20324,0,16256,0
36734,20324,227,16256,0.013964075
36734,20324,127,16256,0.0078125
36885,7070,1272,1436,0.885793872
36889,7010,133,315,0.422222222
36890,7010,182,315,0.577777778
37791,20439,0,1850,0
37946,7036,10,1044,0.009578544
38850,20439,1124,1850,0.607567568
38850,20439,726,1850,0.392432432
38852,20324,1826,16256,0.112327756
38852,20324,1969,16256,0.121124508
38852,20324,19,16256,0.001168799
38853,20324,442,16256,0.027189961
38853,20324,831,16256,0.051119587
38853,20324,2859,16256,0.175873524
38853,20324,1390,16256,0.08550689
38853,20324,879,16256,0.054072343
39005,7036,614,1044,0.588122605
39005,7036,14,1044,0.013409962
39005,7036,406,1044,0.388888889
39911,20324,1057,16256,0.065022146
39912,20324,1264,16256,0.077755906
39912,20324,1150,16256,0.07074311
39923,20413,1312,25376,0.051702396
39923,20413,1,25376,3.94E-05
39923,20413,465,25376,0.018324401
39923,20413,358,25376,0.014107818
39923,20413,12,25376,0.000472888
39923,20413,243,25376,0.009575977
39923,20413,506,25376,0.019940101
39924,20413,127,25376,0.005004729
39924,20413,52,25376,0.00204918
39924,20413,36,25376,0.001418663
40060,7080,1646,3400,0.484117647
40060,7080,1442,3400,0.424117647
40061,7080,42,3400,0.012352941
40061,7080,270,3400,0.079411765
40982,20413,1525,25376,0.060096154
40982,20413,1714,25376,0.067544136
40982,20413,89,25376,0.003507251
40982,20413,886,25376,0.03491488
40982,20413,360,25376,0.014186633
40982,20413,81,25376,0.003191992
40982,20413,1182,25376,0.046579445
40982,20413,570,25376,0.022462169
40982,20413,920,25376,0.036254729
40982,20413,3878,25376,0.152821564
40982,20413,22,25376,0.000866961
40982,20413,1325,25376,0.052214691
40982,20413,28,25376,0.001103405
40983,20413,32,25376,0.001261034
40983,20413,169,25376,0.006659836
40983,20413,219,25376,0.008630202
40983,20413,590,25376,0.023250315
40983,20413,1265,25376,0.049850252
41122,7011,1587,1672,0.949162679
42008,20401,34,11141,0.003051791
42008,20401,33,11141,0.002962032
42008,20401,292,11141,0.026209496
42008,20401,105,11141,0.009424648
42008,20401,39,11141,0.003500583
42009,20401,101,11141,0.009065613
42009,20401,471,11141,0.042276277
42009,20401,613,11141,0.055021991
42009,20401,75,11141,0.006731891
42009,20401,405,11141,0.036352213
42009,20401,970,11141,0.087065793
42009,20401,63,11141,0.005654789
42009,20401,31,11141,0.002782515
42009,20401,104,11141,0.009334889
42009,20401,474,11141,0.042545552
42022,20509,542,1620,0.334567901
42022,20509,1078,1620,0.665432099
42034,20413,215,25376,0.008472573
42035,20413,113,25376,0.004453026
42035,20413,60,25376,0.002364439
42035,20413,264,25376,0.010403531
42035,20413,137,25376,0.005398802
42035,20413,105,25376,0.004137768
42035,20413,149,25376,0.00587169
42035,20413,532,25376,0.020964691
42146,7069,21,16917,0.001241355
42146,7069,831,16917,0.049122185
42146,7069,1067,16917,0.063072649
42146,7069,23,16917,0.001359579
42146,7069,8,16917,0.000472897
42146,7069,444,16917,0.026245788
42147,7069,232,16917,0.013714015
42147,7069,32,16917,0.001891588
42147,7069,72,16917,0.004256074
42147,7069,15,16917,0.000886682
42147,7069,2,16917,0.000118224
