GRIDCODE,CVENTMUN,Fa
40978,20413,1
43066,20318,1
64425,7019,1
65258,12023,1
75799,12001,1
84505,7101,1
84528,7078,1
85558,7061,1
87556,20067,1
87556,20385,1
107508,12038,1
107577,12029,1
117395,27017,1
119363,30130,1
123366,16052,1
134226,30048,1
134226,30108,1
134288,27004,1
139553,27002,1
145774,21156,1
154183,17028,1
156299,17007,1
156299,17018,1
159877,23004,0.5
161856,4003,1
167273,23004,0.5
168822,6007,1
170097,21074,1
170097,21114,1
170969,6002,1
172292,30193,1
173092,6005,1
176409,15106,1
177382,16102,1
180662,9017,1
184930,29003,1
195420,16003,1
195420,16053,1
205029,13048,1
211671,4002,1
221816,14039,1
221816,14097,1
226154,22014,1
226160,22005,1
226160,22011,1
227313,30175,1
229162,14067,1
230283,14120,1
239882,11037,1
247288,11020,1
250975,23001,1
256710,18017,1
257234,31050,1
259917,18019,1
267387,1001,1
271051,31096,0.5
271096,23005,1
