GRIDCODE,CVENTMUN,Fb
32618,7069,0.0001365
32619,7051,0.001250353
32619,7069,0.002042787
32620,7051,0.006388132
32620,7069,6.75E-05
32621,7051,0.007122081
32622,7051,0.007711702
32623,7051,0.007108199
32624,7051,0.007640731
32625,7051,0.007968401
32626,7051,0.008125753
32627,7051,0.008125753
32628,7051,0.004631375
32629,7051,0.004736113
32630,7003,0.001537431
32630,7051,0.004999128
32631,7003,0.009136964
32631,7051,0.003566425
32632,7001,0.011278876
32632,7003,0.016423207
32632,7051,0.000110268
32633,7001,0.036260476
32634,7001,0.039619138
32635,7001,0.039883702
32636,7001,0.035816229
32636,7032,0.002084715
32637,7001,0.018121497
32637,7032,0.014198938
32638,7032,0.026055295
32639,7032,0.018439836
32640,7032,0.002802556
32641,7032,0.020160083
32642,7032,0.019290719
32643,7032,0.017046768
32643,7057,0.000405752
32644,7032,0.000651184
32644,7057,0.022259333
32645,7057,0.019797496
32646,7057,0.016149797
32647,7057,0.022981475
32648,7057,0.022814409
32649,7057,0.010969841
32650,7057,0.009371215
32651,7057,0.013552671
32652,7053,0.021359349
32652,7057,0.006744928
32653,7053,0.061740767
32653,7057,9.81E-05
32654,7053,0.028230748
33676,7069,0.000335771
33677,7069,0.003847001
33678,7069,0.004174799
33679,7051,0.000355064
33679,7069,0.004085893
33680,7051,0.006480734
33680,7069,0.000765082
33681,7051,0.007110663
33682,7051,0.008046918
33683,7051,0.00808598
33684,7051,0.008125753
33685,7051,0.008125753
33686,7051,0.006547247
33687,7051,0.007977083
33688,7051,0.008050309
33689,7051,0.008125753
33690,7001,8.89E-05
33690,7051,0.008107645
33691,7001,0.020712409
33691,7003,0.006361276
33691,7051,0.001081429
33692,7001,0.025635086
33693,7001,0.039094643
33694,7001,0.039883702
33695,7001,0.039883702
33696,7001,0.014135531
33696,7032,0.016956996
33697,7032,0.026266245
33698,7032,0.026266245
33699,7032,0.019370745
33700,7032,0.021280143
33701,7032,0.019788681
33702,7032,0.024433128
33703,7032,0.007405225
33703,7057,0.017654371
33704,7057,0.020544419
33705,7057,0.018113124
33706,7057,0.022673807
33707,7057,0.020190101
33708,7057,0.017552953
33709,7057,0.017148122
33709,7070,0.013133822
33710,7053,0.002743704
33710,7057,0.018990734
33710,7070,0.024276863
33711,7053,0.076375407
33711,7057,0.001555652
33712,7053,0.089942525
33713,7053,0.072043669
33714,7053,0.000398944
34734,7069,0.000882714
34735,7069,0.004399616
34736,7069,0.005236426
34737,7051,0.000229377
34737,7069,0.005152465
34738,7051,0.005435381
34738,7069,0.001470538
34739,7051,0.007811629
34739,7069,0.000204969
34740,7051,0.007663764
34741,7051,0.007909667
34742,7051,0.008125753
34743,7051,0.008125753
34744,7051,0.008125753
34745,7051,0.005618271
34746,7051,0.008125753
34747,7051,0.00794579
34748,7051,0.008125753
34749,7051,0.008125753
34750,7001,0.018210186
34750,7051,0.002843222
34751,7001,0.039630501
34751,7051,5.16E-05
34752,7001,0.039883702
34753,7001,0.039883702
34754,7001,0.039883702
34755,7001,0.02131408
34755,7032,0.012229412
34756,7032,0.026266245
34757,7032,0.026266245
34758,7032,0.026266245
34759,7032,0.026266245
34760,7032,0.023804843
34760,7080,0.001080769
34761,7032,0.01745299
34761,7080,0.003869785
34762,7032,0.004622267
34762,7057,0.015293031
34762,7080,0.00232966
34763,7057,0.024585841
34764,7057,0.023677509
34764,7080,6.77E-06
34765,7057,0.016829815
34765,7070,0.023714482
34765,7080,0.000950319
34766,7057,0.006210015
34766,7070,0.028095426
34767,7057,0.001960226
34767,7070,0.087581895
34768,7057,0.000824535
34768,7070,0.138083991
34769,7057,0.000500173
34769,7070,0.045164418
34770,7053,0.075360726
34770,7057,0.000483667
34770,7070,0.023140972
34771,7053,0.096373554
34772,7006,0.011023679
34772,7053,0.061100386
34773,7006,0.011353007
34773,7053,0.003490555
35671,20439,0.001358376
