GRIDCODE,CVENTMUN,Fcentrale
44125,20318,1
58011,7097,1
62241,7009,1
63253,20124,0.5
63253,20515,0.5
64312,20124,0.5
64312,20515,0.5
65257,12023,1
68555,20043,1
70544,12080,1
71737,20557,1
73729,12046,1
76856,12001,0.5
78971,12001,0.5
85496,20427,1
90733,20067,1
106518,12029,1
107643,20339,1
107643,20346,1
108648,12028,1
109623,12038,1
121249,16052,1
124718,27008,1
126635,12035,0.5
127860,30003,1
129991,30108,1
134116,20459,1
135289,30039,1
137188,12050,1
137228,12035,0.5
138275,12058,1
141413,12073,1
144753,30174,1
145672,15105,1
145697,12055,1
147830,17012,1
150036,30173,1
156285,15040,1
156302,17008,1
157369,17006,1
157431,30030,1
158420,17011,1
158424,17029,1
159552,30118,1
160537,17007,1
160617,30044,0.5
161676,30044,0.5
162659,17020,1
165654,6007,1
166926,21114,1
170970,6002,0.5
171048,16082,1
171205,30071,1
172027,6002,0.5
172202,15103,1
175467,30193,1
176424,9003,1
176455,29033,1
176467,29013,1
178441,16102,1
178540,9010,1
179602,9017,0.5
180661,9017,0.5
180695,29005,1
181633,16066,1
181719,9005,1
182854,30038,1
184874,15042,1
184905,15030,1
185957,15033,1
186033,30087,1
187034,29006,1
187080,30128,1
189132,15108,1
190040,14023,1
191250,15053,1
193186,14015,1
193244,16019,1
193366,15091,1
194401,15014,1
196524,15102,1
199613,16108,1
199697,15001,1
199762,21208,1
201839,15010,1
203951,13076,1
206052,15003,1
207162,13077,1
207207,30102,1
208146,11019,1
209217,22001,1
212311,14018,1
214421,14063,1
214447,16069,1
216635,22016,1
217635,11023,1
220898,13030,1
220964,30124,1
221934,22017,1
224035,22014,0.5
224036,22014,0.5
224990,14098,1
226108,11012,1
227110,14039,1
227229,22007,1
228104,14067,1
228165,14120,1
230424,13084,1
231334,14009,1
232519,22005,1
235565,14094,1
238955,30160,1
241082,30189,1
241900,18006,1
242929,18004,0.3
246202,14046,1
246255,11014,1
247247,14118,1
248228,18004,0.3
249385,14073,1
249483,22009,1
250354,18004,0.4
251564,11033,1
253634,14053,1
253788,30151,1
255898,30013,1
256788,14091,1
257894,11030,1
258828,18017,0.25
259886,18017,0.25
259887,18017,0.25
260945,18017,0.25
261036,14035,1
261990,18012,1
270464,18015,0.5
