GRIDCODE,CVENTMUN,Fpv
35672,20439,0.018254541
35673,20439,0.065481675
35674,20324,0.050178061
35674,20439,0.013413505
35675,20324,0.012070671
35675,20324,0.02101119
36731,20439,0.084402183
36734,20324,0.064162628
37783,20439,0.021352968
37783,20439,0.000437828
37784,20439,0.060895612
37785,20439,0.060030645
37786,20439,0.050232394
37787,20439,0.060085825
37788,20439,0.060464289
37788,20439,0.001048101
37789,20439,0.06249467
37789,20439,0.001653407
37790,20439,0.005796189
37790,20439,0.057548487
37790,20439,0.041259244
37791,20439,0.016198856
37793,20324,0.048325791
37793,20324,0.013735031
37794,20324,0.040112528
37795,20324,0.052942014
37796,20324,0.019754511
38839,20439,0.012923511
38840,20439,0.081011256
38841,20439,0.05954729
38842,20439,0.039435023
38845,20439,0.0152075
38850,20439,0.014882907
38850,20439,0.032817964
38851,20324,0.018128572
38851,20439,0.040659242
38852,20324,0.050307837
38852,20324,0.01380893
38852,20324,0.008385543
38852,20324,0.020457362
38853,20324,0.019660247
38853,20324,0.027015994
38854,20324,0.008060462
38855,20324,0.053765196
38856,20324,0.061644198
38857,20413,0.000733158
38857,20324,0.064660341
38858,20413,0.031773754
39895,20401,0.068092897
39896,20401,0.083472944
39897,20401,0.075924579
39898,20401,0.014606092
39898,20439,0.022464888
39898,20401,0.017412467
39912,20324,0.060531944
39917,20413,0.013650112
39918,20413,0.045880202
39918,20413,0.00033918
39918,20413,0.017279505
39919,20413,0.028375288
39923,20413,0.001774456
39924,20413,0.010248181
39924,20413,0.028337847
40951,20401,0.074274723
40952,20401,0.075969132
40953,20401,0.07590679
40954,20401,0.008674111
40971,20324,0.059773836
40976,20413,0.013639363
40977,20413,0.046957523
40978,20413,0.015267443
40979,20413,0.041939258
40980,20413,0.004882247
40980,20413,0.040502541
40981,20413,0.043788137
40982,20413,0.004120599
40982,20413,0.039159042
40982,20413,0.095389182
40982,20413,0.035092686
40983,20413,0.020503773
40983,20413,0.059298959
40984,20413,0.125965022
40985,20413,0.02147931
40985,20413,0.022820814
42008,20401,0.009240326
42009,20401,0.031182883
42009,20401,0.06969906
42010,20401,0.011976185
42010,20401,0.000168237
42010,20401,0.080797086
42029,20324,0.001681466
42030,20324,0.05985662
42035,20413,0.047816509
42042,20413,0.023108123
42043,20413,0.047862533
42044,20413,0.014958993
42044,20413,0.005868815
42044,20266,0.059220283
42044,20413,0.044035603
42045,20266,0.168500886
43065,20318,0.007676128
43066,20318,0.080916015
43066,20318,0.007504159
43067,20401,0.03738784
43067,20318,0.024395435
43067,20318,0.022482234
43067,20318,0.041451356
43069,20401,0.07873344
43070,20401,0.061072267
