GRIDCODE,CVENTMUN,Ft
32618,7069,0.012726791
32619,7069,0.033300236
32620,7069,0.002920896
32620,7051,0.072755325
32621,7051,0.054555799
32626,7051,0.057970103
32651,7057,0.136407361
32652,7057,0.011087204
33676,7069,0.05253634
33676,7069,0.002987625
33677,7069,0.064514998
33678,7069,0.060715885
33680,7051,0.04374451
33681,7051,0.04068407
33685,7051,0.023771208
33686,7051,0.031442661
33686,7051,0.014316943
33689,7051,0.022887145
34734,7069,0.09802191
34735,7069,0.092472151
34740,7051,0.02402604
34741,7051,0.068698655
34742,7051,0.008603668
35792,7069,0.061992147
35793,7069,0.052703252
35801,7051,0.056118235
35801,7051,0.00337374
35802,7051,0.035230734
36742,20413,0.025924849
36743,20413,0.03201136
36861,7051,0.018936312
36887,7036,0.125077564
36887,7070,0.7596546
36888,7010,0.439994723
36888,7070,0.2403454
36888,7036,0.056866824
36889,7010,0.539726008
36890,7010,0.020279269
37783,20439,0.00249457
37784,20439,0.012254653
37793,20324,0.121121873
37801,20413,0.090667039
37946,7036,0.255733438
38843,20439,0.226273508
38850,20439,0.142898489
38860,20413,0.124610867
38968,7069,0.062362756
39001,7080,0.068501694
39002,7080,0.461156444
39005,7036,0.10766077
39005,7036,0.171909946
39898,20401,0.30675723
39902,20439,0.250933981
39918,20413,0.002168923
39919,20413,0.069322929
40027,7069,0.124067295
40060,7080,0.2552948
40061,7080,0.215047061
40063,7036,0.189979586
40063,7011,0.077684916
40064,7036,0.092771873
40957,20401,0.358710142
40961,20439,0.092493412
40962,20439,0.162791068
40979,20413,0.066752407
40980,20413,0.009458363
41086,7069,0.11723874
41087,7069,0.037715777
41122,7011,0.229508671
41122,7011,0.16835091
41122,7011,0.16344893
41123,7011,0.104112855
41125,7006,0.031033401
42016,20401,0.305694258
42017,20401,0.028838369
42021,20439,0.109860318
42021,20509,0.118386838
42022,20509,0.881613162
42038,20413,0.086744565
42146,7069,0.064037225
42146,7069,0.039608916
42182,7011,0.13788075
42182,7011,0.119012968
42188,7006,0.049751043
43094,20413,0.068299082
43097,20413,0.097746762
43205,7069,0.02007706
43247,7006,0.201315474
43248,7006,0.327501798
44152,20324,0.036275971
44153,20413,0.034993333
44153,20324,0.274407237
44155,20266,0.005610123
44155,20413,0.068232577
44155,20266,0.004855106
44155,20324,0.126634295
44155,20266,0.003539579
44156,20413,0.064776356
44156,20266,0.015348987
44156,20266,0.026045699
44164,20307,0.074771308
44164,20307,0.548830237
44307,7034,0.14186812
44307,7006,0.390398284
44308,7034,0.070915115
45211,20324,0.017519728
45213,20413,0.010232786
45213,20324,0.365813292
45214,20413,0.002018973
45214,20324,0.035987508
45215,20266,0.044042129
45216,20266,0.070614663
45217,20266,0.031450999
45222,20266,0.066503562
45223,20266,0.005247857
45223,20307,0.330457809
45311,7097,0.023347214
45312,7097,0.012544867
45367,7034,0.128700633
46267,20071,0.083219381
46267,20071,0.205433095
46272,20413,0.004035516
46272,20324,0.000465258
46273,20413,0.076223453
46273,20324,0.021774838
46276,20266,0.015828155
46276,20266,0.028566863
46276,20266,0.045144048
46277,20266,0.074632319
46278,20266,0.015771052
46281,20266,0.073836405
46369,7097,0.03805527
46370,7097,0.023140771
46404,7117,1
47302,20318,0.08898492
47303,20318,0.287148323
47304,20318,0.283770347
47305,20318,0.291051743
47306,20318,0.049044667
47325,20071,0.563843839
47325,20012,1
47326,20071,0.147503685
47332,20413,0.065779862
47337,20266,0.066221428
