GRIDCODE,CVENTMUN,Fp
35675,20324,1
39924,20413,1
43067,20318,1
51655,7097,1
57959,20079,1
78971,12001,1
92947,20407,1
94815,12057,1
120191,16052,1
127931,27004,1
135292,30039,0.5
137408,30039,0.5
143781,27002,1
150162,27014,1
152190,30178,1
156532,27003,1
158540,30011,1
159878,23004,0.25
161854,4003,0.33
161855,4003,0.34
162478,6007,0.5
164594,6007,0.5
167274,23004,0.25
167274,23004,0.25
168220,4003,0.33
170935,14022,1
177884,23004,0.25
192603,4004,1
210608,4002,0.33
212729,4002,0.34
213570,30211,1
221307,23009,0.5
222209,4002,0.33
223093,30158,1
225985,14067,0.5
230219,18020,1
230222,14067,0.5
231558,30033,1
241083,30189,1
244620,23001,1
247166,18004,1
248847,23008,1
251913,31011,1
253788,30151,1
254146,23008,0.5
261990,18012,0.5
263683,23011,1
263684,23005,0.34
264633,31038,1
267242,18012,0.5
268876,31059,0.5
270999,31059,0.5
