GRIDCODE,CVENTMUN,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES
1345710,16014,84302.7497,1293.416425
1345711,16014,84302.7497,1202.225061
1348886,16014,84302.7497,7.086861315
1348887,16014,84302.7497,2358.354259
1348888,16014,84302.7497,3168.221094
1348889,16014,84302.7497,906.4585628
1352064,16014,84302.7497,2495.102888
1352067,16014,84302.7497,1496.041676
1352068,16014,84302.7497,1431.724268
1355241,16014,84302.7497,890.6659632
1355242,16014,84302.7497,1341.764126
1355245,16014,84302.7497,347.1918323
1355246,16014,84302.7497,1265.587354
1358419,16014,84302.7497,2261.51261
1358422,16014,84302.7497,271.0707459
1358423,16014,84302.7497,1238.429324
1361596,06009,271228.3366,22.96515514
1361596,16014,84302.7497,1555.192177
1361597,16014,84302.7497,3026.099883
1361598,16014,84302.7497,699.6783278
1361600,16014,84302.7497,1201.223888
1364773,06009,271228.3366,672.8772705
1364774,06009,271228.3366,1783.695998
1364776,16014,84302.7497,1867.628084
1364777,16014,84302.7497,2107.501764
1364778,16014,84302.7497,311.934366
1367951,06009,271228.3366,2013.840901
1367955,16014,84302.7497,2110.448808
1367956,16014,84302.7497,378.501219
1371129,06009,271228.3366,2000.296551
1371134,16014,84302.7497,2436.644382
1374307,06009,271228.3366,1771.110091
1374308,06009,271228.3366,717.9439829
1374312,16014,84302.7497,652.1732718
1374313,16014,84302.7497,2502.434686
1374314,16014,84302.7497,661.8877198
1377485,06009,271228.3366,2672.25059
1377492,16014,84302.7497,388.4486431
1377493,16014,84302.7497,1031.013495
1377494,16014,84302.7497,1219.693698
1377495,16014,84302.7497,9.829462079
1380662,06009,271228.3366,2750.672482
1380663,06009,271228.3366,150.9389792
1380673,16014,84302.7497,1181.4748
1380674,16014,84302.7497,586.6070898
1383837,06009,271228.3366,692.8288512
1383838,06009,271228.3366,2155.905128
1383839,06009,271228.3366,2420.97075
1383840,06009,271228.3366,785.0713395
1383852,16014,84302.7497,690.2378074
1383853,16014,84302.7497,1255.143902
1383854,16014,84302.7497,207.0000352
1387013,06009,271228.3366,1800.928884
1387014,06009,271228.3366,2145.801494
1387015,06009,271228.3366,1463.31334
1387018,06009,271228.3366,1067.363505
1387032,16014,84302.7497,1404.0078
1390190,06009,271228.3366,2068.137146
1390191,06009,271228.3366,422.4360361
1390196,06009,271228.3366,1058.223436
1390210,16014,84302.7497,336.8628106
1390211,16014,84302.7497,929.0975534
1390220,16026,121620.0456,467.7835464
1390221,16026,121620.0456,1026.833105
1390222,16026,121620.0456,1216.66212
1390223,16026,121620.0456,1114.08497
1393367,06009,271228.3366,694.149705
1393368,06009,271228.3366,1672.532257
1393374,06009,271228.3366,156.2552878
1393375,06009,271228.3366,1308.281369
1393389,16014,84302.7497,709.1947594
1393390,16014,84302.7497,552.6597474
1393395,16014,84302.7497,149.1076241
1393396,16014,84302.7497,450.6702118
1393396,16026,121620.0456,877.5657813
1393397,16026,121620.0456,1105.268957
1393398,16026,121620.0456,544.0981746
1396545,06009,271228.3366,2375.694776
1396553,06009,271228.3366,194.2115695
1396554,06009,271228.3366,1061.733716
1396555,06009,271228.3366,1151.182685
1396556,06009,271228.3366,105.5849224
1396568,16014,84302.7497,1074.067402
1396569,16014,84302.7497,196.3439951
1396571,16014,84302.7497,700.4669674
1396572,16014,84302.7497,1077.206352
1396573,16014,84302.7497,978.163579
1399722,06009,271228.3366,1706.467952
1399723,06009,271228.3366,628.7344701
1399734,06009,271228.3366,1380.526205
1399746,16014,84302.7497,581.332462
1399747,16014,84302.7497,2541.457437
1399748,16014,84302.7497,1182.18078
1399749,16014,84302.7497,434.6155066
1402899,06009,271228.3366,124.4440603
1402900,06009,271228.3366,2213.607447
1402912,06009,271228.3366,425.3312965
1402913,06009,271228.3366,1175.391027
1402914,06009,271228.3366,284.9225922
1402924,16014,84302.7497,2381.350067
1406077,06009,271228.3366,2332.244295
1406092,06009,271228.3366,1009.617391
1406093,06009,271228.3366,419.3034294
1406102,16014,84302.7497,2432.939862
1409254,06009,271228.3366,1062.655081
1409255,06009,271228.3366,1598.115975
1409271,06009,271228.3366,1079.824489
1409279,16014,84302.7497,2024.405837
1409280,16014,84302.7497,250.7840371
1412432,06009,271228.3366,2355.480833
1412433,06009,271228.3366,2489.974262
1412442,06009,271228.3366,455.743379
1412443,06009,271228.3366,1019.002727
1412444,06009,271228.3366,770.7491931
1412449,06006,71238.67268,951.8352919
1412449,06009,271228.3366,282.3830049
1412450,06006,71238.67268,306.8623301
1412457,16014,84302.7497,1585.409208
1412458,16014,84302.7497,1492.577543
1415609,06009,271228.3366,1571.91531
1415610,06009,271228.3366,734.8456526
1415611,06009,271228.3366,807.4652141
1415612,06009,271228.3366,1695.317313
1415617,06009,271228.3366,913.7157819
1415618,06009,271228.3366,2276.749102
1415619,06009,271228.3366,2116.620736
1415620,06009,271228.3366,1418.55736
1415622,06009,271228.3366,365.7032339
1415623,06009,271228.3366,1172.475377
1415624,06009,271228.3366,440.4046837
1415628,06006,71238.67268,731.5680147
1415629,06006,71238.67268,1253.7257
1415636,16014,84302.7497,2066.97044
1415637,16014,84302.7497,359.9424981
1418786,06009,271228.3366,4.021114499
1418787,06009,271228.3366,2348.448358
1418790,06009,271228.3366,1628.903527
1418791,06009,271228.3366,871.104578
1418792,06009,271228.3366,698.0187579
1418793,06009,271228.3366,2020.087097
1418794,06009,271228.3366,2304.077487
1418795,06009,271228.3366,1378.540391
1418802,06009,271228.3366,1648.856868
1418807,06006,71238.67268,518.5867681
1418808,06006,71238.67268,1242.170999
1418809,06006,71238.67268,96.86789247
1421964,06009,271228.3366,2352.469367
1421969,06009,271228.3366,1792.646374
1421970,06009,271228.3366,1339.547821
1421980,06006,71238.67268,617.5882775
1421980,06009,271228.3366,498.2365229
1421981,06006,71238.67268,1351.220523
1421986,06006,71238.67268,2492.158434
1421987,06006,71238.67268,775.4125481
1425141,06009,271228.3366,838.9419223
1425142,06009,271228.3366,1483.453828
