GRIDCODE,CVENTMUN,LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),LONG VIALIDAD x SENTIDO x CELDA
1345709,16014,295402.0602,3268.541892
1345710,16014,295402.0602,552.6988239
1352060,16014,295402.0602,6327.297442
1352061,16014,295402.0602,808.4443485
1352067,16014,295402.0602,23472.9072
1352068,16014,295402.0602,11694.75245
1355238,16014,295402.0602,1734.601747
1355239,16014,295402.0602,5987.839117
1355244,16014,295402.0602,498.8608166
1355245,16014,295402.0602,18653.18517
1355246,16014,295402.0602,26477.11845
1355247,16014,295402.0602,313.8858774
1358422,16014,295402.0602,688.9419493
1358423,16014,295402.0602,22092.5979
1358424,16014,295402.0602,39260.825
1358425,16014,295402.0602,4957.141161
1358430,16014,295402.0602,1241.994089
1358431,16014,295402.0602,1506.689027
1361601,16014,295402.0602,7243.609322
1361602,16014,295402.0602,5848.791981
1361603,16014,295402.0602,45.72330645
1361608,16014,295402.0602,3572.205338
1361609,16014,295402.0602,1778.943817
1361610,16014,295402.0602,41.88336092
1361611,16014,295402.0602,901.2920965
1364777,16014,295402.0602,2206.228657
1367950,06009,802494.891,1938.098326
1367951,06009,802494.891,1559.852708
1367955,16014,295402.0602,6367.992288
1367966,16014,295402.0602,6924.221884
1371130,06009,802494.891,185.1143812
1371144,16014,295402.0602,145.3549487
1374307,06009,802494.891,15154.00077
1374308,06009,802494.891,17220.03382
1374313,16014,295402.0602,19729.3319
1374314,16014,295402.0602,592.7915958
1374321,16014,295402.0602,5676.814735
1377485,06009,802494.891,19593.45086
1377486,06009,802494.891,11901.93302
1377491,16014,295402.0602,3532.452027
1377492,16014,295402.0602,977.4247005
1380662,06009,802494.891,3527.214055
1380663,06009,802494.891,6616.756126
1380672,16014,295402.0602,36.92143294
1380673,16014,295402.0602,14207.17518
1380674,16014,295402.0602,10681.15124
1383852,16014,295402.0602,1247.998877
1393394,16014,295402.0602,150.4396271
1393395,16014,295402.0602,473.9654588
1396562,06009,802494.891,274.5906355
1396563,06009,802494.891,5663.33721
1396572,16014,295402.0602,3550.554422
1396573,16014,295402.0602,10561.54016
1399733,06009,802494.891,1208.180039
1399734,06009,802494.891,12309.90979
1402912,06009,802494.891,1417.249859
1412452,06006,100099.5341,602.3703939
1412457,16014,295402.0602,2618.766047
1415609,06009,802494.891,4642.088978
1415610,06009,802494.891,10739.01464
1415613,06009,802494.891,3843.077801
1415614,06009,802494.891,194.2732718
1415620,06009,802494.891,3862.921302
1415630,06006,100099.5341,848.6076259
1415637,16014,295402.0602,3063.664684
1418771,06001,335457.9861,3426.192787
1418772,06001,335457.9861,2176.155634
1418787,06009,802494.891,117.5679026
1418788,06009,802494.891,3799.739644
1418815,16014,295402.0602,5.412958263
1421949,06001,335457.9861,2111.767723
1421960,06009,802494.891,140.6129357
1421961,06009,802494.891,2724.588567
1421980,06006,100099.5341,1588.580833
1421981,06006,100099.5341,1572.332886
1421987,06006,100099.5341,10202.26447
1425135,06009,802494.891,171.2217534
1425138,06009,802494.891,1179.941459
1425139,06009,802494.891,33604.24035
1425140,06009,802494.891,9201.599908
1428313,06009,802494.891,2643.393213
1428314,06009,802494.891,4292.841345
1428316,06009,802494.891,20247.78965
1428317,06009,802494.891,34052.95738
1428318,06009,802494.891,18910.60521
1428319,06009,802494.891,1136.041549
1428326,06009,802494.891,5234.23741
1428327,06009,802494.891,568.2012985
1428340,06006,100099.5341,840.7735082
1428351,06002,1449598.03,1978.407497
1428352,06002,1449598.03,720.2637621
1431476,06001,335457.9861,1890.598006
1431477,06001,335457.9861,4068.081813
1431478,06001,335457.9861,20.60479021
1431494,06009,802494.891,23024.2321
1431495,06009,802494.891,31273.01319
1431496,06009,802494.891,25084.70989
1431497,06009,802494.891,29003.13642
1431498,06009,802494.891,3263.557613
1431511,06006,100099.5341,1071.498832
1431518,06006,100099.5341,182.0521933
1431529,06002,1449598.03,829.482004
1431530,06002,1449598.03,648.2061243
1434653,06001,335457.9861,16237.69443
1434654,06001,335457.9861,19444.74904
1434671,06009,802494.891,3699.580009
1434672,06009,802494.891,44246.44587
1434673,06009,802494.891,27634.01018
1434674,06009,802494.891,24402.63155
1434675,06009,802494.891,21494.88546
1434676,06009,802494.891,3874.116144
1437831,06001,335457.9861,3942.172425
1437840,06001,335457.9861,410.0199256
1437841,06001,335457.9861,5117.98455
1437842,06001,335457.9861,2490.926656
1437843,06001,335457.9861,221.8845222
1437849,06009,802494.891,8958.025095
1437850,06009,802494.891,35615.12126
1437851,06009,802494.891,31127.48636
1437852,06009,802494.891,30902.27142
1437853,06009,802494.891,6920.939879
