GRIDCODE,CVENTMUN,Fa
1345706,16014,0.001805434
1345707,16014,0.001265344
1345708,16014,0.004488999
1345709,16014,0.005054772
1345710,16014,0.005461806
1345711,16014,0.005556882
1345712,16014,0.005556882
1345713,16014,0.004545177
1345714,16014,0.000868232
1345715,16014,0.002368722
1345716,16014,0.001718353
1345717,16014,7.03494E-05
1345718,16014,0.000496505
1345723,16008,0.071363456
1345724,16008,0.14944684
1345725,16008,0.109902463
1345725,16026,0.002516525
1345726,16026,0.008829579
1345727,16026,0.004394812
1345728,16026,0.015541834
1345729,16026,0.02594588
1345730,16026,0.016325951
1345731,16026,0.005507873
1348882,16014,1.90163E-06
1348883,16014,0.001949773
1348884,16014,0.002115355
1348885,16014,0.000711097
1348886,16014,0.004194716
1348887,16014,0.005556882
1348888,16014,0.005556882
1348889,16014,0.005556882
1348890,16014,0.005556882
1348891,16014,0.005556882
1348892,16014,0.005113743
1348893,16014,0.005556882
1348894,16014,0.003969476
1348895,16014,0.005190038
1348896,16014,0.004536495
1348901,16008,0.253011972
1348901,16014,7.08975E-07
1348902,16008,0.250910676
1348902,16026,0.000393593
1348903,16008,0.138526302
1348903,16026,0.008843241
1348904,16026,0.018765573
1348906,16026,0.007018925
1348907,16026,0.005186161
1348908,16026,0.017488304
1348909,16026,0.000149303
1352060,16014,0.001325458
1352061,16014,0.003270021
1352062,16014,0.005082962
1352063,16014,0.00415668
1352064,16014,0.0046693
1352065,16014,0.005556882
1352066,16014,0.005556882
1352067,16014,0.002322435
1352068,16014,0.004118818
1352069,16014,0.005556882
1352070,16014,0.005556882
1352071,16014,0.005556882
1352072,16014,0.002199734
1352073,16014,0.003327438
1352074,16014,0.002251811
1352075,16014,0.000494633
1352080,16008,0.026838292
1352080,16014,0.00114894
1352080,16026,0.004214008
1352081,16014,5.07009E-06
1352081,16026,0.030305597
1352082,16026,0.03038987
1352083,16026,0.017533292
1352084,16026,0.002560558
1355238,06009,0.000224563
1355238,16014,0.002191697
1355239,06009,2.98844E-06
1355239,16014,0.005290098
1355240,16014,0.005556882
1355241,16014,0.005556882
1355242,16014,0.005556882
1355243,16014,0.005556882
1355244,16014,0.005556882
1355245,16014,0.002386356
1355246,16014,0.001809826
1355247,16014,0.00548738
1355248,16014,0.005556882
1355249,16014,0.005556882
1355250,16014,0.005556882
1355251,16014,0.001234761
1355252,16014,0.003882668
1355253,16014,0.002400085
1355254,16014,0.000429428
1355258,16014,0.001776089
1355259,16014,0.001154521
1355259,16026,0.023588396
1355260,16026,0.03049568
1355261,16026,0.002567536
1358414,06009,0.000636471
1358415,06009,0.001136543
1358416,06009,0.001758264
1358417,06009,0.000626095
1358417,16014,0.003247581
1358418,16014,0.005556882
1358419,16014,0.005556882
1358420,16014,0.005556882
1358421,16014,0.005556882
1358422,16014,0.005556882
1358423,16014,0.002190994
1358424,16014,0.000493482
1358425,16014,0.0047209
1358426,16014,0.005556882
1358427,16014,0.005556882
1358428,16014,0.005090722
1358429,16014,0.000142332
1358430,16014,0.003294595
1358431,16014,0.00475101
1358432,16014,0.001675785
1358433,16014,0.000373896
1358436,16014,0.000778942
1358437,16014,0.000895239
1358437,16026,0.003213878
1358438,16026,0.021135178
1358439,16026,0.015053768
1361591,06009,2.57628E-06
1361592,06009,0.000824493
1361593,06009,0.001187099
1361594,06009,0.002026385
1361595,06009,0.001934278
1361595,16014,0.000252582
1361596,06009,0.00065867
1361596,16014,0.003750636
1361597,16014,0.005556882
1361598,16014,0.005556882
1361599,16014,0.005556882
1361600,16014,0.005556882
1361601,16014,0.004045727
1361602,16014,0.004459872
1361603,16014,0.005556882
1361604,16014,0.005556882
1361605,16014,0.005556882
1361606,16014,0.005556882
1361607,16014,0.005430936
1361608,16014,0.005007155
1361609,16014,0.005476223
1361610,16014,0.005421036
1361611,16014,0.003579332
1361612,16014,1.15938E-05
1364769,06009,0.000260575
1364770,06009,0.001692468
1364771,06009,0.001602734
1364772,06009,0.002026385
1364773,06009,0.002026385
1364774,06009,0.001458953
1364774,16014,0.001556049
1364775,16014,0.005556882
1364776,16014,0.005556882
1364777,16014,0.005069102
1364778,16014,0.005556882
1364779,16014,0.005556882
1364780,16014,0.005556555
1364781,16014,0.004440467
1364782,16014,0.005494017
1364783,16014,0.005556882
1364784,16014,0.005556882
1364785,16014,0.005556882
1364786,16014,0.005556882
1364787,16014,0.005556882
1364788,16014,0.00377216
1364789,16014,0.002947335
1364790,16014,0.001613449
1367947,06009,7.51104E-05
1367948,06009,0.001364272
1367949,06009,0.001998248
1367950,06009,0.002026385
1367951,06009,0.002026385
1367952,06009,0.002016872
1367952,16014,2.60869E-05
1367953,06009,0.000761563
1367953,16014,0.003468475
1367954,16014,0.005556882
1367955,16014,0.004603244
1367956,16014,0.005556882
1367957,16014,0.005556882
1367958,16014,0.005555815
1367959,16014,0.004038168
1367960,16014,0.004824698
1367961,16014,0.005556882
1367962,16014,0.005556882
1367963,16014,0.005556882
1367964,16014,0.005556882
1367965,16014,0.005556882
1367966,16014,0.005556882
1367967,16014,0.003193215
1367968,16014,0.002203959
1367969,16014,0.002214912
1367970,16014,1.32049E-06
