GRIDCODE,CVENTMUN,Fb
1345706,16014,8.34961E-05
1345707,16014,0.003888427
1345708,16014,0.001002819
1345713,16014,0.00376942
1345714,16014,0.00549919
1345715,16014,0.00549919
1345716,16014,0.00549919
1345717,16008,0.001825337
1345717,16014,0.005397031
1345718,16008,0.036047162
1345718,16014,0.003481727
1345719,16008,0.078726492
1345719,16014,0.001093079
1345720,16008,0.098257157
1345721,16008,0.098257157
1345722,16008,0.098257157
1345723,16008,0.098257157
1345724,16008,0.091522967
1345725,16008,0.083108525
1345725,16026,0.000456822
1345726,16008,0.013828008
1345726,16026,0.00439841
1345727,16026,0.005118793
1345728,16026,0.005118793
1345729,16026,0.005118793
1345730,16026,0.005118793
1345731,16026,0.005118793
1348883,16014,7.74465E-05
1348884,16014,0.003271074
1348885,16014,0.004795476
1348886,16014,0.001348024
1348891,16014,0.002078893
1348892,16014,0.00549919
1348893,16014,0.00549919
1348894,16014,0.00549919
1348895,16014,0.00549919
1348896,16014,0.00549919
1348897,16008,0.001538606
1348897,16014,0.005413079
1348898,16008,0.038885385
1348898,16014,0.003322879
1348899,16008,0.058069224
1348899,16014,0.002249211
1348900,16008,0.050343901
1348900,16014,0.002681577
1348901,16008,0.058885824
1348901,16014,0.002203508
1348902,16008,0.0835865
1348902,16014,0.000213195
1348902,16026,8.31916E-05
1348903,16008,0.003375988
1348903,16026,0.003874219
1348904,16026,0.005118793
1348905,16026,0.005118793
1348906,16026,0.005118793
1348907,16026,0.005118793
1348908,16026,0.005118793
1348909,16026,0.005118793
1352059,06009,3.78183E-05
1352060,06009,0.000449298
1352060,16014,0.000295964
1352061,16014,0.002118574
1352062,16014,0.000469
1352063,16014,0.001385665
1352064,16014,0.000878367
1352069,16014,0.000298613
1352070,16014,0.004054321
1352071,16014,0.00549919
1352072,16014,0.00549919
1352073,16014,0.00549919
1352074,16014,0.00549919
1352075,16014,0.00549919
1352076,16014,0.00549919
1352077,16014,0.00549919
1352078,16014,0.00549919
1352079,16014,0.00549919
1352080,16008,0.007227453
1352080,16014,0.00433479
1352080,16026,0.000707334
1352081,16014,5.01745E-06
1352081,16026,0.005114122
1352082,16026,0.005118793
1352083,16026,0.005118793
1352084,16026,0.005118793
1352085,16026,0.005118793
1352086,16026,0.005118793
1352087,16026,0.005118793
1355237,06009,0.001875666
1355238,06009,0.000981446
1355238,16014,0.000219235
1355248,16014,0.000633367
1355249,16014,0.00523948
1355250,16014,0.00549919
1355251,16014,0.00549919
1355252,16014,0.00549919
1355253,16014,0.00549919
1355254,16014,0.00549919
1355255,16014,0.00549919
1355256,16014,0.00549919
1355257,16014,0.00549919
1355258,16014,0.00549919
1355259,16014,0.001245569
1355259,16026,0.003959384
1355260,16026,0.005118793
1355261,16026,0.005118793
1355262,16026,0.005118793
1355263,16026,0.005118793
1355264,16026,0.005118793
1355265,16026,0.005118793
1358414,06009,9.53071E-07
1358415,06009,0.001313419
1358416,06009,0.000123586
1358426,16014,5.07305E-05
1358427,16014,0.002382976
1358428,16014,0.003473585
1358429,16014,0.005359853
1358430,16014,0.005319857
1358431,16014,0.005321338
1358432,16014,0.00549919
1358433,16014,0.00549919
1358434,16014,0.00549919
1358435,16014,0.00549919
1358436,16014,0.00549919
1358437,16014,0.00330665
1358437,16026,0.002040875
1358438,16026,0.005118793
1358439,16026,0.005118793
1358440,16026,0.005118793
1358441,16026,0.005118793
1358442,16026,0.005118793
1358443,16026,0.005118793
1361591,06009,0.001551428
1361592,06009,0.001005193
1361607,16014,0.000124639
1361608,16014,0.000567754
1361609,16014,0.004438377
1361610,16014,0.00549919
1361611,16014,0.00549919
1361612,16014,0.00549919
1361613,16014,0.00549919
1361614,16014,0.00549919
1361615,16014,0.004874526
1361615,16026,0.000581454
1361616,16014,4.18834E-05
1361616,16026,0.005079806
1361617,16026,0.005118793
1361618,16026,0.005118793
1361619,16026,0.005118793
1361620,16026,0.005118793
1361621,16026,0.005118793
1364768,06009,0.001352511
1364769,06009,0.003389756
1364770,06009,0.000355501
1364771,06009,7.05448E-05
1364780,16014,3.23578E-07
1364781,16014,0.001104824
1364782,16014,6.22121E-05
1364787,16014,0.002629551
1364788,16014,0.00549919
1364789,16014,0.00549919
1364790,16014,0.00549919
1364791,16014,0.00549919
1364792,16014,0.00549919
1364793,16014,0.003713581
1364793,16026,0.001662092
1364794,16014,0.000387756
1364794,16026,0.004757859
1364795,16026,0.005118793
1364796,16026,0.005118793
1364797,16026,0.005118793
1364798,16026,0.005118793
1364799,16026,0.005118793
1367945,06009,0.001328598
1367946,06009,0.003860216
1367947,06009,0.003789157
1367948,06009,0.001285749
1367949,06009,5.46397E-05
1367958,16014,1.05577E-06
1367959,16014,0.001502946
1367960,16014,0.000724582
1367965,16014,0.000681935
1367966,16014,0.003104298
1367967,16014,0.005384045
1367968,16014,0.00549919
1367969,16014,0.005442716
1367970,16014,0.005497883
1367971,16014,0.00295789
1367971,16026,0.002363665
1367972,16026,0.005118793
1367973,16026,0.005118793
1367974,16026,0.005118793
1367975,16026,0.005118793
1367976,16026,0.005118793
1367977,16026,0.005118793
1371122,06009,0.001527669
1371123,06009,0.002356427
1371124,06009,0.003930514
1371125,06009,0.003902412
1371126,06009,0.001620563
1371140,16014,0.00182375
1371145,16014,0.001260585
1371146,16014,0.002998902
1371147,16014,0.003621007
1371148,16014,0.002595142
1371149,16014,0.001096458
1371149,16026,0.000359865
1371150,16014,0.00339224
1371150,16026,0.001887803
1371151,16014,0.001668086
1371151,16026,0.003566093
1371152,16026,0.005118793
1371153,16026,0.005118793
1371154,16026,0.005118793
1371155,16026,0.005118793
1374299,06009,0.001088196
1374300,06009,0.003469417
1374301,06009,0.003292758
1374302,06009,0.003857884
1374303,06009,0.001657206
1374304,06009,0.000670278
1374317,16014,0.000690437
1374318,16014,0.005028235
1374319,16014,9.05442E-05
1374321,16014,6.23129E-05
1374322,16014,0.001543405
1374323,16014,0.005294194
1374324,16014,0.00549919
1374325,16014,0.00549919
1374326,16014,0.00549919
1374327,16014,0.00549919
1374328,16014,0.00549919
1374329,16014,0.003119843
1374329,16026,0.002214759
1374330,16014,2.83152E-05
1374330,16026,0.005092436
1374331,16026,0.005118793
1374332,16026,0.005118793
1374333,16026,0.005118793
1377477,06009,0.000801911
1377478,06009,0.00338501
1377479,06009,0.002393457
1377480,06009,0.002105519
1377494,16014,6.43428E-05
1377495,16014,0.005220634
1377496,16014,0.00549919
1377497,16014,0.004765252
1377498,16014,0.004807654
1377499,16014,0.004311643
1377500,16014,0.005498951
1377501,16014,0.00549919
1377502,16014,0.00549919
1377503,16014,0.00549919
1377504,16014,0.00549919
1377505,16014,0.00549919
1377506,16014,0.00549919
1377507,16014,0.00549919
1377508,16014,0.002269509
1377508,16026,0.003006274
1377509,16026,0.005118793
1377510,16026,0.005118793
1377511,16026,0.005118793
1380655,06009,5.42937E-06
1380656,06009,0.000162311
1380657,06009,0.000235765
1380673,16014,0.00160506
1380674,16014,0.003369155
1380675,16014,0.004567951
1380676,16014,0.00549919
1380677,16014,0.00549919
1380678,16014,0.00549919
1380679,16014,0.00549919
1380680,16014,0.00549919
1380681,16014,0.00549919
1380682,16014,0.00549919
1380683,16014,0.00549919
1380684,16014,0.00549919
1380685,16014,0.00549919
1380686,16014,0.001946585
1380686,16026,0.00330686
1380687,16026,0.005118793
1380688,16026,0.005118793
1380689,16026,0.005118793
1383845,06009,4.84265E-06
1383846,06009,0.00202316
1383853,16014,0.003495622
1383854,16014,0.005376693
1383855,16014,0.00549919
1383856,16014,0.00549919
1383857,16014,0.00549919
1383858,16014,0.00549919
1383859,16014,0.00549919
1383860,16014,0.00549919
1383861,16014,0.00549919
1383862,16014,0.00549919
1383863,16014,0.00549919
1383864,16014,0.002001296
1383864,16026,0.003255933
1383865,16026,0.005118793
1383866,16026,0.005118793
1383867,16026,0.005118793
1387018,06009,0.000173162
1387019,06009,0.001246248
1387020,06009,0.001972358
1387021,06009,0.001194611
1387022,06009,0.001333213
1387023,06009,0.001742765
1387024,06009,0.00112491
1387025,06009,0.000229387
1387026,06009,2.76867E-07
1387029,16014,3.28436E-06
1387030,16014,0.002272816
1387031,16014,0.004040161
1387032,16014,0.005416212
1387033,16014,0.00549919
1387034,16014,0.00549919
1387035,16014,0.00549919
1387036,16014,0.00549919
1387037,16014,0.00549919
1387038,16014,0.00549919
1387039,16014,0.00549919
1387040,16014,0.00549919
1387041,16014,0.005462189
1387041,16026,3.44412E-05
1387042,16014,0.001689148
1387042,16026,0.003546488
1387043,16026,0.005118793
1387044,16026,0.005118793
1387045,16026,0.005118793
1390195,06009,3.96269E-05
1390196,06009,0.00038095
1390197,06009,0.000770541
1390198,06009,0.00262821
1390199,06009,0.002122544
1390200,06009,0.003855987
1390201,06009,0.003935013
1390202,06009,0.003800754
1390203,06009,0.003935013
1390204,06009,0.003618164
1390205,06009,0.000506909
1390208,16014,0.003257193
1390209,16014,0.00549919
1390210,16014,0.00549919
1390211,16014,0.00549919
1390212,16014,0.00549919
1390213,16014,0.00549919
1390214,16014,0.00549919
1390215,16014,0.00549919
1390216,16014,0.004618605
1390217,16014,0.00549919
1390218,16014,0.005497192
1390218,16026,1.85998E-06
1390219,16014,0.002632143
1390219,16026,0.002668724
1390220,16014,4.48428E-05
1390220,16026,0.005077052
1390221,16026,0.005118793
1390222,16026,0.005118793
1390223,16026,0.005118793
1393372,06009,0.000240206
1393373,06009,0.003233895
1393374,06009,0.002192388
1393375,06009,0.000124242
1393376,06009,0.000529638
1393377,06009,0.00026023
1393378,06009,0.00379373
1393379,06009,0.003935013
