GRIDCODE,CVENTMUN,F_pav
1345710,16014,0.031629807
1345711,16014,0.029399771
1348886,16014,0.000173305
1348887,16014,0.057672292
1348888,16014,0.077477153
1348889,16014,0.022166959
1352064,16014,0.061016407
1352067,16014,0.036584899
1352068,16014,0.035012051
1355241,16014,0.02178076
1355242,16014,0.032812124
1355245,16014,0.008490391
1355246,16014,0.030949262
1358419,16014,0.055304082
1358422,16014,0.00662889
1358423,16014,0.030285127
1361596,06009,9.13968E-05
1361596,16014,0.038031393
1361597,16014,0.074001654
1361598,16014,0.017110259
1361600,16014,0.029375288
1364773,06009,0.00267792
1364774,06009,0.007098762
1364776,16014,0.045671846
1364777,16014,0.051537829
1364778,16014,0.007628188
1367951,06009,0.008014694
1367955,16014,0.051609897
1367956,16014,0.009256045
1371129,06009,0.00796079
1371134,16014,0.059586835
1374307,06009,0.007048673
1374308,06009,0.002857277
1374312,16014,0.015948549
1374313,16014,0.061195702
1374314,16014,0.001663234
1377485,06009,0.010635036
1380662,06009,0.01094714
1380663,06009,0.000600708
1383837,06009,0.002757324
1383838,06009,0.008580082
1383839,06009,0.008852205
1383840,06009,6.04908E-05
1387013,06009,0.007167346
1387014,06009,0.008539871
1387015,06009,0.005823702
1390190,06009,0.008230782
1390191,06009,0.001681213
1393367,06009,0.00276258
1393368,06009,0.006656352
1396545,06009,0.009454802
1399722,06009,0.00679141
1399723,06009,0.002502241
1402899,06009,0.000495263
1402900,06009,0.008809726
1406077,06009,0.009281877
1409254,06009,0.00422916
1409255,06009,0.00636019
1412432,06009,0.009374354
1412433,06009,0.009909612
1415609,06009,0.006255916
1415610,06009,0.002924542
1415611,06009,0.003213554
1415612,06009,0.006747032
1415617,06009,0.003636411
1415618,06009,0.009061017
1415619,06009,0.008423738
1415620,06009,0.003807433
1418786,06009,1.60033E-05
1418787,06009,0.009346366
1418790,06009,0.006482718
1418791,06009,0.003466826
1418792,06009,0.002777978
1418793,06009,0.008039553
1418794,06009,0.009169779
1418795,06009,0.005486322
1421964,06009,0.009362369
1421969,06009,0.007134383
1421970,06009,0.005331139
1425141,06009,0.003338825
1425142,06009,0.005903857
1428314,06009,0.008088823
1428315,06009,0.00412886
1428319,06009,0.009331498
1431477,06001,0.007759881
1431478,06001,0.03187533
1431479,06001,0.000957777
1431493,06009,0.004147875
1431494,06009,0.008283938
1431495,06009,0.008210026
1431496,06009,0.014058484
