GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Ptot,PobT_urb,Ptot_rur,
1345709,16014,,0.066481183,0.066481183,454,,6829,6829
1345726,16026,,0.011969021,0.011969021,51,,4261,4261
1348886,16014,,0.000439303,0.000439303,3,,6829,6829
1348887,16014,,0.000292869,0.000292869,2,,6829,6829
1348895,16014,,0.021379411,0.021379411,146,,6829,6829
1348904,16026,,0.006336541,0.006336541,27,,4261,4261
1348908,16026,,0.006336541,0.006336541,27,,4261,4261
1352059,06009,,0.000301205,0.000301205,3,,9960,9960
1352060,16014,,0.0639918,0.0639918,437,,6829,6829
1352067,16014,0.17036702,0.000585737,0.0883411,1248.701445,7306,6829,14135
1352068,16014,0.120269084,,0.120269084,878.6859308,7306,,7306
1352071,16014,,0.000585737,0.000585737,4,,6829,6829
1352073,16014,,0.003075121,0.003075121,21,,6829,6829
1352074,16014,,0.001171475,0.001171475,8,,6829,6829
1352076,16014,,0.002050081,0.002050081,14,,6829,6829
1352081,16026,,0.00422436,0.00422436,18,,4261,4261
1352085,16026,,0.001877494,0.001877494,8,,4261,4261
1355239,16014,,0.000146434,0.000146434,1,,6829,6829
1355243,16014,,0.000292869,0.000292869,2,,6829,6829
1355244,16014,0.004333484,,0.004333484,31.66043675,7306,,7306
1355245,16014,0.074591259,,0.074591259,544.9637389,7306,,7306
1355246,16014,0.218592735,0.000585737,0.11326767,1601.03852,7306,6829,14135
1355247,16014,0.002036711,,0.002036711,14.88021293,7306,,7306
1355248,16014,,0.001903646,0.001903646,13,,6829,6829
1355259,16026,,0.00422436,0.00422436,18,,4261,4261
1355260,16026,,0.004693734,0.004693734,20,,4261,4261
1355261,16026,,0.001173433,0.001173433,5,,4261,4261
1358417,16014,,0.00102504,0.00102504,7,,6829,6829
1358422,16014,0.000926273,0.001317909,0.001115483,15.76734698,7306,6829,14135
1358423,16014,0.100205047,0.000146434,0.051864031,733.0980758,7306,6829,14135
1358424,16014,0.19681048,,0.19681048,1437.897365,7306,,7306
1358425,16014,0.042698724,0.000439303,0.022282057,314.9568787,7306,6829,14135
1358430,16014,,0.075267243,0.075267243,514,,6829,6829
1358441,16026,,0.0035203,0.0035203,15,,4261,4261
1361597,16014,,0.005710939,0.005710939,39,,6829,6829
1361598,16014,,0.001464343,0.001464343,10,,6829,6829
1361600,16014,,0.002928686,0.002928686,20,,6829,6829
1361601,16014,0.006640583,,0.006640583,48.51609741,7306,,7306
1361602,16014,0.047011289,,0.047011289,343.4644762,7306,,7306
1361603,16014,0.015654188,,0.015654188,114.3694974,7306,,7306
1361605,16014,,0.000732172,0.000732172,5,,6829,6829
1361611,16014,,0.021965149,0.021965149,150,,6829,6829
1361614,16014,,0.000292869,0.000292869,2,,6829,6829
1364773,06009,,0.002008032,0.002008032,20,,9960,9960
1364774,06009,,0.000702811,0.000702811,7,,9960,9960
1364776,16014,,0.001610778,0.001610778,11,,6829,6829
1364787,16014,,0.000732172,0.000732172,5,,6829,6829
1367948,06009,,0.000301205,0.000301205,3,,9960,9960
1367951,06009,,0.012349398,0.012349398,123,,9960,9960
1367955,16014,,0.061941719,0.061941719,423,,6829,6829
1367958,16014,,0.000146434,0.000146434,1,,6829,6829
1367961,16014,,0.000585737,0.000585737,4,,6829,6829
1367962,16014,,0.001171475,0.001171475,8,,6829,6829
1367966,16014,,0.020940108,0.020940108,143,,6829,6829
1367971,16014,,0.000292869,0.000292869,2,,6829,6829
1371129,06009,,0.001104418,0.001104418,11,,9960,9960
1371130,06009,0.000521427,,0.000521427,53.58492039,102766,,102766
1371136,16014,,0.00102504,0.00102504,7,,6829,6829
1371137,16014,,0.001317909,0.001317909,9,,6829,6829
1371138,16014,,0.000146434,0.000146434,1,,6829,6829
1371145,16014,,0.000732172,0.000732172,5,,6829,6829
1371146,16014,,0.003221555,0.003221555,22,,6829,6829
1371147,16014,,0.005564504,0.005564504,38,,6829,6829
1371149,16014,,0.006003807,0.006003807,41,,6829,6829
1374299,06009,,0.000200803,0.000200803,2,,9960,9960
1374307,06009,0.016606233,,0.016606233,1706.55613,102766,,102766
1374308,06009,0.034647389,,0.034647389,3560.573549,102766,,102766
1374313,16014,,0.355103236,0.355103236,2425,,6829,6829
1374314,16014,,0.001464343,0.001464343,10,,6829,6829
1374316,16014,,0.000292869,0.000292869,2,,6829,6829
1374321,16014,,0.024747401,0.024747401,169,,6829,6829
1377485,06009,0.009169399,0.000502008,0.008403584,947.3024436,102766,9960,112726
1377486,06009,0.012990512,0.000401606,0.011878208,1338.982912,102766,9960,112726
1380653,06009,,0.000502008,0.000502008,5,,9960,9960
1380663,06009,,0.022791165,0.022791165,227,,9960,9960
1380673,16014,,0.099136037,0.099136037,677,,6829,6829
1380675,16014,,0.002196515,0.002196515,15,,6829,6829
1383829,06009,,0.000401606,0.000401606,4,,9960,9960
1383831,06009,,0.001004016,0.001004016,10,,9960,9960
1383832,06009,,0.001506024,0.001506024,15,,9960,9960
1383834,06009,,0.000502008,0.000502008,5,,9960,9960
1383835,06009,,0.001004016,0.001004016,10,,9960,9960
1383841,06009,,0.000702811,0.000702811,7,,9960,9960
1383842,06009,,0.000903614,0.000903614,9,,9960,9960
1383843,06009,,0.000200803,0.000200803,2,,9960,9960
1383853,16014,,0.001757212,0.001757212,12,,6829,6829
1387008,06009,,0.001305221,0.001305221,13,,9960,9960
1387009,06009,,0.002710843,0.002710843,27,,9960,9960
1387013,06009,,0.002108434,0.002108434,21,,9960,9960
1387014,06009,,0.000301205,0.000301205,3,,9960,9960
1387015,06009,,0.000401606,0.000401606,4,,9960,9960
1387018,06009,,0.000401606,0.000401606,4,,9960,9960
1387023,06009,,0.000803213,0.000803213,8,,9960,9960
1390184,06009,,0.000702811,0.000702811,7,,9960,9960
1390186,06009,,0.000903614,0.000903614,9,,9960,9960
1390188,06009,,0.000502008,0.000502008,5,,9960,9960
1390195,06009,,0.002108434,0.002108434,21,,9960,9960
1393360,06009,,0.000200803,0.000200803,2,,9960,9960
1393362,06009,,0.000100402,0.000100402,1,,9960,9960
1393365,06009,,0.001204819,0.001204819,12,,9960,9960
1393366,06009,,0.001606426,0.001606426,16,,9960,9960
1393367,06009,,0.000100402,0.000100402,1,,9960,9960
1393368,06009,,0.000803213,0.000803213,8,,9960,9960
1393369,06009,,0.000301205,0.000301205,3,,9960,9960
1393375,06009,,0.00060241,0.00060241,6,,9960,9960
1393376,06009,,0.000502008,0.000502008,5,,9960,9960
1393394,16014,,0.002342949,0.002342949,16,,6829,6829
1393401,16026,,0.005867167,0.005867167,25,,4261,4261
1396539,06009,,0.000200803,0.000200803,2,,9960,9960
1396541,06009,,0.006526104,0.006526104,65,,9960,9960
1396542,06009,,0.000502008,0.000502008,5,,9960,9960
1396543,06009,,0.000702811,0.000702811,7,,9960,9960
1396544,06009,,0.001204819,0.001204819,12,,9960,9960
1396545,06009,,0.000502008,0.000502008,5,,9960,9960
1396547,06009,,0.000803213,0.000803213,8,,9960,9960
1396548,06009,,0.000100402,0.000100402,1,,9960,9960
1396563,06009,,0.033634538,0.033634538,335,,9960,9960
1396568,16014,,0.000585737,0.000585737,4,,6829,6829
1396573,16014,,0.041294479,0.041294479,282,,6829,6829
1396577,16026,,0.00140812,0.00140812,6,,4261,4261
1399713,06009,,0.003413655,0.003413655,34,,9960,9960
