GRIDCODE,CVENTMUN,Fter
1374314,16014,0.017966169
1377492,16014,0.011751536
1377493,16014,0.031190719
1377494,16014,0.036898763
1377495,16014,0.000297366
1380673,16014,0.035742547
1380674,16014,0.017746321
1383839,06009,0.00985432
1383840,06009,0.038571242
1383852,16014,0.020881408
1383853,16014,0.03797122
1383854,16014,0.006262265
1387018,06009,0.053475826
1387032,16014,0.042474723
1390196,06009,0.053017901
1390210,16014,0.010190937
1390211,16014,0.028107508
1390220,16026,0.047029568
1390221,16026,0.10323475
1390222,16026,0.122319595
1390223,16026,0.112006793
1393374,06009,0.007828524
1393375,06009,0.065546017
1393389,16014,0.021454903
1393390,16014,0.01671933
1393395,16014,0.004510876
1393396,16014,0.013633893
1393396,16026,0.088227856
1393397,16026,0.111120457
1393398,16026,0.054702014
1396553,06009,0.009730166
1396554,06009,0.053193769
1396555,06009,0.057675239
1396556,06009,0.005289895
1396568,16014,0.032493206
1396569,16014,0.005939893
1396571,16014,0.021190865
1396572,16014,0.032588167
1396573,16014,0.029591877
1399734,06009,0.069165546
1399746,16014,0.017586751
1399747,16014,0.076885399
1399748,16014,0.035763904
1399749,16014,0.013148198
1402912,06009,0.021309462
1402913,06009,0.058888097
1402914,06009,0.014274866
1402924,16014,0.072041753
1406092,06009,0.050582696
1406093,06009,0.021007461
1406102,16014,0.073602473
1409271,06009,0.054100132
1409279,16014,0.061243304
1409280,16014,0.00758684
1412442,06009,0.022833134
1412443,06009,0.05105291
1412444,06009,0.038615195
1412449,06006,0.015543674
1412449,06009,0.01414763
1412450,06006,0.005011127
1412457,16014,0.047962566
1412458,16014,0.045154177
1415620,06009,0.023140035
1415622,06009,0.018322045
1415623,06009,0.058742021
1415624,06009,0.022064652
1415628,06006,0.011946662
1415629,06006,0.020473609
1415636,16014,0.062530989
1415637,16014,0.010889154
1418802,06009,0.082609142
1418807,06006,0.008468633
1418808,06006,0.020284918
1418809,06006,0.001581873
1421980,06006,0.010085349
1421980,06009,0.024962077
1421981,06006,0.02206572
1421986,06006,0.04069748
1421987,06006,0.012662653
1425159,06006,0.029613111
1425160,06006,0.021748078
1425163,06006,0.009142408
1425164,06006,0.026016503
1428338,06006,0.035233846
1428340,06006,0.011967155
1428341,06006,0.043249824
1431516,06006,0.040928169
1431517,06006,0.003673775
1431518,06006,0.036675623
1431529,06002,0.001368008
1431530,06002,0.013028194
1434694,06006,0.018728291
1434695,06006,0.066203597
1434708,06002,0.015242392
1437872,06006,0.000560287
1437873,06006,0.033890672
1437886,06002,0.005016593
1437887,06002,0.009904505
1441020,06001,0.011220168
1441050,06006,0.042631964
1441065,06002,0.016105781
1441070,16026,0.069731738
1441071,16026,0.121352078
1444198,06001,0.029720468
1444227,06006,0.008684523
1444228,06006,0.016730451
1444243,06002,0.013191519
1444247,16026,0.112989552
1444248,16026,0.057285599
1447375,06001,0.00962159
1447376,06001,0.022374483
1447405,06006,0.017239374
1447421,06002,0.0149313
1450552,06001,0.009940711
1450553,06001,0.025775509
1450583,06006,0.016671751
1450599,06002,0.012557583
1453730,06001,0.029870972
1453759,06006,0.00222518
1453760,06006,0.017908312
1453761,06006,0.014184252
1453777,06002,0.007245049
1453778,06002,0.011627637
