GRIDCODE,LONG,LATITUDE,Huso,Pob,X_long(NALCC),Y_lat(NALCC),UTMz
120,96,IE 2016 Colima V4.0,,,,,
1345612,-104.6084454,18.65464211,6,0,2225321.774,742649.0616,13
1345613,-104.5989512,18.65480643,6,0,2226321.774,742649.0616,13
1345614,-104.5894568,18.65497014,6,0,2227321.774,742649.0616,13
1345615,-104.5799625,18.65513326,6,0,2228321.774,742649.0616,13
1345616,-104.5704682,18.65529577,6,0,2229321.774,742649.0616,13
1345617,-104.5609738,18.65545769,6,0,2230321.774,742649.0616,13
1345618,-104.5514794,18.65561901,6,0,2231321.774,742649.0616,13
1345619,-104.541985,18.65577973,6,0,2232321.774,742649.0616,13
1345620,-104.5324905,18.65593985,6,0,2233321.774,742649.0616,13
1345621,-104.5229961,18.65609937,6,0,2234321.774,742649.0616,13
1345622,-104.5135016,18.65625829,6,0,2235321.774,742649.0616,13
1345623,-104.5040071,18.65641662,6,0,2236321.774,742649.0616,13
1345624,-104.4945125,18.65657434,6,0,2237321.774,742649.0616,13
1345625,-104.485018,18.65673146,6,0,2238321.774,742649.0616,13
1345626,-104.4755234,18.65688799,6,0,2239321.774,742649.0616,13
1345627,-104.4660288,18.65704392,6,0,2240321.774,742649.0616,13
1345628,-104.4565342,18.65719925,6,0,2241321.774,742649.0616,13
1345629,-104.4470395,18.65735397,6,0,2242321.774,742649.0616,13
1345630,-104.4375449,18.6575081,6,0,2243321.774,742649.0616,13
1345631,-104.4280502,18.65766163,6,0,2244321.774,742649.0616,13
1345632,-104.4185555,18.65781456,6,0,2245321.774,742649.0616,13
1345633,-104.4090608,18.6579669,6,0,2246321.774,742649.0616,13
1345634,-104.399566,18.65811863,6,0,2247321.774,742649.0616,13
1345635,-104.3900713,18.65826976,6,0,2248321.774,742649.0616,13
1345636,-104.3805765,18.6584203,6,0,2249321.774,742649.0616,13
1345637,-104.3710817,18.65857023,6,0,2250321.774,742649.0616,13
1345638,-104.3615868,18.65871957,6,0,2251321.774,742649.0616,13
1345639,-104.352092,18.65886831,6,0,2252321.774,742649.0616,13
1345640,-104.3425971,18.65901645,6,0,2253321.774,742649.0616,13
1345641,-104.3331022,18.65916399,6,0,2254321.774,742649.0616,13
1345642,-104.3236073,18.65931093,6,0,2255321.774,742649.0616,13
1345643,-104.3141124,18.65945727,6,0,2256321.774,742649.0616,13
1345644,-104.3046174,18.65960301,6,0,2257321.774,742649.0616,13
1345645,-104.2951225,18.65974815,6,0,2258321.774,742649.0616,13
1345646,-104.2856275,18.65989269,6,0,2259321.774,742649.0616,13
1345647,-104.2761324,18.66003664,6,0,2260321.774,742649.0616,13
1345648,-104.2666374,18.66017998,6,0,2261321.774,742649.0616,13
1345649,-104.2571424,18.66032273,6,0,2262321.774,742649.0616,13
1345650,-104.2476473,18.66046488,6,0,2263321.774,742649.0616,13
1345651,-104.2381522,18.66060643,6,0,2264321.774,742649.0616,13
1345652,-104.2286571,18.66074737,6,0,2265321.774,742649.0616,13
1345653,-104.219162,18.66088772,6,0,2266321.774,742649.0616,13
1345654,-104.2096668,18.66102747,6,0,2267321.774,742649.0616,13
1345655,-104.2001716,18.66116662,6,0,2268321.774,742649.0616,13
1345656,-104.1906764,18.66130518,6,0,2269321.774,742649.0616,13
1345657,-104.1811812,18.66144313,6,0,2270321.774,742649.0616,13
1345658,-104.171686,18.66158048,6,0,2271321.774,742649.0616,13
1345659,-104.1621908,18.66171724,6,0,2272321.774,742649.0616,13
1345660,-104.1526955,18.66185339,6,0,2273321.774,742649.0616,13
1345661,-104.1432002,18.66198895,6,0,2274321.774,742649.0616,13
1345662,-104.1337049,18.66212391,6,0,2275321.774,742649.0616,13
1345663,-104.1242096,18.66225826,6,0,2276321.774,742649.0616,13
1345664,-104.1147142,18.66239202,6,0,2277321.774,742649.0616,13
1345665,-104.1052189,18.66252518,6,0,2278321.774,742649.0616,13
1345666,-104.0957235,18.66265774,6,0,2279321.774,742649.0616,13
1345667,-104.0862281,18.6627897,6,0,2280321.774,742649.0616,13
1345668,-104.0767327,18.66292106,6,0,2281321.774,742649.0616,13
1345669,-104.0672373,18.66305183,6,0,2282321.774,742649.0616,13
1345670,-104.0577418,18.66318199,6,0,2283321.774,742649.0616,13
1345671,-104.0482463,18.66331156,6,0,2284321.774,742649.0616,13
1345672,-104.0387509,18.66344052,6,0,2285321.774,742649.0616,13
1345673,-104.0292553,18.66356889,6,0,2286321.774,742649.0616,13
1345674,-104.0197598,18.66369665,6,0,2287321.774,742649.0616,13
1345675,-104.0102643,18.66382382,6,0,2288321.774,742649.0616,13
1345676,-104.0007687,18.66395039,6,0,2289321.774,742649.0616,13
1345677,-103.9912732,18.66407636,6,0,2290321.774,742649.0616,13
1345678,-103.9817776,18.66420173,6,0,2291321.774,742649.0616,13
1345679,-103.9722819,18.6643265,6,0,2292321.774,742649.0616,13
1345680,-103.9627863,18.66445067,6,0,2293321.774,742649.0616,13
1345681,-103.9532907,18.66457424,6,0,2294321.774,742649.0616,13
1345682,-103.943795,18.66469722,6,0,2295321.774,742649.0616,13
1345683,-103.9342993,18.66481959,6,0,2296321.774,742649.0616,13
1345684,-103.9248036,18.66494136,6,0,2297321.774,742649.0616,13
1345685,-103.9153079,18.66506254,6,0,2298321.774,742649.0616,13
1345686,-103.9058122,18.66518312,6,0,2299321.774,742649.0616,13
1345687,-103.8963164,18.66530309,6,0,2300321.774,742649.0616,13
1345688,-103.8868207,18.66542247,6,0,2301321.774,742649.0616,13
1345689,-103.8773249,18.66554125,6,0,2302321.774,742649.0616,13
1345690,-103.8678291,18.66565943,6,0,2303321.774,742649.0616,13
1345691,-103.8583333,18.66577701,6,0,2304321.774,742649.0616,13
1345692,-103.8488375,18.66589399,6,0,2305321.774,742649.0616,13
1345693,-103.8393416,18.66601037,6,0,2306321.774,742649.0616,13
1345694,-103.8298458,18.66612615,6,0,2307321.774,742649.0616,13
1345695,-103.8203499,18.66624134,6,0,2308321.774,742649.0616,13
1345696,-103.810854,18.66635592,6,0,2309321.774,742649.0616,13
1345697,-103.8013581,18.6664699,6,0,2310321.774,742649.0616,13
1345698,-103.7918622,18.66658329,6,0,2311321.774,742649.0616,13
1345699,-103.7823662,18.66669608,6,0,2312321.774,742649.0616,13
1345700,-103.7728703,18.66680826,6,0,2313321.774,742649.0616,13
1345701,-103.7633743,18.66691985,6,0,2314321.774,742649.0616,13
1345702,-103.7538783,18.66703084,6,0,2315321.774,742649.0616,13
1345703,-103.7443823,18.66714123,6,0,2316321.774,742649.0616,13
1345704,-103.7348863,18.66725102,6,0,2317321.774,742649.0616,13
1345705,-103.7253903,18.66736021,6,0,2318321.774,742649.0616,13
1345706,-103.7158942,18.6674688,6,0,2319321.774,742649.0616,13
1345707,-103.7063981,18.66757679,6,0,2320321.774,742649.0616,13
1345708,-103.6969021,18.66768418,6,0,2321321.774,742649.0616,13
1345709,-103.687406,18.66779098,6,454,2322321.774,742649.0616,13
1345710,-103.6779099,18.66789717,6,0,2323321.774,742649.0616,13
1345711,-103.6684137,18.66800277,6,0,2324321.774,742649.0616,13
1345712,-103.6589176,18.66810776,6,0,2325321.774,742649.0616,13
1345713,-103.6494215,18.66821216,6,0,2326321.774,742649.0616,13
1345714,-103.6399253,18.66831596,6,0,2327321.774,742649.0616,13
1345715,-103.6304291,18.66841915,6,0,2328321.774,742649.0616,13
1345716,-103.6209329,18.66852175,6,0,2329321.774,742649.0616,13
1345717,-103.6114367,18.66862375,6,0,2330321.774,742649.0616,13
1345718,-103.6019405,18.66872515,6,0,2331321.774,742649.0616,13
1345719,-103.5924442,18.66882595,6,0,2332321.774,742649.0616,13
1345720,-103.582948,18.66892615,6,0,2333321.774,742649.0616,13
1345721,-103.5734517,18.66902576,6,0,2334321.774,742649.0616,13
1345722,-103.5639554,18.66912476,6,0,2335321.774,742649.0616,13
1345723,-103.5544592,18.66922316,6,0,2336321.774,742649.0616,13
1345724,-103.5449628,18.66932097,6,0,2337321.774,742649.0616,13
1345725,-103.5354665,18.66941817,6,0,2338321.774,742649.0616,13
1345726,-103.5259702,18.66951478,6,51,2339321.774,742649.0616,13
1345727,-103.5164738,18.66961078,6,0,2340321.774,742649.0616,13
1345728,-103.5069775,18.66970619,6,0,2341321.774,742649.0616,13
1345729,-103.4974811,18.669801,6,0,2342321.774,742649.0616,13
1345730,-103.4879847,18.66989521,6,0,2343321.774,742649.0616,13
1345731,-103.4784883,18.66998882,6,0,2344321.774,742649.0616,13
1348790,-104.6086181,18.66369207,6,0,2225321.774,743649.0616,13
1348791,-104.5991232,18.6638564,6,0,2226321.774,743649.0616,13
1348792,-104.5896283,18.66402012,6,0,2227321.774,743649.0616,13
1348793,-104.5801333,18.66418325,6,0,2228321.774,743649.0616,13
1348794,-104.5706384,18.66434578,6,0,2229321.774,743649.0616,13
1348795,-104.5611433,18.66450771,6,0,2230321.774,743649.0616,13
1348796,-104.5516483,18.66466904,6,0,2231321.774,743649.0616,13
1348797,-104.5421533,18.66482978,6,0,2232321.774,743649.0616,13
1348798,-104.5326582,18.66498991,6,0,2233321.774,743649.0616,13
1348799,-104.5231631,18.66514944,6,0,2234321.774,743649.0616,13
1348800,-104.513668,18.66530838,6,0,2235321.774,743649.0616,13
1348801,-104.5041729,18.66546671,6,0,2236321.774,743649.0616,13
1348802,-104.4946777,18.66562445,6,0,2237321.774,743649.0616,13
1348803,-104.4851825,18.66578159,6,0,2238321.774,743649.0616,13
1348804,-104.4756873,18.66593812,6,0,2239321.774,743649.0616,13
1348805,-104.4661921,18.66609406,6,0,2240321.774,743649.0616,13
1348806,-104.4566968,18.6662494,6,0,2241321.774,743649.0616,13
1348807,-104.4472016,18.66640414,6,0,2242321.774,743649.0616,13
1348808,-104.4377063,18.66655829,6,0,2243321.774,743649.0616,13
1348809,-104.428211,18.66671183,6,0,2244321.774,743649.0616,13
1348810,-104.4187156,18.66686477,6,0,2245321.774,743649.0616,13
1348811,-104.4092203,18.66701712,6,0,2246321.774,743649.0616,13
1348812,-104.3997249,18.66716886,6,0,2247321.774,743649.0616,13
1348813,-104.3902295,18.66732001,6,0,2248321.774,743649.0616,13
1348814,-104.3807341,18.66747055,6,0,2249321.774,743649.0616,13
1348815,-104.3712387,18.6676205,6,0,2250321.774,743649.0616,13
1348816,-104.3617432,18.66776985,6,0,2251321.774,743649.0616,13
1348817,-104.3522477,18.6679186,6,0,2252321.774,743649.0616,13
1348818,-104.3427522,18.66806675,6,0,2253321.774,743649.0616,13
1348819,-104.3332567,18.6682143,6,0,2254321.774,743649.0616,13
1348820,-104.3237612,18.66836125,6,0,2255321.774,743649.0616,13
1348821,-104.3142656,18.6685076,6,0,2256321.774,743649.0616,13
1348822,-104.30477,18.66865336,6,0,2257321.774,743649.0616,13
1348823,-104.2952744,18.66879851,6,0,2258321.774,743649.0616,13
1348824,-104.2857788,18.66894306,6,0,2259321.774,743649.0616,13
1348825,-104.2762832,18.66908702,6,0,2260321.774,743649.0616,13
1348826,-104.2667875,18.66923038,6,0,2261321.774,743649.0616,13
1348827,-104.2572918,18.66937313,6,0,2262321.774,743649.0616,13
1348828,-104.2477961,18.66951529,6,0,2263321.774,743649.0616,13
1348829,-104.2383004,18.66965685,6,0,2264321.774,743649.0616,13
