GRIDCODE,CVEENTMUN,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES
132979,12058,205076.1787,6189.9018
132980,12026,93179.4262,2174.092417
132981,12026,93179.4262,2511.356947
132981,12058,205076.1787,2682.631347
132983,12026,93179.4262,317.3712513
132984,12026,93179.4262,1494.000092
132984,12026,93179.4262,7208.701657
132984,12026,93179.4262,2897.604533
132985,12026,93179.4262,7343.109789
132986,12017,97482.1943,697.0793642
132986,12026,93179.4262,1108.205992
132986,12017,97482.1943,3116.699665
132987,12017,97482.1943,2494.6277
132987,12017,97482.1943,663.5677521
132987,12017,97482.1943,1421.920494
132987,12017,97482.1943,3057.491286
132988,12017,97482.1943,1338.713758
132988,12017,97482.1943,828.3486416
132992,12035,140948.4865,2960.512793
132992,12035,140948.4865,3102.572595
132992,12035,140948.4865,3097.482459
132993,12035,140948.4865,4571.194611
132994,12059,152998.6287,1892.903308
132994,12059,152998.6287,2109.65916
132999,12034,345621.6558,6520.088786
133003,12034,345621.6558,2275.613043
133003,12034,345621.6558,2543.07484
133003,12034,345621.6558,8243.705902
133003,12034,345621.6558,4246.505911
133004,12034,345621.6558,2980.500323
133013,21087,81268.326,7195.103561
133018,21032,27319.2854,8261.843684
133027,21047,151905.0465,8315.292733
133033,21024,42025.1679,3566.951678
133034,21024,42025.1679,5929.24733
133034,21059,30357.356,269.9979811
133037,21059,30357.356,1809.47135
133037,21113,42948.9921,1014.900301
133037,21009,25563.7374,78.35346317
133037,21059,30357.356,5134.19906
133038,21009,25563.7374,1547.647876
133042,21003,149564.2153,4098.337564
133043,21003,149564.2153,5584.381101
133044,21003,149564.2153,2856.393998
133044,21003,149564.2153,1697.952101
133044,21003,149564.2153,1697.824244
133044,21003,149564.2153,2251.54498
133044,21003,149564.2153,1262.283386
133045,21003,149564.2153,984.516993
133049,21127,34931.9087,741.3448622
133050,21127,34931.9087,2929.682129
133052,20459,83063.0434,2866.199308
133053,20459,83063.0434,8485.803883
133054,20022,56884.0282,3584.341307
133054,20459,83063.0434,2712.68372
133055,20022,56884.0282,155.1584999
133055,20459,83063.0434,3557.604708
133056,20459,83063.0434,5224.496766
133057,20459,83063.0434,3209.165647
133057,20459,83063.0434,3178.211014
133058,20459,83063.0434,2900.29667
134038,12058,205076.1787,7155.477375
134040,12058,205076.1787,7017.399881
134043,12026,93179.4262,6179.181403
134043,12026,93179.4262,1340.111664
134046,12017,97482.1943,564.770303
134047,12017,97482.1943,5313.58021
134047,12035,140948.4865,1016.658699
134051,12035,140948.4865,5502.342752
134052,12059,152998.6287,437.1793768
134052,12035,140948.4865,772.3735594
134053,12059,152998.6287,3369.986236
