GRIDCODE,CVE ENTCVE MUN,LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),LONG VIALIDAD x SENTIDO x CELDA
167951,09012,1359386.593,11946.3897
169010,09012,1359386.593,7841.875716
170069,09012,1359386.593,607.2185462
170070,09012,1359386.593,3180.265537
170072,09009,417300.7833,11498.16149
170073,09009,417300.7833,25871.1187
170074,09009,417300.7833,29824.8478
170075,09009,417300.7833,52237.37511
170076,09009,417300.7833,1520.722905
171126,09012,1359386.593,7996.959594
171127,09012,1359386.593,32852.73792
171128,09012,1359386.593,32152.80425
171129,09012,1359386.593,82376.79566
171129,09013,952751.9065,1967.823015
171130,09009,417300.7833,866.3584801
171130,09012,1359386.593,3373.108882
171130,09013,952751.9065,37891.65351
171131,09009,417300.7833,48584.06263
171131,09013,952751.9065,11742.14349
171132,09009,417300.7833,59278.51828
171133,09009,417300.7833,56489.62797
171134,09009,417300.7833,63426.85426
171135,09009,417300.7833,16328.39662
171135,15025,1844916.265,1049.274797
171135,09011,714607.9184,2042.928372
172185,09012,1359386.593,6377.871123
172186,09012,1359386.593,68678.06549
172187,09012,1359386.593,62432.53315
172188,09012,1359386.593,33857.46195
172188,09013,952751.9065,22350.02723
172189,09013,952751.9065,104816.174
172190,09013,952751.9065,74278.89044
172191,09009,417300.7833,1187.274412
172191,09013,952751.9065,11890.88048
172192,09013,952751.9065,5195.683361
172192,09011,714607.9184,185.9885466
172193,09009,417300.7833,40459.71227
172193,09011,714607.9184,58874.6391
172193,09013,952751.9065,244.2398921
172194,09009,417300.7833,8465.403724
172194,09011,714607.9184,45273.77824
172194,15122,1332667.184,1003.827807
172195,09011,714607.9184,10935.40592
172195,15122,1332667.184,1424.324848
173243,09008,383167.8289,7003.840635
173243,09012,1359386.593,749.8369016
173244,09008,383167.8289,1175.645123
173244,09012,1359386.593,48502.14217
173245,09012,1359386.593,39585.96842
173246,09012,1359386.593,123064.1364
173247,09012,1359386.593,59278.5217
173247,09013,952751.9065,41375.83125
173248,09013,952751.9065,140720.1881
173249,09013,952751.9065,131306.6625
173250,09013,952751.9065,84125.00271
173251,09011,714607.9184,11960.29714
173251,09013,952751.9065,102750.9416
173252,09011,714607.9184,96922.32912
173252,09013,952751.9065,26440.57632
174302,09008,383167.8289,38557.78661
174302,09012,1359386.593,628.2864464
174303,09008,383167.8289,19627.76976
174303,09012,1359386.593,184216.0485
174304,09012,1359386.593,107375.2362
174305,09012,1359386.593,140791.7055
174306,09003,1624696.004,1876.483223
174306,09012,1359386.593,104721.4284
174306,09013,952751.9065,29279.93581
174307,09012,1359386.593,60090.20708
174307,09013,952751.9065,103861.138
174308,09013,952751.9065,3793.447873
174308,09007,2297318.564,8540.532876
174309,09007,2297318.564,26440.01492
174309,09013,952751.9065,3386.745325
174309,09011,714607.9184,72421.76255
174310,09011,714607.9184,96867.8357
174310,09013,952751.9065,814.2737719
174311,09011,714607.9184,118436.6861
175358,09004,457613.1443,31860.42721
175359,09004,457613.1443,17851.81537
175360,09004,457613.1443,10473.12192
175360,09010,1149935.71,33228.44856
175361,09008,383167.8289,160105.2076
175361,09010,1149935.71,57898.47819
175362,09008,383167.8289,116064.8646
175362,09010,1149935.71,13320.00638
175362,09012,1359386.593,26182.98087
175363,09003,1624696.004,49075.57736
175363,09010,1149935.71,44566.28471
175363,09012,1359386.593,21826.55907
175363,09008,383167.8289,476.2635155
175364,09003,1624696.004,180706.8571
175364,09012,1359386.593,28850.35941
175365,09003,1624696.004,264386.237
175365,09012,1359386.593,28934.02724
175366,09003,1624696.004,257397.3168
175366,09007,2297318.564,1163.269938
175366,09012,1359386.593,30401.25903
175366,09013,952751.9065,180.2792816
175367,09003,1624696.004,9715.157667
175367,09007,2297318.564,111563.0483
175367,09013,952751.9065,14339.36832
175367,09012,1359386.593,558.3392099
175368,09007,2297318.564,113932.4537
175368,09011,714607.9184,57973.31813
175369,09007,2297318.564,33074.70923
175369,09011,714607.9184,77127.70303
175370,09011,714607.9184,15366.38349
175371,09011,714607.9184,30935.79882
175371,15122,1332667.184,2019.944988
176417,09004,457613.1443,2894.850804
176417,15037,1316166.458,670.8676604
176418,09004,457613.1443,67807.76745
176418,15037,1316166.458,39.212234
176419,09004,457613.1443,78017.18792
176419,09010,1149935.71,27523.89952
176420,09004,457613.1443,24261.81953
176420,09008,383167.8289,2547.848781
176420,09010,1149935.71,90877.08728
176421,09008,383167.8289,20985.19644
176421,09010,1149935.71,94426.37979
176422,09003,1624696.004,33381.01676
176422,09008,383167.8289,16623.40508
176422,09010,1149935.71,108616.9062
176423,09003,1624696.004,260510.1756
176423,09010,1149935.71,12707.64686
176424,09003,1624696.004,293850.3482
176425,09003,1624696.004,177542.6482
176425,09007,2297318.564,94642.09747
176426,09007,2297318.564,125890.247
176427,09007,2297318.564,229978.8769
176428,09007,2297318.564,241039.8567
176428,09011,714607.9184,168.0154476
176429,09007,2297318.564,175696.6676
176429,09011,714607.9184,3086.387438
176430,09007,2297318.564,71583.94857
176430,09011,714607.9184,5959.356228
176430,15122,1332667.184,2565.391125
176430,15070,1201249.578,1721.479588
177477,09004,457613.1443,20236.86208
177477,15037,1316166.458,297.9210022
177478,09004,457613.1443,95359.20825
177478,15037,1316166.458,3103.10044
177479,09004,457613.1443,33814.20951
177479,09010,1149935.71,92010.38603
177480,09010,1149935.71,188636.1366
177481,09010,1149935.71,149305.5109
177481,09014,678065.2243,34562.29715
177482,09003,1624696.004,31012.40397
177482,09014,678065.2243,143600.3727
177482,09010,1149935.71,26385.79607
177483,09003,1624696.004,44753.48405
177483,09014,678065.2243,132707.5945
