GRIDCODE	CVENTMUN	Fa
10409	07089	1
40978	20413	1
43066	20318	1
65258	12023	1
65484	07019	1
75799	12001	1
84505	07101	1
85528	07078	1
85558	07061	1
87556	20385	1
107508	12038	1
107577	12029	1
113014	30130	1
117395	27017	1
123366	16052	1
134226	30048	1
134288	27004	1
145774	21156	1
153359	27003	1
154183	17028	1
156299	17018	1
159877	23004	0.5
161856	04003	1
167273	23004	0.5
168026	30047	1
168822	06007	1
170097	21074	1
170969	06002	1
172292	30193	1
173092	06005	1
176409	15106	1
177382	16102	1
180662	09017	1
184930	29003	1
195420	16003	1
205029	13048	1
211671	04002	1
221816	14097	1
226154	22014	1
226160	22005	1
226160	22011	1
227313	30175	1
229162	14067	1
230283	14120	1
239882	11037	1
241365	31049	1
250975	23001	1
256710	18017	1
257234	31050	1
259917	18019	1
267387	01001	1
271051	31096	0.5
271096	23005	1
271750	24034	1
277920	14061	1
278465	31096	0.5
279572	23003	1
281274	24040	1
283256	32055	1
288021	23007	1
288615	24028	1
292736	18009	1
292955	28038	1
300316	24058	1
308801	28021	1
313971	32032	1
326557	25012	1
331735	03008	1
332080	28031	1
342665	28026	1
346926	28013	1
351202	28037	1
362623	10005	1
367721	03003	1
375258	25005	1
390059	25006	1
416514	25015	1
416667	10012	1
416753	05027	1
417729	05035	1
423212	28040	1
424975	25011	1
426311	19006	1
428130	25001	1
428515	28022	1
429484	19025	1
436963	28032	1
445000	03009	1
471803	05010	1
480013	26042	1
491986	28027	1
495885	26018	1
520207	26029	1
541550	08019	1
564684	26030	1
565010	05002	1
589099	26028	1
633474	26017	1
648352	26043	1
656969	08037	1
713880	02002	1
715943	02004	1
