GRIDCODE,EDO_MUN,Fa,USs4ginCELL (m2),USs4ginMUNICIPIO (m2)
132969,12007,0.000142284,15827.63766,111240076.6
132977,12058,0.000561058,137590.7189,245234543.7
132978,12006,0.017382751,1597695.86,91912716.47
132978,12058,0.009877788,2422374.857,245234543.7
132979,12006,0.003235714,297403.2286,91912716.47
132979,12058,0.026707278,6549547.108,245234543.7
132980,12026,0.025277168,2715109.985,107413537.5
132980,12058,0.001968189,482667.8748,245234543.7
132980,12058,0.001143997,280547.4878,245234543.7
132981,12026,0.019990868,2147289.827,107413537.5
132981,12058,0.019009827,4661866.334,245234543.7
132982,12058,0.019738819,4840640.154,245234543.7
132983,12026,0.01913343,2055189.435,107413537.5
132984,12026,0.0375097,4029049.603,107413537.5
132984,12026,0.002636962,283245.4636,107413537.5
132985,12026,0.01956125,2101143.081,107413537.5
132986,12017,0.014731909,1211840.264,82259553.77
132987,12017,0.005084097,418215.578,82259553.77
132987,12017,0.017078653,1404882.385,82259553.77
132987,12017,0.037683739,3099847.573,82259553.77
132988,12017,0.053500411,4400919.96,82259553.77
132988,12017,0.014359026,1181167.087,82259553.77
132988,12035,0.01885568,3417529.555,181246683.9
132989,12017,0.019463221,1601035.898,82259553.77
132989,12017,0.040027074,3292609.246,82259553.77
132989,12035,0.002288416,414767.7518,181246683.9
132989,12035,0.003848005,697438.0774,181246683.9
132990,12017,0.002481329,204112.9879,82259553.77
132990,12035,0.0006489,117611.0423,181246683.9
132992,12035,0.039240731,7112252.277,181246683.9
132993,12035,0.027253324,4939574.515,181246683.9
132993,12035,0.010865581,1969350.439,181246683.9
132994,12059,0.010408101,2350592.698,225842611.8
132994,12059,0.009957597,2248849.622,225842611.8
132994,12059,0.003841143,867493.8359,225842611.8
132994,12035,0.007009208,1270395.653,181246683.9
132995,12059,0.00468003,1056950.199,225842611.8
132996,12059,0.007456263,1683941.864,225842611.8
132997,12059,0.008965098,2024701.141,225842611.8
132997,12059,0.005623728,1270077.314,225842611.8
132998,12034,0.015935421,3272194.383,205340937.4
132998,12059,0.000934145,210969.7618,225842611.8
132999,12034,0.037913774,7785249.886,205340937.4
133000,12034,0.026569209,5455746.34,205340937.4
133001,12034,4.44312E-05,9123.545567,205340937.4
133001,12034,0.006836081,1403727.265,205340937.4
133002,12034,2.91002E-05,5975.470811,205340937.4
133002,12034,0.002346871,481908.7142,205340937.4
133003,12034,0.013343765,2740021.252,205340937.4
133004,12034,0.000439872,90323.78556,205340937.4
133004,12034,0.011450107,2351175.64,205340937.4
133005,12008,0.009986675,947728.7398,94899331.74
133006,12008,0.006047463,573900.175,94899331.74
133007,12008,0.003611645,342742.7091,94899331.74
133008,12008,0.001286913,122127.1834,94899331.74
133008,12008,0.008951822,849521.8823,94899331.74
133009,12008,0.023028779,2185415.731,94899331.74
133009,12008,0.000976035,92625.08815,94899331.74
133011,12008,0.000829605,78728.99476,94899331.74
133011,21087,0.005762254,711061.6139,123399911.1
133012,21087,0.009708127,1197982.032,123399911.1
133013,21087,0.03715545,4584979.231,123399911.1
133014,21087,0.008206983,1012740.966,123399911.1
133015,21087,0.035186091,4341960.55,123399911.1
133016,21032,0.001461509,36045.09933,24662939.07
133016,21087,0.015408024,1901348.801,123399911.1
133017,21032,0.01738866,428855.4705,24662939.07
133018,21032,0.205536782,5069141.12,24662939.07
133018,21032,0.099247487,2447734.726,24662939.07
133019,21047,0.000572019,95598.46395,167124664.3
133019,21032,0.036469528,899445.7435,24662939.07
133020,21047,0.00335828,561251.459,167124664.3
133021,21047,0.009109882,1522485.992,167124664.3
133022,21047,0.017395606,2907234.732,167124664.3
133023,21047,0.00951708,1590538.756,167124664.3
133023,21047,0.00196779,328866.1703,167124664.3
133024,21047,0.000691426,115554.3419,167124664.3
133025,21047,0.000941953,157423.525,167124664.3
133026,21047,0.002798756,467741.2291,167124664.3
133028,21047,0.011247305,1879701.991,167124664.3
133032,21024,0.121787393,1287151.303,10568838.59
133033,21024,0.066547607,703330.9154,10568838.59
133036,21059,0.008824419,296823.2956,33636582.99
133036,21059,0.000519159,17462.71839,33636582.99
133037,21009,0.00364249,63114.05236,17327173.92
133037,21059,0.001973356,66376.96314,33636582.99
133037,21059,0.026275762,883826.8345,33636582.99
133037,21059,0.018210928,612553.3803,33636582.99
133037,21059,0.009661543,324981.291,33636582.99
133037,21113,0.016404272,625256.2519,38115453.17
133037,21113,0.023176929,883399.1656,38115453.17
133037,21113,0.001095931,41771.91757,38115453.17
133038,21009,0.058566386,1014789.949,17327173.92
133038,21009,0.076093963,1318493.338,17327173.92
133038,21113,0.001281876,48859.28465,38115453.17
133038,21113,0.050486939,1924332.56,38115453.17
133039,21009,0.017035877,295183.6004,17327173.92
133039,21009,0.024566586,425669.5035,17327173.92
133039,21113,0.000153353,5845.111313,38115453.17
133040,21009,0.265304226,4596972.47,17327173.92
133040,21003,0.002087435,288258.8723,138092381.6
133041,21009,0.000318998,5527.337626,17327173.92
133041,21139,0.001074683,35066.975,32630077.51
133041,21003,0.055438511,7655636.014,138092381.6
133042,21003,0.013177997,1819781.022,138092381.6
133042,21003,0.00896152,1237517.707,138092381.6
133043,21003,0.025614187,3537124.099,138092381.6
133044,21003,0.005465137,754693.7355,138092381.6
133044,21003,0.000465752,64316.73437,138092381.6
133045,21003,0.002189705,302381.5155,138092381.6
133045,21003,0.016388559,2263135.177,138092381.6
133045,21003,0.023242063,3209551.831,138092381.6
133046,21003,0.001267002,174963.3655,138092381.6
133048,21127,0.014293477,237674.279,16628164.5
133049,21127,0.019128906,318078.5903,16628164.5
133050,21127,0.006631981,110277.6668,16628164.5
133050,21127,0.081695563,1358447.265,16628164.5
133050,21127,0.039128853,650641.0109,16628164.5
133050,21190,0.004360065,54492.51833,12498097.95
133051,21127,0.013865652,230560.3455,16628164.5
133051,21127,0.011632755,193431.3566,16628164.5
133051,21190,0.02071475,258894.9685,12498097.95
133052,20459,0.001172428,34845.27116,29720610.46
133052,20459,0.055061111,1636449.835,29720610.46
133057,20459,0.025734067,764832.1721,29720610.46
133057,20459,0.008950554,266015.9346,29720610.46
133058,20459,0.037408809,1111812.631,29720610.46
133058,20459,0.004103141,121947.8504,29720610.46
133058,20340,0.001819034,20392.38968,11210560.67
133058,21027,1.7668E-05,1280.673617,72485559.7
134035,12058,0.004238199,1039352.752,245234543.7
134036,12058,0.016740814,4105425.924,245234543.7
134037,12058,0.004688986,1149901.317,245234543.7
