GRIDCODE,CVIDE,FA,USs4ginCELL (m2),USs4ginMUNICIPIO (m2)
164807,21114,0.131264378,352890.99,2688398.73
165868,21114,0.208896695,561597.61,2688398.73
165869,21114,0.380737389,1023573.91,2688398.73
165870,21015,0.000623325,30.86,49502.59
165870,21015,0.999376675,49471.74,49502.59
165870,21114,0.048116759,129357.03,2688398.73
165870,21114,0.094825546,254928.88,2688398.73
166927,21114,0.059978419,161245.90,2688398.73
166929,21114,0.076180814,204804.40,2688398.73
172167,15118,1,437102.81,437102.81
173248,09013,0.01030731,6839.76,663583.04
173249,09013,0.863335997,572895.13,663583.04
173251,09013,0.126356694,83848.16,663583.04
173251,09011,0.844605587,105794.19,125258.69
174317,15025,0.358606559,288869.67,805533.70
175361,09008,1,210260.01,210260.01
175361,09010,0.152542558,319768.08,2096254.88
175363,09010,0.014258799,29890.08,2096254.88
175363,09003,0.28619697,1920345.38,6709873.21
175364,09003,0.374091627,2510107.38,6709873.21
175368,09011,0.155394413,19464.50,125258.69
175368,09007,0.515760795,952310.25,1846418.46
175375,15039,0.027056914,438556.18,16208654.43
175375,15039,0.004067284,65925.20,16208654.43
175376,15039,0.0614875,996629.65,16208654.43
175376,15039,0.037422191,606563.37,16208654.43
175376,15039,0.036447525,590765.34,16208654.43
175376,15039,0.000365957,5931.67,16208654.43
175376,15025,0.01067093,8595.79,805533.70
175376,15025,0.159973459,128864.01,805533.70
175377,15039,0.070918556,1149494.37,16208654.43
175377,15039,0.002845224,46117.25,16208654.43
175377,15025,0.021017822,16930.56,805533.70
175377,15025,0.449731229,362273.66,805533.70
176420,09010,0.360166096,754999.94,2096254.88
176420,09010,0.036028704,75525.35,2096254.88
176421,09010,0.225330998,472351.20,2096254.88
176422,09010,0.033344946,69899.51,2096254.88
176422,09003,0.137116986,920037.59,6709873.21
176423,09003,0.00939883,63064.96,6709873.21
176423,09003,0.149310573,1001855.01,6709873.21
176426,09007,0.484239205,894108.20,1846418.46
176432,15070,1,36819.59,36819.59
176432,15039,0.018215674,295251.56,16208654.43
176432,15039,0.033111658,536695.43,16208654.43
176433,15039,0.017566454,284728.58,16208654.43
176435,15039,0.096019171,1556341.57,16208654.43
176435,15039,0.045754542,741619.56,16208654.43
176435,15039,0.0307977,499189.27,16208654.43
176436,15039,0.014233085,230699.15,16208654.43
176436,15039,0.007930165,128537.31,16208654.43
176436,15039,0.025119814,407158.39,16208654.43
176439,15039,0.040526761,656884.26,16208654.43
176450,29015,0.013076125,9349.93,715038.02
177478,09004,0.548857806,451568.45,822742.14
177479,09010,0.178175634,373501.54,2096254.88
177479,09004,0.451142194,371173.69,822742.14
177482,09010,0.000152265,319.19,2096254.88
177482,09003,0.043885014,294462.88,6709873.21
177491,15039,0.005862168,95017.85,16208654.43
177492,15039,0.006977715,113099.37,16208654.43
177494,15039,0.001851615,30012.20,16208654.43
177494,15039,0.124045977,2010618.37,16208654.43
177494,15039,0.001254034,20326.20,16208654.43
177495,15039,0.017401354,282052.53,16208654.43
177495,15039,0.005224121,84675.97,16208654.43
177495,15039,0.0025441,41236.44,16208654.43
177509,29015,0.986923875,705688.09,715038.02
178508,15111,0.938190933,1663570.20,1773168.06
178509,15111,0.061809067,109597.86,1773168.06
178539,09016,0.000480709,3288.81,6841579.37
178540,09016,0.08127946,556079.88,6841579.37
178551,15039,0.010614033,172039.19,16208654.43
178552,15039,0.04028792,653012.98,16208654.43
178552,15029,0.01803295,19442.75,1078178.95
178553,15039,0.006845641,110958.63,16208654.43
178554,15039,0.15681334,2541733.24,16208654.43
178555,15039,0.050391805,816783.35,16208654.43
179597,15057,0.129772028,245314.90,1890352.66
179598,15057,0.162795478,307740.86,1890352.66
179599,09016,0.633389302,4333383.18,6841579.37
179600,09016,0.117061097,800882.79,6841579.37
179611,15029,0.006857404,7393.51,1078178.95
179612,15099,0.072236818,776898.92,10754888.58
179612,15029,0.975109646,1051342.70,1078178.95
179613,15099,0.040819628,439010.55,10754888.58
180656,15057,0.280587433,530409.20,1890352.66
180657,09016,0.019855087,135840.15,6841579.37
180657,15057,0.426845061,806887.70,1890352.66
180658,09016,0.056701095,387925.05,6841579.37
180658,09016,0.050968611,348705.80,6841579.37
180662,09005,0.12442005,654843.71,5263168.69
180663,09005,0.022704549,119497.87,5263168.69
180663,15058,0.065846197,568.51,8633.86
180670,15099,2.8659E-08,0.31,10754888.58
180670,15099,0.019024076,204601.82,10754888.58
180671,15099,0.329884594,3547872.05,10754888.58
180671,15099,0.046206085,496941.30,10754888.58
180671,15099,0.05934064,638201.98,10754888.58
180672,15099,0.031941164,343523.66,10754888.58
181716,09002,0.394502482,125731.01,318707.77
181717,09002,0.605497518,192976.76,318707.77
181717,09016,0.040264639,275473.72,6841579.37
181721,09005,0.187839887,988633.01,5263168.69
181722,09005,0.122776451,646193.18,5263168.69
181722,15058,0.934153804,8065.35,8633.86
181729,15099,0.056882143,611761.12,10754888.58
181730,15099,0.278597312,2996283.05,10754888.58
181731,15099,0.06506751,699793.82,10754888.58
182779,09005,0.535873911,2820394.79,5263168.69
182779,15104,0.610103617,242230.93,397032.45
183838,09005,0.00638515,33606.12,5263168.69
183838,15104,0.389896383,154801.52,397032.45
184907,15093,0.007536453,41480.80,5504021.53
184908,15093,0.000413993,2278.63,5504021.53
185966,15093,0.155480237,855766.57,5504021.53
185967,15093,0.144211337,793742.31,5504021.53
185968,15093,0.17610386,969279.44,5504021.53
187009,15121,0.059146922,538684.92,9107573.25
187009,15060,1.000000007,13.11,13.11
187010,15121,0.517702018,4715009.05,9107573.25
187010,15013,0.993599854,80772.48,81292.77
187011,15121,0.104109598,948185.79,9107573.25
187011,15013,0.006400146,520.29,81292.77
187024,15093,0.14100153,776075.46,5504021.53
187025,15065,0.064450826,3283.52,50946.13
187025,15093,0.344591904,1896641.26,5504021.53
187027,15093,0.003075942,16930.05,5504021.53
188068,15121,0.008169118,74400.84,9107573.25
188069,15121,0.280855994,2557916.54,9107573.25
188070,15121,0.03001635,273376.11,9107573.25
188084,15075,1,201372.38,201372.38
188084,15065,0.935549174,47662.61,50946.13
188084,15093,0.027584742,151827.02,5504021.53
192323,15016,0.124319695,89391.29,719043.69
192324,15016,0.55027537,395672.03,719043.69
192324,15016,0.325404936,233980.37,719043.69
207158,13001,1,831610.05,831610.05
207162,13077,0.88473707,453544.76,512632.26
207163,13077,0.11526293,59087.50,512632.26
209293,21183,0.135644266,693556.33,5113053.05
209294,21183,0.431637274,2206984.28,5113053.05
210352,21183,0.34933001,1786142.88,5113053.05
210353,21183,0.08338845,426369.57,5113053.05
217749,30072,0.773926458,2017427.60,2606743.29
217750,30072,0.012265644,31973.39,2606743.29
218808,30072,0.213807898,557342.30,2606743.29
218808,30198,1,351577.34,351577.34
