GRIDCODE,CVENTMUN,Fu
8673,12001,0.5
8674,12001,0.5
9460,7101,1
10123,20067,1
17230,27003,1
17859,17007,1
18577,21114,1
18866,6002,0.5
19218,6002,0.5
19282,29032,1
19619,15106,1
19625,9003,1
19977,9010,1
19978,9017,1
20331,9005,1
21012,16053,1
22805,13048,1
22830,30192,1
23607,4002,1
24905,22014,1
25224,14039,1
26660,11015,1
26799,31049,1
28736,18017,0.333
28737,18017,0.334
29089,18017,0.333
29500,24027,1
30531,1001,1
30708,23005,1
31937,32055,1
36563,28031,1
38920,3003,0.333
39683,10005,1
41778,25005,1
42434,3003,0.333
43136,3003,0.334
44664,5030,1
47144,19039,1
47171,28040,1
59790,8019,1
61871,26009,1
79092,2004,1
79460,2002,1
