GRIDCODE,ID,furb,frural,fpob, PobUrb, PobR, puT,prT, PobT
0			fraction
132969,12007, 0.0000000, 0.0128927, 0.0128927,     0,   174,      0,  13496,  13496
132970,12007, 0.0000000, 0.0065205, 0.0065205,     0,    88,      0,  13496,  13496
132972,12007, 0.0000000, 0.0106698, 0.0106698,     0,   144,      0,  13496,  13496
132973,12058, 0.0000000, 0.0015553, 0.0008741,     0,    47,  23549,  30220,  53769
132974,12058, 0.0000000, 0.0005625, 0.0003162,     0,    17,  23549,  30220,  53769
132975,12058, 0.0000000, 0.0085043, 0.0047797,     0,   257,  23549,  30220,  53769
132976,12006, 0.0000000, 0.0151345, 0.0151345,     0,    81,      0,   5352,   5352
132976,12058, 0.0000000, 0.0003640, 0.0002046,     0,    11,  23549,  30220,  53769
132978,12058, 0.0000000, 0.0154533, 0.0086853,     0,   467,  23549,  30220,  53769
132979,12058, 0.0000000, 0.0147584, 0.0082947,     0,   446,  23549,  30220,  53769
132980,12026, 0.0000000, 0.1105594, 0.1105594,     0,   757,      0,   6847,   6847
132980,12058, 0.0000000, 0.0059563, 0.0033477,     0,   180,  23549,  30220,  53769
132984,12026, 0.0000000, 0.1280853, 0.1280853,     0,   877,      0,   6847,   6847
132985,12017, 0.0000000, 0.0185024, 0.0101312,     0,   149,   6654,   8053,  14707
132985,12026, 0.0000000, 0.0005842, 0.0005842,     0,     4,      0,   6847,   6847
132986,12017, 0.0000000, 0.0014901, 0.0008159,     0,    12,   6654,   8053,  14707
132987,12017, 0.1477307, 0.0646964, 0.1022642,   983,   521,   6654,   8053,  14707
132994,12059, 0.0000000, 0.0794867, 0.0554972,     0,  1691,   9196,  21274,  30470
132998,12034, 0.0000000, 0.0185080, 0.0069853,     0,   261,  23262,  14102,  37364
132999,12034, 0.0000000, 0.0397816, 0.0150145,     0,   561,  23262,  14102,  37364
133000,12034, 0.0000000, 0.0694937, 0.0262285,     0,   980,  23262,  14102,  37364
133004,12034, 0.0000000, 0.0793504, 0.0299486,     0,  1119,  23262,  14102,  37364
133009,12008, 0.0000000, 0.0666907, 0.0666907,     0,   370,      0,   5548,   5548
133015,21087, 0.0000000, 0.2012411, 0.0896383,     0,  1135,   7022,   5640,  12662
133018,21032, 0.8152611, 0.6382166, 0.7069368,   406,   501,    498,    785,   1283
133022,21047, 0.0000000, 0.0004262, 0.0001051,     0,     2,  14344,   4693,  19037
133034,21024, 0.0000000, 0.0103627, 0.0042239,     0,     4,    561,    386,    947
133037,21113, 0.9651779, 0.0373775, 0.3046892,  1275,   122,   1321,   3264,   4585
133037,21059, 1.0000000, 0.0085878, 0.5790113,  1420,     9,   1420,   1048,   2468
133038,21009, 0.6785124, 0.0451128, 0.4267928,   821,    36,   1210,    798,   2008
133039,21009, 0.0892562, 0.0288221, 0.0652390,   108,    23,   1210,    798,   2008
133041,21003, 0.0000000, 0.0175203, 0.0077071,     0,   261,  18968,  14897,  33865
