GRIDCODE	CVEENTMUN	Fter
132980	12026	0.054380952
132981	12026	0.062817009
132981	12058	0.05631765
132983	12026	0.007938462
132984	12026	0.037369685
132984	12026	0.18031251
132984	12026	0.072478287
132985	12026	0.183674484
132986	12017	0.101448398
132986	12026	0.02771975
132986	12017	0.453584202
132987	12017	0.4449674
132994	12059	0.28597139
132999	12034	0.229334339
133018	21032	0.302418001
133027	21047	0.083442637
133044	21003	0.029514392
133049	21127	0.107624472
133050	21127	0.425315543
133052	20459	0.08102337
133053	20459	0.239881584
133054	20022	0.958508221
133054	20459	0.076683703
133055	20022	0.041491779
133055	20459	0.100568416
133056	20459	0.147689079
134040	12058	0.147319337
134043	12026	0.154560941
134043	12026	0.033520446
134053	12059	0.456812962
134057	12034	0.215196371
134058	12034	0.052445951
134077	21032	0.029062363
134078	21032	0.34150059
134085	21047	0.007478315
134086	21047	0.066767682
134099	21009	1
134103	21003	0.073165474
134108	21127	0.467059985
134110	21190	0.967215112
134111	20459	0.121860486
134111	21190	0.032784888
134117	20459	0.074708414
135099	12058	0.06764953
135100	12058	0.068388599
135101	12026	0.1213214
135101	12058	0.074857813
135102	12026	0.063906074
135112	12059	0.257215648
135117	12034	0.241894366
135137	21073	0.858587115
135137	21032	0.039925862
135138	21073	0.141412885
135138	21032	0.265891946
135139	21032	0.006891182
135143	21047	0.02860428
135144	21047	0.077787611
135145	21047	0.032712879
135160	21003	0.004497687
135162	21003	0.072007768
135163	21003	0.176271066
135176	20459	0.157584948
136159	12058	0.117406087
136159	12058	0.170679672
136160	12058	0.006288602
136176	12034	0.060492396
136198	21047	0.089386104
136198	21032	0.014310057
136201	21047	0.026000525
136202	21047	0.02589997
136202	21047	0.024411486
136202	21047	0.017278845
136202	21047	0.019349423
136221	21003	0.049026088
136222	21003	0.041487077
136222	21003	0.241503305
137257	21047	0.012306224
137258	21047	0.063778291
137259	21047	0.064680867
137260	21047	0.032492955
137261	21047	0.074889174
137262	21047	0.000431186
137281	21003	0.103427835
137282	21003	0.125677685
138321	21047	0.123874448
138331	21157	0.071922446
138332	21157	0.277729249
138333	21157	0.142383656
138341	21147	0.104973281
138341	21003	0.083421624
139337	12037	0.102151082
139380	21047	0.025936191
139381	21047	0.064735801
139381	21085	0.003702486
139382	21047	0.007413307
139382	21085	0.034511674
139392	21157	0.290272753
139393	21157	0.060778104
139400	21147	0.156712866
139411	21018	0.507719764
140396	12037	0.111722436
140441	21047	0.003566852
140441	21085	0.089869563
140452	21042	0.059854638
140452	21157	0.156913793
140458	21147	0.021145266
140459	21147	0.151491983
140470	21018	0.492280236
141441	15105	0.113670502
141455	12037	0.134414193
141475	12034	0.106745475
141475	17017	0.009714924
141475	17025	0.026278656
141476	12034	0.004635085
141476	12034	0.02330855
141476	12034	0.027222757
141476	17025	0.430276449
141476	17025	0.060601376
141476	17025	0.052491871
141477	12034	0.018749195
141477	12034	0.019975513
141482	17025	0.117580875
141493	21047	0.011260487
141494	21047	0.015514461
141494	21051	0.049571939
141495	21051	0.024201102
141500	21085	0.04626892
141501	21085	0.090267947
141511	21042	0.166481588
141516	21147	0.050070334
141516	21147	0.043693968
141517	21147	0.062683707
141517	21147	0.060111859
142500	15105	0.090050151
142501	15105	0.12802295
142514	12037	0.124930061
142520	12055	0.066282848
142521	12055	0.056519543
142526	12015	0.254033063
142527	12015	0.127660604
142532	17017	0.152295416
142533	17017	0.480241533
142534	17017	0.246894008
142535	17025	0.312770774
142554	21051	0.081214366
142555	21051	0.077044533
142559	21085	0.120548366
142570	21042	0.154439469
142573	21147	0.103452327
142574	21147	0.173922344
142575	21147	0.037703225
142584	21082	0.029039589
143560	15105	0.02479965
143561	12031	1
143561	15105	0.147200609
143569	12047	0.01164723
143570	12047	0.081720707
143572	12037	0.061451621
143573	12037	0.134758532
143573	12037	0.04903014
143583	12055	0.089164647
143584	12055	0.054727065
143584	12015	0.303490665
143585	12015	0.314815669
143591	17017	0.110854119
143614	21051	0.015777439
143615	21051	0.10688032
143618	21085	0.091768096
143623	21085	0.029161512
143629	21042	0.136792674
143629	21042	0.024869781
143629	21042	0.023949973
143629	21042	0.008167273
143630	21042	0.147148835
143631	21042	0.159457647
143632	21042	0.050521274
143632	21147	0.03403884
143642	21082	0.016925465
143642	21082	0.111480984
143642	21082	0.129743115
143643	21082	0.021892523
143643	21082	0.198986731
143644	21037	1
143644	21082	0.090442158
144620	15105	0.034191932
144621	15105	0.199004739
144629	12047	0.105823696
144630	12047	0.070773466
144632	12037	0.277467458
144635	12055	0.058610901
144673	21051	0.012250246
144674	21051	0.070726098
144674	21051	0.021099039
144675	21051	0.007073738
144677	21085	0.060713414
144677	21085	0.021766167
144680	21085	0.010975978
144683	21085	0.046162289
144684	21007	0.091337304
144684	21085	0.057980657
144685	21007	0.043656246
144685	21007	0.199458319
144688	21042	0.017288045
144689	21042	0.051028803
144689	21206	0.079585661
144702	21082	0.197529286
144703	21082	0.028048119
144703	21092	0.119936026
144704	21092	0.102416856
145680	15105	0.07866132
145681	12058	0.019801323
145681	15105	0.089832939
145689	12047	0.085033233
145689	12047	0.047266675
145689	12047	0.011234844
145689	12047	0.033640557
145691	12037	0.004074477
145691	12047	0.07910064
145697	12055	0.026680439
145698	12055	0.020779168
145699	12055	0.03231605
145729	21051	0.190626877
145733	21051	0.021138909
145733	21051	0.00846657
145734	21021	0.172386912
145736	21085	0.028295773
145736	21085	0.001117031
145739	21085	0.018449167
145744	21007	0.229119346
145748	21206	0.083102611
145749	21206	0.100670767
145749	21206	0.023696144
145749	21206	0.024320361
145750	21206	0.035324263
145750	21206	0.055707185
145761	21082	0.060678302
145762	21082	0.115233729
145762	21092	0.0102745
145763	21092	0.10983596
145764	21092	0.185390235
145765	21092	0.276868582
146739	15105	0.002925014
146740	12058	0.076273376
146741	12058	0.161273049
146742	12058	0.03274116
146747	12047	0.004287062
146748	12047	0.124663503
146748	12047	0.066359127
146749	12047	0.086743007
146753	12055	0.004622634
146753	12055	0.081396895
146754	12060	0.03240715
146754	12055	0.083777005
146755	12060	0.005561299
146755	12055	0.038884261
146755	12055	0.049874174
146756	12060	0.028482356
146756	12055	0.041317712
146756	12055	0.009832717
146788	21051	0.206416242
146793	21051	0.038424341
146793	21021	0.104387673
146793	21051	0.00640689
146793	21085	0.011138088
146794	21021	0.723225415
146794	21085	0.043519311
146795	21085	0.014879031
146797	21085	0.012413916
146797	21085	0.019862354
146798	21085	0.070449514
146799	21085	0.054660242
146803	21007	0.103106225
146804	21007	0.12411378
146809	21031	0.859595097
146809	21206	0.070734792
146810	21031	0.140404903
146810	21206	0.027197672
146821	21092	0.084540962
146824	21092	0.007391655
146825	21092	0.103345224
146825	21161	1
146825	21177	0.069126962
147801	12058	0.001003802
147801	15080	0.06082558
147801	15008	0.061329951
147801	15080	0.01025152
147802	15080	0.07906741
147803	15080	0.011459337
147804	15080	0.00478687
147806	12047	0.020760701
147806	12047	0.106584602
147806	15117	0.023380198
147806	15117	0.032968301
147806	15117	0.014765601
147807	12047	0.043793635
147807	15117	0.010414914
147807	15117	0.006225853
147810	12060	0.066225436
147810	12055	0.020337061
147811	12060	0.022134965
147811	12055	0.160143202
147812	12055	0.042982704
147815	12060	0.016966846
147817	12055	0.001701863
147818	12055	0.056640623
147847	21051	0.062681352
147847	21168	0.31128941
147852	21085	0.000459191
147852	21176	1
147857	21085	0.014450663
147862	21007	0.099307089
147863	21007	0.002473863
147863	21007	0.107427827
147869	21206	0.136999565
148854	15105	0.01117316
148855	15105	0.080467035
148861	15080	0.004582539
148861	15080	0.03985765
148861	15080	4.54046E-05
148862	15080	0.019536645
148863	15080	0.037490444
148864	15117	0.03565132
148864	15080	0.001791429
148865	15117	0.040155654
148866	15117	0.079987759
148866	15117	0.035760271
148867	12047	0.020567313
148867	15117	0.036279538
148867	15117	0.025078671
148867	15117	0.024898142
148868	12060	0.050361759
148868	15117	0.030905134
148868	15117	0.022165566
148869	12060	0.049165068
148873	12060	0.011460084
148873	12060	0.011943393
148873	12060	0.011931959
148874	12060	0.03981955
148874	12060	0.011859936
148875	12060	0.012249091
148876	12060	0.067993035
148876	12055	0.003408489
148906	21168	0.420393841
148928	21206	0.024573569
148928	21146	0.521640027
148928	21206	0.01378754
148928	21146	0.147550352
149916	15008	0.312045415
149920	15080	0.031673387
149921	15080	0.011712667
149926	15117	0.022199569
149927	12060	0.005011882
149927	12060	0.004931298
149927	15117	0.006926468
149927	15117	0.003223853
149927	15117	0.005382239
149927	15117	0.01756938
149927	15117	0.003412395
149928	12060	0.008965746
149929	12060	0.039068086
149930	12060	0.106048808
149930	12060	0.007973009
149931	12060	0.0432456
149931	12060	0.057541465
149931	12049	0.082420372
149931	12060	0.016309974
149932	12060	0.041676935
149932	12060	0.065732418
149933	12060	0.013730572
149934	12060	0.034155111
149935	12060	0.005969563
149965	21168	0.237241423
