CELL,"X (Coord. GEOF.,ITRF92)","Y (Coord. GEOF.,ITRF92)",uso,pob,UTMX,Utmy,UTMZ
90,90,"EI 2014 Central Mexico Area V4.0",,,,,
132969,-100.18867,18.24102,6,174,2691321.774,695649.0616,14
132970,-100.16027,18.24067,6,88,2694321.774,695649.0616,14
132971,-100.13187,18.24032,6,0,2697321.774,695649.0616,14
132972,-100.10347,18.23997,6,144,2700321.774,695649.0616,14
132973,-100.07508,18.23961,6,47,2703321.774,695649.0616,14
132974,-100.04668,18.23924,6,17,2706321.774,695649.0616,14
132975,-100.01828,18.23887,6,257,2709321.774,695649.0616,14
132976,-99.98988,18.23849,6,92,2712321.774,695649.0616,14
132977,-99.96148,18.23811,6,0,2715321.774,695649.0616,14
132978,-99.93308,18.23772,6,467,2718321.774,695649.0616,14
132979,-99.90469,18.23732,6,446,2721321.774,695649.0616,14
132980,-99.87629,18.23692,6,937,2724321.774,695649.0616,14
132981,-99.84789,18.23652,6,0,2727321.774,695649.0616,14
132982,-99.81949,18.23611,6,0,2730321.774,695649.0616,14
132983,-99.7911,18.23569,6,0,2733321.774,695649.0616,14
132984,-99.7627,18.23527,6,877,2736321.774,695649.0616,14
132985,-99.7343,18.23485,6,153,2739321.774,695649.0616,14
132986,-99.70591,18.23442,6,12,2742321.774,695649.0616,14
132987,-99.67751,18.23398,6,1504,2745321.774,695649.0616,14
132988,-99.64911,18.23354,6,2718,2748321.774,695649.0616,14
132989,-99.62072,18.23309,6,0,2751321.774,695649.0616,14
132990,-99.59232,18.23264,6,0,2754321.774,695649.0616,14
132991,-99.56393,18.23218,6,0,2757321.774,695649.0616,14
132992,-99.53553,18.23172,6,0,2760321.774,695649.0616,14
132993,-99.50713,18.23125,6,2676,2763321.774,695649.0616,14
132994,-99.47874,18.23077,6,1691,2766321.774,695649.0616,14
132995,-99.45034,18.23029,6,0,2769321.774,695649.0616,14
132996,-99.42195,18.22981,6,0,2772321.774,695649.0616,14
132997,-99.39356,18.22932,6,0,2775321.774,695649.0616,14
132998,-99.36516,18.22882,6,261,2778321.774,695649.0616,14
132999,-99.33677,18.22832,6,561,2781321.774,695649.0616,14
133000,-99.30837,18.22781,6,980,2784321.774,695649.0616,14
133001,-99.27998,18.2273,6,0,2787321.774,695649.0616,14
133002,-99.25159,18.22678,6,0,2790321.774,695649.0616,14
133003,-99.22319,18.22626,6,0,2793321.774,695649.0616,14
133004,-99.1948,18.22573,6,1119,2796321.774,695649.0616,14
133005,-99.16641,18.2252,6,0,2799321.774,695649.0616,14
133006,-99.13801,18.22466,6,0,2802321.774,695649.0616,14
133007,-99.10962,18.22412,6,0,2805321.774,695649.0616,14
133008,-99.08123,18.22357,6,0,2808321.774,695649.0616,14
133009,-99.05284,18.22301,6,370,2811321.774,695649.0616,14
133010,-99.02445,18.22245,6,0,2814321.774,695649.0616,14
133011,-98.99605,18.22189,6,0,2817321.774,695649.0616,14
133012,-98.96766,18.22132,6,0,2820321.774,695649.0616,14
133013,-98.93927,18.22074,6,0,2823321.774,695649.0616,14
133014,-98.91088,18.22016,6,0,2826321.774,695649.0616,14
133015,-98.88249,18.21957,6,1135,2829321.774,695649.0616,14
133016,-98.8541,18.21898,6,0,2832321.774,695649.0616,14
133017,-98.82571,18.21838,6,0,2835321.774,695649.0616,14
133018,-98.79732,18.21778,6,907,2838321.774,695649.0616,14
133019,-98.76893,18.21717,6,0,2841321.774,695649.0616,14
133020,-98.74054,18.21655,6,0,2844321.774,695649.0616,14
133021,-98.71215,18.21593,6,0,2847321.774,695649.0616,14
133022,-98.68376,18.21531,6,2,2850321.774,695649.0616,14
133023,-98.65537,18.21468,6,0,2853321.774,695649.0616,14
133024,-98.62699,18.21404,6,0,2856321.774,695649.0616,14
133025,-98.5986,18.2134,6,0,2859321.774,695649.0616,14
133026,-98.57021,18.21276,6,0,2862321.774,695649.0616,14
133027,-98.54182,18.21211,6,0,2865321.774,695649.0616,14
133028,-98.51344,18.21145,6,0,2868321.774,695649.0616,14
133029,-98.48505,18.21079,6,0,2871321.774,695649.0616,14
133030,-98.45666,18.21012,6,0,2874321.774,695649.0616,14
133031,-98.42828,18.20945,6,0,2877321.774,695649.0616,14
133032,-98.39989,18.20877,6,0,2880321.774,695649.0616,14
133033,-98.3715,18.20808,6,0,2883321.774,695649.0616,14
133034,-98.34312,18.20739,6,4,2886321.774,695649.0616,14
133035,-98.31473,18.2067,6,0,2889321.774,695649.0616,14
133036,-98.28635,18.206,6,0,2892321.774,695649.0616,14
133037,-98.25796,18.20529,6,2826,2895321.774,695649.0616,14
133038,-98.22958,18.20458,6,857,2898321.774,695649.0616,14
133039,-98.2012,18.20387,6,131,2901321.774,695649.0616,14
133040,-98.17281,18.20315,6,0,2904321.774,695649.0616,14
133041,-98.14443,18.20242,6,261,2907321.774,695649.0616,14
133042,-98.11604,18.20169,6,795,2910321.774,695649.0616,14
133043,-98.08766,18.20095,6,52,2913321.774,695649.0616,14
133044,-98.05928,18.20021,6,10804,2916321.774,695649.0616,14
133045,-98.0309,18.19946,6,4369,2919321.774,695649.0616,14
133046,-98.00252,18.1987,6,0,2922321.774,695649.0616,14
133047,-97.97413,18.19795,6,0,2925321.774,695649.0616,14
133048,-97.94575,18.19718,6,0,2928321.774,695649.0616,14
133049,-97.91737,18.19641,6,210,2931321.774,695649.0616,14
133050,-97.88899,18.19564,6,773,2934321.774,695649.0616,14
133051,-97.86061,18.19486,6,0,2937321.774,695649.0616,14
133052,-97.83223,18.19407,6,0,2940321.774,695649.0616,14
133053,-97.80385,18.19328,6,208,2943321.774,695649.0616,14
133054,-97.77547,18.19248,6,0,2946321.774,695649.0616,14
133055,-97.74709,18.19168,6,120,2949321.774,695649.0616,14
133056,-97.71871,18.19087,6,107,2952321.774,695649.0616,14
133057,-97.69034,18.19006,6,1776,2955321.774,695649.0616,14
133058,-97.66196,18.18924,6,172,2958321.774,695649.0616,14
134028,-100.18831,18.26816,6,114,2691321.774,698649.0616,14
134029,-100.15991,18.26781,6,36,2694321.774,698649.0616,14
134030,-100.1315,18.26746,6,265,2697321.774,698649.0616,14
134031,-100.1031,18.2671,6,343,2700321.774,698649.0616,14
134032,-100.07469,18.26674,6,2,2703321.774,698649.0616,14
134033,-100.04629,18.26638,6,560,2706321.774,698649.0616,14
134034,-100.01789,18.266,6,277,2709321.774,698649.0616,14
134035,-99.98948,18.26562,6,56,2712321.774,698649.0616,14
134036,-99.96108,18.26524,6,302,2715321.774,698649.0616,14
134037,-99.93267,18.26485,6,357,2718321.774,698649.0616,14
134038,-99.90427,18.26446,6,405,2721321.774,698649.0616,14
134039,-99.87587,18.26406,6,0,2724321.774,698649.0616,14
134040,-99.84746,18.26366,6,1141,2727321.774,698649.0616,14
134041,-99.81906,18.26325,6,94,2730321.774,698649.0616,14
134042,-99.79066,18.26283,6,0,2733321.774,698649.0616,14
134043,-99.76226,18.26241,6,1982,2736321.774,698649.0616,14
134044,-99.73385,18.26198,6,0,2739321.774,698649.0616,14
134045,-99.70545,18.26155,6,0,2742321.774,698649.0616,14
134046,-99.67705,18.26111,6,376,2745321.774,698649.0616,14
134047,-99.64865,18.26067,6,405,2748321.774,698649.0616,14
134048,-99.62025,18.26023,6,21,2751321.774,698649.0616,14
134049,-99.59184,18.25977,6,256,2754321.774,698649.0616,14
134050,-99.56344,18.25931,6,332,2757321.774,698649.0616,14
134051,-99.53504,18.25885,6,1883,2760321.774,698649.0616,14
134052,-99.50664,18.25838,6,20,2763321.774,698649.0616,14
134053,-99.47824,18.25791,6,1251,2766321.774,698649.0616,14
134054,-99.44984,18.25743,6,3,2769321.774,698649.0616,14
134055,-99.42144,18.25694,6,0,2772321.774,698649.0616,14
134056,-99.39304,18.25645,6,405,2775321.774,698649.0616,14
134057,-99.36464,18.25595,6,336,2778321.774,698649.0616,14
134058,-99.33624,18.25545,6,0,2781321.774,698649.0616,14
134059,-99.30784,18.25495,6,25,2784321.774,698649.0616,14
134060,-99.27944,18.25443,6,216,2787321.774,698649.0616,14
134061,-99.25104,18.25392,6,2,2790321.774,698649.0616,14
134062,-99.22264,18.25339,6,0,2793321.774,698649.0616,14
134063,-99.19424,18.25287,6,1194,2796321.774,698649.0616,14
134064,-99.16584,18.25233,6,7,2799321.774,698649.0616,14
134065,-99.13745,18.25179,6,0,2802321.774,698649.0616,14
134066,-99.10905,18.25125,6,0,2805321.774,698649.0616,14
134067,-99.08065,18.2507,6,0,2808321.774,698649.0616,14
134068,-99.05225,18.25014,6,84,2811321.774,698649.0616,14
134069,-99.02386,18.24958,6,0,2814321.774,698649.0616,14
134070,-98.99546,18.24902,6,135,2817321.774,698649.0616,14
134071,-98.96706,18.24845,6,5,2820321.774,698649.0616,14
134072,-98.93867,18.24787,6,1335,2823321.774,698649.0616,14
134073,-98.91027,18.24729,6,0,2826321.774,698649.0616,14
134074,-98.88187,18.2467,6,0,2829321.774,698649.0616,14
134075,-98.85348,18.24611,6,0,2832321.774,698649.0616,14
134076,-98.82508,18.24551,6,0,2835321.774,698649.0616,14
134077,-98.79669,18.24491,6,142,2838321.774,698649.0616,14
134078,-98.76829,18.2443,6,0,2841321.774,698649.0616,14
134079,-98.7399,18.24368,6,0,2844321.774,698649.0616,14
134080,-98.7115,18.24306,6,965,2847321.774,698649.0616,14
134081,-98.68311,18.24244,6,0,2850321.774,698649.0616,14
134082,-98.65471,18.24181,6,2,2853321.774,698649.0616,14
134083,-98.62632,18.24117,6,0,2856321.774,698649.0616,14
134084,-98.59792,18.24053,6,2,2859321.774,698649.0616,14
134085,-98.56953,18.23989,6,4,2862321.774,698649.0616,14
134086,-98.54114,18.23923,6,0,2865321.774,698649.0616,14
134087,-98.51275,18.23858,6,0,2868321.774,698649.0616,14
134088,-98.48435,18.23792,6,0,2871321.774,698649.0616,14
134089,-98.45596,18.23725,6,0,2874321.774,698649.0616,14
134090,-98.42757,18.23657,6,0,2877321.774,698649.0616,14
134091,-98.39918,18.2359,6,0,2880321.774,698649.0616,14
134092,-98.37079,18.23521,6,0,2883321.774,698649.0616,14
