GRIDCODE,CVENTMUN,LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES
1203027,12003,104109.89,2344.68
1206204,12003,104109.89,1079.88
1206205,12003,104109.89,480.94
1203028,12003,104109.89,846.62
1193495,12003,104109.89,2167.97
1196672,12003,104109.89,1286.92
1196673,12003,104109.89,864.38
1199850,12003,104109.89,2183.44
1193497,12067,95143.36,115.51
1196675,12067,95143.36,662.3
1196675,12067,95143.36,127.28
1196675,12067,95143.36,155.57
1206201,12003,104109.89,1823.65
1206202,12003,104109.89,2036.17
1209378,12003,104109.89,507.8
1209379,12003,104109.89,1522.28
1206203,12003,104109.89,2025.24
1206204,12003,104109.89,1586.42
1209378,12022,321794.76,1576.12
1212558,12050,77879.18,313.86
1215736,12050,77879.18,1001.57
1212559,12050,77879.18,1742.88
1206205,12067,95143.36,153.51
1209382,12067,95143.36,630.13
1209383,12067,95143.36,2288.52
1203029,12067,95143.36,2109.69
1203030,12067,95143.36,523.95
1206206,12067,95143.36,2486.79
1206207,12067,95143.36,760.14
1196674,12067,95143.36,398.69
1199852,12067,95143.36,2476.7
1196675,12067,95143.36,1358.44
1212559,12050,77879.18,926.89
1212560,12050,77879.18,42.43
1209382,12050,77879.18,1638.26
1203037,12067,95143.36,1037.91
1203038,12067,95143.36,1080.58
1206216,12067,95143.36,2231.12
1209394,12067,95143.36,990.54
1209395,12067,95143.36,2685.77
1209396,12067,95143.36,253.05
1193497,12067,95143.36,136.37
1196675,12067,95143.36,302.96
1196676,12067,95143.36,2323.3
1196677,12067,95143.36,1364.7
1199855,12067,95143.36,892.51
1199856,12067,95143.36,2249.31
1199857,12067,95143.36,2113.97
1199858,12067,95143.36,2005.9
1199859,12067,95143.36,1993.69
1206220,12067,95143.36,139.51
1209396,12067,95143.36,1903.01
1209397,12067,95143.36,2044.76
1209398,12067,95143.36,2204.32
1203044,12067,95143.36,81.22
1203045,12067,95143.36,666.65
1206221,12067,95143.36,2273.58
1206222,12067,95143.36,2192.53
1206223,12067,95143.36,1357.34
1206224,12067,95143.36,1404.1
1222090,12050,77879.18,1616.38
