GRIDCODE,CVENTMUN,fb
1193499,12067,0.002065806
1193500,12067,0.004979701
1193501,12003,0.038143812
1193501,12067,0.003333493
1193502,12003,0.090689043
1193502,12067,0.001058387
1193502,12067,7.36306E-06
1193503,12067,0.002799554
1193503,12067,0.002180147
1193504,12067,6.55017E-05
1193504,12067,0.004914199
1193505,12067,0.004979701
1193506,12067,0.004979701
1193507,12003,0.016240243
1193507,12067,0.004278806
1193508,12003,0.114283334
1193508,12067,4.74689E-05
1193509,12003,0.06407005
1193509,12067,7.4071E-05
1193511,12003,0.017713474
1193511,12067,0.002875168
1193512,12003,0.000136057
1193512,12067,0.004973829
1193513,12067,0.003990253
1193514,12003,0.032765231
1193514,12067,0.001951855
1193515,12003,0.094013025
1193515,12067,0.000114505
1193516,12003,0.114050681
1193517,12003,0.087548462
1193518,12003,0.047611915
1193519,12003,0.105922397
1193519,12007,0.000189123
1193520,12003,0.008456359
1193520,12007,0.000184448
1193520,12007,0.001949599
1193520,12007,3.42967E-06
1193521,12007,0.001850566
1193521,12007,2.34879E-05
1193521,12007,0.000432466
1193522,12007,0.00230652
1193523,12007,0.002306196
1193523,12007,3.23744E-07
1193524,12007,0.000920592
1193524,12007,0.001385927
1193525,12007,0.00230652
1193526,12007,0.000275989
1193526,12007,0.002030531
1193527,12007,0.00230652
1193528,12007,0.00230652
1193529,12007,0.00230652
1193530,12007,0.001907839
1193530,12007,0.000398681
1193531,12007,1.1117E-05
1193531,12007,0.002295403
1193532,12007,0.00230652
1193533,12007,0.00230652
1193534,12007,0.00230652
1193535,12007,0.00230652
1193536,12007,0.00230652
1193537,12007,0.00230652
1193538,12007,0.001348601
1193538,12007,0.000957919
1193539,12007,0.00230652
1193540,12007,0.00230652
1193541,12007,0.00230652
1193542,12007,0.00230652
1193543,12007,0.00230652
1193544,12007,0.00230652
1193545,12058,0.000444886
1193545,12007,0.001357357
1193546,12058,0.001081089
1193546,12058,8.30655E-09
1193547,12058,0.00012674
1193547,12058,0.000954357
1193548,12058,0.001081098
1193549,12058,0.001081098
1193550,12058,0.001081098
1193551,12006,0.045264341
1193551,12058,0.00030539
1193552,12006,0.063084594
1193553,12006,0.028516027
1193553,12006,0.013310486
1193553,12058,0.000338601
1193553,12058,2.5704E-05
1193554,12006,0.063032193
1193554,12058,8.98012E-07
1193555,12006,0.063084594
1193556,12006,0.061985094
1193556,12058,1.88424E-05
1193557,12006,0.019334645
1193557,12006,0.022188154
1193557,12058,0.000224719
1193557,12058,0.000144791
1193558,12006,0.058781009
