GRIDCODE,CVENTMUN,Ffr
1238093,12035,1
1279422,12015,1
1295393,21051,1
1298561,17003,1
1317563,17001,1
1330278,17017,1
1336725,21085,1
1343044,17013,1
1346214,17019,1
1349359,17031,1
1371608,17024,1
1378040,21166,1
1390698,17004,1
1397188,21205,1
1397106,21069,1
1406589,17006,1
1406565,17008,1
1428812,17011,1
1432142,21154,1
1432006,17029,1
1441604,21019,1
1441522,17007,1
1444730,17002,1
1448019,21038,1
1457437,17026,1
1470151,17027,1
1476488,17020,1
1476613,21164,1
1479696,15094,1
1479699,15068,1
1489187,17009,1
1495669,21015,1
1498768,15015,1
1501999,21140,1
1505186,21114,1
1511480,15009,1
1511601,21142,1
1517834,15017,1
1521007,15089,1
1524307,21096,1
1524251,29027,1
1527460,21001,1
1527429,29041,1
1533783,29042,1
1540041,09012,1
1546497,29058,1
1546423,15025,1
1549660,21074,1
1556032,29022,1
1559251,21104,1
1562388,29028,1
1562256,15062,1
1565614,21128,1
1565429,15051,1
1565428,15076,1
1568594,15106,1
1568722,21132,1
1568744,29060,1
1575101,29048,1
1575135,29016,1
1574992,09008,1
1581377,09011,1
1587814,29010,1
1594171,29018,1
1594214,29008,1
1594227,29007,1
1597375,29013,1
1597267,15070,1
1600498,29015,1
1600584,21108,1
1606887,29026,1
1606777,09010,1
1606803,15031,1
1609943,15037,1
1610119,21108,1
1609897,15005,1
1616190,16112,1
1616330,15058,1
1619563,29012,1
1619487,09016,1
1622777,29005,1
1625969,29039,1
1629027,09015,1
1632196,15057,1
1635450,29020,1
1638588,15099,1
1641744,09005,1
1641737,09002,1
1641893,21094,1
1641803,29021,1
1645016,29011,1
1648103,15033,1
1651387,29031,1
1654320,16098,1
1660739,15042,1
1660967,21044,1
1660967,21094,1
1664080,29003,1
1663980,15104,1
1667039,16061,1
1670369,15028,1
1673608,29034,1
1679751,16005,1
1679950,29045,1
1679936,29006,1
1686227,15109,1
1695634,16007,1
1698971,15002,1
1705302,15108,1
1705361,13021,1
1705296,15024,1
1705377,13007,1
1708473,15121,1
1711576,15074,1
1711694,15065,1
1714696,16041,1
1714868,15075,1
1721261,13008,1
1724377,15059,1
1724419,15016,1
1727603,13061,1
1730644,15048,1
1733770,16080,1
1733897,15091,1
1737092,15120,1
1740302,15061,1
1746510,15064,1
1746608,15023,1
1746529,15014,1
1752881,15085,1
1759346,13069,1
1762497,15035,1
1762559,13072,1
1772063,15084,1
1775080,16050,1
1778427,13066,1
1787821,16017,1
1791102,15096,1
1794330,13083,1
1797446,13063,1
1810169,15010,1
1813207,11038,1
1816522,13013,1
1819770,13057,1
1832460,13051,1
1838764,13010,1
1838754,13076,1
1838860,13016,1
1838857,13056,1
1845233,21008,1
1851477,13074,1
1854744,13077,1
1857844,13005,1
1861061,13048,1
1867401,13052,1
1870515,15045,1
1880061,13064,1
1886407,13017,1
1899086,15071,1
1902281,13044,1
1908773,13035,1
1940418,13029,1
1956271,22016,1
1981701,22017,1
1991249,13059,1
1997570,22012,1
2019814,22005,1
2022967,22014,1
2029343,22011,1
