GRIDCODE,CVENTMUN,Fpav
1203027,12003,0.112961787
1206204,12003,0.052026433
1206205,12003,0.023170631
1203028,12003,0.040788284
1193495,12003,0.104448417
1196672,12003,0.062001335
1196673,12003,0.041644234
1199850,12003,0.105193846
1193497,12067,0.001480942
1196675,12067,0.008490975
1196675,12067,0.001631736
1196675,12067,0.001994443
1206201,12003,0.087859724
1206202,12003,0.098098412
1209378,12003,0.024464574
1209379,12003,0.073340141
1206203,12003,0.097571849
1206204,12003,0.076430332
1209378,12022,1
1212558,12050,0.009971408
1215736,12050,0.03181982
1212559,12050,0.055371393
1206205,12067,0.001968125
1209382,12067,0.008078588
1209383,12067,0.029339986
1203029,12067,0.027047367
1203030,12067,0.006717286
1206206,12067,0.031881954
1206207,12067,0.009745433
1196674,12067,0.005111461
1199852,12067,0.031752513
1196675,12067,0.017415868
1212559,12050,0.029447463
1212560,12050,0.001348042
1209382,12050,0.052047546
1203037,12067,0.013306547
1203038,12067,0.013853634
1206216,12067,0.028604038
1209394,12067,0.012699216
1209395,12067,0.034432936
1209396,12067,0.003244254
1193497,12067,0.001748294
1196675,12067,0.003884056
1196676,12067,0.029785861
1196677,12067,0.017496166
1199855,12067,0.011442403
1199856,12067,0.028837257
1199857,12067,0.027102234
1199858,12067,0.025716658
1199859,12067,0.025560157
1206220,12067,0.00178858
1209396,12067,0.024397619
1209397,12067,0.026214879
1209398,12067,0.028260463
1203044,12067,0.001041307
1203045,12067,0.008546813
1206221,12067,0.029148453
1206222,12067,0.028109414
1206223,12067,0.017401829
1206224,12067,0.018001304
1222090,12050,0.051352416
1215735,12050,0.022396226
1215736,12050,0.042555227
1218912,12050,0.039980154
1218913,12050,0.060533589
1269763,12027,0.020038234
1269764,12027,0.003187542
1272942,12027,0.022238289
1276120,12027,0.002217722
1260227,12027,0.009707092
1263405,12027,0.002439729
1263406,12027,0.025115937
1263407,12027,0.00136117
1266585,12027,0.01868657
1260227,16077,0.215370459
1253870,16077,0.363091568
1257048,16077,0.245433727
1257049,16077,0.176104246
1276120,12027,0.013690877
1288833,12027,0.018687211
1279298,12027,0.018458088
1282476,12027,0.005350727
1282477,12027,0.013533694
1285655,12027,0.018653174
1276120,12027,0.005915135
1298367,12027,0.017825965
1301545,12027,0.003454665
1288833,12027,7.48036E-05
1292011,12027,0.018229238
1295189,12027,0.018281955
1384187,12027,0.00949291
1374647,12027,0.000549563
1374648,12027,0.019725179
1374649,12027,0.018723791
1377827,12027,0.003828973
1377828,12027,0.020059251
1377829,12027,0.013778871
1381007,12027,0.005533041
1381008,12027,0.022375012
1381009,12027,0.002882918
1365106,12027,0.012262749
1365107,12027,0.020006912
1365108,12027,0.011267871
1368285,12027,0.008016291
1368286,12027,0.006769668
1365109,12027,0.017562616
1365110,12027,0.010110524
1368288,12027,0.012303812
1368289,12027,0.013039584
1371467,12027,0.013578835
1371468,12027,0.01867644
1371469,12027,0.019661549
1355570,12027,0.014720359
1355571,12027,0.008126113
1358749,12027,0.021160527
1361927,12027,0.0094117
1361928,12027,0.016136009
1346036,12027,0.01857056
1349214,12027,0.017879755
1352392,12027,0.018454947
1336501,12027,0.018216755
1339679,12027,0.016500706
1339680,12027,0.003730131
1342858,12027,0.018986952
1326967,12027,0.018119629
1330145,12027,0.017753248
1333323,12027,0.017609635
1317433,12027,0.00660438
1317434,12027,0.011283482
1320611,12027,0.017827839
1323789,12027,0.018697494
1307901,12027,0.018492229
1311078,12027,0.014576774
1311079,12027,0.005607481
1314256,12027,0.019498988
1301545,12027,0.014469317
1304723,12027,0.018502656
1384187,12027,0.010669807
1384187,15082,0.003101131
1384188,15082,0.013169185
1387365,15082,0.000980375
1387366,15082,0.006227096
1384189,15082,0.002627015
1387367,15082,0.009094314
1387368,15082,0.010858556
1387369,15082,0.011451958
1387370,15082,0.005208085
1390548,15082,0.008636247
1390549,15082,0.008493474
1206224,12067,0.010478796
1206225,12067,0.005872273
1212585,12067,0.008648555
1212586,12067,0.025747704
1212587,12067,0.024990679
1206225,12067,0.023894921
1206226,12067,0.026320507
1206227,12067,0.027123132
1206228,12067,0.009677766
1209406,12067,0.020562898
1209407,12067,0.022520341
1222124,12007,0.012764252
1215767,12007,0.027546262
1215768,12007,0.030306672
1218946,12007,0.034704611
1212587,12067,0.005921794
1212588,12067,0.024430452
1215766,12067,0.002784116
1215767,12067,0.007344545
1222124,12007,0.021854197
1225302,12007,0.035840122
1225303,12007,0.002090037
1228481,12007,0.017866113
1241195,12007,0.010509501
1231659,12007,0.024283051
1231660,12007,0.014270629
1234838,12007,0.037477585
1238016,12007,0.028958309
1238017,12007,0.014377612
1228481,12007,0.023800935
1250745,12031,0.009985389
1250746,12031,0.074913474
1250747,12031,0.019615751
1253925,12031,0.07007828
1253926,12031,0.048840689
1253927,12031,0.055153477
1253928,12031,0.056409554
1253929,12031,0.027365561
1244385,12031,0.040761429
1244386,12031,0.050184222
1247564,12031,0.085574801
1244387,12031,0.024203324
1247565,12031,0.039432455
1247566,12031,0.043378336
1247567,12031,0.042332863
1241195,12007,0.023153033
1241196,12007,0.037612634
1241197,12007,0.010927561
1244375,12007,0.042372897
1247553,12007,0.022093142
1247554,12007,0.036239883
1247555,12007,0.04344879
1244378,12007,0.01678507
1244379,12007,0.014342126
1247556,12007,0.02802601
1247557,12007,0.025981554
1247558,12007,0.044298786
1244382,12007,0.031423791
1244383,12007,0.041727878
1247559,12007,0.036853879
1247560,12007,0.013564108
1244384,12007,0.035446049
1244385,12007,0.010574243
1244386,12007,0.017425105
1244387,12007,0.017287132
1247565,12007,0.009275297
1247566,12007,0.006496294
1253929,12031,0.020712382
1253930,12031,0.046517791
1253931,12031,0.021420961
1253934,12031,0.005521586
1260291,12058,0.001785063
1260292,12058,0.009772138
1260293,12058,0.014435493
1260294,12058,0.013825874
1260295,12058,0.013858562
1260296,12058,0.011357598
1260298,12058,0.007382353
1250753,12058,0.008507758
1250754,12058,0.015653148
1253931,12058,0.00185413
1253932,12058,0.002057299
1253933,12058,0.015774552
1253934,12058,0.00920259
1257112,12058,0.00696819
1257113,12058,0.019648648
1257114,12058,0.005023095
1257116,12058,0.002384999
1257118,12058,0.005246914
1257119,12058,0.015101564
1257120,12058,0.00074871
1260298,12047,0.029863302
1193589,12017,0.117606213
1196767,12017,0.014678931
1196767,12017,0.035187684
1196768,12017,0.065689926
1199946,12017,0.005299389
1212659,12017,0.11472685
1215837,12017,0.015731435
1215838,12017,0.113236778
1219016,12017,0.067567411
1219017,12017,0.019230863
1203123,12017,0.029948652
1203124,12017,0.094487575
1206302,12017,0.065538571
1209480,12017,0.006256119
1209481,12017,0.115486306
1199945,12017,0.075401609
1199946,12017,0.043925687
1222195,12058,0.015306465
1222196,12058,0.012016217
1225374,12058,0.001821771
1219017,12058,0.005057142
1225374,12035,0.000303143
1225375,12035,0.0226524
1228553,12035,0.000142406
1228554,12035,0.009512359
1203124,12035,0.000211081
1206302,12035,0.008116726
1193603,12035,0.016579406
1196781,12035,0.00767119
1212673,12059,0.014999868
1209495,12059,0.010618129
1212673,12035,0.012537457
1215851,12035,0.015038777
1215852,12035,0.002752318
1219030,12035,0.006968943
1203137,12035,0.010889392
1203138,12035,0.006856226
1206316,12035,0.019238819
1209494,12035,0.008087175
1209495,12035,0.006326782
1196781,12035,0.008992454
1199959,12035,0.016421802
1260299,12058,0.000431268
1260300,12058,0.014285313
1260301,12058,0.013121037
1253947,12058,0.007754632
1257123,12058,0.004137821
1257124,12058,0.015007679
1257125,12058,0.008176463
1250772,12058,0.014422482
1253948,12058,0.016950888
1253949,12058,0.0146076
1253950,12058,0.000470373
1241237,12058,0.001801054
1244415,12058,0.01003673
1244416,12058,0.005996982
1247594,12058,0.013973125
1260298,12047,0.025611669
1260299,12047,0.111026364
1250781,12058,0.007541227
1241245,12058,0.014919387
1244423,12058,0.006573258
1244424,12058,0.01191436
1244425,12058,0.019050564
1247602,12058,0.003949788
1247603,12058,0.005580453
1244426,12058,0.00325088
1247604,12058,0.010934088
1231708,12058,0.000735978
1231709,12058,0.009402302
1234887,12058,0.014461316
1238065,12058,0.003933037
1238066,12058,0.01616397
1238067,12058,0.010364449
1250781,12037,0.002379623
1244424,12037,0.01458003
1247602,12037,0.017199334
1260323,12058,0.005576642
1260324,12058,0.004957331
1257146,12058,0.003671209
1250791,12058,0.011941086
