GRIDCODE,CVENTMUN,Frur,Furb,Fpob,Prur_T,Purb_T,P_tot
1193494,13027,,0.000527009,0.000527009,,8,8
1193495,30072,,0.018577075,0.018577075,,282,282
1193496,13084,,0.002818262,0.002818262,,35,35
1193497,22014,,0.115951365,0.115951365,,1440,1440
1193498,22007,,0.120299541,0.120299541,,1494,1494
1193499,12067,0.019361702,0.013286094,0.01590357,182,165,347
1193501,12003,0.002234043,,0.002234043,21,,21
1193521,21087,0.000444576,,0.000444576,6,,6
1193523,21157,0.003186129,,0.003186129,43,,43
1193525,21127,0.003556609,,0.003556609,48,,48
1193527,21032,0.020228216,,0.020228216,273,,273
1193532,12007,0.012299941,,0.012299941,166,,166
1193535,21018,0.007113219,,0.007113219,96,,96
1193544,12050,0.000148192,,0.000148192,2,,2
1193548,12058,0.000562541,,0.000562541,17,,17
1193555,12006,0.015134529,,0.015134529,81,,81
1193567,21003,0.110559369,,0.110559369,757,,757
1193580,12026,0.128085293,,0.128085293,877,,877
1193583,12017,0.018502421,,0.018502421,149,,149
1193590,13081,,0.031259393,0.031259393,,208,208
1193591,13015,,0.024045687,0.024045687,,160,160
1193605,22014,,0.000113003,0.000113003,,14,14
1193606,22011,,0.002744348,0.002744348,,340,340
1193607,22007,,0.000330936,0.000330936,,41,41
1193609,21190,0.043480305,,0.043480305,925,,925
1193628,12034,0.069493689,,0.069493689,980,,980
1193653,12008,0.060562365,,0.060562365,336,,336
1193680,21009,0.638216561,0.761044177,0.68589244,501,379,880
1193681,30175,,0.054216867,0.054216867,,27,27
1193723,13015,,0,0,,0,0
1193724,22007,,0,0,,0,0
1193728,21073,0.007772021,,0.007772021,3,,3
1193736,13084,,0,0,,0,0
1193737,22005,,0.089187662,0.089187662,,122,122
1193738,21113,0.024816176,0.654935442,0.207825656,81,875,956
1193739,12059,0.003370098,0.19000757,0.057142857,11,251,262
1193749,21059,0.014096798,,0.014096798,210,,210
1193757,21196,0.000201383,,0.000201383,3,,3
1193759,12067,,0.025832982,0.025832982,,490,490
1193760,21047,0.005571592,0.082718262,0.048781928,83,1569,1652
1193761,12067,,0.019190215,0.019190215,,364,364
1193762,12017,,0.002003374,0.002003374,,38,38
1193785,12064,0.081218274,,0.081218274,208,,208
1193793,20459,0.046856697,,0.046856697,120,,120
1193802,12035,0.00312378,,0.00312378,8,,8
1196672,12017,,0.010474308,0.010474308,,159,159
1196673,12035,,0.108893281,0.108893281,,1653,1653
1196674,12035,,0.115870843,0.115870843,,1439,1439
1196675,12035,,0.158064256,0.158064256,,1963,1963
1196676,21032,,0.13608181,0.13608181,,1690,1690
1196677,21032,,0.019405749,0.019405749,,241,241
1196711,21206,0.00577949,,0.00577949,78,,78
1196715,21169,0.000889152,,0.000889152,12,,12
1196720,12027,0.00074096,,0.00074096,10,,10
1196721,17025,0.005483106,,0.005483106,74,,74
1196724,21082,0.000661813,,0.000661813,20,,20
1196725,12037,0.000893448,,0.000893448,27,,27
1196763,21042,0.001490128,,0.001490128,12,,12
1196766,21160,0.064696386,,0.064696386,521,,521
1196767,21024,,0.034565675,0.034565675,,230,230
1196768,21024,,0.182596934,0.182596934,,1215,1215
1196769,21059,,0.072437631,0.072437631,,482,482
1196783,21059,,0.002865422,0.002865422,,355,355
1196784,21113,,0.012244634,0.012244634,,1517,1517
1196785,21059,,0.002461841,0.002461841,,305,305
1196800,21085,0.018508013,,0.018508013,261,,261
1196816,15105,0.078783151,,0.078783151,1111,,1111
1196870,21147,0.000426167,,0.000426167,2,,2
1196906,12047,0.002590674,,0.002590674,1,,1
1196915,21113,,0.218309859,0.218309859,,310,310
1196916,21113,,0.407322664,0.407322664,,576,576
1196917,21037,0.007046569,0.151893572,0.04883052,23,201,224
1196919,21003,,0.01322314,0.01322314,,16,16
1196920,17003,0.045112782,0.091735537,0.073207171,36,111,147
1196921,12015,0.028822055,0.027272727,0.027888446,23,33,56
1196928,21092,0.003423508,,0.003423508,51,,51
1196934,12055,0.002416594,,0.002416594,36,,36
1196937,12067,,0.061208351,0.061208351,,1161,1161
1196938,12067,,0.180883593,0.180883593,,3431,3431
