GRIDCODE,CVENTMUN,Fter
1288833,12027,0.013836618
1288834,12027,0.028759343
1279300,12027,0.036603028
1282478,12027,0.035291313
1285656,12027,0.035420721
1269767,12027,0.035786743
1272944,12027,0.022793916
1272945,12027,0.017274186
1276122,12027,0.035282281
1260231,12027,0.012507599
1263409,12027,0.004554426
1260232,12027,0.031004292
1263410,12027,0.045279506
1263411,12027,0.003741683
1266589,12027,0.050315219
1257054,12027,0.006624439
1301548,12027,0.011672724
1298371,12027,0.038965939
1301549,12027,0.012792023
1292016,12027,0.018272502
1292017,12027,0.036587691
1295193,12027,0.029094318
1295194,12027,0.021053805
1295195,12027,0.000875169
1292018,12027,0.004772312
1295196,12027,0.015939847
1288841,12064,0.036172969
1292018,12064,0.033876952
1292019,12064,0.015227189
1301545,12027,0.034556976
1301546,12027,0.035924339
1301547,12027,0.035313798
1301548,12027,0.030081877
1384187,12027,0.022502676
1377832,12027,0.036588355
1381009,12027,0.010490082
1381010,12027,0.029410525
1377832,15008,0.001173538
1374655,15008,0.022488976
1374656,15008,0.02513014
1377833,15008,0.0044629
1368301,15008,0.008066429
1371478,15008,0.008892459
1371479,15008,0.028312016
1365125,15008,0.025588463
1368302,15008,0.025709558
1368303,15008,0.017644325
1358770,15008,0.019028489
1361947,15008,0.023964434
1361948,15008,0.023571177
1193577,12026,0.007938468
1193578,12026,0.004617215
1193579,12026,0.023711567
1193580,12026,0.009040902
1193568,12026,0.054380948
1193569,12026,0.008071933
1196747,12026,0.054745075
1222174,12058,0.042477789
1225352,12058,0.042366733
1228530,12058,0.032561566
1212639,12058,0.036494309
1215817,12058,0.031155228
1212640,12058,0.009006821
1215818,12058,0.015062847
1218996,12058,0.044318923
1203104,12058,0.046625761
1206282,12058,0.011814429
1206283,12058,0.044563983
1209461,12058,0.044315163
1196747,12058,0.009538393
1196748,12058,0.001765067
1199926,12058,0.045014192
1203113,12026,0.055618393
1206290,12026,0.044725105
1206291,12026,0.006063461
1209468,12026,0.015859915
1209469,12026,0.032294069
1193580,12026,0.054993955
1196757,12026,0.06902944
1196758,12026,0.004214957
1199935,12026,0.052074159
1196762,12017,0.101448395
1193580,12026,0.065371759
1196758,12026,0.007106528
1196759,12026,0.055058769
1196760,12026,0.04268053
1196761,12026,0.0079692
1199938,12026,0.029857769
1199939,12026,0.048108214
1196762,12026,0.02771975
1212645,12026,0.032312238
1215821,12026,0.007551817
1215822,12026,0.048871367
1215823,12026,0.032585977
1212646,12026,0.055852339
1212647,12026,0.008053734
1209469,12026,0.033520448
1222175,12058,0.029611007
1222176,12058,0.046162936
1225353,12058,0.047481218
1228530,12058,0.006193474
1228531,12058,0.041231035
1222177,12058,0.006288597
1215821,12058,0.017284215
1215822,12058,0.006996648
1218999,12058,0.05057695
1282579,12055,0.00440787
1285757,12055,0.061874982
1285758,12055,0.056519541
