GRIDCODE	CVENTMUN	LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m)	LONG_CARR_x_CELDA x CARRILES
132956	12003	104109.8912	6502.722825
132956	12067	95143.36065	2875.390351
132956	12003	104109.8912	763.3356228
132957	12067	95143.36065	777.8096811
132957	12067	95143.36065	127.2754022
132957	12067	95143.36065	155.5666031
132957	12067	95143.36065	1358.437841
132957	12067	95143.36065	5019.829397
132957	12067	95143.36065	1423.687223
132958	12067	95143.36065	6369.180459
132959	12067	95143.36065	1993.692482
132962	12067	95143.36065	6228.798882
132964	12007	87491.06192	993.1103327
132965	12007	87491.06192	2288.684245
132979	12058	205076.1793	6189.90178
132980	12026	93179.4261	2174.092275
132981	12026	93179.4261	2511.356947
132981	12058	205076.1793	2682.631443
132983	12026	93179.4261	317.3714868
132984	12026	93179.4261	1494.000117
132984	12026	93179.4261	7208.701716
132984	12026	93179.4261	2897.604538
132985	12026	93179.4261	7343.109738
132986	12017	97482.19445	697.0793502
132986	12026	93179.4261	1108.206019
132986	12017	97482.19445	3116.699586
132987	12017	97482.19445	2494.627754
132987	12017	97482.19445	663.5678872
132987	12017	97482.19445	1421.920427
132987	12017	97482.19445	3057.491464
132988	12017	97482.19445	1338.713568
132988	12017	97482.19445	828.3487945
132992	12035	140948.4865	2960.512889
132992	12035	140948.4865	3102.572517
132992	12035	140948.4865	3097.482382
132993	12035	140948.4865	4571.194673
132994	12059	152998.6281	1892.903371
132994	12059	152998.6281	2109.659146
132999	12034	345621.6558	6520.088631
133003	12034	345621.6558	2275.613066
133003	12034	345621.6558	2543.074909
133003	12034	345621.6558	8243.705881
133003	12034	345621.6558	4246.505877
133004	12034	345621.6558	2980.500253
133013	21087	81268.3263	7195.103657
133018	21032	27319.28533	8261.843844
133027	21047	151905.0468	8315.292587
133033	21024	42025.16758	3566.951412
133034	21024	42025.16758	5929.247405
133034	21059	30357.35425	269.997977
133037	21059	30357.35425	1809.47117
133037	21113	42948.99217	1014.900362
133037	21009	25563.73857	78.35351906
133037	21059	30357.35425	5134.199122
133038	21009	25563.73857	1547.64778
133042	21003	149564.215	4098.337473
133043	21003	149564.215	5584.381232
133044	21003	149564.215	2856.393887
133044	21003	149564.215	1697.952158
133044	21003	149564.215	1697.824304
133044	21003	149564.215	2251.54496
133044	21003	149564.215	1262.283356
133045	21003	149564.215	984.5169223
133049	21127	34931.90862	741.3449374
133050	21127	34931.90862	2929.682125
133052	20459	83063.04346	2866.199334
133053	20459	83063.04346	8485.803831
133054	20022	56884.02926	3584.34135
133054	20459	83063.04346	2712.683687
133055	20022	56884.02926	155.1584874
133055	20459	83063.04346	3557.604626
133056	20459	83063.04346	5224.496764
133057	20459	83063.04346	3209.16572
133057	20459	83063.04346	3178.211059
133058	20459	83063.04346	2900.296635
134013	12003	104109.8912	5889.890939
134013	12022	321794.7624	1576.118989
134013	12050	77879.18135	181.1939977
134014	12003	104109.8912	3905.49755
134014	12003	104109.8912	3611.656244
134014	12067	95143.36065	3072.16294
134014	12050	77879.18135	1638.259553
134015	12003	104109.8912	846.6173116
134015	12067	95143.36065	5880.579943
134018	12067	95143.36065	8025.917878
134019	12067	95143.36065	253.0518066
134019	12067	95143.36065	6291.60105
134020	12067	95143.36065	6571.33059
134021	12067	95143.36065	1404.101896
134021	12067	95143.36065	1275.383489
134021	12067	95143.36065	3916.803805
134021	12067	95143.36065	2382.438964
134021	12067	95143.36065	1779.588504
134022	12067	95143.36065	6230.963546
134023	12067	95143.36065	1938.931187
134024	12007	87491.06192	1112.916655
134024	12067	95143.36065	339.4776671
134038	12058	205076.1793	7155.477426
134040	12058	205076.1793	7017.399852
134043	12026	93179.4261	6179.181563
134043	12026	93179.4261	1340.111724
134046	12017	97482.19445	564.7704311
134047	12017	97482.19445	5313.580052
134047	12035	140948.4865	1016.658747
134051	12035	140948.4865	5502.34272
134052	12059	152998.6281	437.1793063
134052	12035	140948.4865	772.3736171
134053	12059	152998.6281	3369.986193
134057	12034	345621.6558	6118.139393
134058	12034	345621.6558	1491.064339
134060	12034	345621.6558	6391.45095
134061	12034	345621.6558	6235.771105
134062	12034	345621.6558	4151.677321
134062	12034	345621.6558	11034.02611
134063	12034	345621.6558	2386.891225
134071	21087	81268.3263	3518.12119
134072	21087	81268.3263	6158.155309
134077	21032	27319.28533	793.9629136
134078	21032	27319.28533	9329.552029
134085	21047	151905.0468	745.2351284
134086	21047	151905.0468	6653.586742
134093	21024	42025.16758	591.3796157
134093	21059	30357.35425	4714.698897
134094	21059	30357.35425	2554.135437
134096	21009	25563.73857	477.1392008
134096	21059	30357.35425	722.8909146
134097	21009	25563.73857	756.0566363
134097	21059	30357.35425	5764.219959
134097	21009	25563.73857	1799.799311
134097	21009	25563.73857	627.4809169
134098	21009	25563.73857	6123.590688
134098	21009	25563.73857	2643.289093
