GRIDCODE	CVENTMUN	Fpav
132956	12003	0.313287832
132956	12067	0.036863974
132957	12067	0.095370743
132958	12067	0.081656149
132959	12067	0.025560157
132962	12067	0.079856386
132979	12058	0.04190432
132987	12017	0.242874437
132988	12017	0.114915003
132992	12035	0.075037413
132993	12035	0.037444254
132994	12059	0.045974482
133003	12034	0.101535831
133004	12034	0.017483929
133013	21087	0.094870737
133033	21024	0.353598382
133034	21024	0.587777081
133034	21059	0.008986954
133037	21009	0.003438138
133037	21059	0.231121905
133037	21113	1
133038	21009	0.067910509
133042	21003	0.080886215
133043	21003	0.110215293
133044	21003	0.167832286
133045	21003	0.019430769
133057	20459	0.444635527
133058	20459	0.201894293
134013	12003	0.283762851
134013	12022	1
134013	12050	0.005756538
134014	12003	0.362161033
134014	12050	0.052047546
134014	12067	0.039386699
134015	12003	0.040788284
134015	12067	0.075392041
134018	12067	0.10289637
134019	12067	0.083905795
134020	12067	0.084247818
134021	12067	0.115111885
134022	12067	0.079884138
134038	12058	0.048441062
134046	12017	0.029948652
134047	12017	0.281768572
134047	12035	0.008327807
134051	12035	0.045071613
134052	12035	0.006326782
134052	12059	0.010618129
134060	12034	0.037492925
134061	12034	0.036579691
134062	12034	0.089080938
134063	12034	0.014001756
134071	21087	0.046388039
134072	21087	0.081198098
134093	21024	0.058624537
134093	21059	0.156930002
134094	21059	0.085015075
134096	21009	0.020936783
134096	21059	0.024061616
134097	21009	0.139684255
134097	21059	0.191863588
134098	21009	0.449179425
134099	21003	0.031763457
134099	21009	0.233792065
134100	21003	0.150444606
134101	21003	0.06778629
134103	21003	0.018989839
134104	21003	0.144240253
134106	21127	0.065490533
134106	21196	0.49038659
134107	21127	0.318678843
134108	21127	0.315043773
134109	21127	0.282231147
134110	21127	0.018555705
134110	21190	0.144456778
134117	20459	0.35347018
135072	12050	0.304376741
135073	12050	0.086166898
135081	12067	0.008648555
135082	12067	0.083874744
135083	12007	0.092557545
135083	12067	0.007344545
135097	12058	0.045623121
135106	12017	0.311262474
135107	12017	0.019230863
135107	12058	0.005057142
135111	12035	0.052292112
135111	12059	0.101733992
135112	12059	0.172300825
135113	12059	0.19157188
135118	12034	0.046144095
135119	12034	0.002331656
135121	12034	0.04925084
135122	12034	0.026784796
135130	21087	0.092135334
135153	21059	0.115024381
135153	21157	0.0225873
135154	21157	0.048105233
135156	21009	0.085058824
135156	21059	0.178554449
