GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_tot
132956,12003,0.205731225,0.001520219,0.082663665,3123,35,3158
132956,12067,0.165311217,0.006702128,0.096979697,2053,63,2116
132957,12067,0.571140994,0.019361702,0.333424997,7093,182,7275
132958,12067,,0.00287234,0.001237454,,27,27
132959,12067,,0.027446809,0.011824557,,258,258
132965,12007,,0.003630705,0.001522638,,49,49
132966,12007,,0.007705987,0.003231721,,104,104
132967,12007,,0.02200652,0.009229048,,297,297
132968,12007,,0.012299941,0.005158323,,166,166
132969,12007,,0.012892709,0.005406917,,174,174
132970,12007,,0.006520451,0.002734533,,88,88
132972,12007,,0.010669828,0.00447469,,144,144
132973,12058,,0.001555261,0.00087411,,47,47
132974,12058,,0.000562541,0.000316167,,17,17
132975,12058,,0.008504302,0.004779706,,257,257
132976,12006,,0.015134529,0.006538058,,81,81
132976,12058,,0.000363997,0.000204579,,11,11
132978,12058,,0.015453342,0.008685302,,467,467
132979,12058,,0.014758438,0.008294742,,446,446
132980,12026,,0.110559369,0.082587825,,757,757
132980,12058,,0.00595632,0.003347654,,180,180
132984,12026,,0.128085293,0.095679686,,877,877
132985,12017,,0.018502421,0.01013123,,149,149
132985,12026,,0.000584197,0.000436395,,4,4
132986,12017,,0.001490128,0.000815938,,12,12
132987,12017,0.147730688,0.064696386,0.102264228,983,521,1504
132988,12017,0.408476105,,0.184809954,2718,,2718
132993,12035,0.021599632,,0.019064446,2676,,2676
132994,12059,,0.079486697,0.05549721,,1691,1691
132998,12034,,0.018508013,0.006985333,,261,261
132999,12034,,0.039781591,0.015014452,,561,561
133000,12034,,0.069493689,0.026228455,,980,980
133004,12034,,0.079350447,0.029948614,,1119,1119
133009,12008,,0.066690699,0.044100119,,370,370
133015,21087,,0.201241135,0.089638288,,1135,1135
133018,21032,0.815261044,0.638216561,0.706936867,406,501,907
133022,21047,,0.000426167,0.000105059,,2,2
133032,21024,0,,0,0,,0
133034,21024,,0.010362694,0.004223865,,4,4
133036,21059,0,,0,0,,0
133037,21059,1,0.008587786,0.579011345,1420,9,1429
133037,21113,0.965177896,0.037377451,0.304689204,1275,122,1397
133038,21009,0.678512397,0.045112782,0.426792829,821,36,857
133039,21009,0.089256198,0.028822055,0.065239044,108,23,131
