GRIDCODE,LONG,LATITUDE,Huso,Pob,UTMX,UTMY,UTMZ
105,90,"EI 2014 for Central Mexico V4.0",,,,,
132954,-100.614676,18.245556,6,0,2646321.7742,695649.0616,14
132955,-100.586275,18.245291,6,0,2649321.7742,695649.0616,14
132956,-100.557874,18.245021,6,5274,2652321.7742,695649.0616,14
132957,-100.529473,18.244746,6,7275,2655321.7742,695649.0616,14
132958,-100.501072,18.244465,6,27,2658321.7742,695649.0616,14
132959,-100.472672,18.244178,6,258,2661321.7742,695649.0616,14
132960,-100.444271,18.243887,6,258,2664321.7742,695649.0616,14
132961,-100.415871,18.243590,6,258,2667321.7742,695649.0616,14
132962,-100.387470,18.243287,6,258,2670321.7742,695649.0616,14
132963,-100.359070,18.242979,6,258,2673321.7742,695649.0616,14
132964,-100.330670,18.242666,6,258,2676321.7742,695649.0616,14
132965,-100.302270,18.242348,6,49,2679321.7742,695649.0616,14
132966,-100.273870,18.242024,6,104,2682321.7742,695649.0616,14
132967,-100.245471,18.241694,6,297,2685321.7742,695649.0616,14
132968,-100.217071,18.241360,6,166,2688321.7742,695649.0616,14
132969,-100.188672,18.241020,6,174,2691321.7742,695649.0616,14
132970,-100.160273,18.240674,6,88,2694321.7742,695649.0616,14
132971,-100.131874,18.240323,6,88,2697321.7742,695649.0616,14
132972,-100.103475,18.239967,6,144,2700321.7742,695649.0616,14
132973,-100.075076,18.239606,6,47,2703321.7742,695649.0616,14
132974,-100.046677,18.239239,6,17,2706321.7742,695649.0616,14
132975,-100.018279,18.238866,6,257,2709321.7742,695649.0616,14
132976,-99.989880,18.238489,6,92,2712321.7742,695649.0616,14
132977,-99.961482,18.238106,6,92,2715321.7742,695649.0616,14
132978,-99.933084,18.237717,6,467,2718321.7742,695649.0616,14
132979,-99.904686,18.237324,6,446,2721321.7742,695649.0616,14
132980,-99.876289,18.236924,6,937,2724321.7742,695649.0616,14
132981,-99.847891,18.236520,6,937,2727321.7742,695649.0616,14
132982,-99.819494,18.236110,6,937,2730321.7742,695649.0616,14
132983,-99.791096,18.235695,6,937,2733321.7742,695649.0616,14
132984,-99.762699,18.235274,6,877,2736321.7742,695649.0616,14
132985,-99.734303,18.234848,6,153,2739321.7742,695649.0616,14
132986,-99.705906,18.234417,6,12,2742321.7742,695649.0616,14
132987,-99.677509,18.233980,6,1504,2745321.7742,695649.0616,14
132988,-99.649113,18.233538,6,2718,2748321.7742,695649.0616,14
132989,-99.620717,18.233090,6,2718,2751321.7742,695649.0616,14
132990,-99.592321,18.232637,6,2718,2754321.7742,695649.0616,14
132991,-99.563925,18.232179,6,2718,2757321.7742,695649.0616,14
132992,-99.535530,18.231716,6,2718,2760321.7742,695649.0616,14
132993,-99.507134,18.231247,6,2676,2763321.7742,695649.0616,14
132994,-99.478739,18.230772,6,1691,2766321.7742,695649.0616,14
132995,-99.450344,18.230292,6,1691,2769321.7742,695649.0616,14
132996,-99.421950,18.229807,6,1691,2772321.7742,695649.0616,14
132997,-99.393555,18.229317,6,1691,2775321.7742,695649.0616,14
132998,-99.365161,18.228821,6,261,2778321.7742,695649.0616,14
132999,-99.336767,18.228320,6,561,2781321.7742,695649.0616,14
133000,-99.308373,18.227813,6,980,2784321.7742,695649.0616,14
133001,-99.279979,18.227301,6,980,2787321.7742,695649.0616,14
133002,-99.251585,18.226784,6,980,2790321.7742,695649.0616,14
133003,-99.223192,18.226261,6,980,2793321.7742,695649.0616,14
133004,-99.194799,18.225733,6,1119,2796321.7742,695649.0616,14
133005,-99.166406,18.225200,6,1119,2799321.7742,695649.0616,14
133006,-99.138013,18.224661,6,1119,2802321.7742,695649.0616,14
133007,-99.109621,18.224117,6,1119,2805321.7742,695649.0616,14
133008,-99.081229,18.223567,6,1119,2808321.7742,695649.0616,14
133009,-99.052837,18.223012,6,370,2811321.7742,695649.0616,14
133010,-99.024445,18.222452,6,370,2814321.7742,695649.0616,14
133011,-98.996054,18.221886,6,370,2817321.7742,695649.0616,14
133012,-98.967662,18.221315,6,370,2820321.7742,695649.0616,14
133013,-98.939271,18.220739,6,370,2823321.7742,695649.0616,14
133014,-98.910881,18.220157,6,370,2826321.7742,695649.0616,14
133015,-98.882490,18.219570,6,1135,2829321.7742,695649.0616,14
133016,-98.854100,18.218977,6,1135,2832321.7742,695649.0616,14
