GRIDCODE,CVENTMUN, LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),LONG_CARR_x_CELDA x CARRILES
1974973,14097,311642.0445,442.894981
1974974,14097,311642.0445,4471.87702
1974980,14097,311642.0445,1861.398644
1974981,14097,311642.0445,744.7428842
1975000,14097,311642.0445,4643.951009
1975003,14044,102791.0761,524.0274638
1975003,14097,311642.0445,1268.616324
1975004,14097,311642.0445,549.6983757
1975008,14051,39940.5494,1011.107019
1975009,14051,39940.5494,223.3853954
1975010,14051,39940.5494,414.1566355
1975011,14051,39940.5494,1548.986398
1978152,14097,311642.0445,2428.22934
1978153,14097,311642.0445,2317.350182
1978158,14097,311642.0445,3363.164111
1978177,14097,311642.0445,3075.651927
1978178,14097,311642.0445,1600.496315
1978181,14097,311642.0445,2183.813357
1978187,14051,39940.5494,1033.89479
1981326,14097,311642.0445,3477.532163
1981327,14097,311642.0445,2001.609673
1981328,14097,311642.0445,2000.994535
1981329,14097,311642.0445,2070.194867
1981330,14097,311642.0445,3514.103722
1981331,14097,311642.0445,5601.042286
1981332,14097,311642.0445,670.6412417
1981335,14097,311642.0445,2071.770968
1981336,14097,311642.0445,733.7672131
1981337,14097,311642.0445,2186.605272
1981338,14097,311642.0445,2553.514952
1981339,14097,311642.0445,320.6055099
1981347,14097,311642.0445,181.2064604
1981354,14097,311642.0445,10.10900364
1981355,14097,311642.0445,4656.97894
1981358,14097,311642.0445,1836.219963
1981359,14097,311642.0445,544.1811296
1981365,14051,39940.5494,1018.932398
1984504,14097,311642.0445,354.7409888
1984509,14097,311642.0445,1944.140511
1984510,14097,311642.0445,5793.940016
1984511,14097,311642.0445,2001.152398
1984512,14097,311642.0445,2017.595556
1984513,14097,311642.0445,1612.450624
1984517,14097,311642.0445,2883.519036
1984525,14097,311642.0445,927.3209036
1984526,14097,311642.0445,150.0145432
1984532,14097,311642.0445,4596.835497
1984533,14097,311642.0445,2031.210259
1984534,14097,311642.0445,2043.588355
1984535,14070,71567.96469,42.59080281
1984535,14097,311642.0445,2092.724816
1984536,14070,71567.96469,1733.404874
1984536,14097,311642.0445,2018.81859
1984537,14070,71567.96469,610.388486
1984543,14051,39940.5494,1006.725487
1987688,14097,311642.0445,2026.446639
1987695,14097,311642.0445,229.4787669
1987696,14097,311642.0445,1956.749127
1987703,14097,311642.0445,998.2948563
1987704,14097,311642.0445,4.168930991
1987708,14097,311642.0445,263.4672374
1987709,14097,311642.0445,2014.338119
1987710,14097,311642.0445,4488.760133
1987714,14070,71567.96469,950.925559
1987715,14070,71567.96469,2882.861646
1987716,14070,71567.96469,2125.340448
1987717,14070,71567.96469,2127.907152
1987718,14070,71567.96469,67.70775912
1987721,14051,39940.5494,1014.572843
1990866,14097,311642.0445,2042.41182
1990874,14097,311642.0445,2050.766812
1990881,14097,311642.0445,1016.878864
1990887,14097,311642.0445,3956.983419
1990888,14097,311642.0445,414.0023512
1990892,14070,71567.96469,2380.756833
1990896,14070,71567.96469,2094.935182
1990897,14070,71567.96469,2256.589145
1990898,14070,71567.96469,468.8505241
1990899,14051,39940.5494,170.9313472
1994044,14097,311642.0445,644.6001276
1994045,14097,311642.0445,1623.209979
1994051,14097,311642.0445,1871.833178
1994052,14097,311642.0445,1492.048864
1994058,14097,311642.0445,1291.785375
1994059,14097,311642.0445,2192.504841
1994060,14097,311642.0445,1434.309447
1994061,14097,311642.0445,1560.101698
1994065,14097,311642.0445,4390.661866
1994069,14070,71567.96469,1582.573304
1994070,14070,71567.96469,985.4868631
1994076,14070,71567.96469,2455.669769
1997223,14097,311642.0445,2285.415015
1997228,14097,311642.0445,203.4277543
1997229,14097,311642.0445,1929.599496
1997233,14097,311642.0445,391.2287751
1997234,14097,311642.0445,1027.724123
1997235,14097,311642.0445,1500.326882
1997236,14097,311642.0445,66.09438075
1997237,14097,311642.0445,1050.232286
1997238,14097,311642.0445,2603.956046
1997239,14097,311642.0445,724.1119628
1997242,14097,311642.0445,2765.839769
1997243,14097,311642.0445,1567.393708
1997246,14070,71567.96469,777.750424
1997247,14070,71567.96469,1703.54681
1997254,14070,71567.96469,2040.720665
2000401,14097,311642.0445,708.8517625
2000402,14097,311642.0445,3337.48859
2000405,14098,99600.4327,385.4639709
2000406,14097,311642.0445,2589.015146
2000406,14098,99600.4327,469.3659445
2000407,14097,311642.0445,1979.294738
2000413,14097,311642.0445,2159.834917
2000414,14097,311642.0445,989.5050477
2000415,14097,311642.0445,473.6241146
2000416,14097,311642.0445,2046.603394
2000420,14070,71567.96469,4748.514266
2000420,14097,311642.0445,1960.208169
2000421,14070,71567.96469,1772.825738
2000424,14070,71567.96469,2464.714205
2000432,14070,71567.96469,409.3279503
2000432,14101,151795.2473,1647.079958
2003580,14097,311642.0445,5316.962901
2003583,14098,99600.4327,2353.728745
2003585,14097,311642.0445,1936.762865
