GRIDCODE,CVENTMUN,Promedio de LONG_VIALIDADES TOTAL x SENTIDO x MUNICIPIO (m),Suma de LONG VIALIDAD x SENTIDO x CELDA
1974972,14097,3089957.561,3992.33544
1974973,14097,3089957.561,684.4275255
1974974,14097,3089957.561,7222.500151
1974976,14097,3089957.561,321.0084617
1974977,14097,3089957.561,380.5007735
1974979,14097,3089957.561,1392.573404
1974980,14097,3089957.561,14860.52785
1974981,14097,3089957.561,24167.15711
1974982,14097,3089957.561,19793.62885
1974983,14097,3089957.561,8674.269927
1974984,14097,3089957.561,3318.833191
1974985,14097,3089957.561,7653.438156
1974986,14097,3089957.561,12.46267341
1974996,14097,3089957.561,7599.591853
1974997,14097,3089957.561,14929.39222
1974998,14097,3089957.561,1811.712951
1974999,14097,3089957.561,1733.128187
1975000,14097,3089957.561,8135.909693
1978152,14097,3089957.561,1508.630399
1978153,14097,3089957.561,1446.434391
1978154,14097,3089957.561,1430.986289
1978155,14097,3089957.561,3660.229959
1978157,14097,3089957.561,210.4597185
1978158,14097,3089957.561,18109.44713
1978159,14097,3089957.561,18752.52826
1978160,14097,3089957.561,741.9369144
1978161,14097,3089957.561,15598.77889
1978162,14097,3089957.561,1849.696607
1978163,14097,3089957.561,1045.545598
1978175,14097,3089957.561,6430.466124
1978176,14097,3089957.561,20594.45013
1978177,14097,3089957.561,14501.75102
1978178,14097,3089957.561,26472.71384
1978179,14097,3089957.561,19208.32764
1978185,14051,178263.2078,4770.570767
1981326,14097,3089957.561,1013.999804
1981327,14097,3089957.561,3268.854542
1981328,14097,3089957.561,7270.728424
1981329,14097,3089957.561,6852.396075
1981330,14097,3089957.561,16554.64888
1981331,14097,3089957.561,28161.0915
1981332,14097,3089957.561,5335.702561
1981335,14097,3089957.561,3030.91999
1981336,14097,3089957.561,14348.95922
1981337,14097,3089957.561,5572.071733
1981339,14097,3089957.561,4970.476482
1981340,14097,3089957.561,10851.28242
1981341,14097,3089957.561,12541.72147
1981342,14097,3089957.561,5663.268168
1981354,14097,3089957.561,2480.009773
1981355,14097,3089957.561,2942.139154
1981356,14097,3089957.561,6420.956209
1981357,14097,3089957.561,8427.032762
1981358,14097,3089957.561,68.69443986
1984504,14097,3089957.561,8147.231004
1984507,14097,3089957.561,984.3723706
1984508,14097,3089957.561,1341.115846
1984509,14097,3089957.561,10977.46049
1984510,14097,3089957.561,18667.04103
1984511,14097,3089957.561,2882.886529
1984514,14097,3089957.561,879.1523248
1984515,14097,3089957.561,36.64058705
1984517,14097,3089957.561,8070.676633
1984518,14097,3089957.561,27253.42414
1984519,14097,3089957.561,22071.87283
1984520,14097,3089957.561,9729.285807
1984523,14097,3089957.561,10814.39411
1984524,14097,3089957.561,27126.53101
1984525,14097,3089957.561,17456.3921
1984529,14097,3089957.561,1026.368609
1984530,14097,3089957.561,12031.55914
1984531,14097,3089957.561,1622.645069
1984532,14097,3089957.561,2311.209389
1984533,14097,3089957.561,2032.514352
1984534,14097,3089957.561,9445.418881
1984535,14097,3089957.561,21072.66861
1984536,14070,1337046.111,301.4018947
1984536,14097,3089957.561,161.0829654
1984539,14070,1337046.111,1035.136254
1984540,14070,1337046.111,3572.842762
1984543,14051,178263.2078,6171.665255
1984544,14051,178263.2078,1414.523904
1987687,14097,3089957.561,15864.71557
1987688,14097,3089957.561,7505.66221
1987689,14097,3089957.561,19.51040123
1987695,14097,3089957.561,4653.475238
1987696,14097,3089957.561,11031.2093
1987697,14097,3089957.561,19543.47985
1987698,14097,3089957.561,5576.222983
1987700,14097,3089957.561,4528.641071
1987701,14097,3089957.561,40942.55232
1987702,14097,3089957.561,31282.72193
1987703,14097,3089957.561,6898.152337
1987704,14097,3089957.561,10046.97176
1987707,14097,3089957.561,7802.467059
1987708,14097,3089957.561,28497.69071
1987709,14097,3089957.561,16283.83054
1987710,14097,3089957.561,409.5549191
1987712,14097,3089957.561,7169.216158
1987713,14070,1337046.111,3545.33312
1987713,14097,3089957.561,26792.54839
1987714,14070,1337046.111,22799.54267
1987715,14070,1337046.111,4550.431304
1987716,14070,1337046.111,17810.57855
1987717,14070,1337046.111,9206.489329
1987718,14070,1337046.111,44860.17688
1987719,14070,1337046.111,1741.446584
1987720,14070,1337046.111,2876.105694
1987721,14051,178263.2078,21956.43761
1987722,14051,178263.2078,6252.257791
1990866,14097,3089957.561,9763.059211
1990872,14097,3089957.561,463.5724085
1990873,14097,3089957.561,2013.108865
1990874,14097,3089957.561,2917.223948
1990875,14097,3089957.561,9512.14852
1990876,14097,3089957.561,7528.520521
1990877,14097,3089957.561,20530.78902
1990878,14097,3089957.561,52234.62635
1990879,14097,3089957.561,27287.5779
1990880,14097,3089957.561,14057.31673
1990881,14097,3089957.561,4712.027228
1990882,14097,3089957.561,16680.1629
1990885,14097,3089957.561,18558.46598
1990886,14097,3089957.561,13990.56599
1990887,14097,3089957.561,6056.835066
1990888,14097,3089957.561,5496.590446
1990889,14097,3089957.561,1648.348552
1990890,14097,3089957.561,2125.072688
1990891,14070,1337046.111,2975.392032
1990891,14097,3089957.561,3293.599688
1990892,14070,1337046.111,28046.43589
1990893,14070,1337046.111,7210.11208
1990894,14070,1337046.111,16366.48054
1990895,14070,1337046.111,137.1495554
1990896,14070,1337046.111,20717.15003
1990897,14070,1337046.111,27190.37907
1990898,14070,1337046.111,33035.58532
1990899,14051,178263.2078,23826.96004
1990899,14070,1337046.111,285.0420059
1990900,14051,178263.2078,13620.16983
1994044,14097,3089957.561,1357.576263
1994045,14097,3089957.561,358.6518837
1994046,14097,3089957.561,6368.55629
1994047,14097,3089957.561,5855.702278
1994048,14097,3089957.561,4300.484877
1994049,14097,3089957.561,1631.63918
1994050,14097,3089957.561,5482.308579
1994051,14097,3089957.561,22236.80102
1994053,14097,3089957.561,7406.666093
1994054,14097,3089957.561,20379.08447
1994055,14097,3089957.561,41812.00508
1994056,14097,3089957.561,38361.16914
1994057,14097,3089957.561,23633.76522
1994058,14097,3089957.561,11673.18899
1994059,14097,3089957.561,1807.018082
1994060,14097,3089957.561,13339.63831
1994062,14097,3089957.561,260.9980214
1994063,14097,3089957.561,4203.164761
1994064,14097,3089957.561,1778.683729
1994065,14097,3089957.561,6858.207393
1994066,14097,3089957.561,1961.061739
1994067,14097,3089957.561,444.6625187
1994069,14070,1337046.111,5659.012951
1994070,14070,1337046.111,35073.074
1994071,14070,1337046.111,12748.16651
1994073,14070,1337046.111,1265.228302
1994074,14070,1337046.111,12296.16562
1994075,14070,1337046.111,15618.04831
1994076,14070,1337046.111,37970.52918
1994077,14051,178263.2078,6218.867013
1994077,14070,1337046.111,10688.50411
1994078,14051,178263.2078,2625.036186
1997221,14097,3089957.561,54.93745454
1997222,14097,3089957.561,7714.975165
1997223,14097,3089957.561,8599.079063
1997224,14097,3089957.561,13079.79947
