GRIDCODE,CVENTMUN,Fa
1974970,14097,0.005522184
1974971,14097,0.005522184
1974972,14097,0.005522184
1974973,14097,0.005522184
1974974,14097,0.005522184
1974975,14097,0.005522184
1974976,14097,0.005522184
1974977,14097,0.005378141
1974978,14097,0.001909081
1974979,14097,0.001395763
1974980,14097,0.002470537
1974981,14097,0.001064621
1974982,14097,0.003738035
1974983,14097,0.005522184
1974984,14097,0.005522184
1974985,14097,0.005522184
1974986,14097,0.005522184
1974987,14097,0.005407639
1974988,14097,0.003465288
1974989,14097,0.002469455
1974990,14097,0.003653043
1974991,14097,0.005098898
1974992,14097,0.005522184
1974993,14097,0.004954781
1974994,14097,0.005522184
1974995,14097,0.005522184
1974996,14097,0.004212465
1974997,14097,0.003027141
1974998,14097,0.004635279
1974999,14097,0.003634349
1975000,14097,0.001680226
1975001,14097,0.001214444
1975002,14097,0.004415454
1975003,14044,0.021573088
1975003,14097,0.005198464
1975004,14044,0.310430043
1975004,14097,0.000863952
1975005,14044,0.358008792
1975005,14051,0.000571128
1975006,14044,0.011093888
1975006,14051,0.020392235
1975007,14051,0.005751518
1975008,14051,0.001870514
1975009,14051,0.00231081
1975010,14051,0.000183643
1975011,14051,0.000841928
1975012,14051,0.000258935
1978148,14097,0.005522184
1978149,14097,0.005522184
1978150,14097,0.005522184
1978151,14097,0.005522184
1978152,14097,0.005522184
1978153,14097,0.005522184
1978154,14097,0.005522184
1978155,14097,0.00401891
1978156,14097,1.33623E-07
1978157,14097,6.28742E-05
1978158,14097,0.000196553
1978159,14097,0.002009357
1978160,14097,0.001509223
1978161,14097,0.005471274
1978162,14097,0.005522184
1978163,14097,0.005522184
1978164,14097,0.005522184
1978165,14097,0.004762007
1978166,14097,0.005171786
1978167,14097,0.005504484
1978168,14097,0.005522184
1978169,14097,0.005522184
1978170,14097,0.005522184
1978171,14097,0.005522184
1978172,14097,0.005522184
1978173,14097,0.005522184
1978174,14097,0.005512668
1978175,14097,0.003683332
1978176,14097,0.001685676
1978177,14097,0.001183052
1978178,14097,0.001364721
1978179,14097,0.003244611
1978180,14097,0.005522184
1978181,14097,0.005522184
1978182,14044,0.088994608
1978182,14097,0.004186754
1978183,14044,0.20969603
1978183,14051,0.006744743
1978183,14097,0.000604136
1978184,14051,0.021026088
1978185,14051,0.018647208
1978186,14051,0.020536126
1978187,14051,0.018747589
1978188,14051,0.009535677
1978189,14051,0.009079483
1978190,14051,0.012008353
1978191,14051,0.010764459
1978192,14051,0.004215453
1981326,14097,0.005522184
1981327,14097,0.005088207
1981328,14097,0.004937458
1981329,14097,0.004202249
1981330,14097,0.00081099
1981331,14097,0.001240766
1981332,14097,0.004328112
1981333,14097,0.005514617
1981334,14097,0.002920054
1981335,14097,0.001517163
1981336,14097,0.001928821
1981337,14097,0.00207434
1981338,14097,0.002239162
1981339,14097,0.00124806
1981340,14097,0.001493521
1981341,14097,0.005105446
1981342,14097,0.005522184
1981343,14097,0.005522184
1981344,14097,0.005522184
1981345,14097,0.004917286
1981346,14097,0.002515012
1981347,14097,0.004099803
1981348,14097,0.005522184
1981349,14097,0.005522184
1981350,14097,0.005522184
1981351,14097,0.005522184
1981352,14097,0.005334884
1981353,14097,0.004054961
1981354,14097,0.004522754
1981355,14097,0.005522184
1981356,14097,0.004289715
1981357,14097,0.005092125
1981358,14097,0.005522184
1981359,14097,0.005522184
1981360,14097,0.005522184
1981361,14044,0.000203552
1981361,14051,0.00688215
1981361,14097,0.003711637
1981362,14051,0.020508776
1981362,14097,0.000135864
1981363,14051,0.021026088
1981364,14051,0.021026088
1981365,14051,0.021026088
1981366,14051,0.021026088
1981367,14051,0.021026088
1981368,14051,0.020846825
1981369,14051,0.015766954
1981370,14051,0.01958346
1984504,14097,0.004653145
1984505,14097,0.001081151
1984506,14097,8.94212E-05
1984507,14097,0.00232545
1984508,14097,0.004022449
1984509,14097,0.002934167
1984510,14097,0.004093766
1984511,14097,0.003634076
1984512,14097,0.001993764
1984513,14097,0.002850179
1984514,14097,0.003636797
1984515,14097,0.000608622
1984519,14097,0.001658015
1984520,14097,0.005522184
1984521,14097,0.005522184
1984522,14097,0.005522184
1984523,14097,0.003384552
1984524,14097,0.000336612
1984525,14097,0.005522184
1984526,14097,0.005110351
1984527,14097,0.005067626
1984528,14097,0.005522184
1984529,14097,0.005492995
1984530,14097,0.002335211
1984531,14097,3.04169E-06
1984532,14097,0.001584133
1984533,14097,0.002773852
1984534,14097,0.00313445
1984535,14097,0.001490573
1984536,14070,0.008229672
1984536,14097,0.00313237
1984537,14070,0.007428313
1984537,14097,0.004893651
1984538,14070,0.004756398
1984538,14097,0.00511973
1984539,14070,0.004861756
1984539,14097,0.005110815
1984540,14051,0.009514712
1984540,14070,0.00957905
1984540,14097,0.002122074
1984541,14051,0.021026088
1984542,14051,0.021026088
1984543,14051,0.018348587
1984544,14051,0.020874506
1984545,14051,0.021026088
1984546,14051,0.019789039
1984547,14051,0.000250173
1984548,14051,0.011507369
1987682,14097,0.001415274
1987687,14097,0.002756444
1987688,14097,0.001932451
1987689,14097,5.47512E-06
1987695,14097,0.001651507
1987696,14097,0.000759061
1987697,14097,1.6291E-05
1987698,14097,0.004364531
1987699,14097,0.005106211
1987700,14097,0.00549796
1987701,14097,0.000582292
1987702,14097,8.11556E-05
1987703,14097,0.004895642
1987704,14097,0.005266565
1987705,14097,0.00504729
1987706,14097,0.005522184
1987707,14097,0.004306952
1987708,14097,2.28817E-06
1987709,14097,0.000242822
1987710,14097,0.001637814
1987711,14097,0.000406623
1987712,14097,5.28834E-07
1987713,14070,0.000198334
1987714,14070,0.000149198
1987715,14070,0.037095286
1987716,14070,0.064549684
1987716,14097,6.04295E-05
1987717,14070,0.05703741
1987717,14097,8.47748E-06
1987718,14051,6.48882E-05
1987718,14070,0.015699413
1987719,14051,0.009156517
1987719,14070,0.036842523
1987720,14051,0.008789016
1987720,14070,0.03798264
1987721,14051,0.007898685
1987721,14070,0.00349411
1987722,14051,0.020671036
1987723,14051,0.021026088
1987724,14051,0.018309152
1987725,14051,0.000419912
1990860,14097,0.000624775
1990872,14097,0.000384645
1990873,14097,0.005521548
1990874,14097,0.005515719
1990875,14097,0.003127226
1990876,14097,0.003010476
1990877,14097,0.001787806
1990878,14097,0.001252127
1990879,14097,0.001713487
1990880,14097,0.004223642
1990881,14097,0.005432812
1990882,14097,0.005521026
1990883,14097,0.003542095
1990884,14097,0.00534583
1990885,14097,0.003238572
1990887,14097,0.000565566
1990888,14097,0.004048775
1990889,14070,0.001024612
1990889,14097,0.00294203
1990891,14070,0.025933471
1990892,14070,6.44804E-05
1990893,14070,0.021920513
1990894,14070,0.063839931
1990895,14070,0.050342179
1990896,14070,0.033610333
1990897,14070,0.012703024
1990898,14070,0.016914901
1990899,14051,0.000174078
1990899,14070,0.00785953
1990900,14051,0.010732191
1990901,14051,0.021026088
1990902,14051,0.021020272
1990903,14051,0.005574781
1990904,14051,0.001499386
1994038,14097,0.000559528
1994039,14097,0.001346088
1994042,14097,0.000906576
1994043,14097,0.000881883
1994044,14097,0.00159797
1994045,14097,0.000177846
1994046,14097,7.33432E-05
1994048,14097,0.000671386
1994049,14097,0.002307187
1994050,14097,0.003296732
1994051,14097,0.004315671
1994052,14097,0.005522184
1994053,14097,0.004589528
1994054,14097,0.000196281
1994057,14097,0.000368849
1994058,14097,0.003192093
1994059,14097,0.004509572
1994060,14097,0.001820244
1994061,14097,0.000939138
1994062,14097,0.00351675
1994063,14097,0.000963167
1994065,14097,0.000356797
1994066,14097,0.005521054
1994067,14070,0.000478685
1994067,14097,0.002123832
1994068,14070,1.98608E-10
1994069,14070,0.014635794
1994072,14070,0.012817837
1994073,14070,0.017677735
1994074,14070,0.06526387
1994075,14070,0.03513435
1994077,14051,0.00019596
1994078,14051,0.019794947
1994079,14051,0.021026088
1994080,14051,0.019973306
1994081,14051,0.001950413
1994082,14051,0.006924692
1997216,14097,0.003975342
1997217,14097,0.005483569
1997218,14097,0.001725967
1997219,14097,0.003138656
1997220,14097,0.003017775
1997221,14097,0.005522184
1997222,14097,0.005522184
1997223,14097,0.003878294
1997224,14097,0.003463375
1997225,14097,0.000546149
1997226,14097,0.002459005
1997227,14097,0.005134878
1997228,14097,0.001478249
1997229,14097,0.003854972
1997230,14097,0.005522184
1997231,14097,0.005437217
1997232,14097,0.000798316
1997234,14097,0.000218177
1997235,14097,0.00032985
1997236,14097,0.001986763
1997237,14097,0.004113606
1997238,14097,0.000774795
1997243,14097,9.77255E-06
1997244,14097,0.001174144
1997245,14097,2.2034E-05
1997251,14070,9.25675E-05
1997252,14070,0.060141602
1997253,14070,0.061546161
1997253,14101,0.000205907
1997254,14070,0.022270983
1997255,14051,0.000290955
1997255,14070,0.000618843
1997256,14051,0.018702352
1997257,14051,0.021026088
1997258,14051,0.021026088
1997259,14051,0.020328696
1997260,14051,0.020940673
2000394,14097,0.004605451
2000395,14097,0.001968839
2000396,14097,0.002235251
2000397,14097,0.005518025
2000398,14097,0.005159922
2000399,14097,0.005354706
2000400,14097,0.004642107
2000401,14097,0.002520405
2000402,14097,0.001438221
2000403,14097,0.00025204
2000404,14097,0.003060716
2000404,14098,6.17231E-05
2000405,14097,0.0034859
2000405,14098,0.007411412
2000406,14097,0.000784066
2000406,14098,0.003380382
2000407,14097,0.002169627
2000407,14098,0.000255403
2000408,14097,0.005522184
2000409,14097,0.004500191
2000410,14097,0.00147044
2000411,14097,0.003126105
2000412,14097,0.004768395
2000413,14097,0.001192364
2000414,14097,0.004887636
2000415,14097,0.00472893
2000416,14097,0.0012611
2000428,14070,0.00198965
2000429,14070,0.016516404
2000429,14101,0.001126089
2000430,14070,0.039582284
2000430,14101,0.007973546
2000431,14070,0.010122227
2000431,14101,0.015210626
2000432,14070,0.013451475
2000432,14101,0.010298091
2000433,14051,4.57679E-07
2000433,14070,0.008006646
2000433,14101,0.001581892
2000434,14051,0.005370051
2000434,14070,0.005807273
2000434,14101,6.11294E-05
2000435,14051,0.017528243
2000436,14051,0.018095027
2000437,14051,0.021026088
2000438,14051,0.021026088
2003572,14097,0.000169759
2003574,14097,0.004307183
2003575,14097,0.005522184
2003576,14097,0.002220886
2003577,14097,5.86806E-05
2003578,14097,0.000307879
2003579,14097,0.001565489
2003580,14097,9.6916E-05
2003581,14097,0.002168264
2003581,14098,0.000321548
2003582,14097,0.001029858
2003582,14098,0.014475325
2003583,14097,9.32177E-05
2003583,14098,0.012170707
2003584,14097,0.000473884
2003584,14098,0.029504091
2003585,14097,0.002236588
2003585,14098,0.024210871
2003586,14097,0.005522184
2003587,14097,0.005522184
2003588,14097,0.005522184
2003589,14097,0.005522184
2003590,14097,0.004080011
2003591,14097,6.36163E-05
2003592,14097,0.002383564
2003593,14097,0.001327196
2003606,14070,0.005774253
2003607,14070,0.007482996
2003607,14101,0.010536284
2003608,14101,0.016667371
2003609,14101,0.00331351
2003610,14101,0.015676467
2003611,14101,0.006789997
2003612,14051,0.009182934
2003612,14070,0.004218324
2003612,14101,0.005954599
2003613,14051,0.014135506
2003614,14051,0.017884663
2003615,14051,0.016006826
2003615,14124,0.002768144
2003616,14051,0.002359377
2003616,14124,0.010294769
2006752,14097,0.002143951
2006753,14097,0.003827812
2006754,14097,2.60525E-06
2006756,14097,0.002952283
2006757,14097,0.004838461
2006758,14097,0.000867388
2006759,14097,1.29227E-05
2006760,14097,0.000455233
2006760,14098,0.002177729
2006761,14098,0.009376467
2006762,14098,0.034995127
2006763,14097,0.000506713
2006763,14098,0.036957956
2006764,14097,0.003927018
2006764,14098,0.011754448
2006765,14097,0.002256315
2006765,14098,0.024065507
2006766,14097,0.004445837
2006766,14098,0.007931373
2006767,14097,0.005522184
2006768,14097,0.00544553
2006769,14097,0.001024944
2006783,14070,0.020691517
2006784,14070,0.009953686
2006784,14101,0.005829621
2006785,14101,0.010135033
2006786,14101,0.000445932
2006788,14101,0.008377912
2006789,14101,0.008691648
2006790,14051,0.000425796
2006790,14101,0.011734954
2006791,14051,0.007012484
2006791,14101,0.013534171
2006792,14051,0.017793657
2006792,14101,1.62549E-06
2006793,14051,0.0061121
2006793,14124,0.005880894
2006794,14124,0.011595976
2009930,14097,8.74047E-05
2009931,14097,0.000266785
2009932,14097,0.001815864
2009933,14097,0.002709274
2009934,14097,0.005378562
2009935,14097,0.00528314
2009936,14097,0.001741462
2009937,14097,0.000990436
2009938,14097,0.005047977
