GRIDCODE,CVENTMUN,Fb
1974977,14097,0.000254822
1974978,14097,0.00680596
1974979,14097,0.00771542
1974980,14097,0.002252538
1974982,14097,0.000715357
1974987,14097,0.000215767
1974988,14097,0.003874551
1974989,14097,0.00575039
1974990,14097,0.003520879
1974991,14097,0.00079734
1974993,14097,0.00106881
1974996,14097,0.002467102
1974997,14097,0.004699884
1974998,14097,0.001399332
1974999,14097,0.002858306
1975000,14097,0.004843835
1975001,14097,0.003814283
1975007,14051,0.100161515
1975008,14051,0.063310404
1975009,14051,0.061855197
1975010,14051,0.046047161
1975011,14051,0.044592815
1975012,14051,0.048760402
1975013,14051,0.049368371
1975014,14051,0.049368371
1978155,14097,0.0028317
1978156,14097,0.010401822
1978157,14097,0.010283287
1978158,14097,0.000861288
1978159,14097,5.72269E-05
1978160,14097,0.007429355
1978161,14097,9.58982E-05
1978165,14097,0.001431937
1978166,14097,0.000660041
1978167,14097,3.33411E-05
1978174,14097,1.7925E-05
1978175,14097,0.003463824
1978176,14097,0.007226785
1978177,14097,0.008173573
1978178,14097,0.007831365
1978179,14097,0.004290238
1978185,14051,0.015599277
1978186,14051,0.003212881
1978187,14051,0.005033882
1978188,14051,0.025385736
1978189,14051,0.026393605
1978190,14051,0.021173263
1978191,14051,0.025707322
1978192,14051,0.042113821
1981327,14097,0.002656421
1981328,14097,0.00357917
1981333,14097,1.42536E-05
1981334,14097,0.004901603
1981335,14097,0.006099674
1981337,14097,0.004126973
1981338,14097,0.00618419
1981339,14097,0.007115292
1981340,14097,0.001192289
1981345,14097,0.00107109
1981346,14097,0.005613889
1981347,14097,0.002679323
1981356,14097,0.002321588
1981357,14097,0.000810098
1981368,14051,0.002072524
1981369,14051,0.021657393
1981370,14051,0.00594082
1984504,14097,0.005319477
1984505,14097,0.027184017
1984506,14097,0.033254496
1984507,14097,0.019567538
1984508,14097,0.008065698
1984509,14097,0.00454226
1984510,14097,4.35199E-05
1984511,14097,0.003556607
1984512,14097,0.010802886
1984513,14097,0.005033224
1984514,14097,0.003551482
1984515,14097,0.009255619
1984516,14097,0.010402073
1984517,14097,0.004035872
1984546,14051,0.014301975
1984547,14051,0.085556321
1984548,14051,0.039198591
1987682,14097,0.025138813
1987683,14097,0.033801852
1987684,14097,0.034957946
1987685,14097,0.033801852
1987686,14097,0.019563566
1987687,14097,0.011414888
1987688,14097,0.010990608
1987689,14097,0.01039176
1987690,14097,0.016907152
1987691,14097,0.020559132
1987692,14097,0.016160036
1987693,14097,0.016160036
1987694,14097,0.016160036
1987695,14097,0.003691012
1987724,14051,0.011188485
1987725,14051,0.084857328
1987726,14051,0.086586547
1990860,14097,0.029977538
1990861,14097,0.033801852
1990862,14097,0.034957946
1990863,14097,0.03738406
1990864,14097,0.022791408
1990865,14097,0.020460154
1990866,14097,0.011970963
1990867,14097,0.010402073
1990868,14097,0.021359673
1990869,14097,0.023798332
1990870,14097,0.016160036
1990871,14097,0.016160036
1990872,14097,0.009677522
1990873,14097,1.19781E-06
1990889,14070,0.228763919
1990889,14097,0.306901748
1990890,14070,0.072846581
1990893,14070,0.014621319
1990894,14070,0.001218475
1990895,14070,0.012574071
1990902,14051,1.45699E-05
1990903,14051,0.03870845
1990904,14051,0.048918084
1994038,14097,0.034736396
1994039,14097,0.029230823
1994040,14097,0.034957946
1994041,14097,0.040172037
1994042,14097,0.017183945
1994043,14097,0.017910909
1994044,14097,0.010449202
1994045,14097,0.016362643
1994046,14097,0.012266251
1994047,14097,0.005290946
1994048,14097,0.005604892
1994049,14097,0.006056052
1994050,14097,0.004192058
1994067,14070,0.309016515
1994067,14097,0.27898826
1994068,14070,0.036571566
1994071,14070,0.043281403
1994072,14070,0.044878442
1994073,14070,0.040719793
1994077,14051,0.004871425
1994077,14070,0.185680979
1994080,14051,0.002637418
1994081,14051,0.047788177
1994082,14051,0.035326666
1997216,14097,0.012641411
1997217,14097,0.000236366
1997218,14097,0.034088734
1997219,14097,0.027923388
1997220,14097,0.016415498
1997223,14097,0.000873683
1997224,14097,0.000635183
1997243,14070,0.001611117
1997243,14097,0.001713079
1997244,14070,0.181414027
1997244,14097,0.208678264
1997245,14070,0.169776293
1997245,14097,0.20371862
1997248,14070,0.000209179
1997249,14070,0.045005495
1997250,14070,0.055846756
1997251,14070,0.055767546
1997252,14070,0.004383161
1997255,14051,0.013516366
1997255,14070,0.419605523
1997256,14051,0.005133823
1997259,14051,0.0017471
1997260,14051,0.00021398
2000394,14097,0.006915769
2000395,14097,0.026806177
2000396,14097,0.181044189
2000397,14097,2.72608E-05
2000398,14097,0.002257891
2000399,14097,0.000331484
2000424,14070,0.009285068
2000425,14070,0.030361456
2000426,14070,0.039595611
2000427,14070,0.055846756
2000428,14070,0.054144199
2000429,14070,0.03049867
2000429,14101,0.006197142
2000430,14070,0.000108037
2000432,14070,0.001156872
2000432,14101,0.007789704
2000433,14051,0.002322216
2000433,14070,0.047293316
2000433,14101,0.02549798
2000434,14051,0.029503501
2000434,14070,0.015870295
2000435,14051,0.00772778
2000436,14051,0.006475586
2003572,14097,0.041440595
2003573,14097,0.042754932
2003574,14097,0.00916588
2003576,14097,0.008708501
2003577,14097,0.008005376
2003578,14097,0.003215982
2003602,14070,0.037865648
2003603,14070,0.055846756
2003604,14070,0.055846756
2003605,14070,0.055846756
2003606,14070,0.048848658
2003606,14101,0.001568654
2003607,14070,0.005561867
2003607,14101,0.011427533
2003610,14101,0.000114013
2003611,14101,0.028386991
2003612,14051,0.009385504
2003612,14070,0.003774628
2003613,14051,0.015223347
2003614,14051,0.006940343
2006750,14097,0.029904477
2006751,14097,0.029904477
2006752,14097,0.018294267
2006753,14097,0.006860958
2006754,14097,0.029890368
2006755,14097,0.029893586
2006756,14097,0.008966635
2006779,14070,0.001343214
2006780,14070,0.042863584
2006780,14101,0.001458935
2006781,14070,0.046991682
2006781,14101,0.006752723
2006782,14070,0.039343258
2006782,14101,0.012270078
2006783,14070,0.021856702
2006783,14101,0.002406133
2006784,14070,0.012847422
2006784,14101,0.007275322
2006785,14101,0.002122123
2006788,14101,0.00015704
2006789,14101,0.024352102
2006790,14101,0.000156261
2006791,14051,8.56064E-05
2009928,14097,0.022360777
2009929,14097,0.022360777
2009930,14097,0.022006853
2009931,14097,0.021280494
2009932,14097,0.015007865
2009933,14097,0.01523285
2009934,14097,0.001173738
2009953,14070,0.004186243
2009954,14070,0.01017455
2009957,14070,0.010597885
2009957,14098,0.015306257
2009958,14070,0.023362084
2009958,14098,0.984693743
2009958,14101,0.001464141
2009959,14101,0.01250293
2009960,14101,0.00562695
2009961,14101,4.27241E-06
2009964,14101,2.24256E-05
2009966,14101,0.006084749
2009967,14101,0.031969944
2009968,14101,0.010410736
2013106,14097,0.022360777
2013107,14097,0.022360777
2013108,14097,0.022360777
2013109,14097,0.022360105
2013110,14097,0.02671479
2013111,14097,0.012549719
2013112,14097,0.002599323
2013113,14097,0.00773097
2013114,14097,0.001233941
2013115,14097,0.001643217
2013130,14070,0.005096514
2013131,14070,0.554182655
2013132,14070,0.274571467
2013140,14101,0.003399952
2013141,14101,0.031823602
2013142,14101,0.036148063
2013143,14101,0.023737599
2013144,14101,0.06068929
2013145,14101,0.067344908
2013146,14101,0.037780873
2013147,14101,0.03216955
2013148,14101,0.002704778
2013148,14124,0.000543074
2016284,14097,0.022360777
2016285,14097,0.022360777
2016286,14097,0.022360777
2016287,14097,0.022360777
2016288,14097,0.022360777
2016289,14097,0.029904477
2016290,14097,0.02932807
2016291,14097,0.02859229
2016292,14097,0.02448989
2016293,14097,0.030725952
2016294,14097,0.001466729
2016309,14070,0.081049347
2016310,14070,0.070739238
2016318,14101,0.005161932
2016319,14101,0.032958146
2016320,14101,0.060621281
2016321,14101,0.072086314
2016322,14101,0.072086314
2016323,14101,0.072086314
2016324,14101,0.072086314
2016325,14101,0.053600279
2016326,14101,0.012741489
2016326,14124,0.007848634
2016327,14124,3.3971E-05
2019462,14097,0.022360777
2019463,14097,0.022360777
2019464,14097,0.021242569
2019464,14120,0.000306182
2019465,14097,0.022097222
2019465,14120,7.21653E-05
2019466,14097,0.022360777
2019467,14097,0.022360777
2019468,14097,0.022360777
2019469,14097,0.011579823
2019470,14097,0.280555401
2019471,14097,0.016937986
2019472,14097,0.002782269
2019498,14101,0.000365166
2019499,14101,0.033976086
2019500,14101,0.072086314
2019501,14101,0.061417964
2019502,14101,0.072086314
2019503,14101,0.042587745
2019504,14101,0.014065596
2019504,14124,0.015384634
2019505,14124,0.008549473
2019506,14124,0.012747628
