GRIDCODE,CVENTMUN,Fpav
1974973,14097,0.002603801
1974974,14097,0.026290383
1974980,14097,0.010943253
1974981,14097,0.00437838
1975000,14097,0.027302014
1975003,14044,1
1975003,14097,0.007458257
1975004,14097,0.003231704
1978152,14097,0.014275679
1978153,14097,0.013623815
1978158,14097,0.019772206
1978177,14097,0.018081908
1978178,14097,0.009409396
1978181,14097,0.012838745
1981326,14097,0.020444581
1981327,14097,0.011767561
1981328,14097,0.011763944
1981329,14097,0.012170776
1981330,14097,0.020659587
1981331,14097,0.0329288
1981332,14097,0.003942733
1981335,14097,0.012180042
1981336,14097,0.004313853
1981337,14097,0.012855159
1981338,14097,0.015012239
1981339,14097,0.001884855
1981354,14097,5.94313E-05
1981355,14097,0.027378606
1981358,14097,0.010795227
1981359,14097,0.003199267
1984504,14097,0.00208554
1984509,14097,0.011429697
1984510,14097,0.034062856
1984511,14097,0.011764872
1984512,14097,0.011861543
1984513,14097,0.009479676
1984517,14097,0.016952349
1984532,14097,0.02702502
1984533,14097,0.011941584
1984534,14097,0.012014356
1984535,14070,0.00059511
1984535,14097,0.012303231
1984536,14070,0.024220401
1984536,14097,0.011868733
1984537,14070,0.008528795
1987688,14097,0.011913579
1987695,14097,0.001349117
1987696,14097,0.011503823
1987710,14097,0.025734281
1987714,14070,0.013287028
1987715,14070,0.040281452
1987716,14070,0.029696812
1987717,14070,0.029732676
1987718,14070,0.000946062
1990866,14097,0.012007439
1990874,14097,0.012056558
1990887,14097,0.023263298
1990888,14097,0.00243394
1990892,14070,0.033265677
1990896,14070,0.029271967
1990897,14070,0.031530715
1990898,14070,0.006551123
1994044,14097,0.003789636
1994045,14097,0.009542931
1994051,14097,0.011004598
1994052,14097,0.008771828
1994065,14097,0.025812915
1994069,14070,0.022112872
1994070,14070,0.013769944
1994076,14070,0.034312415
1997223,14097,0.013436066
1997228,14097,0.001195962
1997229,14097,0.011344209
1997242,14097,0.016260507
1997243,14097,0.009214784
1997246,14070,0.010867298
1997247,14070,0.023803203
1997254,14070,0.028514442
2000401,14097,0.004167374
2000402,14097,0.019621258
2000405,14098,0.004239863
2000406,14097,0.015220946
2000406,14098,0.005162733
2000407,14097,0.01163637
2000420,14070,0.066349716
2000420,14097,0.011524159
2000421,14070,0.024771218
2000424,14070,0.03443879
2000432,14070,0.00571943
2000432,14101,0.014423691
2003580,14097,0.031258684
2003583,14098,0.025889548
2003585,14097,0.011386323
2003585,14098,0.001245775
2003597,14070,0.020801306
2003598,14070,0.039943152
2003601,14070,0.032516504
2003602,14070,0.002221308
2003610,14101,0.018080122
2006758,14097,0.014548057
2006759,14097,0.021749668
2006760,14097,0.001974882
2006760,14098,0.020774679
2006761,14098,0.006378852
2006763,14097,0.008559186
2006764,14097,0.000570483
2006764,14098,0.006015548
2006769,14097,0.001688215
2006775,14070,0.060949089
2006778,14070,0.020805928
2006779,14070,0.01478255
2006788,14101,0.017808301
2009937,14097,0.028336134
2009942,14098,0.029118327
2009943,14098,0.002103917
2009952,14070,0.002158629
2009953,14070,0.071054571
2009954,14070,0.03153909
2009955,14070,0.054842267
2009956,14070,0.015562497
2009963,14101,0.012756543
2009964,14101,0.018118813
2009965,14101,0.013320433
2009966,14101,0.007904516
2009968,14101,0.00307567
2009969,14051,0.01875153
2009969,14101,0.017786724
2009970,14051,0.512931155
2009971,14051,0.463768586
2009971,14124,0.016456297
2009972,14124,0.088076766
2013115,14097,0.003792726
2013116,14097,0.024185812
2013121,14098,0.024228506
2013125,14098,0.017208231
2013126,14098,0.022157365
2013127,14098,0.01945834
2013130,14070,0.064153292
2013131,14070,0.019055335
2013133,14070,0.008840419
2013133,14098,0.015161141
2013140,14101,0.010087119
2013141,14101,0.010811307
2013143,14101,0.019320339
2013144,14101,0.018092631
2013145,14101,0.018312171
2013146,14101,0.014832402
2013149,14051,0.00454873
2013149,14124,0.079379668
2013150,14124,0.066297865
2016294,14097,0.019276313
2016295,14097,0.0078502
2016299,14098,0.022997913
2016301,14098,0.01242306
2016302,14098,0.02505355
2016303,14098,0.005600467
2016305,14098,0.004818164
2016306,14098,0.025288668
2016307,14098,0.013971952
2016308,14070,0.028206918
2016308,14098,0.025558744
2016311,14098,0.02211346
2016318,14101,0.020074446
2016328,14124,0.040125354
2019473,14097,0.007662082
2019473,14120,0.00460061
2019477,14098,0.023080235
2019478,14098,0.006596404
2019479,14098,0.021222865
2019485,14098,0.030430346
2019486,14098,0.036701142
2019487,14098,0.022471249
2019488,14098,0.022448482
2019489,14098,0.025688492
2019495,14101,0.014902509
2019496,14101,0.005806679
2022651,14120,0.003352621
2022652,14120,0.007167591
2022655,14098,0.025878825
2022656,14098,0.026505776
2022663,14098,0.023681715
2022667,14098,0.038173572
2022670,14098,0.015336006
2022670,14101,0.004440047
2022671,14101,0.018025302
2022672,14101,0.018384229
2022673,14101,0.010474125
2022680,14101,0.03193513
2022681,14101,0.036834874
2022682,14101,0.007200712
2022682,14124,0.132099617
2022683,14124,0.196551057
2022684,14124,0.245832273
2025830,14120,0.009436632
2025831,14098,0.01249198
2025831,14120,0.004825531
2025832,14098,0.022632352
2025833,14098,0.033395629
2025834,14039,0.004859397
2025834,14098,0.011260664
2025841,14098,0.027521798
2025845,14098,0.022888605
2025845,14101,0.00349358
2025846,14098,0.02403776
2025846,14101,0.001766812
2025847,14098,0.022959108
2025848,14098,0.001690241
2025855,14101,0.02582038
2025856,14101,0.035463865
2025857,14101,0.037871887
2025858,14101,0.006759747
2025861,14124,0.05110808
2025862,14124,0.084073022
2029009,14120,0.000505014
2029012,14039,0.027509781
2029012,14098,0.00058184
2029013,14039,0.009425937
2029019,14098,0.004564237
2029020,14098,0.017563821
2029023,14098,0.028809224
2029024,14098,0.00444475
2029024,14101,0.015785113
2029025,14101,0.018317797
2029026,14101,0.049324911
2029027,14101,0.056264885
2029028,14101,0.041810963
2029029,14101,0.035554294
2029030,14101,0.035413488
2029031,14101,0.03515454
2029032,14101,0.036386119
2029033,14101,0.01608642
2032191,14039,0.036268424
2032197,14039,0.01513668
2032197,14098,0.003085201
2032198,14098,0.009559026
2032200,14098,0.020653983
2032201,14098,0.032578745
2032206,14101,0.01891647
2035369,14039,0.0028588
2035370,14039,0.033123711
2035375,14039,0.034101964
2035378,14098,0.015083768
2035379,14039,0.002698125
2035379,14098,0.009013358
2035384,14101,0.022735335
2038548,14039,0.014866823
2038549,14039,0.022549528
2038552,14039,0.029252975
2038553,14039,0.005381877
2038555,14039,0.0284201
2038556,14039,0.029666965
2038557,14039,0.024283186
2038562,14101,0.013973541
2038563,14101,0.004666065
2041727,14039,0.025710914
2041728,14039,0.016028266
2041729,14039,0.034989111
2041730,14039,0.018577599
2041731,14039,0.014891658
2041732,14039,0.034591622
2041733,14039,0.003800977
2041741,14101,0.021369379
2044903,14039,0.006897489
2044904,14039,0.031840674
2044905,14039,0.031372216
2044906,14039,0.026718008
2044907,14039,0.065014678
2044908,14039,0.032220754
2044909,14039,0.021215017
2044918,14101,6.61624E-05
2044919,14101,0.021947281
2048078,14120,0.007542582
2048079,14039,0.001872201
2048079,14120,0.008567957
2048080,14039,0.029193839
2048081,14039,0.030564914
2048085,14039,0.02919037
2048096,14101,0.020877056
2051253,14120,0.007600729
2051254,14120,0.009187726
2051255,14120,0.009158991
2051256,14120,0.001641843
2051263,14039,0.029184397
2051273,14101,0.023081981
2051274,14101,0.009848362
2054430,14120,0.009084312
2054431,14120,0.003786007
2054441,14039,0.042519242
2054451,14101,0.005357369
2054452,14101,0.003077365
2057607,14120,0.01971702
2057608,14120,0.017864823
2057617,14039,0.014263068
2057618,14039,0.035182258
2057619,14039,0.031824161
2060784,14120,0.010387645
2060785,14120,0.019124992
2060786,14120,0.002965544
2060787,14120,0.010851357
2060788,14120,0.007265846
2060794,14039,0.01569485
2060794,14120,0.004117585
2060795,14039,0.021607003
2060797,14039,0.029396691
2063959,14120,0.004383927
2063960,14120,0.018636497
2063961,14120,0.018837404
2063962,14120,0.012718289
2063964,14120,0.009315164
2063966,14120,0.00292883
2063967,14120,0.010574671
2063971,14120,0.010992825
2063972,14120,0.001863969
2063975,14039,0.005233747
2063975,14120,0.007349642
2067132,14120,0.0094814
2067133,14120,0.016573896
2067134,14120,0.018053727
2067135,14120,0.018137102
2067136,14120,0.019173838
2067137,14120,0.014301436
2067142,14120,0.009254459
2067145,14120,0.001610444
2067146,14120,0.011442497
2067148,14120,0.006039009
2067149,14120,0.008496265
2067153,14120,0.009252206
2070311,14120,0.004955254
2070320,14120,0.00929982
2070324,14120,0.000723889
2070325,14120,0.016893825
2070326,14120,0.005245969
2070331,14120,0.009946898
2073489,14120,0.009031821
2073498,14120,0.000441516
2073499,14120,0.008819102
2073501,14120,0.000875318
2073502,14120,0.014342387
2073503,14120,0.00233683
2073509,14120,0.010043015
2076667,14120,0.006260993
2076668,14120,0.00490239
2076675,14120,0.003348069
2076676,14120,0.008941526
2076677,14120,0.013593829
2076678,14120,0.004116965
2076679,14120,0.010374952
2076680,14120,0.007408525
2076687,14120,0.007562027
2076688,14120,0.002300285
2079846,14120,0.00682428
2079847,14120,0.006180409
2079855,14120,0.013141398
2079856,14120,0.007410613
2079866,14120,0.009388463
2083025,14120,0.008829165
2083026,14120,0.002052264
2083032,14120,0.00989123
2083033,14120,0.004379688
2083044,14120,0.010892401
2086204,14120,0.011083015
2086208,14120,0.001645928
2086209,14120,0.016524094
2086210,14120,0.001593256
2086220,14120,0.002351198
2086221,14120,0.012866031
2086222,14120,0.001464498
2086223,14045,0.000701818
2086223,14120,0.002761359
2089382,14120,0.001967987
2089383,14120,0.009019299
2089386,14120,0.012144296
2089387,14120,0.009204998
2089398,14120,0.003745918
2089399,14120,0.020189398
2089400,14120,0.011286351
2089401,14045,0.00516451
2089401,14120,0.011884498
2092561,14120,0.006188105
2092562,14120,0.009705246
2092563,14120,0.009300917
2092564,14120,0.003484845
2092565,14120,0.002706757
2092566,14120,0.006505114
2092577,14120,0.00635981
2092578,14120,0.004343774
2095744,14120,0.009220866
2095756,14120,0.009130251
2095757,14120,0.00338475
2098922,14120,0.009193157
2098933,14120,0.005568499
2098934,14120,0.010240507
2098935,14120,0.000876982
2098940,14045,0.020095957
2098941,14045,0.04535423
2098942,14045,0.014972302
2098943,14045,0.01086705
2102100,14120,0.009219305
2102111,14120,0.007397115
2102112,14120,0.008361996
2102113,14045,0.015599067
2102114,14045,0.035840483
2102115,14045,0.041227321
2102116,14045,0.038875209
2102117,14045,0.036038928
2102118,14045,0.039675737
2102119,14045,0.019848562
2102120,14045,0.06622357
2102121,14045,0.006978604
2105278,14120,0.002116942
2105279,14120,0.00703958
2105290,14120,0.009240092
2105291,14045,0.029782694
2105291,14120,0.001122528
2105292,14045,0.037941786
2105293,14045,0.023597011
2105298,14045,0.011477491
2105299,14045,0.024512752
2108457,14120,0.009216409
2108468,14120,0.017899197
2108469,14120,0.013006729
2108476,14045,0.033303443
2111635,14120,0.009235576
2111646,14120,0.011188854
2111647,14120,0.000897934
2111654,14045,0.002994701
2111655,14045,0.060930131
2111656,14045,0.035358107
2111657,14045,0.034197302
2111658,14045,0.034313066
2111659,14045,0.03532358
2111660,14045,0.01329276
2114813,14120,0.009190469
2114833,14045,0.002820666
2114834,14045,0.045656165
2114838,14045,0.031604646
2114839,14045,0.035590934
2114840,14045,0.012057705
2114841,14045,0.033125021
2114842,14045,0.033194489
2114843,14045,0.031462204
