GRIDCODE,CVENTMUN,Furb,Frur,Fpob
1974970,14097,,0.000318632,0.000318632
1974971,14097,,0.000265527,0.000265527
1974972,14097,0.000564696,,0.000564696
1974973,14097,0.000100273,5.31053E-05,9.60094E-05
1974974,14097,3.4304E-05,0.002230424,0.000232823
1974975,14097,,0.001513502,0.001513502
1974980,14097,0.004675894,0.005894692,0.004786067
1974981,14097,0.00566807,,0.00566807
1974982,14097,0.005960973,0.000265527,0.005446132
1974983,14097,0.001551594,0.090916333,0.00962974
1974984,14097,0.00104759,,0.00104759
1974985,14097,0.004710198,,0.004710198
1974986,14097,7.9163E-06,,7.9163E-06
1974991,14097,,0.000159316,0.000159316
1974994,14097,,0.000159316,0.000159316
1974995,14097,,0.000185869,0.000185869
1974996,14097,0.004654783,,0.004654783
1974997,14097,0.004976713,,0.004976713
1974998,14097,0.000525114,0.000132763,0.000489648
1975000,14097,,0.001486949,0.001486949
1978151,14097,,0.000265527,0.000265527
1978152,14097,2.63877E-05,,2.63877E-05
1978153,14097,7.9163E-06,0.000318632,3.60035E-05
1978154,14097,,0.000106211,0.000106211
1978155,14097,,0.001141765,0.001141765
1978157,14097,1.31938E-05,,1.31938E-05
1978158,14097,0.018373728,,0.018373728
1978159,14097,0.011491826,,0.011491826
1978160,14097,0,,0
1978163,14097,0.000287626,0.000238974,0.000283228
1978171,14097,,0.000318632,0.000318632
1978173,14097,,0.00358461,0.00358461
1978175,14097,0.002641405,,0.002641405
1978176,14097,0.007494096,,0.007494096
1978177,14097,0.002601823,0.000610711,0.002421836
1978178,14097,0.012998562,,0.012998562
1978179,14097,0.007903105,0.001964897,0.007366319
1978182,14044,,0.000197563,0.000197563
1978185,14051,,0.074908201,0.074908201
1981326,14097,,0.001407291,0.001407291
1981328,14097,,0.005522955,0.005522955
1981329,14097,0.002208647,0.000106211,0.002018597
1981330,14097,0.009969258,0.000238974,0.009089687
1981331,14097,0.009552333,0.000345185,0.008720051
1981332,14097,8.44405E-05,,8.44405E-05
1981335,14097,0.000868154,,0.000868154
1981336,14097,0.005332946,0.004567059,0.005263714
1981337,14097,0.002527938,0.003239425,0.002592253
1981338,14097,,0.000477948,0.000477948
1981339,14097,0.000435396,,0.000435396
1981340,14097,0.006238043,0.00119487,0.005782164
1981341,14097,0.002615017,7.9658E-05,0.002385833
1981342,14097,,0.015214678,0.015214678
1981347,14097,,0.004832585,0.004832585
1981351,14097,,0.001221423,0.001221423
1981354,14097,0.000137216,0.001885239,0.000295229
1981355,14097,0.000116106,,0.000116106
1981356,14097,0.000456507,,0.000456507
1981357,14097,0.000786352,0.027269589,0.00318031
1981364,14051,,0.001468788,0.001468788
1981370,14051,,0.000489596,0.000489596
1984504,14097,,0.034252941,0.034252941
1984508,14097,1.31938E-05,,1.31938E-05
1984509,14097,0.003092634,0.000876238,0.002892282
1984510,14097,0.003929123,0.000132763,0.00358595
1984511,14097,2.63877E-06,0.000690369,6.48063E-05
1984512,14097,,0.000265527,0.000265527
1984513,14097,,0.003027004,0.003027004
1984517,14097,0.003425118,,0.003425118
1984518,14097,0.016655892,,0.016655892
1984519,14097,0.017803755,0.000132763,0.016206382
1984520,14097,,5.31053E-05,5.31053E-05
1984523,14097,0.012951064,,0.012951064
1984524,14097,0.015151795,,0.015151795
1984529,14097,0.000121383,,0.000121383
1984530,14097,0.001377436,,0.001377436
1984531,14097,5.80529E-05,0.00039829,8.88087E-05
1984532,14097,,0.000982449,0.000982449
1984534,14097,0.001097727,0.000185869,0.001015299
1984535,14097,0.00821184,,0.00821184
1984536,14070,0.000810361,,0.000810361
1984537,14070,8.9214E-05,,8.9214E-05
1984540,14070,0.004698605,,0.004698605
1984543,14051,0.072484397,,0.072484397
1984544,14051,0.005693638,,0.005693638
1987687,14097,,0.019542763,0.019542763
1987688,14097,0.000667608,0.000424843,0.000645663
1987689,14097,7.9163E-06,,7.9163E-06
1987695,14097,0.001694088,,0.001694088
1987696,14097,0.002583352,,0.002583352
1987697,14097,0.009341232,,0.009341232
1987698,14097,0.003683717,0.000106211,0.003360328
1987700,14097,0.001517291,,0.001517291
1987701,14097,0.034902959,,0.034902959
1987702,14097,0.005483356,,0.005483356
1987704,14097,,0.000584159,0.000584159
1987707,14097,0.00098426,0.000477948,0.000938492
1987708,14097,0.005858061,,0.005858061
1987709,14097,0.003514836,,0.003514836
1987710,14097,7.9163E-06,0.001779029,0.000168016
1987712,14097,0.003881625,,0.003881625
1987713,14070,0.006088857,0.003765465,0.006026363
1987713,14097,0.009074717,,0.009074717
1987714,14070,0.049216403,,0.049216403
1987715,14070,0.006066554,0.001075847,0.005932314
1987716,14070,,0.426842388,0.426842388
1987717,14070,0.010616469,0.00591716,0.010490067
1987718,14070,0.052338894,,0.052338894
1987719,14070,0.000542719,,0.000542719
1987720,14070,0.001382817,0.004841313,0.001475844
1987721,14051,0.278221833,,0.278221833
1987722,14051,0.05244717,0.006364749,0.038205477
1990866,14097,,0.000663817,0.000663817
1990872,14097,,0.000424843,0.000424843
1990873,14097,,0.062770505,0.062770505
1990874,14097,,0.010382093,0.010382093
1990875,14097,0.001084533,0.000132763,0.000998497
1990876,14097,0.002794453,0.001088659,0.002640258
1990877,14097,0.013821857,,0.013821857
1990878,14097,0.028050084,,0.028050084
1990879,14097,0.018719407,,0.018719407
1990880,14097,5.27753E-06,,5.27753E-06
1990881,14097,,0.000159316,0.000159316
1990885,14097,0.000836489,,0.000836489
1990886,14097,0.002306282,,0.002306282
1990887,14097,0.001451321,,0.001451321
1990888,14097,,0.006478851,0.006478851
1990890,14097,0.000453868,,0.000453868
1990891,14070,1.4869E-05,,1.4869E-05
1990891,14097,0.001060784,,0.001060784
1990892,14070,0.033826984,,0.033826984
1990893,14070,0.00290689,,0.00290689
1990895,14070,0,,0
1990896,14070,0.003464478,,0.003464478
1990897,14070,0.011478871,,0.011478871
1990898,14070,0.023522764,,0.023522764
1990899,14051,0.440271543,,0.440271543
1990899,14070,0.001196955,,0.001196955
1990900,14051,0.071608453,,0.071608453
1994044,14097,2.37489E-05,,2.37489E-05
1994045,14097,0.000253322,,0.000253322
1994046,14097,0.010291188,,0.010291188
1994047,14097,0.006422757,0.000106211,0.005851771
1994049,14097,0.000118744,,0.000118744
1994050,14097,0.003781352,0.000132763,0.003451537
1994051,14097,0.00934651,5.31053E-05,0.00850643
1994052,14097,,0.000265527,0.000265527
1994053,14097,0.001942132,,0.001942132
1994054,14097,0.012866624,,0.012866624
1994055,14097,0.035275025,,0.035275025
1994056,14097,0.031636167,,0.031636167
1994057,14097,0.016151887,0.000955896,0.014778242
1994058,14097,0.002678348,,0.002678348
1994059,14097,,0.000106211,0.000106211
1994060,14097,,0.029287592,0.029287592
1994061,14097,,0.000424843,0.000424843
1994063,14097,2.63877E-05,,2.63877E-05
1994065,14097,,0.003504952,0.003504952
1994069,14070,0.003546257,,0.003546257
1994070,14070,0.044406281,,0.044406281
1994071,14070,0.003442174,,0.003442174
