GRIDCODE,CVENTMUN,Fter
1975008,14051,0.13585232
1975009,14051,0.030014058
1975010,14051,0.055646078
1975011,14051,0.208121784
1978187,14051,0.138914085
1981347,14097,0.004745456
1981365,14051,0.136903738
1984525,14097,0.024284786
1984526,14097,0.003928598
1984543,14051,0.135263618
1987703,14097,0.02614346
1987704,14097,0.000109176
1987708,14097,0.00689971
1987709,14097,0.052751717
1987710,14097,0.002919283
1987721,14051,0.136317988
1990881,14097,0.02663014
1990899,14051,0.022966333
1994058,14097,0.033829423
1994059,14097,0.057417567
1994060,14097,0.03756186
1994061,14097,0.040856122
1997233,14097,0.010245544
1997234,14097,0.026914157
1997235,14097,0.039290732
1997236,14097,0.001730887
1997237,14097,0.027503603
1997238,14097,0.068192699
1997239,14097,0.018963127
2000413,14097,0.056562004
2000414,14097,0.025913271
2000415,14097,0.012403322
2000416,14097,0.053596684
2003591,14097,0.000914434
2003592,14097,0.085112548
2003593,14097,0.026825889
2003594,14097,0.077003378
2006761,14098,0.171145156
2006762,14098,0.262520114
2006763,14098,0.252479205
2006764,14098,0.014352194
2006769,14097,0.019306363
2006770,14097,0.006440799
2006772,14097,0.055233427
2009942,14098,0.002207491
2009950,14097,0.052528595
2013128,14097,0.017241239
2013128,14098,0.160227566
2016306,14098,0.137068274
2029002,14120,0.233570084
2032180,14120,0.312018484
2035390,14124,0.112453945
2035391,14124,0.014903207
2038566,14101,0.063043148
2038567,14101,0.047611864
2038567,14124,0.018973197
2038568,14124,0.02212091
2038569,14124,0.121247401
2038570,14124,0.136630909
2038571,14124,0.135643976
2038572,14124,0.08244402
2041742,14101,0.005541778
2041743,14101,0.0721443
2041744,14101,0.00186209
2041750,14124,0.066438396
2041751,14124,0.151103149
2041752,14124,0.050932081
2044920,14101,0.070016363
2044930,14124,0.087108808
2048097,14101,0.065750422
2048098,14101,0.006250732
2051274,14101,0.022219405
2051275,14101,0.086594278
2051276,14101,0.086068949
2051277,14101,0.065716954
2054452,14101,0.092243816
2054453,14101,0.085495202
2054454,14101,0.027876041
2057627,14039,0.151046232
2057627,14101,0.011747557
2057628,14101,0.057929733
2057629,14101,0.055011314
2057630,14101,0.056007106
2057631,14101,0.02086895
2060804,14039,0.28948461
2060805,14039,0.227965827
2063982,14039,0.331503331
2105282,14120,0.454411432
