GRIDCODE,LONG,LATITUDE,Huso,Pob,X_long(NALCC),Y_lat(NALCC),UTMz
45,45,"EI 2016 Guadalajara V4.0",,,,,
1974970,-103.5462427,20.46350384,6,12,2339321.774,940649.0616,13
1974971,-103.5366202,20.46360131,6,10,2340321.774,940649.0616,13
1974972,-103.5269977,20.46369817,6,214,2341321.774,940649.0616,13
1974973,-103.5173752,20.46379443,6,40,2342321.774,940649.0616,13
1974974,-103.5077527,20.46389007,6,97,2343321.774,940649.0616,13
1974975,-103.4981301,20.46398511,6,57,2344321.774,940649.0616,13
1974976,-103.4885076,20.46407954,6,0,2345321.774,940649.0616,13
1974977,-103.478885,20.46417336,6,0,2346321.774,940649.0616,13
1974978,-103.4692624,20.46426657,6,0,2347321.774,940649.0616,13
1974979,-103.4596398,20.46435917,6,0,2348321.774,940649.0616,13
1974980,-103.4500172,20.46445116,6,1994,2349321.774,940649.0616,13
1974981,-103.4403946,20.46454255,6,2148,2350321.774,940649.0616,13
1974982,-103.430772,20.46463333,6,2269,2351321.774,940649.0616,13
1974983,-103.4211493,20.4647235,6,4012,2352321.774,940649.0616,13
1974984,-103.4115266,20.46481306,6,397,2353321.774,940649.0616,13
1974985,-103.401904,20.46490201,6,1785,2354321.774,940649.0616,13
1974986,-103.3922813,20.46499035,6,3,2355321.774,940649.0616,13
1974987,-103.3826586,20.46507809,6,0,2356321.774,940649.0616,13
1974988,-103.3730359,20.46516522,6,0,2357321.774,940649.0616,13
1974989,-103.3634132,20.46525173,6,0,2358321.774,940649.0616,13
1974990,-103.3537904,20.46533764,6,0,2359321.774,940649.0616,13
1974991,-103.3441677,20.46542294,6,6,2360321.774,940649.0616,13
1974992,-103.3345449,20.46550764,6,0,2361321.774,940649.0616,13
1974993,-103.3249222,20.46559172,6,0,2362321.774,940649.0616,13
1974994,-103.3152994,20.4656752,6,6,2363321.774,940649.0616,13
1974995,-103.3056766,20.46575807,6,7,2364321.774,940649.0616,13
1974996,-103.2960538,20.46584032,6,1764,2365321.774,940649.0616,13
1974997,-103.286431,20.46592198,6,1886,2366321.774,940649.0616,13
1974998,-103.2768081,20.46600302,6,204,2367321.774,940649.0616,13
1974999,-103.2671853,20.46608345,6,0,2368321.774,940649.0616,13
1975000,-103.2575624,20.46616328,6,56,2369321.774,940649.0616,13
1975001,-103.2479396,20.46624249,6,0,2370321.774,940649.0616,13
1975002,-103.2383167,20.4663211,6,0,2371321.774,940649.0616,13
1975003,-103.2286938,20.4663991,6,0,2372321.774,940649.0616,13
1975004,-103.2190709,20.46647649,6,0,2373321.774,940649.0616,13
1975005,-103.209448,20.46655327,6,0,2374321.774,940649.0616,13
1975006,-103.1998251,20.46662945,6,0,2375321.774,940649.0616,13
1975007,-103.1902022,20.46670501,6,0,2376321.774,940649.0616,13
1975008,-103.1805792,20.46677997,6,0,2377321.774,940649.0616,13
1975009,-103.1709563,20.46685432,6,0,2378321.774,940649.0616,13
1975010,-103.1613333,20.46692806,6,0,2379321.774,940649.0616,13
1975011,-103.1517103,20.46700119,6,0,2380321.774,940649.0616,13
1975012,-103.1420873,20.46707372,6,0,2381321.774,940649.0616,13
1975013,-103.1324644,20.46714563,6,0,2382321.774,940649.0616,13
1975014,-103.1228414,20.46721694,6,0,2383321.774,940649.0616,13
1978148,-103.5463464,20.47257246,6,0,2339321.774,941649.0616,13
1978149,-103.5367233,20.47266994,6,0,2340321.774,941649.0616,13
1978150,-103.5271002,20.47276681,6,0,2341321.774,941649.0616,13
1978151,-103.517477,20.47286307,6,10,2342321.774,941649.0616,13
1978152,-103.5078538,20.47295872,6,10,2343321.774,941649.0616,13
1978153,-103.4982306,20.47305376,6,15,2344321.774,941649.0616,13
1978154,-103.4886074,20.4731482,6,4,2345321.774,941649.0616,13
