GRIDCODE,CID,Fracc,Fracv
159336,16015,1.6159E-05,9.97486E-06
159337,16015,0.000790551,0.000488004
159338,16015,0.000588993,0.000363583
159338,16015,3.25809E-06,2.01121E-06
159339,16015,0.000362012,0.000223468
159339,16015,0.000672206,0.00041495
159339,14087,0.000963981,0.000668586
159340,16015,0.001552508,0.000958356
159340,14087,0.004211827,0.00292119
159341,16015,0.000446501,0.000275623
159341,16015,0.00066611,0.000411187
159341,14087,0.000778209,0.000539741
159342,16015,0.001576647,0.000973258
159343,16015,0.002666869,0.001646247
159344,16015,0.004753312,0.002934199
159345,16015,0.005181596,0.003198577
159346,16015,0.005181596,0.003198577
159347,16015,0.003551497,0.002192324
159392,16035,0.048321944,0.002750488
159393,16029,0.003641053,0.000618138
159393,16035,0.048509716,0.002761176
159394,16029,0.002100157,0.000356542
159394,16029,0.011382146,0.001932336
159394,16097,0.00037072,6.23692E-05
159395,16029,0.003120163,0.000529707
159395,16097,0.013039326,0.002193708
159396,16097,0.000154976,2.60729E-05
160395,16015,0.000304236,0.000187804
160396,16015,0.00069793,0.000430829
160397,16015,0.003392065,0.002093907
160397,14087,0.000902369,0.000625854
160398,16015,1.21336E-08,7.49003E-09
160398,16015,0.000883038,0.000545096
160398,14087,0.003292097,0.002283294
160398,14087,0.004232366,0.002935435
160398,14087,0.000811819,0.000563052
160399,14087,0.00839503,0.005822527
160399,14087,0.001653774,0.001147005
160400,16015,0.000628648,0.000388062
160400,16015,0.000113398,7E-05
160400,14087,0.006717055,0.004658737
160401,16015,0.001354663,0.000836228
160401,16015,0.002722298,0.001680463
160402,16015,0.004356455,0.002689221
160403,16015,0.004910622,0.003031306
160404,16015,0.005181596,0.003198577
160405,16015,0.003989122,0.002462468
160405,16089,0.062496341,0.001612361
160406,16015,0.000965548,0.000596029
160406,16089,0.001963644,5.06606E-05
160446,16035,0.008111006,0.000461679
160447,16035,0.000915859,5.21308E-05
160450,16009,0.005265627,0.002607981
160450,16035,0.006916957,0.000393714
160451,16009,0.003156468,0.001563348
160451,16009,9.02134E-07,4.46813E-07
160451,16035,0.031192122,0.001775458
160451,16035,0.039571959,0.002252439
160452,16029,0.002946389,0.000500206
160452,16035,0.073077301,0.004159565
160452,16097,0.000368093,6.19271E-05
160453,16029,0.004565382,0.000775061
160453,16035,0.008145667,0.000463652
160453,16097,0.007718907,0.001298612
161454,16015,0.001248225,0.000770524
161455,16015,0.002642456,0.001631177
161456,16015,0.001028251,0.000634735
161456,14087,0.004578775,0.003175693
161457,14087,0.002469372,0.001712679
161457,14087,0.007579431,0.005256854
161458,14087,0.005862051,0.004065733
161458,14087,0.004186753,0.002903799
161459,14087,0.009983477,0.006924224
161460,14087,0.002325212,0.001612694
161461,16015,0.001042956,0.000643812
161462,16015,0.00316263,0.001952278
161463,16015,0.003035267,0.001873657
161463,16089,0.145262832,0.003747678
161464,16015,0.000102958,6.35554E-05
161464,16089,0.384324144,0.00991529
161465,16015,0.001535495,0.000947854
161465,16089,0.283981748,0.007326527
161466,16015,0.000142979,8.826E-05
161466,16089,0.039292738,0.001013725
161505,16035,0.070643311,0.004021022
161506,16035,0.027793718,0.00158202
161509,16009,0.017296165,0.008566516
161510,16009,0.025744468,0.012750827
161510,16009,0.000347073,0.0001719
161510,16035,0.000814669,4.6371E-05
161511,16009,0.003751876,0.001858245
161511,16009,0.00146363,0.000724913
161511,16035,0.004977912,0.000283343
161511,16097,0.000154396,2.59752E-05
161511,16097,0.002890702,0.000486325
161512,16097,0.005268127,0.000886298
161513,16097,0.021990267,0.003699595
161514,16097,0.011937165,0.002008283
161515,16097,0.006680574,0.001123925
162500,6006,0.136621147,0.002896522
162501,6002,0.311095402,0.001191638
162501,6006,0.495895572,0.010513544
162502,6002,0.214544376,0.000821803
162515,16015,0.000384443,0.000237315
162515,14087,0.004826656,0.003347616
162516,14087,0.003176529,0.00220314
162516,14087,0.00368327,0.0025546
162516,14087,0.001767601,0.001225952
162517,14087,0.009820619,0.006811271
162517,14087,0.000228184,0.000158262
162518,14087,0.010048804,0.006969532
162519,14087,0.006597134,0.004575563
162520,14087,0.000159544,0.000110655
162522,16089,0.014333467,0.000369793
162523,16089,0.011008971,0.000284024
162524,16089,0.050656599,0.001306904
162525,16089,0.006679521,0.000172327
162563,16035,0.051772118,0.002946873
162564,16035,0.083676221,0.004762856
162565,16009,0.000609851,0.00030205
162565,16035,0.02884126,0.001641647
162568,16009,0.015627002,0.007739807
162569,16009,0.025052215,0.012407965
162569,16009,0.001289657,0.000638747
162570,16009,0.000217292,0.000107621
162570,16009,0.008357059,0.004139119
162570,16097,0.011767556,0.001979748
162571,16097,0.012193332,0.00205138
162571,16097,0.015975544,0.002687691
162572,16097,0.029397739,0.004945812
162572,16097,0.005360326,0.00090181
162573,16097,0.034758065,0.005847621
162574,16097,0.034692648,0.005836616
163559,6002,0.052906689,0.000202657
163559,6006,0.170321853,0.003611015
163560,6002,0.401298814,0.001537158
163560,6006,0.19716143,0.004180044
163561,6002,0.02015471,7.72018E-05
163575,14087,0.003544007,0.002458011
163576,14087,0.010037802,0.006961902
163577,14087,0.00942796,0.006538934
163578,14087,0.008604062,0.005967505
163579,14087,0.00084029,0.000582798
163622,16035,0.018765129,0.001068112
163622,16059,0.009543823,0.00365517
163623,16009,0.01052469,0.005212712
163623,16035,0.03509791,0.001997775
163623,16059,0.010626772,0.004069927
163624,16009,0.002949747,0.001460963
163624,16035,0.000247205,1.40709E-05
163626,16009,0.004037922,0.001999919
163627,16009,0.023700752,0.011738607
163628,16009,0.022588172,0.011187564
163628,16009,0.003756508,0.001860539
163629,16009,0.000763246,0.000378024
163629,16009,0.015471806,0.00766294
163629,16097,0.001796533,0.000302245
163630,16009,0.002719969,0.001347158
163630,16097,0.025598429,0.004306624
163631,16097,0.007264634,0.001222186
163631,16097,0.018891588,0.00317828
163632,16097,0.032348088,0.005442172
163633,16097,0.012171116,0.002047642
164629,14065,0.003691423,0.000850655
164629,14087,0.00101388,0.000703195
164630,14087,0.000102445,7.10529E-05
164634,14087,8.89771E-05,6.17117E-05
164635,14087,0.001144639,0.000793885
164636,14087,0.000363637,0.000252207
164637,14087,0.005185925,0.003596794
164638,14087,2.07654E-05,1.44022E-05
164678,16033,0.014778725,0.003510498
164678,16035,0.019908704,0.001133205
164678,16059,0.007938999,0.003040542
164679,16035,0.05042631,0.002870269
164679,16059,0.016132045,0.006178381
164680,16035,0.017762172,0.001011024
164680,16059,0.035796506,0.013709635
164681,16059,0.000897905,0.000343887
164681,16059,0.034229046,0.013109316
164681,16059,0.00581041,0.002225318
164682,16009,0.00204126,0.001011004
164682,16059,0.028678931,0.010983688
164682,16059,0.037272878,0.014275068
164683,16009,0.007961305,0.003943108
164683,16009,0.008193503,0.004058112
164683,16059,0.006539539,0.002504565
164683,16059,0.016169131,0.006192584
164683,16059,0.004692479,0.001797164
164684,16009,0.022811245,0.011298048
164685,16009,0.025558285,0.012658613
164686,16009,0.026344681,0.013048103
164687,16009,0.026344681,0.013048103
164688,16009,0.004089029,0.002025231
164689,16097,0.000731795,0.000123116
164691,16097,0.002238205,0.000376551
164692,16097,4.98254E-06,8.38252E-07
165661,6007,0.00042443,3.86664E-05
165687,14065,1.70393E-05,3.92655E-06
165688,14065,0.01535472,0.003538357
165688,14087,7.0459E-05,4.88681E-05
165689,14065,0.006705437,0.001545207
165689,14087,0.003271221,0.002268815
165693,14087,0.000690144,0.000478662
165694,14087,0.002442702,0.001694181
165731,16033,1.73153E-05,4.11303E-06
165731,16055,0.479051556,7.36942E-05
165732,16033,0.013357504,0.003172905
165732,16055,0.520947783,8.01392E-05
165737,16033,0.009677294,0.002298718
165737,16059,0.056029818,0.021458752
165738,16059,0.052291844,0.020027152
165739,16059,0.000613808,0.000235081
165739,16059,0.070767977,0.027103291
165740,16059,0.059949767,0.022960045
165740,16059,0.011541377,0.00442021
165741,16009,0.000390265,0.000193292
165741,16059,0.070432089,0.02697465
165742,16009,0.012198088,0.00604152
165742,16009,0.006663524,0.003300338
165742,16059,0.002604043,0.000997317
165742,16059,0.01770264,0.0067799
165743,16009,0.026344681,0.013048103
165744,16009,0.026344681,0.013048103
165745,16009,0.026344681,0.013048103
165746,16009,0.026338677,0.013045129
165747,16009,0.01142941,0.005660806
165747,16097,0.011429255,0.001922833
165748,16097,0.011243045,0.001891505
166719,6007,0.025610627,0.002333178
166720,6007,0.024106013,0.002196105
166721,6001,0.284550017,0.00658506
166721,6007,0.029779181,0.002712942
166746,14065,0.002925648,0.000674189
166747,14065,0.036286222,0.008361833
166748,14065,0.02908897,0.006703291
166748,14087,0.002359188,0.001636258
166749,14065,0.000578665,0.000133348
166749,14087,0.005309443,0.003682462
166750,14087,0.00306312,0.002124483
166750,14087,2.68741E-05,1.8639E-05
166751,14087,0.000448493,0.00031106
166751,14087,0.005339144,0.003703062
166752,14087,0.00819327,0.005682593
166753,14087,0.008910725,0.006180197
166754,14087,0.004519458,0.003134553
166755,14087,8.109E-05,5.62415E-05
166790,16033,0.027029996,0.006420631
166790,16055,7.1716E-07,1.10323E-10
166790,16064,0.043050684,0.001201191
166791,16033,0.085318662,0.020266361
166796,16059,0.018948317,0.007256979
166797,16059,0.00531913,0.002037163
166798,16059,0.017787651,0.006812458
166798,16059,0.051910589,0.019881136
166799,16059,0.071491145,0.027380255
166800,16009,0.004011028,0.001986598
166800,16059,0.060606482,0.023211559
166801,16009,0.005000326,0.002476582
166801,16009,0.021328232,0.010563535
166801,16059,4.37528E-05,1.67568E-05
166802,16009,0.026246998,0.012999722
166802,16009,9.76825E-05,4.83806E-05
166803,16009,0.026344681,0.013048103
166804,16009,0.026344681,0.013048103
166805,16009,0.026344681,0.013048103
166806,16009,0.024836458,0.012301104
166806,16097,0.001989885,0.000334774
166807,16009,0.003777194,0.001870785
166807,16097,0.025145683,0.004230455
166807,16097,0.001834726,0.00030867
166808,16097,0.002272597,0.000382337
166808,16097,0.000983269,0.000165423
167778,6007,0.053038542,0.004831915
167779,6007,0.064366176,0.005863885
167780,6001,0.398779382,0.009228558
167780,6007,0.033440088,0.003046458
167781,6001,0.22095146,0.005113262
167805,14065,0.004690731,0.001080937
167806,14065,0.02277479,0.005248245
167807,14065,0.039654905,0.009138115
167807,14087,0.000378713,0.000262664
167808,14065,0.0160638,0.003701758
167808,14087,0.003095275,0.002146785
167809,14087,0.010048804,0.006969532
167810,14087,0.009378715,0.00650478
167810,14087,0.000670089,0.000464752
167811,14087,0.007659857,0.005312635
167811,14087,0.002388946,0.001656898
167812,14087,0.001581053,0.001096569
167812,14087,0.002375942,0.001647878
167812,14087,0.006091808,0.004225085
167813,14087,0.000492789,0.000341783
167813,14087,0.008428253,0.005845569
167814,14087,0.008308271,0.005762353
167815,14087,0.00287184,0.001991817
167839,16006,0.000251872,4.10388E-05
167840,16006,5.38399E-05,8.77241E-06
167841,16006,0.011531939,0.001878959
167842,16006,0.014426916,0.002350653
167849,16033,0.006112332,0.001451907
167849,16064,0.037134606,0.001036122
167850,16033,0.075694954,0.017980372
167856,16059,0.000181745,6.96063E-05
167857,16059,0.013184241,0.005049407
167857,16059,0.0471783,0.018068726
167858,16059,0.067345043,0.025792348
167859,16009,0.007680679,0.003804119
167859,16059,0.050648206,0.019397659
167860,16009,0.026222084,0.012987383
167861,16009,0.019914284,0.009863229
167861,16009,0.004653222,0.002304667
167862,16009,0.013317198,0.006595797
167863,16009,0.017854678,0.008843139
167864,16009,0.01309296,0.006484735
167865,16009,0.023897358,0.011835983
167865,16097,0.002043908,0.000343863
167866,16009,0.001033082,0.000511669
167866,16097,0.011055977,0.001860034
167866,16097,0.022225589,0.003739185
167867,16082,1.38667E-05,5.27521E-06
167867,16097,0.025655007,0.004316143
167868,16082,0.004049545,0.001540539
167868,16097,0.018209518,0.00306353
167869,16082,0.000758449,0.000288531
168837,6007,0.004380115,0.000399037
168838,6007,0.050906197,0.004637655
168839,6001,0.056474423,0.001306932
168839,6004,0.012888273,0.002463587
168839,6007,0.061274343,0.005582213
168840,6001,0.039244719,0.000908202
168840,6004,0.033562887,0.00641553
168840,6007,0.000916024,8.34516E-05
168841,6004,7.62269E-05,1.45707E-05
168863,14065,0.004151861,0.000956759
168864,14065,0.013777046,0.003174796
168865,14065,0.001988757,0.000458291
168866,14065,0.025929258,0.005975164
168866,14065,0.013776369,0.00317464
168867,14065,0.014152312,0.003261273
168867,14065,0.014831355,0.003417752
168867,14087,0.003103893,0.002152762
168867,14087,0.000489162,0.000339268
168868,14065,9.63564E-05,2.22045E-05
168868,14087,0.009345877,0.006482004
168868,14087,0.000681465,0.000472642
168869,14087,0.009987516,0.006927025
168869,14087,6.12879E-05,4.25074E-05
168870,14087,0.010048804,0.006969532
168871,14087,0.000935576,0.000648886
168871,14087,0.009113227,0.006320646
168872,14087,0.008586379,0.005955241
168872,14087,0.000204723,0.00014199
168872,14087,0.001257701,0.000872302
168873,14087,0.005165828,0.003582855
168873,14087,0.004882976,0.003386678
168874,14049,0.001692347,0.00018506
168874,14087,0.002173442,0.00150743
168874,14087,0.007280117,0.005049258
168875,14049,0.003103912,0.000339416
168875,14087,0.000470823,0.000326548
168895,16012,0.006292526,0.000458184
168896,16012,0.025276413,0.001840476
168897,16006,0.009037791,0.001472574
168897,16012,0.015207859,0.001107345
168897,16083,0.005695732,0.002794061
168898,16006,0.000519115,8.45821E-05
168898,16006,0.022367748,0.003644494
168898,16083,0.000260976,0.000128023
168898,16083,0.002036754,0.000999137
168899,16006,0.014235311,0.002319434
168899,16006,0.016882616,0.002750773
168899,16083,7.2465E-05,3.55479E-05
168900,16006,0.030015364,0.00489056
168901,16006,0.03013086,0.004909378
168902,16006,0.008283235,0.001349631
168903,16006,0.003837279,0.000625228
168908,16033,0.00295184,0.000701172
168909,16033,0.066540913,0.015805946
168910,16033,6.18122E-05,1.46827E-05
168911,16033,0.049232876,0.011694642
168917,16059,0.004457968,0.001707348
168918,16009,0.004927076,0.002440303
168918,16059,0.011547956,0.004422729
168919,16009,0.004437759,0.002197952
168920,16009,0.000629527,0.000311795
168922,16009,0.006999176,0.003466581
168923,16009,0.021111847,0.010456363
168924,16009,0.000497945,0.000246624
168924,16009,0.001378989,0.000682991
168924,16009,0.000882021,0.000436851
168924,16082,0.000441399,0.000167918
168924,16097,1.62899E-06,2.74057E-07
168925,16082,0.003539317,0.001346437
168925,16097,0.015277418,0.002570239
168926,16082,0.013040246,0.004960807
168926,16097,0.019803176,0.003331643
168927,16082,0.030167096,0.011476251
168928,16082,0.015758099,0.00599474
169893,6007,8.13458E-05,7.41076E-06
169894,6007,0.00226304,0.000206167
169895,6007,0.001111842,0.000101291
169895,6007,0.000157912,1.43861E-05
169896,6007,0.008995586,0.000819516
169897,6004,0.008757258,0.001673946
169897,6007,0.064178643,0.0058468
169898,6004,0.076440818,0.014611626
169898,6007,0.011689741,0.001064958
169899,6004,0.018697108,0.003573943
169899,6004,0.071529748,0.013672877
169900,6004,0.057385332,0.010969179
169901,6004,0.018468604,0.003530265
169922,14065,0.003616125,0.000833303
169923,14065,0.044039329,0.010148466
169924,14065,0.02460068,0.005669005
169925,14065,0.032600875,0.007512578
169925,14087,0.000578395,0.000401157
169926,14065,0.000416195,9.59083E-05
169926,14065,0.008151165,0.001878362
169926,14087,0.000432247,0.000299793
169926,14087,0.007708285,0.005346222
169927,14087,0.002255004,0.001563999
169927,14087,0.0077938,0.005405533
