GRIDCODE	CVE_ENTCVE_MUN	Fpav
159307	6001	0.033540555
159308	6001	0.156295816
159309	6001	0.135127024
159310	6001	0.09120478
159314	6009	0.085324567
159315	6009	0.031688793
159341	14087	0.006331886
159341	16015	0.164008242
159354	16002	0.148997348
159355	16002	0.04035194
159376	16055	0.10692643
159383	16035	0.164050151
159384	16035	0.126351719
159385	16035	0.115919984
159386	16035	0.030184572
160364	6007	0.004931823
160365	6001	0.038567015
160365	6007	0.018985675
160366	6001	0.069131841
160368	6001	0.061712424
160369	6001	0.050135751
160370	6001	0.046317573
160371	6001	0.061705493
160371	6009	0.027509661
160372	6009	0.072131546
160373	6009	0.116287977
160386	6002	0.010544882
160387	6002	0.000663733
160387	16026	1
160400	14087	0.00802588
160400	16015	0.120289092
160401	16015	0.114280935
160414	16002	0.15072823
160435	16055	0.088505711
160445	16035	0.076975404
160446	16035	0.098625585
161421	6007	0.011398239
161422	6007	0.02994028
161423	6007	0.025503529
161426	6001	0.048300273
161427	6001	0.009893419
161430	6001	0.051361598
161432	6009	0.011289987
161433	6009	0.115809344
161434	6009	0.005157993
161444	6002	0.010846404
161445	6002	0.020297149
161460	14087	0.002393258
161460	16015	0.207190249
161461	16015	0.18939586
161462	16015	0.008308668
161473	16002	0.189668843
161474	16002	0.002185594
161491	16055	0.016347118
161491	16064	0.026727873
161492	16055	0.082817938
161493	16055	0.081702805
161494	16055	0.109741258
161495	16055	0.084007547
161505	16035	0.180451758
162478	6007	0.011663134
162479	6007	0.040320393
162480	6007	0.018357981
162484	6007	0.00553748
162485	6001	0.02672676
162485	6007	0.00348419
162489	6001	0.009450962
162490	6001	0.038087753
162491	6009	0.027204187
162492	6009	0.010643872
162493	6009	0.08309975
162495	6006	0.117698674
162496	6006	0.769410595
162502	6002	0.003530004
162503	6002	0.024112609
162521	16015	0.196526955
162521	16089	0.003728732
162522	16089	0.09516702
162533	16002	0.198089304
162547	16006	0.018081329
162547	16064	0.030617696
162548	16064	0.15844921
162549	16064	0.110519526
162550	16064	0.131044325
162554	16055	0.173217091
162563	16035	0.094245967
162564	16035	0.052070752
163535	6007	0.015937614
163536	6007	0.014363065
163537	6007	0.012052893
163538	6007	0.052568203
163539	6007	0.017721837
163540	6007	0.017960938
163541	6007	0.014420892
163542	6007	0.013786325
163543	6007	0.010027681
163549	6001	0.046580556
163550	6009	0.003055341
163551	6009	0.032956412
163552	6009	0.031323756
163553	6009	0.098882919
163554	6006	0.112890731
163554	6009	0.04826177
163561	6002	0.024190104
163581	16089	0.027087852
163582	16089	0.11602411
163583	16089	0.037872225
163592	16002	0.024949663
163593	16002	0.19173454
163593	16012	0.002950914
163594	16012	0.005166958
163605	16006	0.058680418
163606	16006	0.044112242
163607	16064	0.110735151
163613	16055	0.094499567
163623	16009	0.060987184
163623	16035	0.06112411
164594	6007	0.016644812
164595	6007	0.01004807
164596	6007	0.044501112
164597	6007	0.034296332
164598	6007	0.00568132
164608	6001	0.025860407
164610	6009	0.037154067
164613	6004	0.039643999
164613	6009	0.070290751
164619	6002	0.006466203
164620	6002	0.018020016
164642	16089	0.06901161
164643	16089	0.111274996
164644	16089	0.076265953
164652	16002	0.053294538
164653	16012	0.041545407
164654	16012	0.011610379
164663	16006	0.063800043
164664	16006	0.052368045
164666	16064	0.07090874
164667	16064	0.0477585
164672	16055	0.082870874
164673	16033	0.010169712
164673	16055	0.006417601
164682	16009	0.021394481
164683	16009	0.024463183
164683	16059	0.187555518
164691	16097	0.001038119
165653	6007	0.003935773
165654	6007	0.04332447
